organism	gene	uniprot	is_eukaryote	length	n_pdb	methods	best_resolution_A	max_coverage_frac	exp_mf	exp_bp	exp_cc	exp_total	any_experimental	n_contested_cat_mf	contested_cat_mf
human	CSNK2B	P67870	1	215	10	X-ray	1.74	1.000	109	8	13	130	1	0	
human	CTBP1	Q13363	1	440	10	EM;X-ray	1.95	1.000	82	3	4	89	1	0	
human	DDB2	Q92466	1	427	10	EM;X-ray	2.80	1.000	29	8	12	49	1	0	
human	EMC2	Q15006	1	297	10	EM;X-ray	2.20	1.000	38	6	7	51	1	0	
human	HINT2	Q9BX68	1	163	10	X-ray	1.19	1.000	3	0	3	6	1	0	
human	NAA10	P41227	1	235	10	EM;X-ray	2.69	1.000	93	4	13	110	1	5	GO:1990190|protein-N-terminal-glutamate acetyltransferase activity|MARK_AS_OVER_ANNOTATED;GO:0016747|acyltransferase activity, transferring groups other than amino-acyl groups|MARK_AS_OVER_ANNOTATED;GO:0008080|N-acetyltransferase activity|MARK_AS_OVER_ANNOTATED;GO:0016407|acetyltransferase activity|MARK_AS_OVER_ANNOTATED;GO:0008080|N-acetyltransferase activity|MARK_AS_OVER_ANNOTATED
human	NAA15	Q9BXJ9	1	866	10	EM;X-ray	2.69	1.000	26	2	12	40	1	1	GO:0016407|acetyltransferase activity|MARK_AS_OVER_ANNOTATED
human	P4HA1	P13674	1	534	10	X-ray	1.90	0.457	5	0	2	7	1	0	
human	POMC	P01189	1	267	10	EM;NMR;X-ray	2.10	0.116	23	7	2	32	1	0	
human	SCO1	O75880	1	301	10	NMR;X-ray	2.40	0.565	11	1	4	16	1	0	
human	TAX1BP1	Q86VP1	1	789	10	NMR;X-ray	1.50	0.169	100	5	6	111	1	0	
human	TPM1	P09493	1	284	10	EM;NMR;X-ray	1.50	1.000	34	7	3	44	1	0	
human	TRIP4	Q15650	1	581	10	EM;NMR;X-ray	1.02	1.000	9	10	12	31	1	0	
yeast	DBP5	P20449	1	482	10	NMR;X-ray	1.40	0.813	10	7	7	24	1	0	
yeast	RTT109	Q07794	1	436	10	NMR;Other;X-ray	1.90	1.000	37	16	7	60	1	1	GO:0016740|transferase activity|MARK_AS_OVER_ANNOTATED
ACET2	cipA	Q06851	0	1853	9	X-ray	1.19	0.168	3	0	0	3	1	1	GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds|REMOVE
BACSU	sacB	P05655	0	473	9	X-ray	1.50	1.000	0	0	0	0	0	2	GO:0016740|transferase activity|MARK_AS_OVER_ANNOTATED;GO:0016757|glycosyltransferase activity|MARK_AS_OVER_ANNOTATED
BPBPP	brt	Q775D8	0	328	9	EM	3.05	1.000	0	0	0	0	0	0	
STAAU	apmA	A0A1D0AST6	0	274	9	X-ray	1.78	1.000	0	0	0	0	0	0	
human	ATG5	Q9H1Y0	1	275	9	X-ray	1.80	1.000	49	9	3	61	1	0	
human	ATP5F1A	P25705	1	553	9	EM	2.53	0.922	37	5	12	54	1	0	
human	ATP5F1B	P06576	1	529	9	EM	2.53	0.911	48	11	20	79	1	0	
human	ATP6AP1	Q15904	1	470	9	EM	3.00	1.000	8	4	6	18	1	0	
human	ATP6V0D1	P61421	1	351	9	EM	3.00	1.000	13	4	9	26	1	0	
human	ATP6V0E1	O15342	1	81	9	EM	3.00	1.000	17	1	0	18	1	0	
human	CCNE1	P24864	1	410	9	X-ray	1.84	0.690	42	4	3	49	1	1	GO:0016301|kinase activity|REMOVE
human	CLCN7	P51798	1	805	9	EM	1.80	1.000	20	1	5	26	1	0	
human	CWC27	Q6UX04	1	472	9	EM;X-ray	1.75	1.000	1	0	5	6	1	0	
human	EMC1	Q8N766	1	993	9	EM	3.32	1.000	5	5	6	16	1	0	
human	EMC10	Q5UCC4	1	262	9	EM	3.32	1.000	2	7	7	16	1	0	
human	EMC3	Q9P0I2	1	261	9	EM	3.32	1.000	7	5	5	17	1	0	
human	EMC6	Q9BV81	1	110	9	EM	3.32	1.000	25	7	8	40	1	0	
human	HBS1L	Q9Y450	1	684	9	EM	3.30	1.000	6	5	5	16	1	0	
human	IDH3B	O43837	1	385	9	X-ray	2.70	0.883	0	1	4	5	1	2	GO:0016616|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor|REMOVE;GO:0004449|isocitrate dehydrogenase (NAD+) activity|REMOVE
human	IL10	P22301	1	178	9	EM;X-ray	1.60	0.899	15	30	4	49	1	0	
human	IL2RA	P01589	1	272	9	EM;X-ray	1.83	0.801	4	2	0	6	1	0	
human	MMGT1	Q8N4V1	1	131	9	EM	3.32	1.000	65	6	6	77	1	0	
human	PTPN22	Q9Y2R2	1	807	9	X-ray	1.90	0.384	7	24	5	36	1	0	
human	SIRT1	Q96EB6	1	747	9	X-ray	1.64	0.700	175	88	25	288	1	1	GO:0160012|histone decrotonylase activity, NAD-dependent|REMOVE
human	SRP19	P09132	1	144	9	EM;X-ray	1.80	1.000	7	0	6	13	1	0	
human	SRP68	Q9UHB9	1	627	9	EM;X-ray	1.60	1.000	14	1	5	20	1	0	
human	TMA16	Q96EY4	1	203	9	EM	2.55	1.000	10	1	3	14	1	0	
human	UFL1	O94874	1	794	9	EM;X-ray	2.20	1.000	35	41	21	97	1	0	
human	USP8	P40818	1	1118	9	NMR;X-ray	1.59	0.337	26	10	13	49	1	0	
mouse	App	P12023	1	770	9	EM;NMR;X-ray	1.60	0.290	52	63	35	150	1	0	
mouse	Cftr	P26361	1	1476	9	X-ray	2.20	0.193	13	12	4	29	1	1	GO:0016853|isomerase activity|REMOVE
ARATH	BAK1	Q94F62	1	615	8	EM;X-ray	2.20	0.554	67	6	12	85	1	0	
ARATH	GID1A	Q9MAA7	1	345	8	EM;X-ray	1.80	1.000	33	11	3	47	1	1	GO:0016787|hydrolase activity|REMOVE
ARATH	TIR1	Q570C0	1	594	8	X-ray	1.80	1.000	4	7	2	13	1	0	
BPT4	41	P04530	0	475	8	EM	2.70	1.000	2	1	0	3	1	0	
BPT4	8	P19062	0	334	8	EM;X-ray	2.00	1.000	0	0	1	1	1	0	
ECOLI	SecB	P0AG86	0	155	8	NMR;X-ray	2.35	1.000	10	6	2	18	1	0	
ECOLI	Spy	P77754	0	161	8	X-ray	1.77	0.596	7	1	1	9	1	0	
ECOLX	hph	P00557	0	341	8	X-ray	1.50	1.000	0	0	0	0	0	0	
PSEPK	pqqB	Q88QV5	0	303	8	X-ray	1.50	1.000	0	0	0	0	0	0	
human	ATP6V1A	P38606	1	617	8	EM	2.90	1.000	4	4	14	22	1	0	
human	ATP6V1B2	P21281	1	511	8	EM	2.90	1.000	8	0	7	15	1	0	
human	ATP6V1D	Q9Y5K8	1	247	8	EM	2.90	1.000	16	4	11	31	1	0	
human	ATP6V1E1	P36543	1	226	8	EM	2.90	1.000	6	2	7	15	1	0	
human	ATP6V1F	Q16864	1	119	8	EM	2.90	1.000	5	0	5	10	1	0	
human	ATP6V1G1	O75348	1	118	8	EM	2.90	1.000	17	2	5	24	1	0	
human	ATP6V1H	Q9UI12	1	483	8	EM	3.10	1.000	12	1	5	18	1	0	
human	CD8A	P01732	1	235	8	NMR;X-ray	1.90	0.511	6	2	5	13	1	0	
human	DDRGK1	Q96HY6	1	314	8	EM;X-ray	1.60	1.000	19	40	9	68	1	0	
human	EEF2K	O00418	1	725	8	NMR;X-ray	2.12	0.724	3	2	0	5	1	0	
human	EMC4	Q5J8M3	1	183	8	EM	3.32	1.000	7	5	5	17	1	0	
human	EMC8	O43402	1	210	8	EM	3.32	1.000	11	5	6	22	1	0	
human	ERG	P11308	1	479	8	NMR;X-ray	1.70	0.263	8	4	3	15	1	0	
human	HSPA9	P38646	1	679	8	EM;X-ray	2.00	0.875	39	4	11	54	1	0	
human	HSPB6	O14558	1	160	8	X-ray	2.20	0.931	4	2	5	11	1	0	
human	NME2	P22392	1	152	8	X-ray	1.30	1.000	30	13	11	54	1	3	GO:0016301|kinase activity|MARK_AS_OVER_ANNOTATED;GO:0016740|transferase activity|MARK_AS_OVER_ANNOTATED;GO:0016301|kinase activity|MARK_AS_OVER_ANNOTATED
human	NPM1	P06748	1	294	8	EM;NMR;X-ray	1.80	1.000	109	21	26	156	1	0	
human	PPIB	P23284	1	216	8	EM;X-ray	1.20	1.000	37	9	11	57	1	0	
human	RAB7A	P51149	1	207	8	X-ray	1.90	1.000	45	19	19	83	1	0	
human	RAD18	Q9NS91	1	495	8	NMR;X-ray	1.62	0.200	36	5	10	51	1	0	
human	SLC40A1	Q9NP59	1	571	8	EM	2.50	1.000	7	2	7	16	1	0	
human	SOX2	P48431	1	317	8	EM;NMR;X-ray	2.30	0.281	20	20	6	46	1	0	
human	TIA1	P31483	1	386	8	EM;NMR;X-ray	0.95	0.469	10	6	9	25	1	0	
mouse	Egf	P01132	1	1217	8	NMR		0.044	10	31	7	48	1	0	
mouse	Trp53	P02340	1	390	8	X-ray	1.50	0.515	47	18	4	69	1	0	
yeast	IRE1	P32361	1	1115	8	X-ray	2.40	0.426	9	11	3	23	1	0	
yeast	SWI1	P09547	1	1314	8	EM;NMR	2.89	1.000	41	10	6	57	1	0	
ARATH	AGO1	O04379	1	1048	7	X-ray	1.35	0.141	16	17	7	40	1	0	
ARATH	RGA	Q9SLH3	1	587	7	EM	2.66	1.000	74	24	3	101	1	0	
BACSU	ftsZ	P17865	0	382	7	X-ray	1.70	1.000	15	2	1	18	1	0	
BPT4	9	P10927	0	288	7	EM;X-ray	2.30	1.000	0	0	1	1	1	0	
BPT4	gp23	P04535	0	521	7	EM	3.30	1.000	0	0	1	1	1	0	
ECOLX	mphA	Q47396	0	301	7	X-ray	1.20	1.000	0	0	0	0	0	0	
SCHPO	clr4	O60016	1	490	7	NMR;X-ray	2.30	0.612	40	8	8	56	1	2	GO:0042054|histone methyltransferase activity|MARK_AS_OVER_ANNOTATED;GO:0008168|methyltransferase activity|MARK_AS_OVER_ANNOTATED
human	ATG2A	Q2TAZ0	1	1938	7	EM;X-ray	1.80	1.000	14	4	3	21	1	0	
human	ATP6V0A1	Q93050	1	837	7	EM	3.00	1.000	4	1	6	11	1	0	
human	COLGALT1	Q8NBJ5	1	622	7	EM;X-ray	2.70	0.953	1	2	2	5	1	0	
human	EIF4E2	O60573	1	245	7	X-ray	1.70	0.776	55	6	3	64	1	0	
human	FBXW7	Q969H0	1	707	7	X-ray	2.50	0.629	75	23	15	113	1	0	
human	FN3K	Q9H479	1	309	7	X-ray	1.67	1.000	3	3	1	7	1	1	GO:0016740|transferase activity|REMOVE
human	GFER	P55789	1	205	7	X-ray	1.50	0.610	12	1	4	17	1	0	
human	IFI16	Q16666	1	785	7	X-ray	1.70	0.257	10	18	12	40	1	0	
human	IKZF1	Q13422	1	519	7	EM;X-ray	2.15	0.164	78	2	6	86	1	0	
human	IL7R	P16871	1	459	7	X-ray	2.14	0.477	17	4	2	23	1	0	
human	IRF4	Q15306	1	451	7	NMR;X-ray	1.71	0.266	13	6	4	23	1	0	
human	KCTD16	Q68DU8	1	428	7	X-ray	2.23	0.376	1	0	0	1	1	0	
human	P4HA2	O15460	1	535	7	X-ray	1.48	0.475	9	0	1	10	1	0	
human	POLD2	P49005	1	469	7	EM;X-ray	3.00	1.000	22	3	6	31	1	0	
human	SRP72	O76094	1	671	7	EM;X-ray	1.60	1.000	11	0	5	16	1	0	
human	SRP9	P49458	1	86	7	EM;X-ray	2.04	1.000	11	0	0	11	1	0	
human	STIP1	P31948	1	543	7	EM;NMR;X-ray	1.60	1.000	42	0	2	44	1	0	
human	USP25	Q9UHP3	1	1055	7	NMR;X-ray	1.50	0.677	41	6	6	53	1	2	GO:0019783|ubiquitin-like protein peptidase activity|MARK_AS_OVER_ANNOTATED;GO:0008233|peptidase activity|MARK_AS_OVER_ANNOTATED
human	VPS4B	O75351	1	444	7	NMR;X-ray	2.50	1.000	30	21	11	62	1	0	
mouse	Fbxo2	Q80UW2	1	297	7	X-ray	1.70	1.000	8	12	8	28	1	0	
yeast	HSC82	P15108	1	705	7	EM	2.71	1.000	211	5	4	220	1	0	
yeast	NAP1	P25293	1	417	7	EM;X-ray	2.88	1.000	99	11	5	115	1	0	
yeast	SIR4	P11978	1	1358	7	X-ray	1.10	0.119	25	13	3	41	1	0	
yeast	SNF5	P18480	1	905	7	EM;X-ray	2.64	1.000	19	12	8	39	1	0	
yeast	SPT16	P32558	1	1035	7	EM;X-ray	1.73	1.000	118	9	3	130	1	0	
yeast	SWI3	P32591	1	825	7	EM;X-ray	1.40	1.000	53	6	8	67	1	0	
ARATH	CRY2	Q96524	1	612	6	EM;X-ray	2.50	1.000	33	36	13	82	1	1	GO:0003904|deoxyribodipyrimidine photo-lyase activity|REMOVE
BPT4	10	P10928	0	602	6	EM;X-ray	1.20	1.000	0	0	1	1	1	0	
BPT4	18	P13332	0	659	6	EM;X-ray	1.80	1.000	0	0	1	1	1	0	
BPT4	6	P19060	0	660	6	EM;X-ray	3.20	1.000	1	0	2	3	1	0	
DROME	CRY	O77059	1	542	6	EM;X-ray	2.30	1.000	19	45	4	68	1	0	
ECOLI	manX	P69797	0	323	6	NMR;X-ray	1.70	0.923	4	7	5	16	1	1	GO:0016301|kinase activity|MARK_AS_OVER_ANNOTATED
PSEAE	rpsD	O52759	0	206	6	EM	2.46	1.000	0	0	0	0	0	0	
PSEAI	merA	P00392	0	561	6	NMR;X-ray	1.50	0.831	0	0	0	0	0	2	GO:0003955|NAD(P)H dehydrogenase (quinone) activity|REMOVE;GO:0016668|oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor|REMOVE
PSEPK	pcaY	Q88JK6	0	550	6	X-ray	1.56	1.000	0	0	0	0	0	0	
SCHPO	cut7	P24339	1	1085	6	EM	4.50	0.398	10	7	10	27	1	0	
human	ABI2	Q9NYB9	1	513	6	EM;NMR;X-ray	2.29	1.000	112	5	7	124	1	0	
human	AGO1	Q9UL18	1	857	6	X-ray	1.75	1.000	61	9	8	78	1	0	
human	AIMP1	Q12904	1	312	6	Other;X-ray	1.50	1.000	10	3	7	20	1	0	
human	AIPL1	Q9NZN9	1	384	6	X-ray	1.55	0.417	7	1	2	10	1	1	GO:0003755|peptidyl-prolyl cis-trans isomerase activity|REMOVE
human	APLP1	P51693	1	650	6	X-ray	2.11	0.331	11	2	2	15	1	0	
human	ATG14	Q6ZNE5	1	492	6	EM;X-ray	1.40	1.000	41	15	15	71	1	1	GO:0141039|phosphatidylinositol 3-kinase inhibitor activity|REMOVE
human	ATP6V0B	Q99437	1	205	6	EM	3.00	1.000	22	0	1	23	1	0	
human	ATP6V0C	P27449	1	155	6	EM	3.00	1.000	59	1	4	64	1	1	GO:0046933|proton-transporting ATP synthase activity, rotational mechanism|REMOVE
human	CDH23	Q9H251	1	3354	6	NMR;X-ray	1.86	0.100	3	8	0	11	1	0	
human	CHMP3	Q9Y3E7	1	222	6	EM;X-ray	1.75	0.968	16	31	14	61	1	0	
human	CHMP5	Q9NZZ3	1	219	6	NMR;X-ray	1.00	0.315	17	22	17	56	1	0	
human	CRTAP	O75718	1	401	6	EM	3.17	1.000	3	2	3	8	1	0	
human	FAS	P25445	1	335	6	NMR;X-ray	1.93	0.466	46	15	8	69	1	0	
human	FBXL17	Q9UF56	1	701	6	EM;X-ray	3.10	0.559	10	8	5	23	1	0	
human	FBXL5	Q9UKA1	1	691	6	EM;X-ray	1.60	0.712	17	9	5	31	1	0	
human	FKBP8	Q14318	1	412	6	NMR;X-ray	1.05	0.704	60	5	7	72	1	0	
human	HSPA2	P54652	1	639	6	X-ray	1.30	0.995	70	2	5	77	1	0	
human	IL22	Q9GZX6	1	179	6	X-ray	1.90	0.844	6	0	0	6	1	0	
human	LAMP1	P11279	1	417	6	EM;X-ray	2.37	1.000	9	7	27	43	1	0	
human	MAN1B1	Q9UKM7	1	699	6	X-ray	1.41	0.755	6	7	8	21	1	0	
human	MAP3K20	Q9NYL2	1	800	6	X-ray	1.87	0.381	34	30	3	67	1	0	
human	MORC3	Q14149	1	939	6	X-ray	1.05	0.485	14	10	4	28	1	0	
human	NDUFS2	O75306	1	463	6	EM	3.40	1.000	16	3	7	26	1	0	
human	P3H1	Q32P28	1	736	6	EM	3.17	1.000	5	8	6	19	1	0	
human	PDGFB	P01127	1	241	6	X-ray	2.20	0.685	24	87	5	116	1	1	GO:0016176|superoxide-generating NADPH oxidase activator activity|REMOVE
human	PELO	Q9BRX2	1	385	6	EM;NMR;X-ray	2.60	1.000	34	6	2	42	1	0	
human	PFDN1	O60925	1	122	6	EM	3.85	1.000	12	2	2	16	1	0	
human	PFDN2	Q9UHV9	1	154	6	EM	3.85	1.000	46	3	10	59	1	0	
human	PFDN4	Q9NQP4	1	134	6	EM	3.85	1.000	9	2	5	16	1	0	
human	PFDN5	Q99471	1	154	6	EM	3.85	0.909	126	4	3	133	1	0	
human	PFDN6	O15212	1	129	6	EM	3.85	1.000	13	3	3	19	1	0	
human	PIK3R4	Q99570	1	1358	6	EM	2.73	1.000	13	8	4	25	1	0	
human	PIWIL1	Q96J94	1	861	6	NMR;X-ray	2.10	0.156	7	1	0	8	1	3	GO:0004518|nuclease activity|REMOVE;GO:0004519|endonuclease activity|REMOVE;GO:0016787|hydrolase activity|REMOVE
human	PRG2	P13727	1	222	6	EM;X-ray	1.45	1.000	3	0	4	7	1	0	
human	PUS3	Q9BZE2	1	481	6	EM	2.66	1.000	2	1	0	3	1	1	GO:0016853|isomerase activity|MARK_AS_OVER_ANNOTATED
human	STAT1	P42224	1	750	6	NMR;X-ray	2.00	0.911	91	38	31	160	1	0	
human	STAT3	P40763	1	770	6	NMR;X-ray	2.70	0.774	132	70	25	227	1	0	
human	UBA7	P41226	1	1012	6	EM;NMR	3.20	1.000	9	5	1	15	1	0	
human	UPF2	Q9HAU5	1	1272	6	X-ray	1.95	0.288	43	2	5	50	1	0	
human	VBP1	P61758	1	197	6	EM	3.85	1.000	51	2	3	56	1	0	
mouse	Camk2a	P11798	1	478	6	X-ray	1.28	0.659	23	15	6	44	1	0	
mouse	Hsp90aa1	P07901	1	733	6	X-ray	1.33	0.293	19	4	10	33	1	0	
yeast	POB3	Q04636	1	552	6	EM;X-ray	1.65	1.000	67	8	2	77	1	0	
yeast	SHQ1	P40486	1	507	6	NMR;X-ray	1.50	0.720	1	4	3	8	1	0	
ANOGA	D7r4	Q7PNF2	0	165	5	X-ray	2.00	0.873	0	0	1	1	1	0	
ANOGA	SRPN2	Q7QIJ8	0	409	5	X-ray	1.75	0.949	6	7	2	15	1	0	
ARATH	DRB1	O04492	1	419	5	NMR;X-ray	1.70	0.239	31	11	5	47	1	1	GO:0004525|ribonuclease III activity|REMOVE
ARATH	FT	Q9SXZ2	1	175	5	X-ray	1.00	0.960	7	6	2	15	1	0	
ARATH	JAZ1	Q9LMA8	1	253	5	EM;X-ray	1.95	1.000	3	6	1	10	1	0	
ARATH	OST1	Q940H6	1	362	5	X-ray	2.30	1.000	55	29	5	89	1	2	GO:0009931|calcium-dependent protein serine/threonine kinase activity|REMOVE;GO:0016301|kinase activity|MARK_AS_OVER_ANNOTATED
BPT4	11	P10929	0	219	5	EM;X-ray	2.00	1.000	0	0	1	1	1	0	
BPT4	27	P17172	0	391	5	EM;X-ray	2.80	1.000	3	0	2	5	1	0	
BPT4	DAM	P04392	0	259	5	X-ray	2.29	1.000	1	1	0	2	1	0	
BPT4	agt	P04519	0	400	5	X-ray	1.73	1.000	1	0	0	1	1	0	
BPZF4	ACA2	H9C180	0	116	5	EM;X-ray	1.31	1.000	0	0	0	0	0	0	
ECOLI	DnaJ	P08622	0	376	5	NMR;X-ray	3.25	0.285	20	11	5	36	1	0	
ECOLI	SlyD	P0A9K9	0	196	5	EM;NMR;X-ray	2.00	1.000	23	5	2	30	1	0	
METEA	mtdA	P55818	0	288	5	X-ray	1.08	1.000	0	0	0	0	0	0	
ORYSJ	CPS4	Q0JF02	1	767	5	EM;X-ray	3.49	1.000	2	0	0	2	1	1	GO:0016829|lyase activity|MARK_AS_OVER_ANNOTATED
SCHPO	mei2	P08965	1	750	5	X-ray	1.89	0.229	14	7	15	36	1	0	
SCHPO	poz1	O13852	1	249	5	X-ray	2.30	0.996	7	4	4	15	1	0	
human	AHSA1	O95433	1	338	5	NMR;X-ray	1.50	0.911	24	3	2	29	1	0	
human	AIFM2	Q9BRQ8	1	373	5	X-ray	1.79	1.000	18	15	10	43	1	0	
human	AIP	O00170	1	330	5	EM;NMR;X-ray	1.90	1.000	20	2	3	25	1	2	GO:0003755|peptidyl-prolyl cis-trans isomerase activity|REMOVE;GO:0003755|peptidyl-prolyl cis-trans isomerase activity|REMOVE
human	AP3B1	O00203	1	1094	5	EM	3.60	0.619	11	2	2	15	1	0	
human	ATF2	P15336	1	505	5	NMR;X-ray	1.95	0.121	108	17	12	137	1	0	
human	ATP5IF1	Q9UII2	1	106	5	EM	2.53	0.764	32	9	5	46	1	0	
human	ATP6V1C1	P21283	1	382	5	EM	3.10	1.000	1	0	2	3	1	0	
human	BCCIP	Q9P287	1	314	5	EM;X-ray	2.20	0.809	21	6	5	32	1	0	
human	BTN3A3	O00478	1	584	5	X-ray	1.60	0.440	2	1	2	5	1	0	
human	CDK5RAP3	Q96JB5	1	506	5	EM	2.90	1.000	31	31	15	77	1	0	
human	CRYAA	P02489	1	173	5	EM;NMR	3.70	1.000	142	6	10	158	1	0	
human	DENR	O43583	1	198	5	X-ray	1.74	1.000	13	4	2	19	1	0	
human	EIF3J	O75822	1	258	5	EM;NMR;X-ray	1.85	1.000	13	0	3	16	1	0	
human	HSPA1B	P0DMV9	1	641	5	NMR;Other;X-ray	1.60	0.934	50	23	24	97	1	2	GO:0140545|ATP-dependent protein disaggregase activity|MARK_AS_OVER_ANNOTATED;GO:0140545|ATP-dependent protein disaggregase activity|REMOVE
human	NDUFS1	P28331	1	727	5	EM	3.40	1.000	13	5	7	25	1	0	
human	NDUFS4	O43181	1	175	5	EM	3.40	1.000	4	7	8	19	1	0	
human	NDUFV1	P49821	1	464	5	EM	3.40	1.000	30	2	7	39	1	0	
human	NTN1	O95631	1	604	5	EM;X-ray	3.07	0.712	9	0	2	11	1	0	
human	PEX19	P40855	1	299	5	NMR;X-ray	2.05	0.465	111	13	7	131	1	0	
human	RNF25	Q96BH1	1	459	5	NMR;X-ray	1.58	0.290	47	7	4	58	1	0	
human	SDHB	P21912	1	280	5	EM	2.86	1.000	17	0	3	20	1	0	
human	SGTA	O43765	1	313	5	NMR;X-ray	1.35	0.406	253	6	6	265	1	0	
human	SH3GLB1	Q9Y371	1	365	5	EM	3.45	1.000	172	13	7	192	1	0	
human	SYVN1	Q86TM6	1	617	5	EM;NMR	3.30	1.000	41	17	15	73	1	0	
mouse	Grb2	Q60631	1	217	5	NMR		0.281	83	17	7	107	1	0	
rat	Gamt	P10868	1	236	5	X-ray	2.00	0.996	4	3	0	7	1	0	
yeast	SOD2	P00447	1	233	5	X-ray	1.60	0.923	2	1	6	9	1	0	
188937	mcrA	Q8THH1	0	570	4	EM;X-ray	2.00	1.000	0	0	0	0	0	0	
ARATH	CO	Q39057	1	373	4	X-ray	2.40	0.292	21	4	3	28	1	0	
ARATH	DGAT1	Q9SLD2	1	520	4	EM	2.60	1.000	8	10	3	21	1	0	
ARATH	HY5	O24646	1	168	4	X-ray	1.27	0.238	24	15	8	47	1	0	
ARATH	NPR1	P93002	1	593	4	EM;X-ray	3.06	1.000	56	24	8	88	1	0	
ARATH	P14713	P14713	1	1172	4	EM;X-ray	3.10	1.000	53	31	11	95	1	0	
ARATH	P93002	P93002	1	593	4	EM;X-ray	3.06	1.000	56	24	8	88	1	0	
ARATH	PAD4	Q9S745	1	541	4	EM;X-ray	2.29	1.000	6	32	6	44	1	1	GO:0016298|lipase activity|REMOVE
ARATH	PHYA	P14712	1	1122	4	EM	3.00	1.000	33	11	8	52	1	0	
ARATH	PHYB	P14713	1	1172	4	EM;X-ray	3.10	1.000	53	31	11	95	1	0	
ARATH	PIN1	Q9C6B8	1	622	4	EM	3.10	1.000	12	15	14	41	1	0	
ARATH	SOS1	Q9LKW9	1	1146	4	EM	2.80	1.000	3	10	4	17	1	0	
ARATH	WUS	Q9SB92	1	292	4	X-ray	1.37	0.240	10	5	0	15	1	0	
BACSU	aprE	P04189	0	381	4	X-ray	1.83	0.924	1	2	1	4	1	3	GO:0008233|peptidase activity|MARK_AS_OVER_ANNOTATED;GO:0008236|serine-type peptidase activity|MARK_AS_OVER_ANNOTATED;GO:0016787|hydrolase activity|MARK_AS_OVER_ANNOTATED
BACSU	spoIIE	P37475	0	827	4	X-ray	2.45	0.417	2	0	1	3	1	0	
BACTH	Q8A5T1	Q8A5T1	0	290	4	X-ray	1.46	0.910	0	0	0	0	0	0	
BACTN	BT_2157	Q8A5T1	0	290	4	X-ray	1.46	0.910	0	0	0	0	0	1	GO:0016787|hydrolase activity|REMOVE
BPT4	12	P10930	0	527	4	EM;X-ray	1.50	1.000	0	0	1	1	1	0	
BPT4	rI	P13304	0	97	4	X-ray	1.65	0.753	0	0	2	2	1	0	
DANRE	pcif1	A0A0R4IKJ1	1	721	4	X-ray	1.80	0.688	2	1	0	3	1	0	
ECOLI	ftsI	P0AD68	0	588	4	X-ray	1.52	0.918	22	2	1	25	1	3	GO:0008955|peptidoglycan glycosyltransferase activity|REMOVE;GO:0008955|peptidoglycan glycosyltransferase activity|REMOVE;GO:0008955|peptidoglycan glycosyltransferase activity|REMOVE
ECOLI	mrdA	P0AD65	0	633	4	EM;X-ray	2.00	1.000	17	11	2	30	1	5	GO:0071972|peptidoglycan L,D-transpeptidase activity|REMOVE;GO:0071972|peptidoglycan L,D-transpeptidase activity|REMOVE;GO:0004180|carboxypeptidase activity|MARK_AS_OVER_ANNOTATED;GO:0008233|peptidase activity|MARK_AS_OVER_ANNOTATED;GO:0016787|hydrolase activity|MARK_AS_OVER_ANNOTATED
METAC	mcrA	Q8THH1	0	570	4	EM;X-ray	2.00	1.000	0	0	0	0	0	1	GO:0016740|transferase activity|REMOVE
OCTBM	CRT1	A0A0L8FVQ9	1	399	4	EM	2.62	1.000	0	0	0	0	0	0	
OCTBM	OCBIM_22006518mg	A0A0L8FVQ9	1	399	4	EM	2.62	1.000	0	0	0	0	0	0	
PSEPK	miaE	Q88KV1	0	205	4	X-ray	1.70	1.000	1	0	0	1	1	0	
PSEPK	pcaF	Q88N39	0	400	4	X-ray	1.37	1.000	0	0	0	0	0	2	GO:0016746|acyltransferase activity|MARK_AS_OVER_ANNOTATED;GO:0016747|acyltransferase activity, transferring groups other than amino-acyl groups|MARK_AS_OVER_ANNOTATED
human	ABRAXAS1	Q6UWZ7	1	409	4	X-ray	2.50	0.027	27	11	7	45	1	0	
human	ABRAXAS2	Q15018	1	415	4	EM	3.02	1.000	21	7	19	47	1	0	
human	AIRE	O43918	1	545	4	NMR		0.116	12	5	4	21	1	0	
human	ATP13A1	Q9HD20	1	1204	4	EM	3.40	1.000	31	2	2	35	1	0	
human	BECN2	A8MW95	1	431	4	X-ray	2.00	0.216	6	6	0	12	1	0	
human	C1QBP	Q07021	1	282	4	X-ray	2.20	0.741	46	20	12	78	1	0	
human	CCL11	P51671	1	97	4	NMR;X-ray	1.51	0.763	13	8	1	22	1	0	
human	CHAMP1	Q96JM3	1	812	4	X-ray	1.60	0.034	9	4	6	19	1	0	
human	CHCHD4	Q8N4Q1	1	142	4	EM;NMR;X-ray	2.30	1.000	10	5	8	23	1	0	
human	CHMP4B	Q9H444	1	224	4	X-ray	1.70	0.464	55	34	29	118	1	0	
human	CHMP4C	Q96CF2	1	233	4	X-ray	1.87	0.077	15	26	11	52	1	0	
human	CREB1	P16220	1	327	4	EM;NMR;X-ray	2.30	0.180	42	12	5	59	1	0	
human	DNAJB6	O75190	1	326	4	NMR		0.537	30	6	10	46	1	0	
