gene_product	gene_label	model_id	model_title	taxon	activity_id	molecular_function	mf_label	biological_process	bp_label	cellular_component	cc_label
MGI:MGI:2143535	Upb1 Mmus	5fadbcf000002236	dCMP catabolic process (Mouse)	NCBITaxon:10090	gomodel:5fadbcf000002236/5fb9cc0600000311	GO:0003837	beta-ureidopropionase activity	GO:0006249	dCMP catabolic process	GO:0005829	cytosol
MGI:MGI:1923904	Upp2 Mmus	5fadbcf000002236	dCMP catabolic process (Mouse)	NCBITaxon:10090	gomodel:5fadbcf000002236/5fb9cc0600000312	GO:0047847	deoxyuridine phosphorylase activity	GO:0006249	dCMP catabolic process	GO:0005829	cytosol
ZFIN:ZDB-GENE-041111-259	ezh2 Drer	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/5fb9cc0600000200	GO:0003713	transcription coactivator activity	GO:0042753	positive regulation of circadian rhythm		
ZFIN:ZDB-GENE-010426-2	cry1a Drer	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/60747c4200000598	GO:0003714	transcription corepressor activity				
ZFIN:ZDB-GENE-991110-14	myb Drer	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/60747c4200000565	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	GO:0030097	hemopoiesis		
ZFIN:ZDB-GENE-060306-2	roraa Drer	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/5fb9cc0600000180	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	GO:0045944	positive regulation of transcription by RNA polymerase II		
GO:1990513	CLOCK-BMAL transcription complex	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/5fb9cc0600000202	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific				
ZFIN:ZDB-GENE-010426-2	cry1a Drer	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/60747c4200000594	GO:0003714	transcription corepressor activity				
ZFIN:ZDB-GENE-041111-259	ezh2 Drer	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/5fb9cc0600000185	GO:0003712	transcription coregulator activity				
ZFIN:ZDB-GENE-010426-2	cry1a Drer	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/5fb9cc0600000173	GO:0003712	transcription coregulator activity				
ZFIN:ZDB-GENE-041111-259	ezh2 Drer	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/5fb9cc0600000176	GO:0003712	transcription coregulator activity				
ZFIN:ZDB-GENE-041111-259	ezh2 Drer	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/60747c4200000590	GO:0003713	transcription coactivator activity	GO:1903708	positive regulation of hemopoiesis		
ZFIN:ZDB-GENE-040617-1	lck Drer	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/60747c4200000570	GO:0003674	molecular_function	GO:0030097	hemopoiesis		
GO:1990513	CLOCK-BMAL transcription complex	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/5fb9cc0600000160	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	GO:0032922	circadian regulation of gene expression		
GO:1990513	CLOCK-BMAL transcription complex	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/60747c4200000589	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific				
ZFIN:ZDB-GENE-040419-1	per1b Drer	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/5fb9cc0600000205	GO:0003674	molecular_function				
ZFIN:ZDB-GENE-041111-259	ezh2 Drer	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/60747c4200000606	GO:0003713	transcription coactivator activity				
ZFIN:ZDB-GENE-010426-2	cry1a Drer	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/60747c4200000600	GO:0003714	transcription corepressor activity				
ZFIN:ZDB-GENE-010426-2	cry1a Drer	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/60747c4200000608	GO:0003714	transcription corepressor activity				
ZFIN:ZDB-GENE-050105-1	nr1d1 Drer	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/5fb9cc0600000182	GO:0003712	transcription coregulator activity				
GO:1990513	CLOCK-BMAL transcription complex	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/60747c4200000588	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific				
ZFIN:ZDB-GENE-041111-259	ezh2 Drer	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/60747c4200000592	GO:0003713	transcription coactivator activity	GO:1903708	positive regulation of hemopoiesis		
GO:1990513	CLOCK-BMAL transcription complex	5fb9cc0600000156	circadian rhythm and hematopoiesis via ezh2, per1b, cry1a etc. (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000156/60747c4200000587	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific				
ZFIN:ZDB-GENE-020111-2	cebpa Drer	5fb9cc0600000627	Regulation of macrophage differntiation via irf2bp2b, cebpa, spi1b (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000627/5fb9cc0600000633	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific		
ZFIN:ZDB-GENE-980526-164	spi1b Drer	5fb9cc0600000627	Regulation of macrophage differntiation via irf2bp2b, cebpa, spi1b (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000627/5fb9cc0600000658	GO:0003674	molecular_function	GO:0030225	macrophage differentiation		
ZFIN:ZDB-GENE-020111-2	cebpa Drer	5fb9cc0600000627	Regulation of macrophage differntiation via irf2bp2b, cebpa, spi1b (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000627/5fb9cc0600000638	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific				
ZFIN:ZDB-GENE-040426-2574	irf2bp2b Drer	5fb9cc0600000627	Regulation of macrophage differntiation via irf2bp2b, cebpa, spi1b (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000627/5fb9cc0600000628	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific		
ZFIN:ZDB-GENE-040426-2574	irf2bp2b Drer	5fb9cc0600000627	Regulation of macrophage differntiation via irf2bp2b, cebpa, spi1b (D. rerio)	NCBITaxon:7955	gomodel:5fb9cc0600000627/5fb9cc0600000637	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	GO:0045650	negative regulation of macrophage differentiation		
UniProtKB:P18428	LBP Hsap	5fb9cc0600000727	Triacyl lipopetide activation of TLR1-TLR2 complex (Human)	NCBITaxon:9606	gomodel:5fb9cc0600000727/5fce9b7300000008	GO:0140104	molecular carrier activity			GO:0005576	extracellular region
GO:0035354	Toll-like receptor 1-Toll-like receptor 2 protein complex	5fb9cc0600000727	Triacyl lipopetide activation of TLR1-TLR2 complex (Human)	NCBITaxon:9606	gomodel:5fb9cc0600000727/663d668500002682	GO:0001875	lipopolysaccharide immune receptor activity	GO:0038123	toll-like receptor TLR1:TLR2 signaling pathway	GO:0044853	plasma membrane raft
UniProtKB:P08571	CD14 Hsap	5fb9cc0600000727	Triacyl lipopetide activation of TLR1-TLR2 complex (Human)	NCBITaxon:9606	gomodel:5fb9cc0600000727/5fce9b7300000012	GO:0140104	molecular carrier activity			GO:0005576	extracellular region
UniProtKB:P58753	TIRAP Hsap	5fb9cc0600000727	Triacyl lipopetide activation of TLR1-TLR2 complex (Human)	NCBITaxon:9606	gomodel:5fb9cc0600000727/663d668500002710	GO:0030674	protein-macromolecule adaptor activity	GO:0038123	toll-like receptor TLR1:TLR2 signaling pathway	GO:0005886	plasma membrane
GO:0035355	Toll-like receptor 2-Toll-like receptor 6 protein complex	5fce9b7300000030	"Diacyl lipopeptide and bacteriocin activation of TLR6_TLR2 receptor (Human)
"	NCBITaxon:9606	gomodel:5fce9b7300000030/663d668500002718	GO:0001875	lipopolysaccharide immune receptor activity	GO:0038124	toll-like receptor TLR6:TLR2 signaling pathway	GO:0005886	plasma membrane
UniProtKB:Q99836	MYD88 Hsap	5fce9b7300000030	"Diacyl lipopeptide and bacteriocin activation of TLR6_TLR2 receptor (Human)
"	NCBITaxon:9606	gomodel:5fce9b7300000030/5fce9b7300000098	GO:0035591	signaling adaptor activity	GO:0038124	toll-like receptor TLR6:TLR2 signaling pathway	GO:0005886	plasma membrane
UniProtKB:Q04206	RELA Hsap	5fce9b7300000030	"Diacyl lipopeptide and bacteriocin activation of TLR6_TLR2 receptor (Human)
"	NCBITaxon:9606	gomodel:5fce9b7300000030/663d668500002749	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	GO:0038124	toll-like receptor TLR6:TLR2 signaling pathway	GO:0000785	chromatin
MGI:MGI:1338938	Bmpr1a Mmus	5fce9b7300000367	BMP2-SMAD signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000367/5fce9b7300000446	GO:0098821	BMP receptor activity	GO:0030509	BMP signaling pathway		
MGI:MGI:1095407	Bmpr2 Mmus	5fce9b7300000367	BMP2-SMAD signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000367/5fce9b7300000373	GO:0098821	BMP receptor activity	GO:0030509	BMP signaling pathway	GO:0005886	plasma membrane
MGI:MGI:1338938	Bmpr1a Mmus	5fce9b7300000367	BMP2-SMAD signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000367/5fce9b7300000447	GO:0036122	BMP binding				
MGI:MGI:109452	Smad1 Mmus	5fce9b7300000367	BMP2-SMAD signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000367/5fce9b7300000379	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	GO:0030509	BMP signaling pathway	GO:0005634	nucleus
MGI:MGI:88177	Bmp2 Mmus	5fce9b7300000367	BMP2-SMAD signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000367/5fce9b7300000369	GO:0048018	receptor ligand activity	GO:0030509	BMP signaling pathway	GO:0005886	plasma membrane
MGI:MGI:104582	Eps15l1 Mmus	5fce9b7300000367	BMP2-SMAD signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000367/5fce9b7300000819	GO:0003674	molecular_function	GO:0072583	clathrin-dependent endocytosis		
MGI:MGI:1338938	Bmpr1a Mmus	5fce9b7300000367	BMP2-SMAD signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000367/5fce9b7300000448	GO:0004674	protein serine/threonine kinase activity				
MGI:MGI:1095407	Bmpr2 Mmus	5fce9b7300000367	BMP2-SMAD signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000367/5fce9b7300000377	GO:0004674	protein serine/threonine kinase activity				
MGI:MGI:1095407	Bmpr2 Mmus	5fce9b7300000367	BMP2-SMAD signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000367/5fce9b7300000376	GO:0036122	BMP binding				
MGI:MGI:1095407	Bmpr2 Mmus	5fce9b7300000367	BMP2-SMAD signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000367/5fce9b7300000810	GO:0005515	protein binding			GO:0005905	clathrin-coated pit
MGI:MGI:88156	Bglap Mmus	5fce9b7300000434	BMP2-MAPK signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000434/5fce9b7300000840	GO:0008147	structural constituent of bone				
MGI:MGI:88177	Bmp2 Mmus	5fce9b7300000434	BMP2-MAPK signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000434/5fce9b7300000436	GO:0048018	receptor ligand activity	GO:0030509	BMP signaling pathway	GO:0005576	extracellular region
MGI:MGI:1338024	Mapk11 Mmus	5fce9b7300000434	BMP2-MAPK signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000434/5fce9b7300000855	GO:0004707	MAP kinase activity	GO:0001649	osteoblast differentiation	GO:0005829	cytosol
MGI:MGI:1346865	Mapk14 Mmus	5fce9b7300000434	BMP2-MAPK signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000434/5fce9b7300000440	GO:0004707	MAP kinase activity	GO:0000165	MAPK cascade	GO:0005829	cytosol
MGI:MGI:107191	Bmpr1b Mmus	5fce9b7300000434	BMP2-MAPK signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000434/5fce9b7300000798	GO:0036122	BMP binding				
MGI:MGI:1338938	Bmpr1a Mmus	5fce9b7300000434	BMP2-MAPK signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000434/5fce9b7300000795	GO:0004674	protein serine/threonine kinase activity				
MGI:MGI:87983	Alpl Mmus	5fce9b7300000434	BMP2-MAPK signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000434/5fce9b7300000834	GO:0004035	alkaline phosphatase activity				
MGI:MGI:1346870	Map2k6 Mmus	5fce9b7300000434	BMP2-MAPK signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000434/5fce9b7300000848	GO:0004708	MAP kinase kinase activity	GO:0000165	MAPK cascade	GO:0005829	cytosol
MGI:MGI:1338938	Bmpr1a Mmus	5fce9b7300000434	BMP2-MAPK signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000434/5fce9b7300000793	GO:0098821	BMP receptor activity	GO:0030509	BMP signaling pathway		
MGI:MGI:96389	Ibsp Mmus	5fce9b7300000434	BMP2-MAPK signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000434/5fce9b7300000838	GO:0005178	integrin binding				
MGI:MGI:107191	Bmpr1b Mmus	5fce9b7300000434	BMP2-MAPK signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000434/5fce9b7300000796	GO:0098821	BMP receptor activity	GO:0030509	BMP signaling pathway		
MGI:MGI:2153568	Sp7 Mmus	5fce9b7300000434	BMP2-MAPK signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000434/5fce9b7300000836	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific				
MGI:MGI:1095407	Bmpr2 Mmus	5fce9b7300000434	BMP2-MAPK signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000434/5fce9b7300000790	GO:0004674	protein serine/threonine kinase activity				
MGI:MGI:107191	Bmpr1b Mmus	5fce9b7300000434	BMP2-MAPK signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000434/5fce9b7300000797	GO:0004674	protein serine/threonine kinase activity				
MGI:MGI:99829	Runx2 Mmus	5fce9b7300000434	BMP2-MAPK signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000434/5fce9b7300000830	GO:0003700	DNA-binding transcription factor activity				
MGI:MGI:1346877	Map3k7 Mmus	5fce9b7300000434	BMP2-MAPK signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000434/5fce9b7300000827	GO:0008349	MAP kinase kinase kinase kinase activity	GO:0000165	MAPK cascade		
MGI:MGI:1338938	Bmpr1a Mmus	5fce9b7300000434	BMP2-MAPK signaling mouse	NCBITaxon:10090	gomodel:5fce9b7300000434/5fce9b7300000794	GO:0036122	BMP binding				
UniProtKB:P0DMV8	HSPA1A Hsap	5fce9b7300001590	SPModule-PGLYRP1/HSP701A	NCBITaxon:9606	gomodel:5fce9b7300001590/5fce9b7300001594	GO:0048018	receptor ligand activity			GO:0005576	extracellular region
UniProtKB:Q9NZL4	HSPBP1 Hsap	5fce9b7300001590	SPModule-PGLYRP1/HSP701A	NCBITaxon:9606	gomodel:5fce9b7300001590/5fce9b7300001597	GO:0140313	molecular sequestering activity			GO:0005576	extracellular region
UniProtKB:P19438-1	TNFRSF1A Hsap	5fce9b7300001590	SPModule-PGLYRP1/HSP701A	NCBITaxon:9606	gomodel:5fce9b7300001590/5fce9b7300001600	GO:0005031	tumor necrosis factor receptor activity			GO:0009986	cell surface
UniProtKB:O75594	PGLYRP1 Hsap	5fce9b7300001590	SPModule-PGLYRP1/HSP701A	NCBITaxon:9606	gomodel:5fce9b7300001590/5fce9b7300001591	GO:0030544	Hsp70 protein binding			GO:0005576	extracellular region
UniProtKB:O75594	PGLYRP1 Hsap	5fce9b7300001616	SPModule-PGRP1-S100A4	NCBITaxon:9606	gomodel:5fce9b7300001616/5fce9b7300001617	GO:0060090	molecular adaptor activity			GO:0005576	extracellular region
UniProtKB:P49682	CXCR3 Hsap	5fce9b7300001616	SPModule-PGRP1-S100A4	NCBITaxon:9606	gomodel:5fce9b7300001616/5fce9b7300001632	GO:0016493	C-C chemokine receptor activity			GO:0009986	cell surface
UniProtKB:P26447	S100A4 Hsap	5fce9b7300001616	SPModule-PGRP1-S100A4	NCBITaxon:9606	gomodel:5fce9b7300001616/5fce9b7300001620	GO:0042056	chemoattractant activity			GO:0005576	extracellular region
UniProtKB:P51681	CCR5 Hsap	5fce9b7300001616	SPModule-PGRP1-S100A4	NCBITaxon:9606	gomodel:5fce9b7300001616/5fce9b7300001638	GO:0016493	C-C chemokine receptor activity			GO:0009986	cell surface
MGI:MGI:1333856	Klf9 Mmus	5fce9b7300001742	Strap in alternative splicing-mouse	NCBITaxon:10090	gomodel:5fce9b7300001742/5fce9b7300001857	GO:0003700	DNA-binding transcription factor activity				
MGI:MGI:1096359	Cyp26a1 Mmus	5fce9b7300001742	Strap in alternative splicing-mouse	NCBITaxon:10090	gomodel:5fce9b7300001742/5fce9b7300001846	GO:0008401	retinoic acid 4-hydroxylase activity	GO:0034653	retinoic acid catabolic process		
MGI:MGI:98372	Sp1 Mmus	5fce9b7300001742	Strap in alternative splicing-mouse	NCBITaxon:10090	gomodel:5fce9b7300001742/5fce9b7300001863	GO:0003700	DNA-binding transcription factor activity				
MGI:MGI:1329037	Strap Mmus	5fce9b7300001742	Strap in alternative splicing-mouse	NCBITaxon:10090	gomodel:5fce9b7300001742/5fce9b7300001851	GO:0003674	molecular_function				
MGI:MGI:1329037	Strap Mmus	5fce9b7300001742	Strap in alternative splicing-mouse	NCBITaxon:10090	gomodel:5fce9b7300001742/5fce9b7300001772	GO:0003729	mRNA binding	GO:0000380	alternative mRNA splicing, via spliceosome		
MGI:MGI:1329037	Strap Mmus	5fce9b7300001742	Strap in alternative splicing-mouse	NCBITaxon:10090	gomodel:5fce9b7300001742/5fce9b7300001744	GO:1990447	U2 snRNP binding	GO:0022618	protein-RNA complex assembly	GO:0005634	nucleus
UniProtKB:Q9NP99	TREM1 Hsap	5fce9b7300002336	SPModule-TREM1-DAP12	NCBITaxon:9606	gomodel:5fce9b7300002336/5fce9b7300002337	GO:0004888	transmembrane signaling receptor activity			GO:0009986	cell surface
UniProtKB:O75594	PGLYRP1 Hsap	5fce9b7300002336	SPModule-TREM1-DAP12	NCBITaxon:9606	gomodel:5fce9b7300002336/5fce9b7300002340	GO:0048018	receptor ligand activity			GO:0005576	extracellular region
UniProtKB:P43405	SYK Hsap	5fce9b7300002336	SPModule-TREM1-DAP12	NCBITaxon:9606	gomodel:5fce9b7300002336/5fce9b7300002367	GO:0016301	kinase activity				
UniProtKB:O43914	TYROBP Hsap	5fce9b7300002336	SPModule-TREM1-DAP12	NCBITaxon:9606	gomodel:5fce9b7300002336/5fce9b7300002369	GO:0060090	molecular adaptor activity			GO:0009986	cell surface
UniProtKB:Q9NP99-2	TREM1 Hsap	5fce9b7300002336	SPModule-TREM1-DAP12	NCBITaxon:9606	gomodel:5fce9b7300002336/5fce9b7300002425	GO:0140319	receptor decoy activity			GO:0005576	extracellular region
UniProtKB:P0DMV8	HSPA1A Hsap	5fce9b7300002336	SPModule-TREM1-DAP12	NCBITaxon:9606	gomodel:5fce9b7300002336/5fce9b7300002346	GO:0048018	receptor ligand activity			GO:0005576	extracellular region
UniProtKB:P09429	HMGB1 Hsap	5fce9b7300002336	SPModule-TREM1-DAP12	NCBITaxon:9606	gomodel:5fce9b7300002336/5fce9b7300002343	GO:0048018	receptor ligand activity			GO:0005576	extracellular region
UniProtKB:Q9NZC2	TREM2 Hsap	5fce9b7300002436	TREM2 activated by APP	NCBITaxon:9606	gomodel:5fce9b7300002436/6606056e00000823	GO:0004888	transmembrane signaling receptor activity	GO:1904646	cellular response to amyloid-beta	GO:0005886	plasma membrane
UniProtKB:O43914	TYROBP Hsap	5fce9b7300002436	TREM2 activated by APP	NCBITaxon:9606	gomodel:5fce9b7300002436/6606056e00000837	GO:0030674	protein-macromolecule adaptor activity	GO:1904646	cellular response to amyloid-beta	GO:0005886	plasma membrane
UniProtKB:P43405	SYK Hsap	5fce9b7300002436	TREM2 activated by APP	NCBITaxon:9606	gomodel:5fce9b7300002436/6606056e00000849	GO:0004713	protein tyrosine kinase activity	GO:1904646	cellular response to amyloid-beta	GO:0005737	cytoplasm
UniProtKB:P05067	APP Hsap	5fce9b7300002436	TREM2 activated by APP	NCBITaxon:9606	gomodel:5fce9b7300002436/5fce9b7300002443	GO:0048018	receptor ligand activity	GO:1904646	cellular response to amyloid-beta	GO:0005576	extracellular region
UniProtKB:Q13705	ACVR2B Hsap	600ced8500002343	BMP9 signaling pathway (Human)	NCBITaxon:9606	gomodel:600ced8500002343/600ced8500002422	GO:0016362	activin receptor activity, type II	GO:0030509	BMP signaling pathway	GO:0005886	plasma membrane
UniProtKB:Q9UK05	GDF2 Hsap	600ced8500002343	BMP9 signaling pathway (Human)	NCBITaxon:9606	gomodel:600ced8500002343/600ced8500002344	GO:0008083	growth factor activity	GO:0030509	BMP signaling pathway	GO:0005576	extracellular region
UniProtKB:P37023	ACVRL1 Hsap	600ced8500002343	BMP9 signaling pathway (Human)	NCBITaxon:9606	gomodel:600ced8500002343/600ced8500002350	GO:0016361	activin receptor activity, type I	GO:0030509	BMP signaling pathway	GO:0005886	plasma membrane
UniProtKB:Q15797	SMAD1 Hsap	600ced8500002343	BMP9 signaling pathway (Human)	NCBITaxon:9606	gomodel:600ced8500002343/6446bfcb00001798	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	GO:0030509	BMP signaling pathway	GO:0000785	chromatin
UniProtKB:Q13873	BMPR2 Hsap	600ced8500002343	BMP9 signaling pathway (Human)	NCBITaxon:9606	gomodel:600ced8500002343/6446bfcb00001790	GO:0016362	activin receptor activity, type II	GO:0030509	BMP signaling pathway	GO:0005886	plasma membrane
MGI:MGI:3647519	Urad Mmus	60418ffa00000327	Xanthine catabolic process (Mouse)	NCBITaxon:10090	gomodel:60418ffa00000327/60418ffa00000348	GO:0051997	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity	GO:0009115	xanthine catabolic process	GO:0005777	peroxisome
MGI:MGI:98973	Xdh Mmus	60418ffa00000327	Xanthine catabolic process (Mouse)	NCBITaxon:10090	gomodel:60418ffa00000327/60418ffa00000329	GO:0004855	xanthine oxidase activity	GO:0009115	xanthine catabolic process	GO:0005829	cytosol
MGI:MGI:98973	Xdh Mmus	60418ffa00000327	Xanthine catabolic process (Mouse)	NCBITaxon:10090	gomodel:60418ffa00000327/60418ffa00000337	GO:0004854	xanthine dehydrogenase activity	GO:0009115	xanthine catabolic process	GO:0005829	cytosol
MGI:MGI:1916142	Urah Mmus	60418ffa00000327	Xanthine catabolic process (Mouse)	NCBITaxon:10090	gomodel:60418ffa00000327/60418ffa00000347	GO:0033971	hydroxyisourate hydrolase activity	GO:0009115	xanthine catabolic process	GO:0005777	peroxisome
MGI:MGI:98907	Uox Mmus	60418ffa00000327	Xanthine catabolic process (Mouse)	NCBITaxon:10090	gomodel:60418ffa00000327/60418ffa00000346	GO:0004846	urate oxidase activity	GO:0009115	xanthine catabolic process	GO:0005777	peroxisome
MGI:MGI:98973	Xdh Mmus	60418ffa00000327	Xanthine catabolic process (Mouse)	NCBITaxon:10090	gomodel:60418ffa00000327/60418ffa00000341	GO:0004855	xanthine oxidase activity	GO:0009115	xanthine catabolic process	GO:0005777	peroxisome
MGI:MGI:97365	Pnp Mmus	60418ffa00000414	Adenosine catabolic process (Mouse)	NCBITaxon:10090	gomodel:60418ffa00000414/60418ffa00000422	GO:0004731	purine-nucleoside phosphorylase activity	GO:0006154	adenosine catabolic process	GO:0005829	cytosol
MGI:MGI:98973	Xdh Mmus	60418ffa00000414	Adenosine catabolic process (Mouse)	NCBITaxon:10090	gomodel:60418ffa00000414/60418ffa00000443	GO:0004855	xanthine oxidase activity	GO:0006154	adenosine catabolic process	GO:0005829	cytosol
MGI:MGI:98907	Uox Mmus	60418ffa00000414	Adenosine catabolic process (Mouse)	NCBITaxon:10090	gomodel:60418ffa00000414/60418ffa00000448	GO:0004846	urate oxidase activity	GO:0006154	adenosine catabolic process	GO:0005777	peroxisome
MGI:MGI:98973	Xdh Mmus	60418ffa00000414	Adenosine catabolic process (Mouse)	NCBITaxon:10090	gomodel:60418ffa00000414/60418ffa00000431	GO:0070674	hypoxanthine dehydrogenase activity	GO:0006154	adenosine catabolic process	GO:0005829	cytosol
MGI:MGI:98973	Xdh Mmus	60418ffa00000414	Adenosine catabolic process (Mouse)	NCBITaxon:10090	gomodel:60418ffa00000414/60418ffa00000435	GO:0070675	hypoxanthine oxidase activity	GO:0006154	adenosine catabolic process	GO:0005829	cytosol
MGI:MGI:3647519	Urad Mmus	60418ffa00000414	Adenosine catabolic process (Mouse)	NCBITaxon:10090	gomodel:60418ffa00000414/60418ffa00000452	GO:0051997	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity	GO:0006154	adenosine catabolic process	GO:0005777	peroxisome
MGI:MGI:98973	Xdh Mmus	60418ffa00000414	Adenosine catabolic process (Mouse)	NCBITaxon:10090	gomodel:60418ffa00000414/60418ffa00000446	GO:0004854	xanthine dehydrogenase activity	GO:0006154	adenosine catabolic process	GO:0005829	cytosol
MGI:MGI:98973	Xdh Mmus	60418ffa00000414	Adenosine catabolic process (Mouse)	NCBITaxon:10090	gomodel:60418ffa00000414/60418ffa00000437	GO:0004855	xanthine oxidase activity	GO:0006154	adenosine catabolic process	GO:0005777	peroxisome
