#gene_systematic_id	gene_name	aspect	term_id	term_name	reference	evidence	extension	comment
SPAC1002.03c	gls2	molecular_function	GO:0106407	Glc2Man9GlcNAc2 oligosaccharide glucosidase activity	PMID:19605557	IDA		
SPAC25B8.01	dap1	molecular_function	GO:0008047	enzyme activator activity	PMID:17276356	IMP	has_input(PomBase:SPAC13A11.02c)	These data demonstrate that Dap1 is required in vivo for the activity of Erg11 and Erg5, the entire complement of cytochrome P450 enzymes in fission yeast.
SPAC25B8.01	dap1	molecular_function	GO:0008047	enzyme activator activity	PMID:17276356	IMP	has_input(PomBase:SPAC19A8.04)	These data demonstrate that Dap1 is required in vivo for the activity of Erg11 and Erg5, the entire complement of cytochrome P450 enzymes in fission yeast.
SPAC25B8.01	dap1	molecular_function	GO:0020037	heme binding	PMID:17276356	IMP	has_input(PomBase:SPAC19A8.04)	These data demonstrate that Dap1 is required in vivo for the activity of Erg11 and Erg5, the entire complement of cytochrome P450 enzymes in fission yeast.
SPAC25B8.02	sds3	cellular_component	GO:0000785	chromatin	PMID:25002536	IDA	coincident_with(SO:0000286)	
SPAC25B8.02	sds3	cellular_component	GO:0000785	chromatin	PMID:25002536	IDA	coincident_with(SO:0001263)	
SPAC25B8.02	sds3	cellular_component	GO:0033698	Rpd3L complex	PMID:37076472	IDA		(Figure 1)
SPAC25B8.04c	mss51	cellular_component	GO:0031966	mitochondrial membrane	PMID:22349564	IDA		The tagged Mss51 was detected only in the mitochondrial fraction and like Cox2 was strongly resistant to carbonate extraction (Figure 4A), indicating that it is a membrane protein.
SPAC25B8.05	deg1	molecular_function	GO:0160147	tRNA pseudouridine(38-40) synthase activity	PMID:40829803	EXP		Deg1,whichisthedirecthomolog of Deg1/Pus3 from S. cerevisiae and humans, modifies posi- tions 38,39,and40 in the anticodon stem
SPAC25B8.14	mal2	cellular_component	GO:0000779	condensed chromosome, centromeric region	PMID:17035632	IDA	exists_during(GO:0051329)	18 proteins were localized at the centromere throughout the mitotic cell cycle (Table 2; group 1)
SPAC25B8.14	mal2	cellular_component	GO:0000779	condensed chromosome, centromeric region	PMID:17035632	IDA	exists_during(GO:0000087)	18 proteins were localized at the centromere throughout the mitotic cell cycle (Table 2; group 1)
SPAC25B8.14	mal2	cellular_component	GO:0000779	condensed chromosome, centromeric region	PMID:17035632	IDA	exists_during(GO:0007128)	Proteins of the Mis6-like group remained at the centromere throughout meiosis (Figure 2B), whereas those of the NMS group disappeared from the centromere or their presence was significantly reduced, during meiotic prophase (Figure 3).
SPAC25B8.14	mal2	cellular_component	GO:0000779	condensed chromosome, centromeric region	PMID:17035632	IDA	exists_during(GO:0007132)	Proteins of the Mis6-like group remained at the centromere throughout meiosis (Figure 2B), whereas those of the NMS group disappeared from the centromere or their presence was significantly reduced, during meiotic prophase (Figure 3).
SPAC25B8.19c	loz1	cellular_component	GO:0005634	nucleus	PMID:24003116	IDA		
SPAC25B8.19c	loz1	biological_process	GO:0000122	negative regulation of transcription by RNA polymerase II	PMID:24003116	IMP	part_of(GO:0071294)	
SPAC25B8.19c	loz1	molecular_function	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	PMID:31239353	EXP	has_input(PomBase:SPBC14F5.13c),part_of(GO:0071294)	
SPAC25B8.19c	loz1	molecular_function	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	PMID:31515876	EXP	happens_during(GO:0071294),has_input(PomBase:SPNCRNA.1710),part_of(GO:0000122)	deletion of loz1 leads to increased expression of this transcript in high zinc growth conditions (inferred from RNA seq analysis - see Table 1).
SPAC25B8.19c	loz1	molecular_function	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	PMID:31515876	EXP	happens_during(GO:0071294),has_input(PomBase:SPAC5H10.06c),part_of(GO:0000122)	deletion of loz1 leads to increased expression of this transcript in high zinc growth conditions (inferred from RNA seq analysis - see Table 1).
SPAC25B8.19c	loz1	molecular_function	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	PMID:31515876	EXP	happens_during(GO:0071294),has_input(PomBase:SPBC16D10.06),part_of(GO:0000122)	ChIP-seq, RNA-seq and northern blot analysis demonstrate that this transcript is repressed in high zinc in a manner that is dependent upon Loz1 (Table 1, Figure 3B and 3C)
SPAC25B8.19c	loz1	molecular_function	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	PMID:31515876	EXP	happens_during(GO:0071294),has_input(PomBase:SPBC1348.06c),part_of(GO:0000122)	ChIP-seq, RNA-seq and reporter gene analysis demonstrate that this transcript is repressed in high zinc in a manner that is dependent upon Loz1 (Table 1, Figure 4)
SPAC25B8.19c	loz1	molecular_function	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	PMID:31515876	EXP	happens_during(GO:0071294),has_input(PomBase:SPBPB2B2.15),part_of(GO:0000122)	deletion of loz1 leads to increased expression of this transcript in high zinc growth conditions (inferred from RNA seq analysis - see Table 1).
SPAC25B8.19c	loz1	molecular_function	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	PMID:31515876	IDA	happens_during(GO:0071294),has_input(PomBase:SPAC977.16c),part_of(GO:0000122)	ChIP-seq, RNA-seq and northern blot analysis demonstrate that this transcript is repressed in high zinc in a manner that is dependent upon Loz1 (Table 1, Figure 3B and 3C)
SPAC25B8.19c	loz1	molecular_function	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	PMID:31515876	IDA	happens_during(GO:0071294),has_input(PomBase:SPCC576.03c),part_of(GO:0000122)	ChIP-seq, RNA-seq and northern blot analysis demonstrate that this transcript is repressed in high zinc in a manner that is dependent upon Loz1 (Table 1, Figure 3B and 3C)
SPAC25B8.19c	loz1	molecular_function	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	PMID:31515876	IDA	happens_during(GO:0071294),has_input(PomBase:SPAC2E1P3.05c),part_of(GO:0000122)	ChIP-seq, RNA-seq and northern blot analysis demonstrate that this transcript is repressed in high zinc in a manner that is dependent upon Loz1 (Table 1, Figure 3B and 3C)
SPAC25B8.19c	loz1	molecular_function	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	PMID:31515876	IDA	happens_during(GO:0071294),has_input(PomBase:SPCC569.05c),part_of(GO:0000122)	ChIP-seq, RNA-seq and northern blot analysis demonstrate that this transcript is repressed in high zinc in a manner that is dependent upon Loz1 (Table 1, Figure 3B and 3C)
SPAC25B8.19c	loz1	molecular_function	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	PMID:31515876	IDA	happens_during(GO:0071294),has_input(PomBase:SPAC1F12.10c),part_of(GO:0000122)	ChIP-seq, RNA-seq and northern blot analysis demonstrate that this transcript is repressed in high zinc in a manner that is dependent upon Loz1 (Table 1, Figure 3B and 3C)
SPAC25B8.19c	loz1	molecular_function	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	PMID:24003116	IDA	occurs_at(SO:0002006)	.
SPAC25B8.19c	loz1	molecular_function	GO:0043565	sequence-specific DNA binding	PMID:31515876	IDA	happens_during(GO:0071294)	Mutagenesis of 3 Loz1 response elements in the SPBC1348.06c promoter resulted in the promoter no longer being repressed in high zinc in a manner that is dependent upon Loz1 (see Figure 4). The minimal Loz1 DNA binding domain (amino acids 426-522) also binds to this motif in vitro (supplemental Fig 2), and multiple copies of this element are able to confer Loz1-mediated gene repression in a minimal reporter system - see Figure 6)
SPAC25G10.02	cce1	molecular_function	GO:0008821	crossover junction DNA endonuclease activity	PMID:9325108	IDA		
SPAC25G10.02	cce1	molecular_function	GO:0070336	flap-structured DNA binding	PMID:9857040	IDA		
SPAC25G10.02	cce1	molecular_function	GO:0000403	Y-form DNA binding	PMID:9857040	IDA		
SPAC25G10.03	zip1	molecular_function	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	PMID:39747188	EXP	occurs_in(GO:0000791),part_of(GO:0010468)	
SPAC25G10.07c	cut7	cellular_component	GO:0000776	kinetochore	PMID:26258632	IDA	exists_during(GO:0000089)	(Fig. 2D)
SPAC25G10.07c	cut7	cellular_component	GO:0090619	meiotic spindle pole	PMID:32327557	IDA	exists_during(GO:0098764)	(Fig. 3)
SPAC25G10.07c	cut7	cellular_component	GO:0044732	mitotic spindle pole body	PMID:1538784	IDA		
SPAC25G10.07c	cut7	cellular_component	GO:0005827	polar microtubule	PMID:32327557	IDA	exists_during(GO:0098764)	(Fig. 3)
SPAC25G10.07c	cut7	biological_process	GO:0061805	mitotic spindle elongation (spindle phase three)	PMID:28513584	IMP		
SPAC25G10.07c	cut7	molecular_function	GO:0008017	microtubule binding	PMID:30659798	IDA		(Fig. 2)
SPAC25G10.07c	cut7	molecular_function	GO:0003777	microtubule motor activity	PMID:30659798	IDA		(Fig. 2f)
SPAC25G10.08	tif302	cellular_component	GO:0010494	cytoplasmic stress granule	PMID:20547592	IDA	exists_during(GO:0034605)	(Figure 6E)
SPAC25H1.03	atg101	molecular_function	GO:0005515	protein binding	PMID:28976798	IPI		(Fig. 1)
SPAC25H1.06	pcf3	biological_process	GO:1990426	mitotic recombination-dependent replication fork processing	PMID:25313826	IDA		the CAF-1 complex promotes Replication-coupled homologous recombination at blocked replication forks.
SPAC26A3.04	rpl2002	cellular_component	GO:0030684	preribosome	PMID:36423630	IDA		The structure of state 1 shows an early assembly intermediate with 23 ribosomal proteins and 19 biogenesis factors (Figure 2A; Table S2).
SPAC26A3.05	chc1	biological_process	GO:0099638	endosome to plasma membrane protein transport	PMID:22848669	IMP		Thus, GFP-Ecm33 localized at Golgi/endosome structures in addition to the cell surface and the division site in these mutants, suggesting that GPI-anchored proteins were not correctly transported and were retained at the Golgi/endosome structures in these membrane trafficking mutants
SPAC26A3.08	smb1	cellular_component	GO:0005686	U2 snRNP	PMID:24014766	IDA		(Table 1)
SPAC26A3.08	smb1	cellular_component	GO:0005682	U5 snRNP	PMID:24014766	IDA		(Table 1)
SPAC26A3.08	smb1	biological_process	GO:0045292	mRNA cis splicing, via spliceosome	PMID:24014766	IMP		1,193 introns (of 5,361 possible introns) whose splicing efficiency was significantly compromised in the mutant.
SPAC26A3.12c	dhp1	biological_process	GO:0000956	nuclear-transcribed mRNA catabolic process	PMID:34352089	EXP		inferred from association with prremature termination sites
SPAC26A3.12c	dhp1	biological_process	GO:0180037	rapid tRNA decay	PMID:35901126	EXP		The discovery of dhp1 and tol1 mutations as suppressors of the S. pombe trm6Δ temperature sensitivity demonstrates the involvement of the RTD pathway in decay of tRNAiMet(CAU) lacking m1A58 in S. pombe.
SPAC26A3.14c	atg44	cellular_component	GO:0005758	mitochondrial intermembrane space	PMID:37192628	IDA		Based on these results, we conclude that Atg44 localizes in the IMS and is not a transmembrane protein.
SPAC26A3.14c	atg44	biological_process	GO:0000266	mitochondrial fission	PMID:37540145	IMP		Thus, our data indicate that Mdi1 plays a conserved role as a profission factor that is not required for Dnm1 recruitment but is required to facilitate the completion of mitochondrial division. Fig 4
SPAC26A3.14c	atg44	molecular_function	GO:0008289	lipid binding	PMID:37192628	EXP		Atg44 binds to lipid membranes in vitro (Figures 5A and 5E), and the cryo-EM and HS-AFM analyses (Figures 5F-5I) suggest that Atg44 tends to bind to lipid membranes with high curvature.
SPAC26A3.14c	atg44	molecular_function	GO:0140912	membrane destabilizing activity	PMID:37192628	EXP	part_of(GO:0000423)	Unexpectedly, we noticed that addition of Sp-Atg44 caused fragmentation of lipid bilayers on the mica (compare Figures 7B and 7C), and the fragmented lipid bilayers abundant with Sp-Atg44 underwent division and fusion (Figure 7D; Video S6). These observations suggest that Sp-Atg44 has the ability to cause membrane fragility through physical interaction.
SPAC26H5.03	pcf2	biological_process	GO:1990426	mitotic recombination-dependent replication fork processing	PMID:25313826	IDA		the CAF-1 complex promotes Replication-coupled homologous recombination at blocked replication forks.
SPAC26H5.06	pot1	cellular_component	GO:0140445	chromosome, telomeric repeat region	PMID:19214192	IDA		
SPAC26H5.08c	bgl2	cellular_component	GO:0005576	extracellular region	PMID:39660919	IDA	exists_during(GO:0016036)	A list of the 13 most abundant secreted proteins detected in the medium of phosphate-starved fission yeast cells is compiled in Fig. 2A
SPAC27D7.03c	mei2	cellular_component	GO:0000228	nuclear chromosome	PMID:12808043	IDA	exists_during(GO:0007127)	
SPAC27D7.03c	mei2	cellular_component	GO:0005634	nucleus	PMID:9778252	IDA	exists_during(GO:0000747)	Precise observation revealed that Mei2p dots could be visible in conjugating cells that completed cell fusion but did not undergo karyogamy yet.
SPAC27D7.03c	mei2	biological_process	GO:0051728	cell cycle switching, mitotic to meiotic cell cycle	PMID:9062192	IMP		
SPAC27D7.03c	mei2	molecular_function	GO:0008266	poly(U) RNA binding	PMID:35512546	IPI		
SPAC27D7.03c	mei2	molecular_function	GO:0140311	protein sequestering activity	PMID:16823445	EXP	happens_during(GO:0072690),has_input(PomBase:SPCC736.12c),occurs_in(GO:0033620),part_of(GO:0120272)	We propose that Mei2 turns off the DSR-Mmi1 system by sequestering Mmi1 to the dot and thereby secures stable expression of meiosis-specific transcripts (Abstract).
SPAC27D7.05c	apc14	biological_process	GO:0031145	anaphase-promoting complex-dependent catabolic process	PMID:28366744	EXP		
SPAC27D7.07c	smd1	cellular_component	GO:0005686	U2 snRNP	PMID:24014766	IDA		(Table 1)
SPAC27D7.07c	smd1	cellular_component	GO:0005682	U5 snRNP	PMID:24014766	IDA		(Table 1)
SPAC27D7.13c	ssm4	cellular_component	GO:1903754	cortical microtubule plus-end	PMID:25736293	IDA		(Fig. 5C)
SPAC27D7.13c	ssm4	cellular_component	GO:0035974	meiotic spindle pole body	PMID:25736293	IDA		(Fig. 5C)
SPAC27D7.13c	ssm4	molecular_function	GO:0005515	protein binding	PMID:25736293	IPI		(Figure S2)
SPAC27D7.13c	ssm4	molecular_function	GO:0005515	protein binding	PMID:25736293	IPI		(Figure S2)
SPAC27D7.13c	ssm4	molecular_function	GO:0005515	protein binding	PMID:15509865	IPI		(Fig. 3B)
SPAC27D7.13c	ssm4	molecular_function	GO:0005515	protein binding	PMID:15509865	IPI		(Fig. 3C)
SPAC27F1.02c	cdc8	cellular_component	GO:0005884	actin filament	PMID:20807799	IDA	exists_during(GO:0051329)	
SPAC27F1.02c	cdc8	cellular_component	GO:0110085	mitotic actomyosin contractile ring	PMID:14602073	IDA		
SPAC27F1.02c	cdc8	cellular_component	GO:0110085	mitotic actomyosin contractile ring	PMID:20807799	IDA	exists_during(GO:0000087)	
SPAC27F1.02c	cdc8	biological_process	GO:1904530	negative regulation of actin filament binding	PMID:17452625	IDA		
SPAC27F1.02c	cdc8	molecular_function	GO:0098772	molecular function regulator activity	PMID:12796476	IDA	has_input(PomBase:SPAC1F5.04c)	
SPAC27F1.03c	uch1	molecular_function	GO:0019784	deNEDDylase activity	PMID:23496905	IDA	has_input(PomBase:SPBC12D12.08c),part_of(GO:0000338)	(Figure 3)
SPAC27F1.04c	nuf2	cellular_component	GO:0000779	condensed chromosome, centromeric region	PMID:17035632	IDA	exists_during(GO:0051329)	18 proteins were localized at the centromere throughout the mitotic cell cycle (Table 2; group 1)
SPAC27F1.04c	nuf2	cellular_component	GO:0000779	condensed chromosome, centromeric region	PMID:17035632	IDA	exists_during(GO:0000087)	18 proteins were localized at the centromere throughout the mitotic cell cycle (Table 2; group 1)
SPAC27F1.04c	nuf2	cellular_component	GO:0000779	condensed chromosome, centromeric region	PMID:17035632	IDA	exists_during(GO:0007132)	whereas those of the NMS group disappeared from the centromere or their presence was significantly reduced, during meiotic prophase (Figure 3).
SPAC27F1.04c	nuf2	cellular_component	GO:0000776	kinetochore	PMID:11685532	IDA		
SPAC27F1.04c	nuf2	biological_process	GO:0140456	initial meiotic spindle pole body separation	PMID:31532702	IDA	happens_during(GO:0098764)	meiotic . The Nuf2-containing kinetochore complex serves as a physical fulcrum for microtubule-dependent SPB separation
SPAC27F1.04c	nuf2	biological_process	GO:0000073	initial mitotic spindle pole body separation	PMID:31532702	IDA		The Nuf2-containing kinetochore complex serves as a physical fulcrum for microtubule-dependent SPB separation
SPAC27F1.04c	nuf2	biological_process	GO:1990571	meiotic centromere clustering	PMID:23770679	IMP		The Alp7-Alp14 complex localises to kinetochores prior to meiosis I independently of microtubules, which does not seem to occur in mitosis.
SPAC27F1.04c	nuf2	molecular_function	GO:0140483	kinetochore adaptor activity	PMID:23770679	IPI	has_input(PR:000050515),occurs_in(GO:0000776),part_of(GO:1990571)	The Nuf2 complex interacts with the Alp7-Alp14 complex phosphorylated by the polo kinase Plo1
SPAC27F1.06c	ani2	cellular_component	GO:0000785	chromatin	PMID:36423630	IDA		By contrast, Fkbp41 is found primarily in the insoluble chromatin fraction (Figure S1C).
SPAC27F1.06c	ani2	cellular_component	GO:0030874	nucleolar chromatin	PMID:36423630	EXP	coincident_with(SO:0002242)	We found that chromatin-associated Fkbp39 and Fkbp41 predominately localized to the rDNA locus, similar to previous observations on budding yeast and mammalian nucleophosmins,20-23 but our ChIP-seq data also revealed a strong enrichment at the 25S rDNA, which had not been described before (Figures 1A, 1B, and S1D).
SPAC27F1.06c	ani2	cellular_component	GO:0030684	preribosome	PMID:36423630	IDA		The structure of state 1 shows an early assembly intermediate with 23 ribosomal proteins and 19 biogenesis factors (Figure 2A; Table S2).
SPAC27F1.06c	ani2	molecular_function	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	PMID:29194511	EXP	has_input(PomBase:SPBC1105.17)	(Figure 3E-F, Supplementary Figure 8 C-D)
SPAC27F1.07	ost1	cellular_component	GO:0032541	cortical endoplasmic reticulum	PMID:18184749	IDA		(Supp. Fig. 1A)
SPAC27F1.07	ost1	cellular_component	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	PMID:18184749	IDA		(Supp. Fig. 1A)
SPAC27F1.09c	prp10	cellular_component	GO:0005686	U2 snRNP	PMID:24014766	IDA		(Table 1)
SPAC29A4.05	cam2	cellular_component	GO:0051285	cell cortex of cell tip	PMID:37531259	EXP		(Figure 1C)
SPAC29A4.08c	prp19	cellular_component	GO:0000974	Prp19 complex	PMID:24014766	IDA		(Table 1)
SPAC29A4.10	rrn5	cellular_component	GO:0005730	nucleolus	PMID:17538026	IDA		(Fig. 3a)
SPAC29A4.18	prw1	cellular_component	GO:0005634	nucleus	PMID:12773392	IDA		Our analyses showed that all four proteins were localized predominantly in the nucleus on chromatin but excluded from the nucleolus (Figure 4A and B).
SPAC29A4.18	prw1	cellular_component	GO:0033698	Rpd3L complex	PMID:37076472	IDA		(Figure 1)
SPAC29A4.18	prw1	cellular_component	GO:0032221	Rpd3S complex	PMID:12773392	IDA		Identi®cation of Clr6-associated proteins, (Figure 1B)/Alp13, Prw1 and Pst2 are stably associated with Clr6 in vivo (Figure 3A)
SPAC29A4.18	prw1	cellular_component	GO:0032221	Rpd3S complex	PMID:37076472	IDA		(Figure 3)
SPAC29A4.18	prw1	cellular_component	GO:0032221	Rpd3S complex	PMID:37459529	IDA		The structure shows that Pst2, Clr6, and Prw1, a WD40-containing subunit, form a subcomplex, within which Pst2 associates with the catalytic subunit Clr6, as well as interacting with Prw1 (Fig. 2C)
SPAC29B12.01	ino80	cellular_component	GO:0000785	chromatin	PMID:30134042	IDA	coincident_with(SO:0001855)	
SPAC29B12.02c	set2	biological_process	GO:0140673	transcription elongation-coupled chromatin remodeling	PMID:16087749	EXP		. No unmodifiedPol II could be detected in these immunoprecipitates, althoughunmodified Pol II could be readily detected in the input extracts. These data demonstrate that SpSet2 is associated withthe elongating form of Pol II in S. pombe.
SPAC29B12.02c	set2	molecular_function	GO:0140954	histone H3K36 dimethyltransferase activity	PMID:16087749	EXP	has_input(PomBase:SPAC1834.04),part_of(GO:0140673)	The results revealed that histone H3 was the only histone methylated (Fig. 3B).
SPAC29B12.02c	set2	molecular_function	GO:0140954	histone H3K36 dimethyltransferase activity	PMID:16087749	IDA	has_input(PomBase:SPBC8D2.04),part_of(GO:0140673)	The results revealed that histone H3 was the only histone methylated (Fig. 3B).
SPAC29B12.02c	set2	molecular_function	GO:0140954	histone H3K36 dimethyltransferase activity	PMID:16087749	IDA	has_input(PomBase:SPBC1105.11c),part_of(GO:0140673)	The results revealed that histone H3 was the only histone methylated (Fig. 3B).
SPAC29B12.02c	set2	molecular_function	GO:0140955	histone H3K36 trimethyltransferase activity	PMID:16087749	EXP	has_input(PomBase:SPAC1834.04),part_of(GO:0140673)	As shown in Fig. Fig. 2D,3D, SpSet2 was able to methylate an H3 peptide of residues 27 to 45, but not that of an H3 N-terminal peptide (residues 1 to 20). These data demonstrate that SpSet2 is a robust nucleosome-selective HMT specific for K36 methylation.
SPAC29B12.02c	set2	molecular_function	GO:0140955	histone H3K36 trimethyltransferase activity	PMID:16087749	IDA	has_input(PomBase:SPBC8D2.04),part_of(GO:0140673)	As shown in Fig. Fig. 2D,3D, SpSet2 was able to methylate an H3 peptide of residues 27 to 45, but not that of an H3 N-terminal peptide (residues 1 to 20). These data demonstrate that SpSet2 is a robust nucleosome-selective HMT specific for K36 methylation.
SPAC29B12.02c	set2	molecular_function	GO:0140955	histone H3K36 trimethyltransferase activity	PMID:16087749	IDA	has_input(PomBase:SPBC1105.11c),part_of(GO:0140673)	As shown in Fig. Fig. 2D,3D, SpSet2 was able to methylate an H3 peptide of residues 27 to 45, but not that of an H3 N-terminal peptide (residues 1 to 20). These data demonstrate that SpSet2 is a robust nucleosome-selective HMT specific for K36 methylation.
SPAC29B12.06c	rcd1	cellular_component	GO:0030014	CCR4-NOT complex	PMID:27851962	IDA		(Figure 1)
SPAC29B12.10c	pgt1	molecular_function	GO:0034634	glutathione transmembrane transporter activity	PMID:18662319	IDA		
SPAC29E6.04	nnf1	cellular_component	GO:0000779	condensed chromosome, centromeric region	PMID:17035632	IDA	exists_during(GO:0051329)	18 proteins were localized at the centromere throughout the mitotic cell cycle (Table 2; group 1)
SPAC29E6.04	nnf1	cellular_component	GO:0000779	condensed chromosome, centromeric region	PMID:17035632	IDA	exists_during(GO:0000087)	18 proteins were localized at the centromere throughout the mitotic cell cycle (Table 2; group 1)
SPAC29E6.04	nnf1	cellular_component	GO:0000779	condensed chromosome, centromeric region	PMID:17035632	IDA	exists_during(GO:0007132)	whereas those of the NMS group disappeared from the centromere or their presence was significantly reduced, during meiotic prophase (Figure 3).
SPAC29E6.04	nnf1	cellular_component	GO:0000940	outer kinetochore	PMID:36705602	IDA	exists_during(GO:0000087)	(Figure 3) summarizes data
SPAC2C4.03c	smd2	cellular_component	GO:0005686	U2 snRNP	PMID:24014766	IDA		(Table 1)
SPAC2C4.03c	smd2	cellular_component	GO:0005682	U5 snRNP	PMID:24014766	IDA		(Table 1)
SPAC2C4.07c	dis32	biological_process	GO:1990074	polyuridylation-dependent mRNA catabolic process	PMID:39333464	IGI		(Fig. 5)
SPAC2C4.14c	ppk11	cellular_component	GO:0032153	cell division site	PMID:20826805	IDA	exists_during(GO:0000092)	
SPAC2C4.14c	ppk11	cellular_component	GO:0032153	cell division site	PMID:20826805	IDA	exists_during(GO:0000281)	
SPAC2C4.14c	ppk11	biological_process	GO:2000100	regulation of establishment or maintenance of bipolar cell polarity regulating cell shape	PMID:20826805	IPI		
SPAC2C4.14c	ppk11	biological_process	GO:2000100	regulation of establishment or maintenance of bipolar cell polarity regulating cell shape	PMID:20826805	IGI		
SPAC2C4.14c	ppk11	biological_process	GO:0000920	septum digestion after cytokinesis	PMID:20826805	IGI		
SPAC2C4.17c	msy2	cellular_component	GO:0005886	plasma membrane	PMID:40629316	IDA		Using scs2Δscs22Δ background where the cortical ER (cER) indicated by the luminal ER marker mCherry-ADEL [28] is largely detached from the PM [16], we confirmed that a considerable portion of Msy2 and Msy1 localized to the PM of the protoplasts (Fig. 1E).
SPAC2C4.17c	msy2	molecular_function	GO:0015275	stretch-activated, monoatomic cation-selective, calcium channel activity	PMID:40629316	EXP	happens_during(GO:0071476)	Taken together, our results suggest that extracellular Ca2+influx controlled by MscS-like mechanosensitive channels is
SPAC2F3.01	imt1	cellular_component	GO:0005802	trans-Golgi network	PMID:20388730	IDA		These results indicate that all three Imt-GFP fusion proteins primarily localize to the Golgi and trans-Golgi network, similar to S. cerevisiae Sur1p (Lisman et al., 2004).
SPAC2F3.01	imt1	biological_process	GO:0051999	mannosyl-inositol phosphorylceramide biosynthetic process	PMID:20388730	IMP		MIPC was not detected, IPC had accumulated and one unidentified sphingolipid spot was observed (Fig. 2A). These results indicate that all three imt genes are required for MIPC synthesis and that MIPC was not produced in imt1imt2imt3 disruptant mutants.
SPAC2F3.13c	qtr2	biological_process	GO:1990145	maintenance of translational fidelity	PMID:30715423	EXP		... Q-modification in tRNAs is to improve translation ofC-ending codons relative to U-ending codons in S. pombe.
SPAC2F3.15	lsk1	molecular_function	GO:0008353	RNA polymerase II CTD heptapeptide repeat kinase activity	PMID:22144909	IMP	has_input(PomBase:SPBC28F2.12),part_of(GO:0006357),part_of(GO:1900237)	
SPAC2F3.15	lsk1	molecular_function	GO:0140834	RNA polymerase II CTD heptapeptide repeat S2 kinase activity	PMID:23122962	IMP	has_input(PomBase:SPBC28F2.12)	in contrast to Mcs6 (the Cdk7 ortholog), which readily phosphorylated the GST-CTD fusion in vitro (Figure 1E) (Drogat and Hermand, 2012)
SPAC2F3.15	lsk1	molecular_function	GO:0140834	RNA polymerase II CTD heptapeptide repeat S2 kinase activity	PMID:19328067	IMP	has_input(PomBase:SPBC28F2.12),part_of(GO:0160199)	
SPAC2F7.03c	pom1	cellular_component	GO:0051285	cell cortex of cell tip	PMID:21703453	IDA		
SPAC2F7.03c	pom1	cellular_component	GO:0051285	cell cortex of cell tip	PMID:19474792	IDA		(Supplementary Fig. 2)
SPAC2F7.03c	pom1	cellular_component	GO:0032153	cell division site	PMID:24047646	EXP	exists_during(GO:0051329)	(Fig. 1)
SPAC2F7.03c	pom1	cellular_component	GO:0051286	cell tip	PMID:24047646	EXP	exists_during(GO:0000087),exists_during(GO:0051329)	(Fig. 1)
SPAC2F7.03c	pom1	cellular_component	GO:0005886	plasma membrane	PMID:21703453	EXP		recombinant Pom1 N-terminus (MBP-Pom11-699) was able to bind directly to several, but not all, negatively charged lipids, namely phosphatidylserine, phosphatidylinositol phosphates, and cardiolipin in a protein-lipid overlay assay (Figure 2D). Phosphatidylserine and phosphatidylinositol phosphates are components of the plasma membrane. Cardiolipin is mostly found in the inner mitochondrial membrane, and so it is unclear whether this interaction exists in vivo. We also note that, probably due to its high global positive charge (+15.5 for MBP-Pom11-699, +25 for Pom11-699 at pH 7), MBP-Pom11-699 bound the nitrocellulose membrane, resulting in significant background. Together, these experiments suggest that Pom1 directly associates with lipids at the plasma membrane through its basic region."
SPAC2F7.03c	pom1	biological_process	GO:0031569	mitotic G2 cell size control checkpoint signaling	PMID:19474789	IMP		all data These data indicate that Pom1 functions in a dose-dependent manner to delay entry into mitosis through negative regulation of the Cdr2-Cdr1-Wee1 pathway. The pom1D size phenotype is not as severe as wee11 deletion, indicating that further Wee1 regulatory mechanisms are likely to be operating. We conclude that Pom1 is a potential functional link between polarized cell growth and mitotic entry by regulating these two processes.
SPAC2F7.03c	pom1	biological_process	GO:0031569	mitotic G2 cell size control checkpoint signaling	PMID:24316795	IGI		
SPAC2F7.03c	pom1	biological_process	GO:1903067	negative regulation of protein localization to cell tip	PMID:19474792	IMP	has_input(PomBase:SPAC57A10.02)	
SPAC2F7.03c	pom1	biological_process	GO:1903067	negative regulation of protein localization to cell tip	PMID:18328707	IMP	has_input(PomBase:SPBC28E12.03),part_of(GO:0051519)	
SPAC2F7.03c	pom1	biological_process	GO:1903077	negative regulation of protein localization to plasma membrane	PMID:26150232	IDA		
