tc	go	go_label	level	n	k	frac	verdict	members
3.A.3	GO:0140358	P-type transmembrane transporter activity	3	109	84	0.771	JUSTIFIED	P16615;P35670;P50993;P54707;P98194;Q01814;Q9NQ11;O75110;O75185;P05023;P13637;P54709;P98196;Q16720;Q8NB49;Q9P241;O60312;P20020;Q9Y2Q0;O43520
3.A.3.1.1	GO:0005391	P-type sodium:potassium-exchanging transporter activity	5	5	4	0.8	JUSTIFIED	P05026;P50993;P05023;P13637;P54709
3.A.4.1.1	GO:0015446	ATPase-coupled arsenite transmembrane transporter activity	5	2	1	0.5	UNCERTAIN	P0AB93;P08690
3.B	GO:0015451	decarboxylation-driven active transmembrane transporter activity	2	20	15	0.75	CLASS_LEVEL	Q57079;Q57111;Q9ZAA6;Q57286;Q57490;Q9ZAA7;Q56724;Q9ZAA8;O06926;O06924;Q03030;Q03032;Q9KTU4;O06925;Q03031;Q06700;O06923;O06927;O06930;Q9KTU5
3.B.-.-.-	GO:0015451	decarboxylation-driven active transmembrane transporter activity	2	20	15	0.75	CLASS_LEVEL	Q57079;Q57111;Q9ZAA6;Q57286;Q57490;Q9ZAA7;Q56724;Q9ZAA8;O06926;O06924;Q03030;Q03032;Q9KTU4;O06925;Q03031;Q06700;O06923;O06927;O06930;Q9KTU5
3.C	GO:0015452	methyl transfer-driven active transmembrane transporter activity	2	8	0	0.0	CLASS_LEVEL	P80184;P80185;Q59584;Q50773;P80187;P80186;Q50774;P80183
3.C.-.-.-	GO:0015452	methyl transfer-driven active transmembrane transporter activity	2	8	0	0.0	CLASS_LEVEL	P80184;P80185;Q59584;Q50773;P80187;P80186;Q50774;P80183
3.D	GO:0015453	oxidoreduction-driven active transmembrane transporter activity	2	410	181	0.441	CLASS_LEVEL	P10176;P31040;P13073;P15954;P20674;Q9P0S2;P00395;P00414;P10606;P14406;P24310;Q99643;O14521;P00403;P21912;Q02221;Q96KJ9;O23166;O80634;P00396
3.D.-.-.-	GO:0015453	oxidoreduction-driven active transmembrane transporter activity	2	410	181	0.441	CLASS_LEVEL	P10176;P31040;P13073;P15954;P20674;Q9P0S2;P00395;P00414;P10606;P14406;P24310;Q99643;O14521;P00403;P21912;Q02221;Q96KJ9;O23166;O80634;P00396
3.D.4.5.1	GO:0009486	cytochrome bo3 ubiquinol oxidase activity	5	4	4	1.0	JUSTIFIED	P0ABI8;P0ABJ1;P0ABJ3;P0ABJ6
3.E	GO:0015454	light-driven active monoatomic ion transmembrane transporter activity	2	65	1	0.015	CLASS_LEVEL	P56761;P56780;Q9XFT3;P0CJ48;P56778;Q9S7M0;Q9S841;Q9XF89;P83755;Q42029;Q9SHR7;P23321;Q07473;P09192;P09193;P16033;P02945;O49347;P56777;Q39194
4.A	GO:0008982	protein-N(PI)-phosphohistidine-carbohydrate phosphotransferase activity	2	94	66	0.702	CLASS_LEVEL	O31645;P20166;P54745;P69805;P09323;P26380;P36672;P39816;P69795;O34521;P20966;P37188;P39301;P56580;P69791;P69801;P00550;P69783;P69797;P69786
9.A.11.1.1	GO:0015089	high-affinity copper ion transmembrane transporter activity	5	6	0	0.0	NOT_JUSTIFIED_AT_LEVEL	P31845;P40866;P40869;P40868;P40867;P40870
9.A.9.1.1	GO:0015090	low-affinity ferric iron ion transmembrane transporter activity	5	1	0	0.0	GAP_CANDIDATE	P40988
9.B.133.1.1	GO:0019833	ice nucleation activity	5	1	0	0.0	GAP_CANDIDATE	P06620
