uniprot_accession	panther_family_sf
Q88PR1	PTHR32179:SF3
Q88PV4	PTHR11108:SF1
Q88PW3	PTHR10953:SF194
Q88PW6	PTHR43013:SF1
Q88PX5	PTHR43527:SF2
Q88Q07	PTHR43654:SF1
Q88Q65	PTHR10695:SF46
Q88Q83	PTHR13847:SF289
Q88Q89	PTHR30426:SF0
Q88Q91	PTHR33695:SF1
Q88Q93	PTHR22749:SF6
Q88QE6	PTHR43374:SF1
Q88QE7	PTHR43445:SF5
Q88QG4	PTHR21327:SF38
Q88QG5	PTHR34137:SF1
Q88QG7	PTHR43322:SF5
Q88QH1	PTHR21327:SF18
Q88QH4	PTHR30270:SF0
Q88QH6	PTHR21058:SF0
Q88QH7	PTHR21327:SF34
Q88QH8	PTHR21098:SF12
Q88QH9	PTHR38011:SF7
Q88QJ2	PTHR10491:SF4
Q88QJ8	PTHR32328:SF0
Q88QK5	PTHR10302:SF27
Q88QL5	PTHR10906
Q88QP7	PTHR33910:SF1
Q88QQ0	PTHR34265:SF1
Q88QQ4	PTHR30605:SF0
Q88QQ7	PTHR40255:SF1
Q88QR1	PTHR11237:SF4
Q88QR6	PTHR22854:SF2
Q88QR7	PTHR43285:SF2
Q88QS3	PTHR11749
Q88QT3	PTHR33540:SF1
Q88QT5	PTHR30004:SF5
Q88QV1	PTHR10742:SF410
Q88QV2	PTHR43674:SF2
Q88QW2	PTHR11986:SF79
Q88QX0	PTHR43194:SF5
Q88R42	PTHR43090:SF2
Q88R45	PTHR23133:SF2
Q88R69	PTHR21047:SF2
Q88R90	PTHR38761:SF1
Q88RA0	PTHR30024:SF47
Q88RA1	PTHR42788:SF18
Q88RA2	PTHR30151:SF25
Q88RA3	PTHR30468:SF1
Q88RB9	PTHR11986:SF58
Q88RC0	PTHR43353:SF5
Q88RE5	PTHR11557:SF0
Q88RS0	PTHR42891:SF1
Q8IU89	PTHR12560:SF18
Q8IV42	PTHR20873:SF0
Q8IVH4	PTHR23408:SF3
Q8IWU9	PTHR11473:SF16
Q8IWX5	PTHR14969:SF14
Q8MVR1	PTHR23257:SF711
Q8N142	PTHR11846:SF2
Q8N159	PTHR23342:SF0
Q8N183	PTHR32470:SF2
Q8N5M1	PTHR21013:SF10
Q8N5Z0	PTHR42790:SF19
Q8N8Q8	PTHR12428:SF65
Q8NFF5	PTHR23293:SF9
Q8NFW8	PTHR21485:SF3
Q8NHU3	PTHR21290:SF24
Q8NI60	PTHR43851:SF1
Q8T638	PTHR11746:SF199
Q8TB37	PTHR42961:SF2
Q8TB61	PTHR10778:SF13
Q8TBE9	PTHR46470:SF3
Q8TBF5	PTHR28650:SF1
Q8TC12	PTHR24320:SF227
Q8TCJ2	PTHR13872:SF1
Q8TDN7	PTHR46139:SF2
Q8TDX5	PTHR21240:SF27
Q8TE04	PTHR12280:SF23
Q8TEQ8	PTHR23071:SF1
Q8WUD6	PTHR10414:SF32
Q8WV28	PTHR14098:SF3
Q8WVX9	PTHR11011:SF119
Q92185	PTHR11987:SF3
Q92521	PTHR22760:SF4
Q92535	PTHR12982:SF1
Q92643	PTHR48067:SF1
Q92685	PTHR12646:SF0
Q92696	PTHR11129:SF2
Q92781	PTHR43313:SF12
Q92947	PTHR42807:SF1
Q92968	PTHR19332:SF1
Q93099	PTHR11056:SF0
Q93100	PTHR10749:SF8
Q969G6	PTHR22749:SF13
Q969N2	PTHR12959:SF11
Q969W0	PTHR47084:SF1
Q96AT9	PTHR11749:SF18
Q96BR5	PTHR13891:SF1
Q96C23	PTHR10091:SF0
Q96C36	PTHR11645:SF61
Q96CD2	PTHR14359:SF6
Q96CQ1	PTHR45829:SF2
Q96CU9	PTHR13847:SF287
Q96D53	PTHR43851:SF4
Q96DW6	PTHR46181:SF3
Q96E22	PTHR21528:SF3
Q96EK6	PTHR13355:SF11
Q96EY8	PTHR12213:SF0
Q96F25	PTHR12154:SF4
Q96FM1	PTHR13148:SF0
Q96G23	PTHR12560:SF7
Q96GD0	PTHR19288:SF94
Q96H96	PTHR11048:SF28
Q96HA9	PTHR20990:SF1
Q96HY7	PTHR23152:SF4
Q96I36	PTHR36684:SF1
Q96IX5	PTHR34038:SF1
Q96K12	PTHR11011:SF120
Q96N76	PTHR12216:SF3
Q96NR8	PTHR24320:SF275
Q96NU7	PTHR42752:SF1
Q96PD7	PTHR12317:SF14
Q96PE7	PTHR43048:SF3
Q96RQ3	PTHR18866:SF33
Q96S42	PTHR11848:SF159
Q96S52	PTHR21072:SF13
Q96SZ5	PTHR22966:SF61
Q96T21	PTHR13284:SF9
Q99259	PTHR45677:SF5
Q99424	PTHR10909:SF344
Q99447	PTHR45780:SF2
Q99519	PTHR10628:SF25
Q99611	PTHR10256:SF1
Q99643	PTHR10978:SF20
Q99707	PTHR45833:SF1
Q99714	PTHR43658:SF8
Q99807	PTHR11237:SF4
Q99835	PTHR11309:SF35
Q9BQT8	PTHR46356:SF1
Q9BRB3	PTHR21329:SF3
Q9BRT2	PTHR34260:SF1
Q9BSH4	PTHR12532:SF0
Q9BT22	PTHR13036:SF1
Q9BU02	PTHR14586:SF1
Q9BU61	PTHR21192:SF2
Q9BUB7	PTHR13281:SF0
Q9BUM1	PTHR12591:SF2
Q9BUX1	PTHR12192:SF26
Q9BV10	PTHR22760:SF1
Q9BVK2	PTHR12413:SF2
Q9BW60	PTHR11157:SF19
Q9BX95	PTHR14969:SF45
Q9BXD5	PTHR12128:SF21
Q9BXI2	PTHR45624:SF20
Q9BXI3	PTHR31367:SF2
Q9BXJ7	PTHR14995:SF2
Q9BXS1	PTHR10885:SF1
Q9BYG0	PTHR11214:SF21
Q9BYV1	PTHR45688:SF3
Q9BZ23	PTHR12280:SF25
Q9BZV2	PTHR10686:SF37
Q9C0D9	PTHR10414:SF47
Q9CM00	PTHR38761:SF1
Q9GZR5	PTHR11157:SF12
Q9GZY8	PTHR16501:SF17
Q9H0N5	PTHR12599:SF15
Q9H0P0	PTHR13045:SF14
Q9H0U3	PTHR12692:SF2
Q9H1N7	PTHR10778:SF8
Q9H2D1	PTHR45683:SF3
Q9H2F3	PTHR10366:SF847
Q9H3H5	PTHR10571:SF0
Q9H3L0	PTHR13192:SF3
Q9H3S4	PTHR13622:SF8
Q9H3S5	PTHR12886:SF0
Q9H490	PTHR13121:SF0
Q9H553	PTHR45918:SF1
Q9H5J4	PTHR11157:SF125
Q9H6I2	PTHR10270:SF216
Q9H6U8	PTHR22760:SF2
Q9H8P0	PTHR14624:SF0
Q9H936	PTHR45678:SF3
Q9H999	PTHR12280:SF21
Q9HAB3	PTHR12929:SF1
Q9HAB8	PTHR12290:SF2
Q9HAN9	PTHR12039:SF21
Q9HB03	PTHR11157:SF68
Q9HBU6	PTHR22603:SF91
Q9HC21	PTHR24089:SF59
Q9HC29	PTHR24106:SF64
Q9HCC0	PTHR22855:SF13
Q9HCL2	PTHR12563:SF16
Q9HD40	PTHR12944:SF2
Q9HU85	PTHR10362:SF7
Q9HUL8	PTHR10073:SF12
Q9HW09	PTHR43765:SF2
Q9HYQ8	PTHR43103:SF3
Q9I2T1	PTHR43705:SF1
Q9I5R6	PTHR11237:SF4
Q9I6M4	PTHR43206:SF2
Q9I6M5	PTHR43353:SF5
Q9JZQ8	PTHR30053:SF12
Q9NP73	PTHR12867:SF7
Q9NPC4	PTHR12042:SF17
Q9NPF0	PTHR24270:SF52
Q9NPH3	PTHR11890:SF20
Q9NPI5	PTHR10285:SF143
Q9NPL8	PTHR13002:SF1
Q9NQ40	PTHR12929:SF4
Q9NR45	PTHR42966:SF1
Q9NRA0	PTHR12358:SF40
Q9NRP0	PTHR13160:SF9
Q9NUD9	PTHR12468:SF2
Q9NUN5	PTHR16130:SF2
Q9NUN7	PTHR46187:SF3
Q9NV23	PTHR11487:SF0
Q9NVF9	PTHR22603:SF94
Q9NVS9	PTHR10851:SF0
Q9NWF4	PTHR12929:SF20
Q9NWM0	PTHR10742:SF416
Q9NWW6	PTHR10285:SF126
Q9NX14	PTHR13327:SF0
Q9NX18	PTHR12469:SF2
Q9NXB9	PTHR11157:SF16
Q9NXE4	PTHR12988:SF6
Q9NY59	PTHR16320:SF8
Q9NYA1	PTHR12358:SF47
Q9NYL5	PTHR24304:SF2
Q9NYR8	PTHR43391:SF8
Q9NZ01	PTHR10556:SF31
Q9P032	PTHR13338:SF6
Q9P0J0	PTHR12966:SF0
Q9P0S2	PTHR17130:SF14
Q9P2X0	PTHR16433:SF0
Q9UBK8	PTHR19384:SF84
Q9UBM1	PTHR15458:SF5
Q9UBM7	PTHR21257:SF38
Q9UBQ7	PTHR10996:SF137
Q9UBR1	PTHR43674:SF2
Q9UBX3	PTHR45618:SF13
Q9UBX8	PTHR19300:SF47
Q9UDR5	PTHR11133:SF22
Q9UHD2	PTHR22969:SF14
Q9UHJ9	PTHR12892:SF11
Q9UHK6	PTHR48228:SF5
Q9UI09	PTHR12910:SF2
Q9UI32	PTHR12544:SF33
Q9UJ70	PTHR12862:SF0
Q9UJM8	PTHR10578:SF107
Q9UJS0	PTHR45678:SF12
Q9UKU7	PTHR43831:SF1
Q9UMX1	PTHR10928:SF2
Q9UNP4	PTHR13713:SF60
Q9UNU6	PTHR24306:SF0
Q9UPQ8	PTHR13205:SF15
Q9WZJ0	PTHR36701:SF1
Q9Y223	PTHR18964:SF149
Q9Y234	PTHR12561:SF3
Q9Y256	PTHR13046:SF0
Q9Y259	PTHR22603:SF35
Q9Y276	PTHR23070:SF110
Q9Y2B2	PTHR12993:SF11
Q9Y2P5	PTHR43107:SF25
Q9Y2R0	PTHR15642:SF3
Q9Y2T3	PTHR11271:SF6
Q9Y2Z9	PTHR43876:SF7
Q9Y375	PTHR13194:SF23
Q9Y3A0	PTHR12922:SF7
Q9Y4K3	PTHR10131:SF131
Q9Y4U1	PTHR31457:SF2
Q9Y5K3	PTHR10739:SF20
Q9Y5Y5	PTHR13299:SF0
Q9Y600	PTHR45677:SF8
Q9Y617	PTHR43247:SF5
Q9Y619	PTHR45624:SF22
Q9Y672	PTHR12413:SF1
Q9Y673	PTHR10859:SF91
Q9Y6A2	PTHR24293:SF1
Q9Y6K0	PTHR10414:SF27
Q9Y6M9	PTHR12868:SF1
Q9Y6N1	PTHR21320:SF3
U9W570	PTHR11347
