suggested_review_name	review_name_collision	uniprot_accession	entry_name	primary_gene	ordered_locus	all_gene_names	protein_name	reviewed	annotation_score	length	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	kegg_ids	biocyc_ids	unipathway_ids	refseq_ids	keywords	gene_key	primary_bucket_id	primary_bucket_label	primary_bucket_type	primary_bucket_source	primary_module_area	assignment_reason	specific_kegg_pathway_ids	specific_kegg_pathway_names	overview_kegg_pathway_ids
PP_0894	false	Q88PF6	Q88PF6_PSEPK	PP_0894	PP_0894	PP_0894	SnoaL-like domain-containing protein	unreviewed	1.0	132			IPR011721;IPR032710;IPR037401;	PF12680;		ppu:PP_0894;	PPUT160488:G1G01-969-MONOMER;		WP_010952100.1;	3D-structure;Reference proteome	ppu:PP_0894	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0895	false	Q88PF5	Q88PF5_PSEPK	PP_0895	PP_0895	PP_0895	N-acetyltransferase domain-containing protein	unreviewed	1.0	196		GO:0016747	IPR016181;IPR000182;	PF00583;		ppu:PP_0895;	PPUT160488:G1G01-970-MONOMER;		WP_010952101.1;	Reference proteome	ppu:PP_0895	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0896	false	Q88PF4	Q88PF4_PSEPK	PP_0896	PP_0896	PP_0896	Carbon-nitrogen hydrolase family protein	unreviewed	1.0	290		GO:0016787	IPR003010;IPR036526;	PF00795;	PTHR23088:SF50;PTHR23088;	ppu:PP_0896;	PPUT160488:G1G01-971-MONOMER;		WP_010952102.1;	Hydrolase;Reference proteome	ppu:PP_0896	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0899	false	Q88PF1	Q88PF1_PSEPK	PP_0899	PP_0899	PP_0899	Ferredoxin reductase	unreviewed	1.0	306		GO:0016491; GO:0051536	IPR036010;IPR001041;IPR012675;IPR008333;IPR017927;IPR039261;IPR050415;IPR001433;IPR017938;	PF00970;PF00111;PF00175;	PTHR47354;PTHR47354:SF3;	ppu:PP_0899;	PPUT160488:G1G01-973-MONOMER;		WP_010952104.1;	2Fe-2S;Iron;Iron-sulfur;Metal-binding;Reference proteome	ppu:PP_0899	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0903	false	Q88PE7	Q88PE7_PSEPK	PP_0903	PP_0903	PP_0903	Methyltransferase domain-containing protein	unreviewed	1.0	226			IPR041698;IPR029063;	PF13649;		ppu:PP_0903;	PPUT160488:G1G01-977-MONOMER;		WP_010952107.1;	Reference proteome	ppu:PP_0903	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0904	false	Q88PE6	Q88PE6_PSEPK	PP_0904	PP_0904	PP_0904	InaA protein	unreviewed	1.0	233			IPR011009;IPR027023;	PF06293;		ppu:PP_0904;	PPUT160488:G1G01-978-MONOMER;			Reference proteome	ppu:PP_0904	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0909	false	Q88PE1	Q88PE1_PSEPK	PP_0909	PP_0909	PP_0909	Imelysin-like domain-containing protein	unreviewed	1.0	354		GO:0030313	IPR018976;IPR034984;IPR038352;	PF09375;		ppu:PP_0909;	PPUT160488:G1G01-983-MONOMER;		WP_010952113.1;	Reference proteome;Signal	ppu:PP_0909	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0910	false	Q88PE0	Q88PE0_PSEPK	PP_0910	PP_0910	PP_0910	Cytochrome c domain-containing protein	unreviewed	1.0	475		GO:0004130; GO:0009055; GO:0020037; GO:0046872	IPR009056;IPR036909;IPR051395;IPR010538;	PF06537;	PTHR30600:SF4;PTHR30600;	ppu:PP_0910;	PPUT160488:G1G01-984-MONOMER;		WP_010952114.1;	Heme;Iron;Metal-binding;Reference proteome;Signal	ppu:PP_0910	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0913	false	Q88PD7	Q88PD7_PSEPK	PP_0913	PP_0913	PP_0913	Imelysin-like domain-containing protein	unreviewed	1.0	443		GO:0030313	IPR018976;IPR038352;	PF09375;		ppu:PP_0913;	PPUT160488:G1G01-987-MONOMER;		WP_010952117.1;	Reference proteome;Signal	ppu:PP_0913	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
iciA	false	Q88PD3	Q88PD3_PSEPK	iciA	PP_0917	iciA PP_0917	Chromosome initiation inhibitor	unreviewed	1.0	296		GO:0003677; GO:0003700; GO:0006351	IPR017685;IPR050176;IPR000847;IPR005119;IPR036388;IPR036390;	PF00126;PF03466;	PTHR30579:SF2;PTHR30579;	ppu:PP_0917;	PPUT160488:G1G01-991-MONOMER;		WP_010952120.1;	DNA-binding;Reference proteome;Transcription;Transcription regulation	ppu:PP_0917	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0918	false	Q88PD2	Q88PD2_PSEPK	PP_0918	PP_0918	PP_0918	3-beta hydroxysteroid dehydrogenase/isomerase family protein	unreviewed	1.0	330			IPR001509;IPR050177;IPR036291;	PF01370;	PTHR43245;PTHR43245:SF24;	ppu:PP_0918;	PPUT160488:G1G01-992-MONOMER;		WP_010952121.1;	Reference proteome	ppu:PP_0918	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
xenB	false	Q88PD0	Q88PD0_PSEPK	xenB	PP_0920	xenB PP_0920	Xenobiotic reductase B	unreviewed	1.0	349		GO:0005829; GO:0010181; GO:0016628	IPR013785;IPR001155;IPR045247;	PF00724;	PTHR22893;PTHR22893:SF98;	ppu:PP_0920;	PPUT160488:G1G01-994-MONOMER;		WP_010952123.1;	3D-structure;Flavoprotein;FMN;Nucleotide-binding;Oxidoreductase;Reference proteome	ppu:PP_0920	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0924	false	Q88PC6	Q88PC6_PSEPK	PP_0924	PP_0924	PP_0924	L-ornithine N(alpha)-acyltransferase (EC 2.3.2.30)	unreviewed	2.0	251	2.3.2.30	GO:0006629; GO:0043810	IPR016181;IPR052351;	PF13444;	PTHR37323;PTHR37323:SF1;	ppu:PP_0924;	PPUT160488:G1G01-998-MONOMER;		WP_003255175.1;	Acyltransferase;Lipid biosynthesis;Lipid metabolism;Reference proteome;Transferase	ppu:PP_0924	orphan:enzyme_with_ec	Orphan enzymes with EC numbers	orphan	UniProt EC metadata	orphan_enzyme	no pathway assignment but EC number is present			
PP_0925	false	Q88PC5	Q88PC5_PSEPK	PP_0925	PP_0925	PP_0925	Acyl-CoA dehydrogenase	unreviewed	1.0	295		GO:0016627	IPR046373;IPR009100;			ppu:PP_0925;	PPUT160488:G1G01-999-MONOMER;		WP_010952126.1;	Reference proteome	ppu:PP_0925	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
mreB	false	Q88PB7	Q88PB7_PSEPK	mreB	PP_0933	mreB PP_0933	Cell shape-determining protein MreB	unreviewed	2.0	372		GO:0000902; GO:0005524; GO:0005737; GO:0008360	IPR043129;IPR004753;IPR056546;	PF06723;	PTHR42749;PTHR42749:SF1;	ppu:PP_0933;	PPUT160488:G1G01-1007-MONOMER;			ATP-binding;Cell shape;Cytoplasm;Nucleotide-binding;Reference proteome	ppu:PP_0933	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
mreC	false	Q88PB6	Q88PB6_PSEPK	mreC	PP_0934	mreC PP_0934	Cell shape-determining protein MreC (Cell shape protein MreC)	unreviewed	2.0	332		GO:0005886; GO:0008360	IPR042177;IPR042175;IPR007221;IPR055342;	PF04085;	PTHR34138;PTHR34138:SF1;	ppu:PP_0934;	PPUT160488:G1G01-1008-MONOMER;			Cell shape;Reference proteome	ppu:PP_0934	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0938	false	Q88PB2	Q88PB2_PSEPK	PP_0938	PP_0938	PP_0938	YhdP central domain-containing protein	unreviewed	1.0	1273			IPR011836;IPR025263;	PF13116;	PTHR38690:SF1;PTHR38690;	ppu:PP_0938;	PPUT160488:G1G01-1012-MONOMER;		WP_010952136.1;	Reference proteome	ppu:PP_0938	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0939	false	Q88PB1	Q88PB1_PSEPK	PP_0939	PP_0939	PP_0939	Carbon-nitrogen hydrolase family protein	unreviewed	1.0	283		GO:0016811	IPR003010;IPR036526;IPR045254;IPR001110;	PF00795;	PTHR23088:SF27;PTHR23088;	ppu:PP_0939;	PPUT160488:G1G01-1013-MONOMER;		WP_010952137.1;	Hydrolase;Reference proteome	ppu:PP_0939	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0945	false	Q88PA5	Q88PA5_PSEPK	PP_0945	PP_0945	PP_0945	Tetratricopeptide repeat protein	unreviewed	1.0	153			IPR011990;IPR020206;	PF10952;		ppu:PP_0945;	PPUT160488:G1G01-1019-MONOMER;		WP_010952141.1;	Reference proteome	ppu:PP_0945	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0949	false	Q88PA1	Y949_PSEPK	PP_0949	PP_0949	PP_0949	Nucleotide-binding protein PP_0949	reviewed	2.0	284		GO:0005524; GO:0005525	IPR027417;IPR005337;IPR053930;IPR053931;	PF22740;PF03668;	PTHR30448;PTHR30448:SF0;	ppu:PP_0949;	PPUT160488:G1G01-1023-MONOMER;		WP_010952145.1;	ATP-binding;GTP-binding;Nucleotide-binding;Reference proteome	ppu:PP_0949	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
ttg2F	false	Q88P89	Q88P89_PSEPK	ttg2F	PP_0963	ttg2F PP_0963	BolA family protein	unreviewed	1.0	79			IPR002634;IPR036065;IPR050961;	PF01722;	PTHR46229:SF4;PTHR46229;	ppu:PP_0963;	PPUT160488:G1G01-1037-MONOMER;		WP_003255121.1;	Reference proteome	ppu:PP_0963	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0968	false	Q88P85	Q88P85_PSEPK	PP_0968	PP_0968	PP_0968	Metalloenzyme domain-containing protein	unreviewed	1.0	413		GO:0003824; GO:0046872	IPR017850;IPR006124;	PF01676;		ppu:PP_0968;	PPUT160488:G1G01-1042-MONOMER;			Reference proteome	ppu:PP_0968	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0971	false	Q88P82	Q88P82_PSEPK	PP_0971	PP_0971	PP_0971	SnoaL-like domain-containing protein	unreviewed	1.0	158			IPR032710;IPR037401;	PF12680;		ppu:PP_0971;	PPUT160488:G1G01-1045-MONOMER;		WP_010952161.1;	Reference proteome	ppu:PP_0971	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0973	false	Q88P80	NDPA_PSEPK	PP_0973	PP_0973	PP_0973	Nucleoid-associated protein PP_0973	reviewed	2.0	335		GO:0003690; GO:0003727; GO:0005737; GO:0043590	IPR007358;	PF04245;	PTHR38772;PTHR38772:SF1;	ppu:PP_0973;	PPUT160488:G1G01-1047-MONOMER;		WP_010952163.1;	Cytoplasm;Reference proteome	ppu:PP_0973	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
hupN	false	Q88P78	Q88P78_PSEPK	hupN	PP_0975	hupN PP_0975	DNA-binding protein HU, form N	unreviewed	2.0	93		GO:0003677; GO:0005829; GO:0030261; GO:0030527	IPR000119;IPR010992;	PF00216;	PTHR33175;PTHR33175:SF12;	ppu:PP_0975;	PPUT160488:G1G01-1048-MONOMER;		WP_003255106.1;	DNA condensation;DNA-binding;Reference proteome	ppu:PP_0975	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0991	false	Q88P62	Q88P62_PSEPK	PP_0991	PP_0991	PP_0991	HvfC N-terminal domain-containing protein	unreviewed	1.0	257			IPR044922;IPR018640;	PF09836;		ppu:PP_0991;	PPUT160488:G1G01-1064-MONOMER;		WP_010952177.1;	Reference proteome	ppu:PP_0991	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0992	false	Q88P61	Y992_PSEPK	PP_0992	PP_0992	PP_0992	Multinuclear non-heme iron-dependent oxidase PP_0992	reviewed	1.0	277			IPR007801;IPR036237;	PF05114;	PTHR42194;PTHR42194:SF1;	ppu:PP_0992;	PPUT160488:G1G01-1065-MONOMER;		WP_010952178.1;	Iron;Metal-binding;Reference proteome	ppu:PP_0992	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0997	false	Q88P56	Q88P56_PSEPK	PP_0997	PP_0997	PP_0997	HTH-type transcriptional regulatory protein TyrR	unreviewed	1.0	502		GO:0003677; GO:0005524; GO:0005737; GO:0006351; GO:0006355	IPR003593;IPR058031;IPR002912;IPR009057;IPR030828;IPR027417;IPR000014;IPR035965;IPR002078;IPR025662;IPR025944;	PF25601;PF18024;PF13188;PF00158;	PTHR32071:SF3;PTHR32071;	ppu:PP_0997;	PPUT160488:G1G01-1070-MONOMER;		WP_003255078.1;	Aromatic hydrocarbons catabolism;ATP-binding;Cytoplasm;DNA-binding;Nucleotide-binding;Reference proteome;Repressor;Transcription;Transcription regulation	ppu:PP_0997	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
yeaD	false	Q88P33	Q88P33_PSEPK	yeaD	PP_1020	yeaD PP_1020	Putative glucose-6-phosphate 1-epimerase (EC 5.1.3.15)	unreviewed	2.0	284	5.1.3.15	GO:0005975; GO:0030246; GO:0047938	IPR008183;IPR025532;IPR011013;IPR014718;	PF01263;	PTHR11122;PTHR11122:SF13;	ppu:PP_1020;	PPUT160488:G1G01-1093-MONOMER;		WP_003255044.1;	Isomerase;Reference proteome	ppu:PP_1020	orphan:enzyme_with_ec	Orphan enzymes with EC numbers	orphan	UniProt EC metadata	orphan_enzyme	no pathway assignment but EC number is present			
PP_1038	false	Q88P15	Q88P15_PSEPK	PP_1038	PP_1038	PP_1038	NGG1p interacting factor NIF3	unreviewed	1.0	103			IPR036069;IPR015867;		PTHR41774;PTHR41774:SF1;	ppu:PP_1038;	PPUT160488:G1G01-1111-MONOMER;		WP_010952215.1;	Reference proteome	ppu:PP_1038	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
upxB	false	Q88P10	Q88P10_PSEPK	upxB	PP_1043	upxB PP_1043	Phosphatase	unreviewed	1.0	691			IPR008557;	PF05787;	PTHR35399:SF2;PTHR35399;	ppu:PP_1043;	PPUT160488:G1G01-1116-MONOMER;		WP_010952218.1;	Reference proteome	ppu:PP_1043	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
xcpZ	false	Q88NZ9	Q88NZ9_PSEPK	xcpZ	PP_1054	xcpZ PP_1054	Type II secretion pathway protein XcpZ	unreviewed	1.0	128			IPR030927;	PF27877;		ppu:PP_1054;	PPUT160488:G1G01-1127-MONOMER;		WP_010952229.1;	Reference proteome	ppu:PP_1054	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_1056	false	Q88NZ7	Q88NZ7_PSEPK	PP_1056	PP_1056	PP_1056	Iron-chelator utilization protein	unreviewed	1.0	253		GO:0016491	IPR017927;IPR039261;IPR017938;IPR013113;IPR039374;IPR007037;	PF08021;PF04954;	PTHR30157;PTHR30157:SF0;	ppu:PP_1056;	PPUT160488:G1G01-1129-MONOMER;		WP_010952231.1;	Reference proteome	ppu:PP_1056	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_1062	false	Q88NZ1	Q88NZ1_PSEPK	PP_1062	PP_1062	PP_1062	MutT/nudix family protein	unreviewed	1.0	137		GO:0016787	IPR020476;IPR015797;IPR020084;IPR000086;	PF00293;	PTHR43046:SF2;PTHR43046;	ppu:PP_1062;	PPUT160488:G1G01-1135-MONOMER;		WP_010952235.1;	Hydrolase;Reference proteome	ppu:PP_1062	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_1064	false	Q88NY9	Q88NY9_PSEPK	PP_1064	PP_1064	PP_1064	Hydrolase, alpha/beta fold family	unreviewed	1.0	378		GO:0004806; GO:0046503	IPR050471;IPR000073;IPR029058;	PF00561;	PTHR43433:SF5;PTHR43433;	ppu:PP_1064;	PPUT160488:G1G01-1137-MONOMER;			Hydrolase;Reference proteome	ppu:PP_1064	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_1072	false	Q88NY1	Q88NY1_PSEPK	PP_1072	PP_1072	PP_1072	RING-type E3 ubiquitin transferase (EC 2.3.2.27)	unreviewed	2.0	1439	2.3.2.27	GO:0005576; GO:0016567; GO:0030430; GO:0061630	IPR001611;IPR003591;IPR051071;IPR032675;IPR029487;IPR046673;	PF13855;PF14496;PF20178;	PTHR47114;PTHR47114:SF2;	ppu:PP_1072;	PPUT160488:G1G01-1145-MONOMER;		WP_010952244.1;	Coiled coil;Host cytoplasm;Leucine-rich repeat;Reference proteome;Repeat;Secreted;Transferase;Ubl conjugation;Ubl conjugation pathway;Virulence	ppu:PP_1072	orphan:enzyme_with_ec	Orphan enzymes with EC numbers	orphan	UniProt EC metadata	orphan_enzyme	no pathway assignment but EC number is present			
PP_1080	false	Q88NX3	Q88NX3_PSEPK	PP_1080	PP_1080	PP_1080	Oxidoreductase molybdopterin-binding	unreviewed	1.0	702		GO:0016020; GO:0016491; GO:0043546; GO:0045333; GO:0046872; GO:0051539; GO:1990204	IPR009010;IPR006657;IPR006656;IPR006963;IPR050123;	PF04879;PF00384;PF01568;	PTHR43105:SF9;PTHR43105;	ppu:PP_1080;	PPUT160488:G1G01-1153-MONOMER;		WP_010952250.1;	4Fe-4S;Iron;Iron-sulfur;Metal-binding;Oxidoreductase;Reference proteome	ppu:PP_1080	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
grxD	false	Q88NX2	Q88NX2_PSEPK	grxD	PP_1081	grxD PP_1081	Glutaredoxin	unreviewed	2.0	111		GO:0005737; GO:0015036; GO:0046872; GO:0051537	IPR002109;IPR033658;IPR014434;IPR004480;IPR036249;	PF00462;	PTHR10293;PTHR10293:SF72;	ppu:PP_1081;	PPUT160488:G1G01-1154-MONOMER;		WP_010952251.1;	2Fe-2S;Cytoplasm;Iron;Iron-sulfur;Metal-binding;Redox-active center;Reference proteome	ppu:PP_1081	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
mrp	false	Q88NV6	Q88NV6_PSEPK	mrp	PP_1098	mrp PP_1098	Iron-sulfur cluster carrier protein	unreviewed	3.0	364		GO:0005524; GO:0005829; GO:0016226; GO:0016740; GO:0016887; GO:0046872; GO:0051539; GO:0140663	IPR034904;IPR002744;IPR000808;IPR019591;IPR044304;IPR027417;IPR033756;	PF01883;PF10609;	PTHR42961;PTHR42961:SF2;	ppu:PP_1098;	PPUT160488:G1G01-1171-MONOMER;		WP_010952263.1;	ATP-binding;Hydrolase;Iron;Iron-sulfur;Metal-binding;Nucleotide-binding;Reference proteome;Transferase	ppu:PP_1098	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_1102	false	Q88NV2	Q88NV2_PSEPK	PP_1102	PP_1102	PP_1102	Calcineurin-like phosphoesterase domain-containing protein	unreviewed	1.0	216		GO:0016787; GO:0046872	IPR004843;IPR029052;IPR026336;IPR024173;	PF00149;	PTHR39323;PTHR39323:SF1;	ppu:PP_1102;	PPUT160488:G1G01-1176-MONOMER;		WP_010952265.1;	3D-structure;Metal-binding;Reference proteome	ppu:PP_1102	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_1104	false	Q88NV0	Q88NV0_PSEPK	PP_1104	PP_1104	PP_1104	AotO-related protein	unreviewed	1.0	371		GO:0016788; GO:0046872	IPR055438;IPR053138;	PF24827;	PTHR37326;PTHR37326:SF1;	ppu:PP_1104;	PPUT160488:G1G01-1178-MONOMER;		WP_010952267.1;	Hydrolase;Metal-binding;Reference proteome;Zinc	ppu:PP_1104	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
quiP	false	Q88NU6	QUIP_PSEPK	quiP	PP_1108	quiP PP_1108	Acyl-homoserine lactone acylase QuiP (AHL acylase QuiP) (Acyl-HSL acylase QuiP) (EC 3.5.1.97) [Cleaved into: Acyl-homoserine lactone acylase QuiP subunit alpha (Acyl-HSL acylase QuiP subunit alpha); Acyl-homoserine lactone acylase QuiP subunit beta (Acyl-HSL acylase QuiP subunit beta)]	reviewed	3.0	813	3.5.1.97	GO:0009372; GO:0016811; GO:0017000; GO:0042597	IPR029055;IPR014395;IPR043147;IPR023343;IPR043146;IPR002692;	PF01804;	PTHR34218:SF4;PTHR34218;	ppu:PP_1108;	PPUT160488:G1G01-1181-MONOMER;		WP_010952271.1;	Hydrolase;Periplasm;Quorum sensing;Reference proteome;Signal;Zymogen	ppu:PP_1108	orphan:enzyme_with_ec	Orphan enzymes with EC numbers	orphan	UniProt EC metadata	orphan_enzyme	no pathway assignment but EC number is present			
PP_1111	false	Q88NU3	Q88NU3_PSEPK	PP_1111	PP_1111	PP_1111	Synthetase	unreviewed	1.0	262		GO:0000166; GO:0002161; GO:0046872	IPR051335;IPR018163;IPR009000;		PTHR43462;PTHR43462:SF1;	ppu:PP_1111;	PPUT160488:G1G01-1184-MONOMER;		WP_010952274.1;	Metal-binding;Reference proteome;Zinc	ppu:PP_1111	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_1113	false	Q88NU1	Q88NU1_PSEPK	PP_1113	PP_1113	PP_1113	cysteine synthase (EC 2.5.1.47)	unreviewed	1.0	300	2.5.1.47	GO:0004124	IPR050214;IPR001926;IPR036052;	PF00291;	PTHR10314;	ppu:PP_1113;	PPUT160488:G1G01-1186-MONOMER;		WP_010952276.1;	Pyridoxal phosphate;Reference proteome	ppu:PP_1113	orphan:enzyme_with_ec	Orphan enzymes with EC numbers	orphan	UniProt EC metadata	orphan_enzyme	no pathway assignment but EC number is present			
PP_1114	false	Q88NU0	Q88NU0_PSEPK	PP_1114	PP_1114	PP_1114	SEC-C domain protein	unreviewed	1.0	65			IPR004027;	PF02810;		ppu:PP_1114;	PPUT160488:G1G01-1187-MONOMER;		WP_010952277.1;	Reference proteome	ppu:PP_1114	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_1126	false	Q88NS8	Q88NS8_PSEPK	PP_1126	PP_1126	PP_1126	Hydrolase	unreviewed	1.0	782		GO:0004565; GO:0005975; GO:0009341	IPR040669;IPR017853;IPR013529;	PF17992;PF02449;		ppu:PP_1126;	PPUT160488:G1G01-1204-MONOMER;			Glycosidase;Hydrolase;Reference proteome	ppu:PP_1126	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
estC	false	Q88NS7	Q88NS7_PSEPK	estC	PP_1127	estC PP_1127	Carboxylesterase	unreviewed	1.0	381			IPR001466;IPR012338;IPR052907;	PF00144;	PTHR43319;PTHR43319:SF3;	ppu:PP_1127;	PPUT160488:G1G01-1205-MONOMER;		WP_010952288.1;	Reference proteome	ppu:PP_1127	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_1128	false	Q88NS6	Q88NS6_PSEPK	PP_1128	PP_1128	PP_1128	OmpA family protein	unreviewed	1.0	344		GO:0016020	IPR050330;IPR006665;IPR036737;	PF00691;	PTHR30329:SF20;PTHR30329;	ppu:PP_1128;	PPUT160488:G1G01-1206-MONOMER;			Membrane;Reference proteome	ppu:PP_1128	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
