suggested_review_name	ordered_locus	uniprot_accession	membership_source	pathway_id	pathway_name	pathway_scope	module_area	is_primary_partition
ctpL	PP_0562	Q88QD2	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	false
ctpL	PP_0562	Q88QD2	KEGG	ppu02030	Bacterial chemotaxis	specific	transport_motility_signaling	true
speA	PP_0567	Q88QC7	KEGG	ppu00330	Arginine and proline metabolism	specific	amino_acid_metabolism	true
speA	PP_0567	Q88QC7	KEGG	ppu01100	Metabolic pathways	overview	overview	false
speA	PP_0567	Q88QC7	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
pbpC	PP_0572	Q88QC2	KEGG	ppu00550	Peptidoglycan biosynthesis	specific	lipid_cell_envelope_metabolism	true
pbpC	PP_0572	Q88QC2	KEGG	ppu01100	Metabolic pathways	overview	overview	false
pbpC	PP_0572	Q88QC2	UniPathway	UPA00219	UniPathway UPA00219	specific	unipathway	false
PP_0574	PP_0574	Q88QC0	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
PP_0581	PP_0581	Q88QB3	KEGG	ppu00061	Fatty acid biosynthesis	specific	lipid_cell_envelope_metabolism	false
PP_0581	PP_0581	Q88QB3	KEGG	ppu00780	Biotin metabolism	specific	other_kegg_pathway	true
PP_0581	PP_0581	Q88QB3	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_0581	PP_0581	Q88QB3	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
PP_0581	PP_0581	Q88QB3	KEGG	ppu01212	Fatty acid metabolism	overview	overview	false
PP_0581	PP_0581	Q88QB3	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
PP_0582	PP_0582	Q88QB2	KEGG	ppu00071	Fatty acid degradation	specific	lipid_cell_envelope_metabolism	false
PP_0582	PP_0582	Q88QB2	KEGG	ppu00280	Valine, leucine and isoleucine degradation	specific	amino_acid_metabolism	false
PP_0582	PP_0582	Q88QB2	KEGG	ppu00310	Lysine degradation	specific	amino_acid_metabolism	false
PP_0582	PP_0582	Q88QB2	KEGG	ppu00362	Benzoate degradation	specific	aromatic_and_xenobiotic_catabolism	false
PP_0582	PP_0582	Q88QB2	KEGG	ppu00380	Tryptophan metabolism	specific	amino_acid_metabolism	false
PP_0582	PP_0582	Q88QB2	KEGG	ppu00620	Pyruvate metabolism	specific	central_carbon	false
PP_0582	PP_0582	Q88QB2	KEGG	ppu00630	Glyoxylate and dicarboxylate metabolism	specific	central_carbon	false
PP_0582	PP_0582	Q88QB2	KEGG	ppu00650	Butanoate metabolism	specific	central_carbon	false
PP_0582	PP_0582	Q88QB2	KEGG	ppu00720	Other carbon fixation pathways	specific	central_carbon	false
PP_0582	PP_0582	Q88QB2	KEGG	ppu00900	Terpenoid backbone biosynthesis	specific	cofactors_vitamins_redox	true
PP_0582	PP_0582	Q88QB2	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	false
PP_0582	PP_0582	Q88QB2	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_0582	PP_0582	Q88QB2	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
PP_0582	PP_0582	Q88QB2	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_0582	PP_0582	Q88QB2	KEGG	ppu01200	Carbon metabolism	overview	overview	false
PP_0582	PP_0582	Q88QB2	KEGG	ppu01212	Fatty acid metabolism	overview	overview	false
PP_0584	PP_0584	Q88QB0	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	false
PP_0584	PP_0584	Q88QB0	KEGG	ppu02030	Bacterial chemotaxis	specific	transport_motility_signaling	true
PP_0591	PP_0591	Q88QA3	KEGG	ppu00230	Purine metabolism	specific	nucleotide_metabolism	true
PP_0591	PP_0591	Q88QA3	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_0591	PP_0591	Q88QA3	KEGG	ppu01232	Nucleotide metabolism	overview	overview	false
PP_0596	PP_0596	Q88Q98	KEGG	ppu00280	Valine, leucine and isoleucine degradation	specific	amino_acid_metabolism	false
PP_0596	PP_0596	Q88Q98	KEGG	ppu00410	beta-Alanine metabolism	specific	amino_acid_metabolism	true
PP_0596	PP_0596	Q88Q98	KEGG	ppu00640	Propanoate metabolism	specific	central_carbon	false
PP_0596	PP_0596	Q88Q98	KEGG	ppu01100	Metabolic pathways	overview	overview	false
mmsA-I	PP_0597	Q88Q97	KEGG	ppu00280	Valine, leucine and isoleucine degradation	specific	amino_acid_metabolism	false
mmsA-I	PP_0597	Q88Q97	KEGG	ppu00410	beta-Alanine metabolism	specific	amino_acid_metabolism	false
mmsA-I	PP_0597	Q88Q97	KEGG	ppu00562	Inositol phosphate metabolism	specific	other_kegg_pathway	true
mmsA-I	PP_0597	Q88Q97	KEGG	ppu00640	Propanoate metabolism	specific	central_carbon	false
mmsA-I	PP_0597	Q88Q97	KEGG	ppu01100	Metabolic pathways	overview	overview	false
mmsA-I	PP_0597	Q88Q97	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
mmsA-I	PP_0597	Q88Q97	KEGG	ppu01200	Carbon metabolism	overview	overview	false
rpsT	PP_0600	Q88Q95	KEGG	ppu03010	Ribosome	specific	other_kegg_pathway	true
murJ	PP_0601	Q88Q94	UniPathway	UPA00219	UniPathway UPA00219	specific	unipathway	false
ribF	PP_0602	Q88Q93	KEGG	ppu00740	Riboflavin metabolism	specific	cofactors_vitamins_redox	true
ribF	PP_0602	Q88Q93	KEGG	ppu01100	Metabolic pathways	overview	overview	false
ribF	PP_0602	Q88Q93	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
ribF	PP_0602	Q88Q93	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
ribF	PP_0602	Q88Q93	UniPathway	UPA00276	UniPathway UPA00276	specific	unipathway	false
ribF	PP_0602	Q88Q93	UniPathway	UPA00277	UniPathway UPA00277	specific	unipathway	false
ileS	PP_0603	Q88Q92	KEGG	ppu00970	Aminoacyl-tRNA biosynthesis	specific	other_kegg_pathway	true
lspA	PP_0604	Q88Q91	KEGG	ppu03060	Protein export	specific	other_kegg_pathway	true
lspA	PP_0604	Q88Q91	UniPathway	UPA00665	UniPathway UPA00665	specific	unipathway	false
ispH	PP_0606	Q88Q89	KEGG	ppu00900	Terpenoid backbone biosynthesis	specific	cofactors_vitamins_redox	true
ispH	PP_0606	Q88Q89	KEGG	ppu01100	Metabolic pathways	overview	overview	false
ispH	PP_0606	Q88Q89	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
ispH	PP_0606	Q88Q89	UniPathway	UPA00056	UniPathway UPA00056	specific	unipathway	false
ispH	PP_0606	Q88Q89	UniPathway	UPA00059	UniPathway UPA00059	specific	unipathway	false
thiO	PP_0612	Q88Q83	KEGG	ppu00730	Thiamine metabolism	specific	cofactors_vitamins_redox	true
thiO	PP_0612	Q88Q83	KEGG	ppu01100	Metabolic pathways	overview	overview	false
thiO	PP_0612	Q88Q83	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
thiO	PP_0612	Q88Q83	UniPathway	UPA00060	UniPathway UPA00060	specific	unipathway	false
PP_0613	PP_0613	Q88Q82	KEGG	ppu00970	Aminoacyl-tRNA biosynthesis	specific	other_kegg_pathway	true
PP_0613	PP_0613	Q88Q82	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_0614	PP_0614	Q88Q81	KEGG	ppu00240	Pyrimidine metabolism	specific	nucleotide_metabolism	false
PP_0614	PP_0614	Q88Q81	KEGG	ppu00410	beta-Alanine metabolism	specific	amino_acid_metabolism	true
PP_0614	PP_0614	Q88Q81	KEGG	ppu00770	Pantothenate and CoA biosynthesis	specific	cofactors_vitamins_redox	false
PP_0614	PP_0614	Q88Q81	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_0615	PP_0615	Q88Q80	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
PP_0615	PP_0615	Q88Q80	KEGG	ppu02024	Quorum sensing	specific	transport_motility_signaling	true
PP_0616	PP_0616	Q88Q79	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
PP_0616	PP_0616	Q88Q79	KEGG	ppu02024	Quorum sensing	specific	transport_motility_signaling	true
PP_0617	PP_0617	Q88Q78	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
PP_0617	PP_0617	Q88Q78	KEGG	ppu02024	Quorum sensing	specific	transport_motility_signaling	true
PP_0618	PP_0618	Q88Q77	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
PP_0618	PP_0618	Q88Q77	KEGG	ppu02024	Quorum sensing	specific	transport_motility_signaling	true
PP_0619	PP_0619	Q88Q76	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
PP_0619	PP_0619	Q88Q76	KEGG	ppu02024	Quorum sensing	specific	transport_motility_signaling	true
yfiH	PP_0624	Q88Q72	KEGG	ppu00230	Purine metabolism	specific	nucleotide_metabolism	false
yfiH	PP_0624	Q88Q72	KEGG	ppu00270	Cysteine and methionine metabolism	specific	amino_acid_metabolism	true
yfiH	PP_0624	Q88Q72	KEGG	ppu01100	Metabolic pathways	overview	overview	false
yfiH	PP_0624	Q88Q72	KEGG	ppu01232	Nucleotide metabolism	overview	overview	false
ndh	PP_0626	Q88Q70	KEGG	ppu00190	Oxidative phosphorylation	specific	energy_respiration_inorganic_metabolism	true
ndh	PP_0626	Q88Q70	KEGG	ppu01100	Metabolic pathways	overview	overview	false
coaE	PP_0631	Q88Q65	KEGG	ppu00770	Pantothenate and CoA biosynthesis	specific	cofactors_vitamins_redox	true
coaE	PP_0631	Q88Q65	KEGG	ppu01100	Metabolic pathways	overview	overview	false
coaE	PP_0631	Q88Q65	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
coaE	PP_0631	Q88Q65	UniPathway	UPA00241	UniPathway UPA00241	specific	unipathway	false
pilA	PP_0634	Q88Q62	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
mdh	PP_0654	Q88Q44	KEGG	ppu00020	Citrate cycle (TCA cycle)	specific	central_carbon	false
mdh	PP_0654	Q88Q44	KEGG	ppu00270	Cysteine and methionine metabolism	specific	amino_acid_metabolism	false
mdh	PP_0654	Q88Q44	KEGG	ppu00566	Sulfoquinovose metabolism	specific	other_kegg_pathway	true
mdh	PP_0654	Q88Q44	KEGG	ppu00620	Pyruvate metabolism	specific	central_carbon	false
mdh	PP_0654	Q88Q44	KEGG	ppu00630	Glyoxylate and dicarboxylate metabolism	specific	central_carbon	false
mdh	PP_0654	Q88Q44	KEGG	ppu00680	Methane metabolism	specific	energy_respiration_inorganic_metabolism	false
mdh	PP_0654	Q88Q44	KEGG	ppu00710	Carbon fixation by Calvin cycle	specific	central_carbon	false
mdh	PP_0654	Q88Q44	KEGG	ppu00720	Other carbon fixation pathways	specific	central_carbon	false
mdh	PP_0654	Q88Q44	KEGG	ppu01100	Metabolic pathways	overview	overview	false
mdh	PP_0654	Q88Q44	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
mdh	PP_0654	Q88Q44	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
mdh	PP_0654	Q88Q44	KEGG	ppu01200	Carbon metabolism	overview	overview	false
metB	PP_0659	Q88Q39	KEGG	ppu00270	Cysteine and methionine metabolism	specific	amino_acid_metabolism	false
metB	PP_0659	Q88Q39	KEGG	ppu00450	Selenocompound metabolism	specific	other_kegg_pathway	true
metB	PP_0659	Q88Q39	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	false
metB	PP_0659	Q88Q39	KEGG	ppu01100	Metabolic pathways	overview	overview	false
metB	PP_0659	Q88Q39	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
metB	PP_0659	Q88Q39	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
metB	PP_0659	Q88Q39	KEGG	ppu01230	Biosynthesis of amino acids	overview	overview	false
PP_0662	PP_0662	Q88Q36	KEGG	ppu00260	Glycine, serine and threonine metabolism	specific	amino_acid_metabolism	false
PP_0662	PP_0662	Q88Q36	KEGG	ppu00750	Vitamin B6 metabolism	specific	cofactors_vitamins_redox	true
PP_0662	PP_0662	Q88Q36	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_0662	PP_0662	Q88Q36	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
PP_0662	PP_0662	Q88Q36	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_0662	PP_0662	Q88Q36	KEGG	ppu01230	Biosynthesis of amino acids	overview	overview	false
PP_0664	PP_0664	Q88Q34	KEGG	ppu00260	Glycine, serine and threonine metabolism	specific	amino_acid_metabolism	false
PP_0664	PP_0664	Q88Q34	KEGG	ppu00270	Cysteine and methionine metabolism	specific	amino_acid_metabolism	false
PP_0664	PP_0664	Q88Q34	KEGG	ppu00300	Lysine biosynthesis	specific	amino_acid_metabolism	true
PP_0664	PP_0664	Q88Q34	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_0664	PP_0664	Q88Q34	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
PP_0664	PP_0664	Q88Q34	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_0664	PP_0664	Q88Q34	KEGG	ppu01230	Biosynthesis of amino acids	overview	overview	false
PP_0664	PP_0664	Q88Q34	UniPathway	UPA00050	UniPathway UPA00050	specific	unipathway	false
PP_0664	PP_0664	Q88Q34	UniPathway	UPA00051	UniPathway UPA00051	specific	unipathway	false
PP_0667	PP_0667	Q88Q31	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
glyA2	PP_0671	Q88Q27	KEGG	ppu00260	Glycine, serine and threonine metabolism	specific	amino_acid_metabolism	false
glyA2	PP_0671	Q88Q27	KEGG	ppu00460	Cyanoamino acid metabolism	specific	amino_acid_metabolism	false
glyA2	PP_0671	Q88Q27	KEGG	ppu00630	Glyoxylate and dicarboxylate metabolism	specific	central_carbon	false
glyA2	PP_0671	Q88Q27	KEGG	ppu00670	One carbon pool by folate	specific	cofactors_vitamins_redox	false
glyA2	PP_0671	Q88Q27	KEGG	ppu00680	Methane metabolism	specific	energy_respiration_inorganic_metabolism	false
glyA2	PP_0671	Q88Q27	KEGG	ppu04981	Folate transport and metabolism	specific	cofactors_vitamins_redox	true
glyA2	PP_0671	Q88Q27	KEGG	ppu01100	Metabolic pathways	overview	overview	false
glyA2	PP_0671	Q88Q27	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
glyA2	PP_0671	Q88Q27	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
glyA2	PP_0671	Q88Q27	KEGG	ppu01200	Carbon metabolism	overview	overview	false
glyA2	PP_0671	Q88Q27	KEGG	ppu01230	Biosynthesis of amino acids	overview	overview	false
glyA2	PP_0671	Q88Q27	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
glyA2	PP_0671	Q88Q27	UniPathway	UPA00193	UniPathway UPA00193	specific	unipathway	false
glyA2	PP_0671	Q88Q27	UniPathway	UPA00288	UniPathway UPA00288	specific	unipathway	false
gdhA	PP_0675	Q88Q23	KEGG	ppu00220	Arginine biosynthesis	specific	amino_acid_metabolism	false
gdhA	PP_0675	Q88Q23	KEGG	ppu00250	Alanine, aspartate and glutamate metabolism	specific	amino_acid_metabolism	false
gdhA	PP_0675	Q88Q23	KEGG	ppu00910	Nitrogen metabolism	specific	energy_respiration_inorganic_metabolism	true
gdhA	PP_0675	Q88Q23	KEGG	ppu01100	Metabolic pathways	overview	overview	false
gdhA	PP_0675	Q88Q23	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
ispB	PP_0687	Q88Q11	KEGG	ppu00900	Terpenoid backbone biosynthesis	specific	cofactors_vitamins_redox	true
ispB	PP_0687	Q88Q11	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
rplU	PP_0688	Q88Q10	KEGG	ppu03010	Ribosome	specific	other_kegg_pathway	true
rpmA	PP_0689	Q88Q09	KEGG	ppu03010	Ribosome	specific	other_kegg_pathway	true
proB	PP_0691	Q88Q07	KEGG	ppu00330	Arginine and proline metabolism	specific	amino_acid_metabolism	false
proB	PP_0691	Q88Q07	KEGG	ppu00332	Carbapenem biosynthesis	specific	other_kegg_pathway	true
proB	PP_0691	Q88Q07	KEGG	ppu01100	Metabolic pathways	overview	overview	false
proB	PP_0691	Q88Q07	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
proB	PP_0691	Q88Q07	KEGG	ppu01230	Biosynthesis of amino acids	overview	overview	false
proB	PP_0691	Q88Q07	UniPathway	UPA00098	UniPathway UPA00098	specific	unipathway	false
PP_0703	PP_0703	Q88PZ5	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
PP_0704	PP_0704	Q88PZ4	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
PP_0705	PP_0705	Q88PZ3	KEGG	ppu03410	Base excision repair	specific	other_kegg_pathway	true
PP_0708	PP_0708	Q88PZ0	KEGG	ppu00260	Glycine, serine and threonine metabolism	specific	amino_acid_metabolism	false
PP_0708	PP_0708	Q88PZ0	KEGG	ppu00670	One carbon pool by folate	specific	cofactors_vitamins_redox	true
PP_0708	PP_0708	Q88PZ0	KEGG	ppu01100	Metabolic pathways	overview	overview	false
ppkB	PP_0712	Q88PY6	KEGG	ppu00190	Oxidative phosphorylation	specific	energy_respiration_inorganic_metabolism	false
ppkB	PP_0712	Q88PY6	KEGG	ppu03018	RNA degradation	specific	other_kegg_pathway	true
rplY	PP_0721	Q88PX7	KEGG	ppu03010	Ribosome	specific	other_kegg_pathway	true
prs	PP_0722	Q88PX6	KEGG	ppu00030	Pentose phosphate pathway	specific	central_carbon	true
prs	PP_0722	Q88PX6	KEGG	ppu00230	Purine metabolism	specific	nucleotide_metabolism	false
prs	PP_0722	Q88PX6	KEGG	ppu01100	Metabolic pathways	overview	overview	false
prs	PP_0722	Q88PX6	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
prs	PP_0722	Q88PX6	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
prs	PP_0722	Q88PX6	KEGG	ppu01200	Carbon metabolism	overview	overview	false
prs	PP_0722	Q88PX6	KEGG	ppu01230	Biosynthesis of amino acids	overview	overview	false
prs	PP_0722	Q88PX6	UniPathway	UPA00087	UniPathway UPA00087	specific	unipathway	false
ispE	PP_0723	Q88PX5	KEGG	ppu00900	Terpenoid backbone biosynthesis	specific	cofactors_vitamins_redox	true
ispE	PP_0723	Q88PX5	KEGG	ppu01100	Metabolic pathways	overview	overview	false
ispE	PP_0723	Q88PX5	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
ispE	PP_0723	Q88PX5	UniPathway	UPA00056	UniPathway UPA00056	specific	unipathway	false
pcs	PP_0731	Q88PW7	KEGG	ppu00260	Glycine, serine and threonine metabolism	specific	amino_acid_metabolism	false
pcs	PP_0731	Q88PW7	KEGG	ppu00564	Glycerophospholipid metabolism	specific	lipid_cell_envelope_metabolism	true
pcs	PP_0731	Q88PW7	KEGG	ppu01100	Metabolic pathways	overview	overview	false
pcs	PP_0731	Q88PW7	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
hemA	PP_0732	Q88PW6	KEGG	ppu00860	Porphyrin metabolism	specific	cofactors_vitamins_redox	true
hemA	PP_0732	Q88PW6	KEGG	ppu01100	Metabolic pathways	overview	overview	false
hemA	PP_0732	Q88PW6	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
hemA	PP_0732	Q88PW6	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
hemA	PP_0732	Q88PW6	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
hemA	PP_0732	Q88PW6	UniPathway	UPA00251	UniPathway UPA00251	specific	unipathway	false
moeB	PP_0735	Q88PW3	KEGG	ppu04122	Sulfur relay system	specific	other_kegg_pathway	true
murI	PP_0736	Q88PW2	KEGG	ppu00470	D-Amino acid metabolism	specific	amino_acid_metabolism	true
murI	PP_0736	Q88PW2	KEGG	ppu01100	Metabolic pathways	overview	overview	false
murI	PP_0736	Q88PW2	UniPathway	UPA00219	UniPathway UPA00219	specific	unipathway	false
pagL-I	PP_0737	Q88PW1	KEGG	ppu00540	Lipopolysaccharide biosynthesis	specific	lipid_cell_envelope_metabolism	true
hemH	PP_0744	Q88PV4	KEGG	ppu00860	Porphyrin metabolism	specific	cofactors_vitamins_redox	true
hemH	PP_0744	Q88PV4	KEGG	ppu01100	Metabolic pathways	overview	overview	false
hemH	PP_0744	Q88PV4	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
hemH	PP_0744	Q88PV4	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
hemH	PP_0744	Q88PV4	UniPathway	UPA00252	UniPathway UPA00252	specific	unipathway	false
upp	PP_0746	Q88PV2	KEGG	ppu00240	Pyrimidine metabolism	specific	nucleotide_metabolism	true
upp	PP_0746	Q88PV2	KEGG	ppu01100	Metabolic pathways	overview	overview	false
upp	PP_0746	Q88PV2	KEGG	ppu01232	Nucleotide metabolism	overview	overview	false
upp	PP_0746	Q88PV2	UniPathway	UPA00574	UniPathway UPA00574	specific	unipathway	false
PP_0747	PP_0747	Q88PV1	KEGG	ppu00230	Purine metabolism	specific	nucleotide_metabolism	true
PP_0747	PP_0747	Q88PV1	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_0747	PP_0747	Q88PV1	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
PP_0747	PP_0747	Q88PV1	KEGG	ppu01232	Nucleotide metabolism	overview	overview	false
mqo1	PP_0751	Q88PU7	KEGG	ppu00020	Citrate cycle (TCA cycle)	specific	central_carbon	true
mqo1	PP_0751	Q88PU7	KEGG	ppu00620	Pyruvate metabolism	specific	central_carbon	false
mqo1	PP_0751	Q88PU7	KEGG	ppu01100	Metabolic pathways	overview	overview	false
mqo1	PP_0751	Q88PU7	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
mqo1	PP_0751	Q88PU7	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
mqo1	PP_0751	Q88PU7	KEGG	ppu01200	Carbon metabolism	overview	overview	false
mqo1	PP_0751	Q88PU7	UniPathway	UPA00223	UniPathway UPA00223	specific	unipathway	false
hprA	PP_0762	Q88PT6	KEGG	ppu00260	Glycine, serine and threonine metabolism	specific	amino_acid_metabolism	false
hprA	PP_0762	Q88PT6	KEGG	ppu00630	Glyoxylate and dicarboxylate metabolism	specific	central_carbon	false
hprA	PP_0762	Q88PT6	KEGG	ppu00680	Methane metabolism	specific	energy_respiration_inorganic_metabolism	true
hprA	PP_0762	Q88PT6	KEGG	ppu01100	Metabolic pathways	overview	overview	false
hprA	PP_0762	Q88PT6	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
hprA	PP_0762	Q88PT6	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
hprA	PP_0762	Q88PT6	KEGG	ppu01200	Carbon metabolism	overview	overview	false
PP_0772	PP_0772	Q88PS6	KEGG	ppu00620	Pyruvate metabolism	specific	central_carbon	true
PP_0772	PP_0772	Q88PS6	KEGG	ppu01100	Metabolic pathways	overview	overview	false
pta	PP_0774	Q88PS4	KEGG	ppu00430	Taurine and hypotaurine metabolism	specific	amino_acid_metabolism	true
pta	PP_0774	Q88PS4	KEGG	ppu00620	Pyruvate metabolism	specific	central_carbon	false
pta	PP_0774	Q88PS4	KEGG	ppu00640	Propanoate metabolism	specific	central_carbon	false
pta	PP_0774	Q88PS4	KEGG	ppu00680	Methane metabolism	specific	energy_respiration_inorganic_metabolism	false
pta	PP_0774	Q88PS4	KEGG	ppu00720	Other carbon fixation pathways	specific	central_carbon	false
pta	PP_0774	Q88PS4	KEGG	ppu01100	Metabolic pathways	overview	overview	false
pta	PP_0774	Q88PS4	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
pta	PP_0774	Q88PS4	KEGG	ppu01200	Carbon metabolism	overview	overview	false
pta	PP_0774	Q88PS4	UniPathway	UPA00340	UniPathway UPA00340	specific	unipathway	false
PP_0777	PP_0777	Q88PS1	KEGG	ppu00480	Glutathione metabolism	specific	other_kegg_pathway	true
PP_0777	PP_0777	Q88PS1	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_0779	PP_0779	Q88PR9	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	false
PP_0779	PP_0779	Q88PR9	KEGG	ppu02030	Bacterial chemotaxis	specific	transport_motility_signaling	true
trxB	PP_0786	Q88PR2	KEGG	ppu00030	Pentose phosphate pathway	specific	central_carbon	true
trxB	PP_0786	Q88PR2	KEGG	ppu01100	Metabolic pathways	overview	overview	false
nadC	PP_0787	Q88PR1	KEGG	ppu00760	Nicotinate and nicotinamide metabolism	specific	cofactors_vitamins_redox	true
nadC	PP_0787	Q88PR1	KEGG	ppu01100	Metabolic pathways	overview	overview	false
nadC	PP_0787	Q88PR1	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
nadC	PP_0787	Q88PR1	UniPathway	UPA00253	UniPathway UPA00253	specific	unipathway	false
fruB	PP_0793	Q88PQ5	KEGG	ppu02060	Phosphotransferase system (PTS)	specific	transport_motility_signaling	true
fruK	PP_0794	Q88PQ4	KEGG	ppu00051	Fructose and mannose metabolism	specific	other_kegg_pathway	false
fruK	PP_0794	Q88PQ4	KEGG	ppu02060	Phosphotransferase system (PTS)	specific	transport_motility_signaling	true
fruK	PP_0794	Q88PQ4	KEGG	ppu01100	Metabolic pathways	overview	overview	false
fruA	PP_0795	Q88PQ3	KEGG	ppu00051	Fructose and mannose metabolism	specific	other_kegg_pathway	false
fruA	PP_0795	Q88PQ3	KEGG	ppu02060	Phosphotransferase system (PTS)	specific	transport_motility_signaling	true
fruA	PP_0795	Q88PQ3	KEGG	ppu01100	Metabolic pathways	overview	overview	false
fruA	PP_0795	Q88PQ3	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_0802	PP_0802	Q88PP6	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	false
PP_0802	PP_0802	Q88PP6	KEGG	ppu02030	Bacterial chemotaxis	specific	transport_motility_signaling	true
PP_0804	PP_0804	Q88PP4	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
PP_0806	PP_0806	Q88PP2	KEGG	ppu02024	Quorum sensing	specific	transport_motility_signaling	true
cyoA	PP_0812	Q88PN7	KEGG	ppu00190	Oxidative phosphorylation	specific	energy_respiration_inorganic_metabolism	true
cyoA	PP_0812	Q88PN7	KEGG	ppu01100	Metabolic pathways	overview	overview	false
cyoB	PP_0813	Q88PN6	KEGG	ppu00190	Oxidative phosphorylation	specific	energy_respiration_inorganic_metabolism	true
cyoB	PP_0813	Q88PN6	KEGG	ppu01100	Metabolic pathways	overview	overview	false
cyoC	PP_0814	Q88PN5	KEGG	ppu00190	Oxidative phosphorylation	specific	energy_respiration_inorganic_metabolism	true
cyoC	PP_0814	Q88PN5	KEGG	ppu01100	Metabolic pathways	overview	overview	false
cyoD	PP_0815	Q88PN4	KEGG	ppu00190	Oxidative phosphorylation	specific	energy_respiration_inorganic_metabolism	true
cyoD	PP_0815	Q88PN4	KEGG	ppu01100	Metabolic pathways	overview	overview	false
cyoE2	PP_0816	Q88PN3	KEGG	ppu00190	Oxidative phosphorylation	specific	energy_respiration_inorganic_metabolism	false
cyoE2	PP_0816	Q88PN3	KEGG	ppu00860	Porphyrin metabolism	specific	cofactors_vitamins_redox	true
