suggested_review_name	review_name_collision	uniprot_accession	entry_name	primary_gene	ordered_locus	all_gene_names	protein_name	reviewed	annotation_score	length	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	kegg_ids	biocyc_ids	unipathway_ids	refseq_ids	keywords
cbcV	false	Q88R40	Q88R40_PSEPK	cbcV	PP_0294	cbcV PP_0294	Choline / betaine / carnitine ABC transporter-ATP binding subunit (EC 3.6.3.32)	unreviewed	2.0	392	3.6.3.32	GO:0005524; GO:0006970; GO:0015220; GO:0016887; GO:0055052	IPR003593;IPR051921;IPR003439;IPR017871;IPR022473;IPR027417;	PF00005;	PTHR43869;PTHR43869:SF1;	ppu:PP_0294;	PPUT160488:G1G01-325-MONOMER;		WP_010951660.1;	ATP-binding;Hydrolase;Nucleotide-binding;Reference proteome;Transport
cbcW	false	Q88R39	Q88R39_PSEPK	cbcW	PP_0295	cbcW PP_0295	Choline / betaine / carnitine ABC transporter-membrane subunit (EC 3.6.3.32)	unreviewed	2.0	281	3.6.3.32	GO:0005275; GO:0015226; GO:0015871; GO:0016787; GO:0031460; GO:0043190	IPR017784;IPR000515;IPR035906;	PF00528;	PTHR47737;PTHR47737:SF1;	ppu:PP_0295;	PPUT160488:G1G01-326-MONOMER;			Cell membrane;Hydrolase;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
cbcX	false	Q88R38	Q88R38_PSEPK	cbcX	PP_0296	cbcX PP_0296	Choline / betaine / carnitine ABC transporter-substrate binding protein (EC 3.6.3.32)	unreviewed	2.0	315	3.6.3.32	GO:0015871; GO:0016787; GO:0022857; GO:0033265; GO:0042597; GO:0043190	IPR017783;IPR007210;	PF04069;		ppu:PP_0296;	PPUT160488:G1G01-327-MONOMER;		WP_010951661.1;	Hydrolase;Reference proteome;Signal
tdcG-I	false	Q88R37	Q88R37_PSEPK	tdcG-I	PP_0297	tdcG-I PP_0297	L-serine dehydratase (EC 4.3.1.17)	unreviewed	2.0	458	4.3.1.17	GO:0003941; GO:0006094; GO:0009063; GO:0046872; GO:0051539	IPR029009;IPR051318;IPR004644;IPR005130;IPR005131;	PF03313;PF03315;	PTHR30182;PTHR30182:SF1;	ppu:PP_0297;	PPUT160488:G1G01-328-MONOMER;		WP_010951662.1;	4Fe-4S;Gluconeogenesis;Iron;Iron-sulfur;Lyase;Metal-binding;Reference proteome
gbdR	false	Q88R36	Q88R36_PSEPK	gbdR	PP_0298	gbdR PP_0298	AraC-family transcriptional regulator	unreviewed	1.0	368		GO:0003700; GO:0006351; GO:0009893; GO:0043565	IPR029062;IPR002818;IPR009057;IPR018060;IPR018062;IPR052158;	PF01965;PF12833;	PTHR43130;PTHR43130:SF3;	ppu:PP_0298;	PPUT160488:G1G01-330-MONOMER;		WP_010951663.1;	Activator;DNA-binding;Reference proteome;Transcription;Transcription regulation
PP_0299	false	Q88R35	Q88R35_PSEPK	PP_0299	PP_0299	PP_0299	Uncharacterized protein	unreviewed	1.0	152						ppu:PP_0299;	PPUT160488:G1G01-331-MONOMER;			Reference proteome
PP_0300	false	Q88R34	Q88R34_PSEPK	PP_0300	PP_0300	PP_0300	Metallopeptidase	unreviewed	1.0	528				PF13582;		ppu:PP_0300;	PPUT160488:G1G01-332-MONOMER;			Reference proteome
PP_0301	false	Q88R33	Q88R33_PSEPK	PP_0301	PP_0301	PP_0301	Betainyl-CoA thiolase (EC 2.3.1.-)	unreviewed	1.0	156	2.3.1.-	GO:0016746; GO:0047617	IPR050563;IPR029069;	PF13279;	PTHR31793;PTHR31793:SF2;	ppu:PP_0301;	PPUT160488:G1G01-333-MONOMER;		WP_010951666.1;	3D-structure;Acyltransferase;Reference proteome;Transferase
lcdH	false	Q88R32	LCDH_PSEPK	lcdH	PP_0302	lcdH PP_0302	L-carnitine dehydrogenase (CDH) (L-CDH) (EC 1.1.1.108)	reviewed	3.0	321	1.1.1.108	GO:0005737; GO:0006631; GO:0042413; GO:0047728; GO:0070403	IPR006176;IPR006108;IPR008927;IPR013328;IPR026578;IPR036291;	PF00725;PF02737;	PTHR48075;PTHR48075:SF5;	ppu:PP_0302;	PPUT160488:G1G01-334-MONOMER;	UPA00117;	WP_010951667.1;	Cytoplasm;NAD;Oxidoreductase;Reference proteome
PP_0303	false	Q88R31	Q88R31_PSEPK	PP_0303	PP_0303	PP_0303	Dehydrocarnitine cleavage enzyme (EC 2.3.1.-)	unreviewed	1.0	294	2.3.1.-	GO:0043720; GO:0046872	IPR013785;IPR008567;	PF05853;	PTHR37418:SF2;PTHR37418;	ppu:PP_0303;	PPUT160488:G1G01-335-MONOMER;		WP_010951668.1;	Acyltransferase;Metal-binding;Reference proteome;Transferase;Zinc
caiX	false	Q88R30	Q88R30_PSEPK	caiX	PP_0304	caiX PP_0304	Carnitine uptake ABC transporter, periplasmic component	unreviewed	1.0	314		GO:0015871; GO:0022857; GO:0033265; GO:0042597; GO:0043190	IPR017783;IPR007210;	PF04069;		ppu:PP_0304;	PPUT160488:G1G01-336-MONOMER;		WP_049588076.1;	Reference proteome;Signal
cdhR	false	Q88R29	Q88R29_PSEPK	cdhR	PP_0305	cdhR PP_0305	HTH-type transcriptional regulator CdhR	unreviewed	1.0	319		GO:0003700; GO:0006351; GO:0043565	IPR029062;IPR002818;IPR009057;IPR018060;IPR052158;	PF01965;PF12833;	PTHR43130;PTHR43130:SF3;	ppu:PP_0305;	PPUT160488:G1G01-337-MONOMER;			Reference proteome;Transcription;Transcription regulation
PP_0306	false	Q88R28	Q88R28_PSEPK	PP_0306	PP_0306	PP_0306	Uncharacterized protein	unreviewed	1.0	242						ppu:PP_0306;	PPUT160488:G1G01-339-MONOMER;			Reference proteome
PP_0307	false	Q88R27	Q88R27_PSEPK	PP_0307	PP_0307	PP_0307	Lysozyme inhibitor LprI-like N-terminal domain-containing protein	unreviewed	1.0	143			IPR009739;	PF07007;		ppu:PP_0307;	PPUT160488:G1G01-340-MONOMER;			3D-structure;Reference proteome;Signal
PP_0308	false	Q88R26	Q88R26_PSEPK	PP_0308	PP_0308	PP_0308	Dipeptidase	unreviewed	1.0	325		GO:0006508; GO:0070573	IPR032466;IPR008257;	PF01244;	PTHR10443:SF12;PTHR10443;	ppu:PP_0308;	PPUT160488:G1G01-341-MONOMER;		WP_003255700.1;	Reference proteome
PP_0309	false	Q88R25	Q88R25_PSEPK	PP_0309	PP_0309	PP_0309	4-vinyl reductase 4VR domain-containing protein	unreviewed	1.0	176			IPR045987;IPR024096;IPR004096;	PF19367;	PTHR35090;PTHR35090:SF1;	ppu:PP_0309;	PPUT160488:G1G01-342-MONOMER;		WP_003255698.1;	Reference proteome
dgcA	false	Q88R24	Q88R24_PSEPK	dgcA	PP_0310	dgcA PP_0310	Dimethylglycine dehydrogenase subunit (EC 1.5.8.-)	unreviewed	1.0	686	1.5.8.-	GO:0010181; GO:0016491	IPR013785;IPR036188;IPR023753;IPR051799;IPR001155;	PF00724;PF07992;	PTHR43656;PTHR43656:SF2;	ppu:PP_0310;	PPUT160488:G1G01-343-MONOMER;		WP_003255697.1;	Flavoprotein;Oxidoreductase;Reference proteome
dgcB	false	Q88R23	Q88R23_PSEPK	dgcB	PP_0311	dgcB PP_0311	Dimethylglycine dehydrogenase subunit (EC 1.5.8.-)	unreviewed	1.0	650	1.5.8.-	GO:0005886; GO:0016491; GO:0046872; GO:0051539	IPR017896;IPR017900;IPR021872;IPR004017;IPR009051;	PF02754;PF11982;PF13183;	PTHR43255:SF1;PTHR43255;	ppu:PP_0311;	PPUT160488:G1G01-344-MONOMER;		WP_010951673.1;	4Fe-4S;Iron;Iron-sulfur;Membrane;Metal-binding;Oxidoreductase;Reference proteome;Transmembrane;Transmembrane helix
PP_0312	false	Q88R22	Q88R22_PSEPK	PP_0312	PP_0312	PP_0312	Electron transfer flavoprotein, alpha subunit	unreviewed	1.0	410		GO:0009055; GO:0033539; GO:0050660	IPR029035;IPR014730;IPR001308;IPR014731;IPR014729;	PF01012;PF00766;	PTHR43153;PTHR43153:SF1;	ppu:PP_0312;	PPUT160488:G1G01-345-MONOMER;		WP_049588082.1;	Electron transport;Reference proteome;Transport
PP_0313	false	Q88R21	Q88R21_PSEPK	PP_0313	PP_0313	PP_0313	Electron transfer flavoprotein beta subunit	unreviewed	1.0	256		GO:0009055	IPR014730;IPR012255;IPR014729;	PF01012;	PTHR21294;PTHR21294:SF8;	ppu:PP_0313;	PPUT160488:G1G01-346-MONOMER;		WP_010951675.1;	Electron transport;Reference proteome;Transport
PP_0314	false	Q88R20	Q88R20_PSEPK	PP_0314	PP_0314	PP_0314	RHS repeat-associated core domain-containing protein	unreviewed	1.0	243			IPR022385;			ppu:PP_0314;	PPUT160488:G1G01-347-MONOMER;			Reference proteome
gbcA	false	Q88R19	Q88R19_PSEPK	gbcA	PP_0315	gbcA PP_0315	Glycine-betaine dioxygenase subunit (EC 1.13.-.-)	unreviewed	1.0	430	1.13.-.-	GO:0005506; GO:0051213; GO:0051537	IPR017941;IPR036922;IPR015879;IPR001663;	PF00355;PF00848;	PTHR43756;PTHR43756:SF5;	ppu:PP_0315;	PPUT160488:G1G01-348-MONOMER;		WP_010951677.1;	2Fe-2S;Dioxygenase;Iron;Iron-sulfur;Metal-binding;Oxidoreductase;Reference proteome
gbcB	false	Q88R18	Q88R18_PSEPK	gbcB	PP_0316	gbcB PP_0316	Glycine-betaine dioxygenase subunit (EC 1.13.-.-)	unreviewed	1.0	368	1.13.-.-	GO:0046872; GO:0051213; GO:0051537	IPR036010;IPR001041;IPR006058;IPR012675;IPR008333;IPR017927;IPR001709;IPR039261;IPR050415;IPR001433;IPR017938;	PF00970;PF00111;PF00175;	PTHR47354;PTHR47354:SF6;	ppu:PP_0316;	PPUT160488:G1G01-349-MONOMER;			2Fe-2S;Dioxygenase;FAD;Flavoprotein;Iron;Iron-sulfur;Metal-binding;Oxidoreductase;Reference proteome
PP_0317	false	Q88R17	Q88R17_PSEPK	PP_0317	PP_0317	PP_0317	Methyl-accepting chemotaxis transducer	unreviewed	2.0	541		GO:0004888; GO:0005886; GO:0006935; GO:0007165	IPR004090;IPR003660;IPR024478;IPR004089;	PF12729;PF00672;PF00015;	PTHR32089;PTHR32089:SF120;	ppu:PP_0317;	PPUT160488:G1G01-350-MONOMER;		WP_010951679.1;	Cell membrane;Chemotaxis;Membrane;Methylation;Reference proteome;Transducer;Transmembrane;Transmembrane helix
PP_0318	false	Q88R16	Q88R16_PSEPK	PP_0318	PP_0318	PP_0318	DUF904 domain-containing protein	unreviewed	1.0	76						ppu:PP_0318;	PPUT160488:G1G01-351-MONOMER;		WP_003255686.1;	Coiled coil;Reference proteome
PP_0319	false	Q88R15	Q88R15_PSEPK	PP_0319	PP_0319	PP_0319	Uncharacterized protein	unreviewed	1.0	100			IPR007838;IPR036192;IPR042233;	PF05164;		ppu:PP_0319;	PPUT160488:G1G01-352-MONOMER;		WP_003255684.1;	Coiled coil;Reference proteome
mcpH	false	Q88R14	MCPH_PSEPK	mcpH	PP_0320	mcpH PP_0320	Methyl-accepting chemotaxis protein McpH	reviewed	3.0	645		GO:0005886; GO:0006935; GO:0007165	IPR033479;IPR003660;IPR004089;	PF02743;PF00672;PF00015;	PTHR32089:SF112;PTHR32089;	ppu:PP_0320;	PPUT160488:G1G01-353-MONOMER;			3D-structure;Cell membrane;Chemotaxis;Membrane;Methylation;Reference proteome;Transducer;Transmembrane;Transmembrane helix
ltaE	false	Q88R13	Q88R13_PSEPK	ltaE	PP_0321	ltaE PP_0321	L-threonine aldolase (EC 4.1.2.48)	unreviewed	2.0	346	4.1.2.48	GO:0006567; GO:0008732	IPR001597;IPR026273;IPR015424;IPR015421;IPR015422;	PF01212;	PTHR48097;PTHR48097:SF5;	ppu:PP_0321;	PPUT160488:G1G01-354-MONOMER;		WP_010951681.1;	Lyase;Pyridoxal phosphate;Reference proteome
glyA1	false	Q88R12	GLYA1_PSEPK	glyA1	PP_0322	glyA1 glyA-1 PP_0322	Serine hydroxymethyltransferase 1 (SHMT 1) (Serine methylase 1) (EC 2.1.2.1)	reviewed	3.0	417	2.1.2.1	GO:0004372; GO:0005829; GO:0019264; GO:0030170; GO:0035999	IPR015424;IPR015421;IPR015422;IPR001085;IPR049943;IPR019798;IPR039429;	PF00464;	PTHR11680;PTHR11680:SF50;	ppu:PP_0322;	PPUT160488:G1G01-355-MONOMER;	UPA00193;UPA00288;	WP_003255681.1;	Amino-acid biosynthesis;Cytoplasm;One-carbon metabolism;Pyridoxal phosphate;Reference proteome;Transferase
soxB	false	Q88R11	Q88R11_PSEPK	soxB	PP_0323	soxB PP_0323	Sarcosine oxidase subunit beta (EC 1.5.3.24) (Sarcosine oxidase (5,10-methylenetetrahydrofolate-forming) subunit beta) (Tetrameric sarcosine oxidase subunit beta)	unreviewed	2.0	416	1.5.3.24	GO:0000166; GO:0005737; GO:0008115; GO:0046653	IPR006076;IPR036188;IPR001763;IPR006278;	PF01266;	PTHR13847:SF287;PTHR13847;	ppu:PP_0323;	PPUT160488:G1G01-356-MONOMER;		WP_003255680.1;	Cytoplasm;FAD;Flavoprotein;FMN;Nucleotide-binding;Oxidoreductase;Reference proteome
soxD	false	Q88R10	Q88R10_PSEPK	soxD	PP_0324	soxD PP_0324	Sarcosine oxidase subunit delta (EC 1.5.3.1)	unreviewed	1.0	111	1.5.3.1	GO:0008115; GO:0046653	IPR006279;IPR038561;	PF04267;		ppu:PP_0324;	PPUT160488:G1G01-357-MONOMER;		WP_010951682.1;	Oxidoreductase;Reference proteome
soxA	false	Q88R09	Q88R09_PSEPK	soxA	PP_0325	soxA PP_0325	Sarcosine oxidase subunit alpha (EC 1.5.3.1)	unreviewed	1.0	1004	1.5.3.1	GO:0008115; GO:0008483; GO:0046653	IPR042204;IPR036188;IPR023753;IPR028896;IPR029043;IPR013977;IPR006222;IPR006277;IPR041117;IPR027266;	PF13510;PF01571;PF08669;PF07992;PF17806;	PTHR43757;PTHR43757:SF2;	ppu:PP_0325;	PPUT160488:G1G01-358-MONOMER;		WP_010951683.1;	Aminotransferase;Oxidoreductase;Reference proteome;Transferase
soxG	false	Q88R08	Q88R08_PSEPK	soxG	PP_0326	soxG PP_0326	Sarcosine oxidase subunit gamma (EC 1.5.3.1)	unreviewed	1.0	210	1.5.3.1	GO:0008115; GO:1901053	IPR007375;IPR006280;IPR027266;	PF04268;		ppu:PP_0326;	PPUT160488:G1G01-359-MONOMER;		WP_003255677.1;	Oxidoreductase;Reference proteome
purU-I	false	Q88R07	Q88R07_PSEPK	purU-I	PP_0327	purU-I purU PP_0327	Formyltetrahydrofolate deformylase (EC 3.5.1.10) (Formyl-FH(4) hydrolase)	unreviewed	2.0	285	3.5.1.10	GO:0006189; GO:0006730; GO:0008864	IPR045865;IPR041729;IPR002376;IPR036477;IPR004810;IPR044074;	PF00551;	PTHR42706;PTHR42706:SF1;	ppu:PP_0327;	PPUT160488:G1G01-360-MONOMER;	UPA00074;	WP_003255675.1;	3D-structure;Hydrolase;One-carbon metabolism;Purine biosynthesis;Reference proteome
fdhA	false	Q88R06	Q88R06_PSEPK	fdhA	PP_0328	fdhA PP_0328	Formaldehyde dehydrogenase (EC 1.2.1.46)	unreviewed	1.0	399	1.2.1.46	GO:0008270; GO:0018467	IPR013149;IPR013154;IPR002328;IPR011032;IPR014184;IPR036291;	PF08240;PF00107;	PTHR42813:SF3;PTHR42813;	ppu:PP_0328;	PPUT160488:G1G01-361-MONOMER;		WP_003255673.1;	Metal-binding;NAD;Oxidoreductase;Reference proteome;Zinc
PP_0329	false	Q88R05	Q88R05_PSEPK	PP_0329	PP_0329	PP_0329	RHS repeat-associated core domain-containing protein	unreviewed	1.0	307			IPR022385;			ppu:PP_0329;	PPUT160488:G1G01-362-MONOMER;		WP_010951684.1;	Reference proteome
PP_0330	false	Q88R04	Q88R04_PSEPK	PP_0330	PP_0330	PP_0330	DUF2780 domain-containing protein	unreviewed	1.0	191			IPR021302;	PF11075;		ppu:PP_0330;	PPUT160488:G1G01-363-MONOMER;		WP_049588087.1;	Reference proteome;Signal
PP_0331	false	Q88R03	Q88R03_PSEPK	PP_0331	PP_0331	PP_0331	RHS repeat-associated core domain-containing protein	unreviewed	1.0	249			IPR022385;			ppu:PP_0331;	PPUT160488:G1G01-364-MONOMER;			Reference proteome
PP_0332	false	Q88R02	Q88R02_PSEPK	PP_0332	PP_0332	PP_0332	Acyltransferase	unreviewed	1.0	295		GO:0016746	IPR002123;	PF01553;	PTHR10983;PTHR10983:SF16;	ppu:PP_0332;	PPUT160488:G1G01-365-MONOMER;		WP_010951687.1;	Acyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
PP_0333	false	Q88R01	Q88R01_PSEPK	PP_0333	PP_0333	PP_0333	Retropepsin-like aspartic endopeptidase RimB domain-containing protein	unreviewed	1.0	166			IPR008503;IPR021109;	PF05618;	PTHR38037:SF2;PTHR38037;	ppu:PP_0333;	PPUT160488:G1G01-366-MONOMER;		WP_010951688.1;	Reference proteome;Signal
PP_0334	false	Q88R00	Q88R00_PSEPK	PP_0334	PP_0334	PP_0334	Transposase	unreviewed	1.0	352		GO:0003677; GO:0004803; GO:0006313	IPR002525;IPR047650;IPR003346;	PF01548;PF02371;	PTHR33055:SF3;PTHR33055;	ppu:PP_0334;	PPUT160488:G1G01-367-MONOMER;		WP_010951689.1;	Reference proteome
PP_0335	false	Q88QZ9	Q88QZ9_PSEPK	PP_0335	PP_0335	PP_0335	Glutathione S-transferase family protein	unreviewed	1.0	207		GO:0005737	IPR036282;IPR004045;IPR050983;IPR036249;	PF13410;PF13417;	PTHR43968;PTHR43968:SF6;	ppu:PP_0335;	PPUT160488:G1G01-368-MONOMER;		WP_010951690.1;	Reference proteome
msrA	false	Q88QZ8	MSRA_PSEPK	msrA	PP_0336	msrA PP_0336	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	reviewed	2.0	222	1.8.4.11	GO:0005737; GO:0008113; GO:0033744; GO:0034599	IPR002569;IPR036509;IPR050162;	PF01625;	PTHR42799;PTHR42799:SF2;	ppu:PP_0336;	PPUT160488:G1G01-369-MONOMER;		WP_010951691.1;	Oxidoreductase;Reference proteome
PP_0337	false	Q88QZ7	Q88QZ7_PSEPK	PP_0337	PP_0337	PP_0337	cyclic-guanylate-specific phosphodiesterase (EC 3.1.4.52)	unreviewed	1.0	896	3.1.4.52	GO:0071111	IPR052155;IPR001633;IPR035919;IPR003018;IPR029016;IPR000160;IPR029787;IPR001610;IPR000014;IPR000700;IPR035965;IPR043128;	PF00563;PF01590;PF00990;PF13426;	PTHR44757:SF2;PTHR44757;	ppu:PP_0337;	PPUT160488:G1G01-370-MONOMER;		WP_010951692.1;	c-di-GMP;Reference proteome
aceF	false	Q88QZ6	Q88QZ6_PSEPK	aceF	PP_0338	aceF PP_0338	Acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	unreviewed	2.0	546	2.3.1.12	GO:0004742; GO:0005737; GO:0006086; GO:0016491; GO:0031405; GO:0045254	IPR003016;IPR001078;IPR050743;IPR006256;IPR000089;IPR023213;IPR036625;IPR004167;IPR011053;	PF00198;PF00364;PF02817;	PTHR43178;PTHR43178:SF2;	ppu:PP_0338;	PPUT160488:G1G01-371-MONOMER;		WP_003255652.1;	Acyltransferase;Lipoyl;Oxidoreductase;Reference proteome;Repeat;Transferase
aceE	false	Q88QZ5	Q88QZ5_PSEPK	aceE	PP_0339	aceE PP_0339	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	unreviewed	2.0	881	1.2.4.1	GO:0004739; GO:0046872	IPR035807;IPR051157;IPR004660;IPR041621;IPR029061;IPR009014;IPR055152;IPR005474;	PF17831;PF28598;PF22613;PF00456;	PTHR43825;PTHR43825:SF3;	ppu:PP_0339;	PPUT160488:G1G01-372-MONOMER;		WP_010951693.1;	Magnesium;Metal-binding;Oxidoreductase;Pyruvate;Reference proteome;Thiamine pyrophosphate
glnE	false	Q88QZ4	GLNE_PSEPK	glnE	PP_0340	glnE PP_0340	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme (ATP:glutamine synthetase adenylyltransferase) (ATase) [Includes: Glutamine synthetase adenylyl-L-tyrosine phosphorylase (EC 2.7.7.89) (Adenylyl removase) (AR) (AT-N); Glutamine synthetase adenylyl transferase (EC 2.7.7.42) (Adenylyl transferase) (AT) (AT-C)]	reviewed	3.0	977	2.7.7.42; 2.7.7.89	GO:0000287; GO:0005524; GO:0005829; GO:0008882; GO:0047388	IPR023057;IPR005190;IPR043519;IPR013546;	PF08335;PF03710;	PTHR30621:SF0;PTHR30621;	ppu:PP_0340;	PPUT160488:G1G01-373-MONOMER;		WP_010951694.1;	ATP-binding;Magnesium;Multifunctional enzyme;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase
waaF	false	Q88QZ3	Q88QZ3_PSEPK	waaF	PP_0341	waaF PP_0341	lipopolysaccharide heptosyltransferase II (EC 2.4.99.24)	unreviewed	2.0	349	2.4.99.24	GO:0005829; GO:0008713; GO:0009244	IPR002201;IPR051199;IPR011910;	PF01075;	PTHR30160:SF7;PTHR30160;	ppu:PP_0341;	PPUT160488:G1G01-374-MONOMER;		WP_010951695.1;	Glycosyltransferase;Reference proteome;Transferase
waaC	false	Q88QZ2	Q88QZ2_PSEPK	waaC	PP_0342	waaC PP_0342	Lipopolysaccharide heptosyltransferase 1 (EC 2.4.99.23) (ADP-heptose:lipopolysaccharide heptosyltransferase I)	unreviewed	2.0	352	2.4.99.23	GO:0005829; GO:0005886; GO:0008713; GO:0009244	IPR002201;IPR011908;IPR051199;	PF01075;	PTHR30160:SF19;PTHR30160;	ppu:PP_0342;	PPUT160488:G1G01-375-MONOMER;		WP_003255648.1;	Cell inner membrane;Cell membrane;Glycosyltransferase;Lipopolysaccharide biosynthesis;Membrane;Reference proteome;Transferase
waaG	false	Q88QZ1	Q88QZ1_PSEPK	waaG	PP_0343	waaG PP_0343	Lipopolysaccharide glucosyltransferase I (EC 2.4.1.58)	unreviewed	1.0	374	2.4.1.58	GO:0008919	IPR001296;	PF00534;	PTHR12526;PTHR12526:SF641;	ppu:PP_0343;	PPUT160488:G1G01-376-MONOMER;		WP_010951696.1;	Glycosyltransferase;Reference proteome;Transferase
waaP	false	Q88QZ0	Q88QZ0_PSEPK	waaP	PP_0344	waaP PP_0344	Lipopolysaccharide core heptose(I) kinase (EC 2.7.1.-)	unreviewed	2.0	268	2.7.1.-	GO:0005524; GO:0009244; GO:0016301	IPR011009;IPR017172;	PF06293;		ppu:PP_0344;	PPUT160488:G1G01-377-MONOMER;	UPA00958;	WP_010951697.1;	ATP-binding;Kinase;Lipopolysaccharide biosynthesis;Nucleotide-binding;Reference proteome;Transferase
PP_0345	false	Q88QY9	Q88QY9_PSEPK	PP_0345	PP_0345	PP_0345	Heptose kinase WapP	unreviewed	1.0	244		GO:0016301	IPR011009;	PF06293;		ppu:PP_0345;	PPUT160488:G1G01-378-MONOMER;		WP_010951698.1;	Kinase;Reference proteome;Transferase
PP_0346	false	Q88QY8	Q88QY8_PSEPK	PP_0346	PP_0346	PP_0346	Heptose kinase WapQ	unreviewed	1.0	250		GO:0016301	IPR011009;IPR027023;	PF06293;		ppu:PP_0346;	PPUT160488:G1G01-379-MONOMER;		WP_003255640.1;	Kinase;Reference proteome;Transferase
PP_0347	false	Q88QY7	Q88QY7_PSEPK	PP_0347	PP_0347	PP_0347	Serine/threonine protein kinase	unreviewed	1.0	480			IPR011009;	PF06293;		ppu:PP_0347;	PPUT160488:G1G01-380-MONOMER;		WP_010951699.1;	Reference proteome
PP_0348	false	Q88QY6	Q88QY6_PSEPK	PP_0348	PP_0348	PP_0348	Dermonecrotic toxin N-terminal domain-containing protein	unreviewed	1.0	928			IPR046673;	PF20178;		ppu:PP_0348;	PPUT160488:G1G01-381-MONOMER;		WP_010951700.1;	Reference proteome
PP_0349	false	Q88QY5	Q88QY5_PSEPK	PP_0349	PP_0349	PP_0349	Membrane protein	unreviewed	1.0	370			IPR005625;	PF03929;	PTHR34219:SF3;PTHR34219;	ppu:PP_0349;	PPUT160488:G1G01-383-MONOMER;		WP_010951701.1;	Membrane;Reference proteome;Transmembrane;Transmembrane helix
PP_0350	false	Q88QY4	Q88QY4_PSEPK	PP_0350	PP_0350	PP_0350	Metal-pseudopaline receptor CntO	unreviewed	2.0	810		GO:0006829; GO:0009279; GO:0015344; GO:0015675; GO:0015891; GO:0038023	IPR000531;IPR036942;IPR012910;IPR037066;IPR011662;IPR039426;IPR010917;IPR010105;	PF07715;PF00593;	PTHR32552;PTHR32552:SF68;	ppu:PP_0350;	PPUT160488:G1G01-384-MONOMER;		WP_010951702.1;	Cell outer membrane;Ion transport;Iron;Iron transport;Membrane;Nickel;Nickel transport;Receptor;Reference proteome;Signal;TonB box;Transmembrane;Transmembrane beta strand;Transport;Zinc;Zinc transport
PP_0351	false	Q88QY3	Q88QY3_PSEPK	PP_0351	PP_0351	PP_0351	Transmembrane sensor protein	unreviewed	1.0	318		GO:0016989	IPR006860;IPR032623;IPR012373;	PF16220;PF04773;	PTHR30273;PTHR30273:SF2;	ppu:PP_0351;	PPUT160488:G1G01-385-MONOMER;		WP_010951703.1;	Membrane;Reference proteome;Transmembrane;Transmembrane helix
PP_0352	false	Q88QY2	Q88QY2_PSEPK	PP_0352	PP_0352	PP_0352	RNA polymerase sigma-70 factor, ECF subfamily	unreviewed	1.0	172		GO:0003677; GO:0006352; GO:0016987	IPR039425;IPR014284;IPR007627;IPR013249;IPR013325;IPR013324;IPR036388;	PF04542;PF08281;	PTHR43133;PTHR43133:SF63;	ppu:PP_0352;	PPUT160488:G1G01-386-MONOMER;		WP_010951704.1;	Reference proteome;Sigma factor;Transcription;Transcription regulation
PP_0353	false	Q88QY1	Q88QY1_PSEPK	PP_0353	PP_0353	PP_0353	Exonuclease	unreviewed	1.0	236		GO:0003676; GO:0005829; GO:0006259; GO:0008408	IPR013520;IPR012337;IPR036397;	PF00929;	PTHR30231;PTHR30231:SF4;	ppu:PP_0353;	PPUT160488:G1G01-387-MONOMER;		WP_010951705.1;	Exonuclease;Hydrolase;Nuclease;Reference proteome
PP_0354	false	Q88QY0	Q88QY0_PSEPK	PP_0354	PP_0354	PP_0354	CBS domain protein	unreviewed	1.0	645		GO:0008773	IPR000644;IPR046342;IPR000595;IPR018490;IPR051257;IPR018821;IPR005105;IPR014710;	PF00571;PF03445;PF10335;	PTHR43080:SF2;PTHR43080;	ppu:PP_0354;	PPUT160488:G1G01-388-MONOMER;		WP_010951706.1;	CBS domain;Reference proteome
PP_0355	false	Q88QX9	Q88QX9_PSEPK	PP_0355	PP_0355	PP_0355	Response regulator	unreviewed	1.0	189		GO:0000160	IPR050595;IPR011006;IPR001789;	PF00072;	PTHR44591:SF3;PTHR44591;	ppu:PP_0355;	PPUT160488:G1G01-389-MONOMER;			3D-structure;Phosphoprotein;Reference proteome
glcB	false	Q88QX8	MASZ_PSEPK	glcB	PP_0356	glcB PP_0356	Malate synthase G (EC 2.3.3.9)	reviewed	3.0	725	2.3.3.9	GO:0000287; GO:0004474; GO:0005829; GO:0006097; GO:0006099; GO:0009436	IPR044856;IPR011076;IPR001465;IPR006253;IPR048355;IPR048356;IPR046363;IPR048357;	PF20659;PF20656;PF01274;PF20658;	PTHR42739;PTHR42739:SF1;	ppu:PP_0356;	PPUT160488:G1G01-390-MONOMER;	UPA00703;	WP_010951708.1;	Cytoplasm;Glyoxylate bypass;Magnesium;Metal-binding;Oxidation;Reference proteome;Transferase;Tricarboxylic acid cycle
