gene	ordered_locus	uniprot_accession	protein_name	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
fleS	PP_4372	Q88ET1	histidine kinase (EC 2.7.13.3)	alginate_biofilm_regulation	Alginate, c-di-GMP, and biofilm regulation	alginate_biofilm_regulation_boundary	NEW_SUBMODULE	CURATED	Alg/Kin/Wsp/Cbr/Fle-like regulatory context for biofilm or surface behavior.	PRESENT	CURATED	PRESENT
PP_4607	PP_4607	Q88E61	Transmembrane sensor	iron_uptake_regulation	Iron uptake regulation	iron_uptake_regulation_boundary	NEW_SUBMODULE	CURATED	Pfe/Fec/Fep iron-uptake regulatory and receptor context; separate from generic TCS.	PRESENT	CURATED	PRESENT
PP_4611	PP_4611	Q88E57	RNA polymerase sigma-70 factor, ECF subfamily	iron_uptake_regulation	Iron uptake regulation	iron_uptake_regulation_boundary	NEW_SUBMODULE	CURATED	Pfe/Fec/Fep iron-uptake regulatory and receptor context; separate from generic TCS.	PRESENT	CURATED	PRESENT
PP_4612	PP_4612	Q88E56	FecR protein	iron_uptake_regulation	Iron uptake regulation	iron_uptake_regulation_boundary	NEW_SUBMODULE	CURATED	Pfe/Fec/Fep iron-uptake regulatory and receptor context; separate from generic TCS.	PRESENT	CURATED	PRESENT
PP_4696	PP_4696	Q88DX2	Alginate biosynthesis transcriptional regulatory protein AlgB	alginate_biofilm_regulation	Alginate, c-di-GMP, and biofilm regulation	alginate_biofilm_regulation_boundary	NEW_SUBMODULE	CURATED	Alg/Kin/Wsp/Cbr/Fle-like regulatory context for biofilm or surface behavior.	PRESENT	CURATED	PRESENT
glnL	PP_5047	Q88CY2	Sensory histidine kinase/phosphatase NtrB (EC 2.7.13.3) (Nitrogen regulation protein NR(II)) (Nitrogen regulator II)	nitrogen_phosphate_potassium_homeostasis	Nitrogen, phosphate, and potassium homeostasis	inorganic_nutrient_homeostasis_regulation_boundary	NEW_SUBMODULE	CURATED	NtrBC/GlnD, PhoBR, and Kdp potassium-transport/regulation context.	PRESENT	CURATED	PRESENT
glnG	PP_5048	Q88CY1	DNA-binding transcriptional regulator NtrC (Nitrogen regulation protein NR(I))	nitrogen_phosphate_potassium_homeostasis	Nitrogen, phosphate, and potassium homeostasis	inorganic_nutrient_homeostasis_regulation_boundary	NEW_SUBMODULE	CURATED	NtrBC/GlnD, PhoBR, and Kdp potassium-transport/regulation context.	PRESENT	CURATED	PRESENT
phoB	PP_5320	Q88C63	Phosphate regulon transcriptional regulatory protein PhoB	nitrogen_phosphate_potassium_homeostasis	Nitrogen, phosphate, and potassium homeostasis	inorganic_nutrient_homeostasis_regulation_boundary	NEW_SUBMODULE	CURATED	NtrBC/GlnD, PhoBR, and Kdp potassium-transport/regulation context.	PRESENT	CURATED	PRESENT
phoR	PP_5321	Q88C62	Phosphate regulon sensor protein PhoR (EC 2.7.13.3)	nitrogen_phosphate_potassium_homeostasis	Nitrogen, phosphate, and potassium homeostasis	inorganic_nutrient_homeostasis_regulation_boundary	NEW_SUBMODULE	CURATED	NtrBC/GlnD, PhoBR, and Kdp potassium-transport/regulation context.	PRESENT	CURATED	PRESENT
copR-II	PP_5383	Q88C00	Transcriptional activator protein	heavy_metal_copper_zinc_response	Heavy-metal/copper/zinc response and efflux	metal_cation_response_efflux_boundary	NEW_SUBMODULE	CURATED	Czc/Cop/Cus regulatory and efflux context; likely needs a metal-response boundary module.	PRESENT	CURATED	PRESENT
copS	PP_5384	Q88BZ9	Sensor protein (EC 2.7.13.3)	heavy_metal_copper_zinc_response	Heavy-metal/copper/zinc response and efflux	metal_cation_response_efflux_boundary	NEW_SUBMODULE	CURATED	Czc/Cop/Cus regulatory and efflux context; likely needs a metal-response boundary module.	PRESENT	CURATED	PRESENT
czcC	PP_5385	Q88BZ8	Metal RND efflux outer membrane protein, CzcC family	heavy_metal_copper_zinc_response	Heavy-metal/copper/zinc response and efflux	metal_cation_response_efflux_boundary	NEW_SUBMODULE	CURATED	Czc/Cop/Cus regulatory and efflux context; likely needs a metal-response boundary module.	PRESENT	CURATED	PRESENT
cusB	PP_5386	Q88BZ7	Probable copper RND efflux membrane fusion protein, CzcB family	heavy_metal_copper_zinc_response	Heavy-metal/copper/zinc response and efflux	metal_cation_response_efflux_boundary	NEW_SUBMODULE	CURATED	Czc/Cop/Cus regulatory and efflux context; likely needs a metal-response boundary module.	PRESENT	CURATED	PRESENT
cusA	PP_5387	Q88BZ6	Probable copper efflux transporter, CzcA family	heavy_metal_copper_zinc_response	Heavy-metal/copper/zinc response and efflux	metal_cation_response_efflux_boundary	NEW_SUBMODULE	CURATED	Czc/Cop/Cus regulatory and efflux context; likely needs a metal-response boundary module.	PRESENT	CURATED	PRESENT
cusF	PP_5388	Q88BZ5	Probable exported copper efflux protein	heavy_metal_copper_zinc_response	Heavy-metal/copper/zinc response and efflux	metal_cation_response_efflux_boundary	NEW_SUBMODULE	CURATED	Czc/Cop/Cus regulatory and efflux context; likely needs a metal-response boundary module.	PRESENT	CURATED	PRESENT
kdpF	PP_5660	A0A140FWL2	Potassium-transporting ATPase F	nitrogen_phosphate_potassium_homeostasis	Nitrogen, phosphate, and potassium homeostasis	inorganic_nutrient_homeostasis_regulation_boundary	NEW_SUBMODULE	CURATED	NtrBC/GlnD, PhoBR, and Kdp potassium-transport/regulation context.	PRESENT	CURATED	PRESENT
