citation	species	family_stem	named_in_paper	citing_but_absent	n_absent
PMID:22922713	worm	OSM-	OSM-3;OSM-6	osm-5	1
PMID:26150102	worm	BBS-	BBS-1;BBS-4;BBS-5;BBS-7	bbs-9	1
PMID:25335890	worm	NPHP-	NPHP-2	nphp-1	1
PMID:25335890	worm	BBS-	BBS-8	bbs-7	1
PMID:1732156	worm	DAF-	DAF-11;DAF-16;DAF-18;DAF-2;DAF-20;DAF-3;DAF-5	daf-10	1
PMID:17420466	worm	OSM-	OSM-3	osm-5	1
PMID:16957054	worm	DYF-	DYF-2	dyf-13	1
PMID:17189267	worm	HSP-	HSP-6;HSP-60	hsp-1	1
PMID:17277769	worm	DAF-	DAF-16	daf-2	1
PMID:11381260	worm	DAF-	DAF-16;DAF-2	daf-10	1
PMID:18358814	worm	DAF-	DAF-16	daf-2	1
PMID:23770237	worm	DAF-	DAF-16	daf-2	1
PMID:22560223	worm	DAF-	DAF-16	daf-2	1
PMID:23332754	worm	HSP-	HSP-1	hsp-90	1
PMID:18722182	worm	FIS-	FIS-2	fis-1	1
PMID:15916950	worm	DYF-	DYF-13	dyf-1	1
PMID:12435362	worm	GLH-	GLH-1;GLH-4	glh-2	1
PMID:15280428	worm	HSP-	HSP-6;HSP-60	hsp-4	1
PMID:20133860	worm	IRG-	IRG-1	irg-2	1
PMID:17264081	worm	MEX-	MEX-5	mex-6	1
PMID:26787882	worm	PGL-	PGL-1	pgl-3	1
PMID:14711416	worm	TAX-	TAX-4	tax-2	1
PMID:8893027	worm	TAX-	TAX-4	tax-2	1
PMID:17892321	yeast	SSA	SSA1;SSA2	SSA4	1
PMID:19536198	yeast	CCT	CCT2;CCT3;CCT4;CCT6;CCT8	CCT5	1
PMID:11733989	yeast	CAF	CAF1;CAF130;CAF40	CAF120	1
PMID:23396352	yeast	CPR	CPR6	CPR7	1
PMID:24291094	yeast	HSP	HSP104;HSP70	HSP26	1
PMID:16051752	yeast	HST	HST2	HST1	1
PMID:15282295	yeast	SIR	SIR2;SIR4	SIR3	1
PMID:17043313	yeast	SIR	SIR2	SIR4	1
PMID:11689698	yeast	SIR	SIR2;SIR3;SIR3P;SIR4P	SIR4	1
PMID:32188938	yeast	SWI	SWI1;SWI3;SWI318;SWI3A	SWI2	1
PMID:15456889	yeast	SSB	SSB1	SSB2	1
PMID:39043178	yeast	SWI	SWI3;SWI414	SWI2	1
PMID:12637749	yeast	TIM	TIM22	TIM10	1
PMID:9495346	yeast	TIM	TIM10;TIM12;TIM17;TIM22;TIM23;TIM44	TIM9	1
PMID:9822593	yeast	TIM	TIM10;TIM10P;TIM12;TIM12P;TIM22P;TIM54P;TIM9P	TIM9	1
