citation	species	family_stem	n_members	members
GO_REF:0000117	human	VPS	7	VPS28;VPS37A;VPS37B;VPS37C;VPS37D;VPS4A;VPS4B
GO_REF:0000024	human	ATG	7	ATG12;ATG14;ATG2A;ATG2B;ATG5;ATG7;ATG9A
GO_REF:0000044	human	NDUFAF	7	NDUFAF1;NDUFAF2;NDUFAF3;NDUFAF4;NDUFAF5;NDUFAF6;NDUFAF7
GO_REF:0000044	human	TRAPPC	7	TRAPPC1;TRAPPC11;TRAPPC12;TRAPPC3;TRAPPC4;TRAPPC5;TRAPPC8
GO_REF:0000044	yeast	CCT	7	CCT2;CCT3;CCT4;CCT5;CCT6;CCT7;CCT8
GO_REF:0000044	human	RAB	7	RAB15;RAB1B;RAB24;RAB7A;RAB7B;RAB9A;RAB9B
GO_REF:0000044	human	VPS	7	VPS28;VPS37A;VPS37B;VPS37C;VPS37D;VPS4A;VPS4B
GO_REF:0000033	human	TOMM	7	TOMM20;TOMM22;TOMM40;TOMM5;TOMM6;TOMM7;TOMM70
GO_REF:0000033	worm	HSP-	7	hsp-1;hsp-110;hsp-3;hsp-4;hsp-6;hsp-60;hsp-90
GO_REF:0000033	POPTR	RPS	7	rps11;rps14;rps18;rps2;rps3;rps4;rps7
GO_REF:0000033	worm	DYF-	7	dyf-1;dyf-11;dyf-13;dyf-2;dyf-3;dyf-5;dyf-6
GO_REF:0000033	human	TRAPPC	7	TRAPPC1;TRAPPC12;TRAPPC13;TRAPPC3;TRAPPC4;TRAPPC5;TRAPPC8
GO_REF:0000033	yeast	CCT	7	CCT2;CCT3;CCT4;CCT5;CCT6;CCT7;CCT8
GO_REF:0000033	human	NDUFS	7	NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS6;NDUFS7;NDUFS8
GO_REF:0000033	human	ELOVL	7	ELOVL1;ELOVL2;ELOVL3;ELOVL4;ELOVL5;ELOVL6;ELOVL7
GO_REF:0000033	human	RAB	7	RAB15;RAB1B;RAB24;RAB7A;RAB7B;RAB9A;RAB9B
GO_REF:0000033	worm	BBS-	7	bbs-1;bbs-2;bbs-4;bbs-5;bbs-7;bbs-8;bbs-9
GO_REF:0000033	human	VPS	7	VPS28;VPS37A;VPS37B;VPS37C;VPS37D;VPS4A;VPS4B
GO_REF:0000052	human	NAA	7	NAA10;NAA15;NAA25;NAA30;NAA35;NAA38;NAA40
GO_REF:0000052	human	PEX	7	PEX1;PEX13;PEX14;PEX19;PEX3;PEX5;PEX6
PMID:32296183	human	COX	7	COX14;COX16;COX20;COX5A;COX5B;COX7B;COX8A
PMID:32296183	human	HSPA	7	HSPA12A;HSPA12B;HSPA13;HSPA1L;HSPA2;HSPA6;HSPA8
PMID:32296183	human	RNF	7	RNF14;RNF166;RNF170;RNF185;RNF25;RNF41;RNF5
PMID:32296183	human	PEX	7	PEX11G;PEX12;PEX13;PEX14;PEX19;PEX26;PEX3
PMID:32296183	human	DNAJC	7	DNAJC1;DNAJC11;DNAJC17;DNAJC22;DNAJC27;DNAJC30;DNAJC9
PMID:19946888	human	ALG	7	ALG1;ALG11;ALG12;ALG2;ALG5;ALG6;ALG9
PMID:19946888	human	DNAJC	7	DNAJC1;DNAJC10;DNAJC13;DNAJC14;DNAJC3;DNAJC5;DNAJC7
PMID:34800366	human	TOMM	7	TOMM20;TOMM22;TOMM40;TOMM5;TOMM6;TOMM7;TOMM70
PMID:34800366	human	NDUFS	7	NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS6;NDUFS7;NDUFS8
PMID:33961781	human	HSPA	7	HSPA12A;HSPA12B;HSPA13;HSPA14;HSPA2;HSPA8;HSPA9
Reactome:R-HSA-9033514	human	PEX	7	PEX10;PEX12;PEX13;PEX14;PEX2;PEX5;PEX7
Reactome:R-HSA-6799179	human	NDUFS	7	NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS6;NDUFS7;NDUFS8
Reactome:R-HSA-6799179	human	NDUFAF	7	NDUFAF1;NDUFAF2;NDUFAF3;NDUFAF4;NDUFAF5;NDUFAF6;NDUFAF7
Reactome:R-HSA-6799196	human	NDUFS	7	NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS6;NDUFS7;NDUFS8
Reactome:R-HSA-6799196	human	NDUFAF	7	NDUFAF1;NDUFAF2;NDUFAF3;NDUFAF4;NDUFAF5;NDUFAF6;NDUFAF7
PMID:38425362	human	COQ	7	COQ4;COQ5;COQ6;COQ7;COQ8A;COQ8B;COQ9
Reactome:R-HSA-446193	human	ALG	7	ALG1;ALG12;ALG2;ALG3;ALG6;ALG8;ALG9
PMID:20937905	human	ELOVL	7	ELOVL1;ELOVL2;ELOVL3;ELOVL4;ELOVL5;ELOVL6;ELOVL7
PMID:20588296	human	VPS	7	VPS28;VPS37A;VPS37B;VPS37C;VPS37D;VPS4A;VPS4B
PMID:36107470	human	CHMP	7	CHMP1B;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7
Reactome:R-HSA-3159232	human	VPS	7	VPS28;VPS37A;VPS37B;VPS37C;VPS37D;VPS4A;VPS4B
Reactome:R-HSA-9865579	human	COX	7	COX11;COX14;COX15;COX16;COX5A;COX7B;COX8A
PMID:28844695	human	NDUFS	7	NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS6;NDUFS7;NDUFS8
PMID:21231916	human	HSPA	7	HSPA14;HSPA1A;HSPA1B;HSPA1L;HSPA2;HSPA6;HSPA8
PMID:37199759	human	EMC	7	EMC1;EMC10;EMC2;EMC3;EMC4;EMC6;EMC7
PMID:38517390	human	EMC	7	EMC1;EMC10;EMC3;EMC4;EMC6;EMC7;EMC8
PMID:10531035	human	FBXO	7	FBXO10;FBXO2;FBXO21;FBXO22;FBXO25;FBXO6;FBXO7
PMID:12611891	human	NDUFS	7	NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS6;NDUFS7;NDUFS8
PMID:30030361	human	NDUFS	7	NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS6;NDUFS7;NDUFS8
PMID:9878551	human	NDUFS	7	NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS6;NDUFS7;NDUFS8
Reactome:R-HSA-163217	human	NDUFS	7	NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS6;NDUFS7;NDUFS8
Reactome:R-HSA-9033485	human	PEX	7	PEX10;PEX12;PEX13;PEX14;PEX2;PEX5;PEX7
Reactome:R-HSA-9033527	human	PEX	7	PEX10;PEX12;PEX13;PEX14;PEX2;PEX5;PEX7
PMID:18331822	human	TOMM	7	TOMM20;TOMM22;TOMM40;TOMM5;TOMM6;TOMM7;TOMM70
Reactome:R-HSA-5205661	human	TOMM	7	TOMM20;TOMM22;TOMM40;TOMM5;TOMM6;TOMM7;TOMM70
PMID:22922713	worm	BBS-	7	bbs-1;bbs-2;bbs-4;bbs-5;bbs-7;bbs-8;bbs-9
PMID:16762366	yeast	CCT	7	CCT2;CCT3;CCT4;CCT5;CCT6;CCT7;CCT8
PMID:15704212	yeast	CCT	7	CCT2;CCT3;CCT4;CCT5;CCT6;CCT7;CCT8
GO_REF:0000002	9POAL	NCGR_LOCUS	6	NCGR_LOCUS10166;NCGR_LOCUS1270;NCGR_LOCUS1765;NCGR_LOCUS27674;NCGR_LOCUS29329;NCGR_LOCUS67308
GO_REF:0000002	worm	HSP-	6	hsp-1;hsp-110;hsp-3;hsp-6;hsp-60;hsp-90
GO_REF:0000002	ACET2	P	6	P10477;P10478;P15329;P38535;P51584;P71143
GO_REF:0000002	human	FBXO	6	FBXO21;FBXO30;FBXO40;FBXO43;FBXO5;FBXO8
GO_REF:0000002	human	LRP	6	LRP1;LRP1B;LRP2;LRP4;LRP6;LRP8
GO_REF:0000002	human	TOMM	6	TOMM20;TOMM22;TOMM40;TOMM5;TOMM6;TOMM7
GO_REF:0000002	POPTR	RPL	6	rpl14;rpl16;rpl20;rpl22;rpl33;rpl36
GO_REF:0000002	human	LPAR	6	LPAR1;LPAR2;LPAR3;LPAR4;LPAR5;LPAR6
GO_REF:0000002	human	EMC	6	EMC1;EMC3;EMC6;EMC7;EMC8;EMC9
GO_REF:0000002	human	ITIH	6	ITIH1;ITIH2;ITIH3;ITIH4;ITIH5;ITIH6
GO_REF:0000002	worm	BBS-	6	bbs-1;bbs-2;bbs-5;bbs-7;bbs-8;bbs-9
GO_REF:0000002	human	DNAJC	6	DNAJC10;DNAJC13;DNAJC17;DNAJC21;DNAJC25;DNAJC27
GO_REF:0000104	human	ELOVL	6	ELOVL1;ELOVL3;ELOVL4;ELOVL5;ELOVL6;ELOVL7
GO_REF:0000104	POPTR	RPS	6	rps11;rps14;rps18;rps3;rps7;rps8
GO_REF:0000104	PSEPK	PP_	6	PP_0431;PP_0897;PP_1806;PP_1969;PP_2482;PP_5298
GO_REF:0000120	9POAL	NCGR_LOCUS	6	NCGR_LOCUS10166;NCGR_LOCUS1270;NCGR_LOCUS1765;NCGR_LOCUS27674;NCGR_LOCUS29329;NCGR_LOCUS67308
GO_REF:0000120	human	COQ	6	COQ2;COQ4;COQ5;COQ6;COQ7;COQ9
GO_REF:0000120	human	FBXO	6	FBXO2;FBXO22;FBXO40;FBXO5;FBXO6;FBXO7
GO_REF:0000120	human	RNF	6	RNF14;RNF170;RNF185;RNF25;RNF41;RNF5
GO_REF:0000120	human	ATG	6	ATG12;ATG14;ATG4D;ATG5;ATG7;ATG9A
GO_REF:0000120	human	NAA	6	NAA10;NAA25;NAA30;NAA35;NAA38;NAA40
GO_REF:0000120	POPTR	RPL	6	rpl14;rpl16;rpl20;rpl22;rpl33;rpl36
GO_REF:0000120	human	NDUFS	6	NDUFS1;NDUFS2;NDUFS3;NDUFS6;NDUFS7;NDUFS8
GO_REF:0000120	POPTR	CASP	6	CASP1;CASP2;CASP3;CASP4;CASP5;CASP6
GO_REF:0000043	human	IL	6	IL13;IL15;IL21;IL22;IL23R;IL4
GO_REF:0000043	SCHPO	ATG	6	atg101;atg13;atg16;atg2;atg38;atg5
GO_REF:0000043	ACET2	P	6	P10477;P10478;P15329;P38535;P51584;P55742
GO_REF:0000118	9POAL	NCGR_LOCUS	6	NCGR_LOCUS10166;NCGR_LOCUS1270;NCGR_LOCUS1765;NCGR_LOCUS27674;NCGR_LOCUS29329;NCGR_LOCUS67308
GO_REF:0000117	worm	HSP-	6	hsp-1;hsp-110;hsp-3;hsp-4;hsp-6;hsp-90
GO_REF:0000117	yeast	CCT	6	CCT3;CCT4;CCT5;CCT6;CCT7;CCT8
GO_REF:0000117	human	DNAJC	6	DNAJC1;DNAJC27;DNAJC5;DNAJC5B;DNAJC5G;DNAJC6
GO_REF:0000117	human	HSPA	6	HSPA1A;HSPA1B;HSPA1L;HSPA2;HSPA6;HSPA8
GO_REF:0000117	human	DNAJB	6	DNAJB1;DNAJB13;DNAJB2;DNAJB4;DNAJB5;DNAJB8
GO_REF:0000117	human	RAB	6	RAB1B;RAB24;RAB7A;RAB7B;RAB9A;RAB9B
GO_REF:0000024	human	LRP	6	LRP1;LRP2;LRP4;LRP5;LRP6;LRP8
GO_REF:0000044	SCHPO	ATG	6	atg101;atg13;atg16;atg2;atg38;atg5
GO_REF:0000044	human	HSPB	6	HSPB2;HSPB3;HSPB6;HSPB7;HSPB8;HSPB9
GO_REF:0000044	worm	DYF-	6	dyf-1;dyf-11;dyf-13;dyf-3;dyf-5;dyf-6
GO_REF:0000044	human	RNF	6	RNF14;RNF166;RNF170;RNF185;RNF25;RNF5
GO_REF:0000044	human	TIMM	6	TIMM17A;TIMM21;TIMM22;TIMM23;TIMM44;TIMM50
GO_REF:0000044	worm	BBS-	6	bbs-1;bbs-2;bbs-4;bbs-5;bbs-7;bbs-8
GO_REF:0000044	human	ATG	6	ATG14;ATG2A;ATG2B;ATG4D;ATG7;ATG9A
GO_REF:0000044	SCHPO	CDC	6	cdc12;cdc13;cdc15;cdc2;cdc25;cdc42
GO_REF:0000033	human	KCTD	6	KCTD10;KCTD11;KCTD12;KCTD16;KCTD7;KCTD8
GO_REF:0000033	human	CD	6	CD247;CD28;CD320;CD33;CD47;CD8A
GO_REF:0000033	human	HSPB	6	HSPB2;HSPB3;HSPB6;HSPB7;HSPB8;HSPB9
GO_REF:0000033	human	RNF	6	RNF14;RNF166;RNF185;RNF25;RNF41;RNF5
GO_REF:0000033	human	NAA	6	NAA10;NAA15;NAA25;NAA30;NAA35;NAA40
GO_REF:0000033	human	TIMM	6	TIMM17A;TIMM21;TIMM22;TIMM23;TIMM44;TIMM50
GO_REF:0000033	human	LPAR	6	LPAR1;LPAR2;LPAR3;LPAR4;LPAR5;LPAR6
GO_REF:0000033	human	NDUFB	6	NDUFB10;NDUFB11;NDUFB3;NDUFB7;NDUFB8;NDUFB9
GO_REF:0000108	human	NDUFS	6	NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS6;NDUFS8
GO_REF:0000107	human	RAB	6	RAB1B;RAB24;RAB7A;RAB7B;RAB9A;RAB9B
GO_REF:0000107	human	PEX	6	PEX11A;PEX11B;PEX14;PEX2;PEX5;PEX6
GO_REF:0000107	human	NDUFA	6	NDUFA1;NDUFA10;NDUFA12;NDUFA4;NDUFA5;NDUFA9
PMID:24920445	POPTR	CASP	6	CASP1;CASP2;CASP3;CASP4;CASP5;CASP6
PMID:22516433	human	HSPA	6	HSPA1A;HSPA1B;HSPA1L;HSPA2;HSPA6;HSPA8
PMID:23533145	human	VPS	6	VPS28;VPS37B;VPS37C;VPS37D;VPS4A;VPS4B
GO_REF:0000052	human	COX	6	COX10;COX14;COX15;COX16;COX20;COX5B
GO_REF:0000052	human	TOMM	6	TOMM20;TOMM22;TOMM40;TOMM5;TOMM6;TOMM70
GO_REF:0000052	human	DNAJB	6	DNAJB1;DNAJB11;DNAJB13;DNAJB2;DNAJB4;DNAJB6
PMID:32296183	human	VPS	6	VPS37A;VPS37B;VPS37C;VPS37D;VPS4A;VPS4B
PMID:32296183	human	EMC	6	EMC2;EMC3;EMC6;EMC7;EMC8;EMC9
PMID:32296183	human	CHMP	6	CHMP1A;CHMP1B;CHMP2A;CHMP4B;CHMP5;CHMP6
PMID:32814053	human	PEX	6	PEX1;PEX11B;PEX19;PEX26;PEX3;PEX7
PMID:19946888	human	PEX	6	PEX11B;PEX13;PEX14;PEX16;PEX2;PEX3
PMID:34800366	human	NDUFB	6	NDUFB10;NDUFB11;NDUFB3;NDUFB7;NDUFB8;NDUFB9
PMID:34800366	human	TIMM	6	TIMM17A;TIMM21;TIMM22;TIMM23;TIMM44;TIMM50
PMID:33961781	human	EMC	6	EMC2;EMC3;EMC6;EMC7;EMC8;EMC9
PMID:33961781	human	LRP	6	LRP1;LRP2;LRP4;LRP5;LRP6;LRP8
PMID:33961781	human	FBXW	6	FBXW2;FBXW4;FBXW5;FBXW7;FBXW8;FBXW9
PMID:40205054	human	HSPA	6	HSPA12A;HSPA12B;HSPA14;HSPA1L;HSPA2;HSPA8
PMID:40205054	human	FBXL	6	FBXL12;FBXL14;FBXL17;FBXL20;FBXL6;FBXL8
PMID:9922452	human	PEX	6	PEX10;PEX11A;PEX11B;PEX12;PEX16;PEX3
PMID:10704444	human	PEX	6	PEX11B;PEX12;PEX13;PEX14;PEX19;PEX3
Reactome:R-HSA-6799179	human	NDUFB	6	NDUFB10;NDUFB11;NDUFB3;NDUFB7;NDUFB8;NDUFB9
Reactome:R-HSA-6799196	human	NDUFB	6	NDUFB10;NDUFB11;NDUFB3;NDUFB7;NDUFB8;NDUFB9
Reactome:R-HSA-6799197	human	NDUFB	6	NDUFB10;NDUFB11;NDUFB3;NDUFB7;NDUFB8;NDUFB9
Reactome:R-HSA-6799197	human	NDUFAF	6	NDUFAF1;NDUFAF3;NDUFAF4;NDUFAF5;NDUFAF6;NDUFAF7
Reactome:R-HSA-6799202	human	NDUFB	6	NDUFB10;NDUFB11;NDUFB3;NDUFB7;NDUFB8;NDUFB9
Reactome:R-HSA-6799202	human	NDUFAF	6	NDUFAF1;NDUFAF3;NDUFAF4;NDUFAF5;NDUFAF6;NDUFAF7
Reactome:R-HSA-9033235	human	PEX	6	PEX10;PEX12;PEX13;PEX14;PEX2;PEX5
Reactome:R-HSA-9033236	human	PEX	6	PEX10;PEX12;PEX13;PEX14;PEX2;PEX5
Reactome:R-HSA-75876	human	ELOVL	6	ELOVL1;ELOVL2;ELOVL3;ELOVL5;ELOVL6;ELOVL7
PMID:27499296	human	COQ	6	COQ4;COQ5;COQ6;COQ7;COQ8A;COQ9
PMID:27705803	human	FBXL	6	FBXL12;FBXL14;FBXL17;FBXL20;FBXL6;FBXL8
PMID:20562859	human	ATG	6	ATG12;ATG14;ATG2A;ATG2B;ATG5;ATG7
PMID:27173435	human	BBS	6	BBS1;BBS2;BBS4;BBS5;BBS7;BBS9
Reactome:R-HSA-379048	human	LPAR	6	LPAR1;LPAR2;LPAR3;LPAR4;LPAR5;LPAR6
Reactome:R-HSA-749448	human	LPAR	6	LPAR1;LPAR2;LPAR3;LPAR4;LPAR5;LPAR6
Reactome:R-HSA-749452	human	LPAR	6	LPAR1;LPAR2;LPAR3;LPAR4;LPAR5;LPAR6
Reactome:R-HSA-5624126	human	BBS	6	BBS1;BBS2;BBS4;BBS5;BBS7;BBS9
Reactome:R-HSA-5624127	human	BBS	6	BBS1;BBS2;BBS4;BBS5;BBS7;BBS9
PMID:19081074	human	BBS	6	BBS1;BBS2;BBS4;BBS5;BBS7;BBS9
Reactome:R-HSA-5617815	human	BBS	6	BBS1;BBS2;BBS4;BBS5;BBS7;BBS9
Reactome:R-HSA-5624125	human	BBS	6	BBS1;BBS2;BBS4;BBS5;BBS7;BBS9
Reactome:R-HSA-5624129	human	BBS	6	BBS1;BBS2;BBS4;BBS5;BBS7;BBS9
PMID:17574030	human	BBS	6	BBS1;BBS2;BBS4;BBS5;BBS7;BBS9
PMID:22302990	human	BBS	6	BBS1;BBS10;BBS2;BBS4;BBS5;BBS7
PMID:24550735	human	BBS	6	BBS1;BBS2;BBS4;BBS5;BBS7;BBS9
PMID:25552655	human	BBS	6	BBS1;BBS2;BBS4;BBS5;BBS7;BBS9
PMID:21543490	human	CHMP	6	CHMP1B;CHMP2A;CHMP3;CHMP4B;CHMP5;CHMP6
PMID:19464326	human	HSPB	6	HSPB2;HSPB3;HSPB6;HSPB7;HSPB8;HSPB9
PMID:28844695	human	NDUFB	6	NDUFB10;NDUFB11;NDUFB3;NDUFB7;NDUFB8;NDUFB9
PMID:21231916	human	DNAJB	6	DNAJB1;DNAJB2;DNAJB4;DNAJB5;DNAJB6;DNAJB8
PMID:38422897	human	ELOVL	6	ELOVL1;ELOVL2;ELOVL3;ELOVL4;ELOVL5;ELOVL7
PMID:37196677	human	EMC	6	EMC1;EMC10;EMC4;EMC6;EMC8;EMC9
PMID:21525244	human	TRAPPC	6	TRAPPC11;TRAPPC12;TRAPPC3;TRAPPC4;TRAPPC5;TRAPPC8
PMID:18005716	human	VPS	6	VPS28;VPS37A;VPS37B;VPS37C;VPS37D;VPS4A
PMID:12611891	human	NDUFB	6	NDUFB10;NDUFB11;NDUFB3;NDUFB7;NDUFB8;NDUFB9
PMID:27626371	human	NDUFB	6	NDUFB10;NDUFB11;NDUFB3;NDUFB7;NDUFB8;NDUFB9
PMID:30030361	human	NDUFB	6	NDUFB10;NDUFB11;NDUFB3;NDUFB7;NDUFB8;NDUFB9
Reactome:R-HSA-163217	human	NDUFB	6	NDUFB10;NDUFB11;NDUFB3;NDUFB7;NDUFB8;NDUFB9
Reactome:R-HSA-6799178	human	NDUFB	6	NDUFB10;NDUFB11;NDUFB3;NDUFB7;NDUFB8;NDUFB9
Reactome:R-HSA-6799191	human	NDUFB	6	NDUFB10;NDUFB11;NDUFB3;NDUFB7;NDUFB8;NDUFB9
PMID:26344566	human	PEX	6	PEX10;PEX12;PEX13;PEX14;PEX2;PEX5
Reactome:R-HSA-8953917	human	PEX	6	PEX10;PEX12;PEX13;PEX14;PEX2;PEX5
Reactome:R-HSA-8953946	human	PEX	6	PEX10;PEX12;PEX13;PEX14;PEX2;PEX5
PMID:12096124	human	PEX	6	PEX11B;PEX12;PEX14;PEX19;PEX3;PEX5
PMID:28479320	worm	DYF-	6	dyf-1;dyf-11;dyf-13;dyf-2;dyf-3;dyf-6
PMID:19536198	yeast	CCT	6	CCT2;CCT3;CCT4;CCT5;CCT6;CCT8
GO_REF:0000002	human	NDUFA	5	NDUFA10;NDUFA11;NDUFA12;NDUFA5;NDUFA8
GO_REF:0000002	human	IL	5	IL13;IL15;IL21;IL4;IL7R
GO_REF:0000002	human	NDUFAF	5	NDUFAF2;NDUFAF3;NDUFAF4;NDUFAF5;NDUFAF8
GO_REF:0000002	human	COQ	5	COQ2;COQ5;COQ6;COQ7;COQ9
GO_REF:0000002	human	NAA	5	NAA10;NAA30;NAA35;NAA38;NAA40
GO_REF:0000002	human	TIMM	5	TIMM17A;TIMM21;TIMM22;TIMM23;TIMM44
GO_REF:0000002	human	PFDN	5	PFDN1;PFDN2;PFDN4;PFDN5;PFDN6
GO_REF:0000002	human	ATG	5	ATG2A;ATG2B;ATG4D;ATG7;ATG9A
GO_REF:0000002	human	STAT	5	STAT1;STAT2;STAT3;STAT4;STAT5B
GO_REF:0000002	POPTR	METK	5	METK1;METK2;METK3;METK4;METK5
GO_REF:0000104	human	COQ	5	COQ2;COQ4;COQ5;COQ6;COQ7
GO_REF:0000120	worm	HSP-	5	hsp-1;hsp-4;hsp-6;hsp-60;hsp-90
GO_REF:0000120	ACET2	P	5	P10477;P10478;P15329;P38535;P51584
GO_REF:0000120	human	BBS	5	BBS1;BBS2;BBS4;BBS5;BBS9
GO_REF:0000120	human	RASA	5	RASA1;RASA2;RASA3;RASA4;RASA4B
GO_REF:0000120	human	SCAMP	5	SCAMP1;SCAMP2;SCAMP3;SCAMP4;SCAMP5
GO_REF:0000120	human	NDUFB	5	NDUFB10;NDUFB3;NDUFB7;NDUFB8;NDUFB9
GO_REF:0000120	human	STAT	5	STAT1;STAT2;STAT3;STAT4;STAT5B
GO_REF:0000120	POPTR	METK	5	METK1;METK2;METK3;METK4;METK5
GO_REF:0000043	human	RAB	5	RAB15;RAB7A;RAB7B;RAB9A;RAB9B
GO_REF:0000043	worm	HSP-	5	hsp-1;hsp-4;hsp-6;hsp-60;hsp-90
GO_REF:0000043	worm	BBS-	5	bbs-1;bbs-2;bbs-5;bbs-7;bbs-8
GO_REF:0000043	human	CHMP	5	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3
GO_REF:0000117	human	IL	5	IL13;IL15;IL21;IL4;IL7R
GO_REF:0000117	human	CD	5	CD247;CD28;CD320;CD47;CD8A
GO_REF:0000117	DROME	HSP	5	Hsp22;Hsp23;Hsp26;Hsp27;Hsp83
GO_REF:0000117	human	PFDN	5	PFDN1;PFDN2;PFDN4;PFDN5;PFDN6
GO_REF:0000117	yeast	HSP	5	HSP10;HSP104;HSP26;HSP60;HSP82
GO_REF:0000117	human	STAT	5	STAT1;STAT2;STAT3;STAT4;STAT5B
GO_REF:0000024	human	HSPA	5	HSPA12A;HSPA1A;HSPA2;HSPA8;HSPA9
GO_REF:0000024	human	IL	5	IL10;IL13;IL21;IL23R;IL4
GO_REF:0000024	human	PEX	5	PEX11B;PEX13;PEX14;PEX19;PEX5
GO_REF:0000024	POPTR	METK	5	METK1;METK2;METK3;METK4;METK5
GO_REF:0000024	human	FBXO	5	FBXO2;FBXO25;FBXO40;FBXO5;FBXO6
GO_REF:0000024	human	BBS	5	BBS2;BBS4;BBS5;BBS7;BBS9
GO_REF:0000044	9POAL	NCGR_LOCUS	5	NCGR_LOCUS10166;NCGR_LOCUS1270;NCGR_LOCUS1765;NCGR_LOCUS29329;NCGR_LOCUS67308
GO_REF:0000044	worm	HSP-	5	hsp-3;hsp-4;hsp-6;hsp-60;hsp-90
GO_REF:0000044	human	COQ	5	COQ5;COQ7;COQ8A;COQ8B;COQ9
GO_REF:0000044	human	FBXO	5	FBXO10;FBXO22;FBXO25;FBXO5;FBXO7
GO_REF:0000044	human	ACTR	5	ACTR10;ACTR1A;ACTR1B;ACTR5;ACTR8
GO_REF:0000044	human	DNAJB	5	DNAJB1;DNAJB11;DNAJB2;DNAJB4;DNAJB6
GO_REF:0000044	human	RASA	5	RASA1;RASA2;RASA3;RASA4;RASA4B
GO_REF:0000044	human	NAA	5	NAA10;NAA15;NAA30;NAA38;NAA40
GO_REF:0000044	human	LPAR	5	LPAR1;LPAR2;LPAR3;LPAR5;LPAR6
GO_REF:0000044	human	ITIH	5	ITIH1;ITIH2;ITIH3;ITIH5;ITIH6
GO_REF:0000044	human	PEX	5	PEX1;PEX19;PEX5;PEX6;PEX7
GO_REF:0000044	worm	DAF-	5	daf-10;daf-16;daf-19;daf-2;daf-21
GO_REF:0000044	human	NDUFA	5	NDUFA10;NDUFA13;NDUFA4;NDUFA8;NDUFA9
GO_REF:0000044	human	LRFN	5	LRFN1;LRFN2;LRFN3;LRFN4;LRFN5
GO_REF:0000044	POPTR	METK	5	METK1;METK2;METK3;METK4;METK5
GO_REF:0000033	human	EIF	5	EIF2D;EIF3E;EIF3G;EIF3J;EIF5A
GO_REF:0000033	DROME	HSP	5	Hsp22;Hsp23;Hsp26;Hsp27;Hsp83
GO_REF:0000033	human	ACTR	5	ACTR10;ACTR1A;ACTR1B;ACTR5;ACTR8
GO_REF:0000033	human	RASA	5	RASA1;RASA2;RASA3;RASA4;RASA4B
GO_REF:0000033	POPTR	RPL	5	rpl14;rpl16;rpl20;rpl22;rpl36
GO_REF:0000033	human	PFDN	5	PFDN1;PFDN2;PFDN4;PFDN5;PFDN6
GO_REF:0000033	human	SCAMP	5	SCAMP1;SCAMP2;SCAMP3;SCAMP4;SCAMP5
GO_REF:0000033	human	COA	5	COA3;COA4;COA5;COA6;COA7
GO_REF:0000033	worm	DAF-	5	daf-10;daf-16;daf-19;daf-2;daf-21
GO_REF:0000033	human	LRFN	5	LRFN1;LRFN2;LRFN3;LRFN4;LRFN5
GO_REF:0000033	human	STAT	5	STAT1;STAT2;STAT3;STAT4;STAT5B
GO_REF:0000033	worm	MKS-	5	mks-1;mks-2;mks-3;mks-5;mks-6
GO_REF:0000033	POPTR	METK	5	METK1;METK2;METK3;METK4;METK5
GO_REF:0000108	human	NDUFB	5	NDUFB10;NDUFB3;NDUFB7;NDUFB8;NDUFB9
GO_REF:0000108	human	COX	5	COX14;COX5A;COX5B;COX7B;COX8A
GO_REF:0000107	human	KCTD	5	KCTD10;KCTD11;KCTD16;KCTD7;KCTD8
GO_REF:0000107	human	IL	5	IL10;IL13;IL15;IL21;IL7R
GO_REF:0000107	human	FBXL	5	FBXL12;FBXL15;FBXL20;FBXL3;FBXL7
GO_REF:0000107	human	LRFN	5	LRFN1;LRFN2;LRFN3;LRFN4;LRFN5
GO_REF:0000107	human	BBS	5	BBS1;BBS2;BBS4;BBS5;BBS9
GO_REF:0000107	human	DNAJB	5	DNAJB1;DNAJB11;DNAJB13;DNAJB5;DNAJB6
PMID:23950735	SCHPO	ATG	5	atg101;atg13;atg16;atg2;atg5
PMID:31941401	SCHPO	ATG	5	atg13;atg16;atg2;atg38;atg5
PMID:19056867	human	VPS	5	VPS28;VPS37B;VPS37C;VPS37D;VPS4B
PMID:23533145	human	CHMP	5	CHMP1B;CHMP2A;CHMP2B;CHMP4B;CHMP5
GO_REF:0000052	human	NDUFA	5	NDUFA1;NDUFA12;NDUFA13;NDUFA4;NDUFA8
GO_REF:0000052	human	HSPB	5	HSPB2;HSPB3;HSPB6;HSPB8;HSPB9
PMID:25416956	human	HSPA	5	HSPA12B;HSPA13;HSPA2;HSPA8;HSPA9
PMID:25416956	human	VPS	5	VPS28;VPS37A;VPS37B;VPS37C;VPS4B
