species	gene	citation	correctness	source	relevance	cited_title	review_notes
human	ACTRT2	PMID:40811009	LOW_QUALITY	GOA	HIGH	ACTRT2 deficiency increases spermatogonia vulnerability to ferroptosis.	PubMed-verified, no retraction, and the only knockout study of this gene, so its relevance is high. Marked LOW_QUALITY on methodological grounds rather than citation grounds: the in vivo busulfan comparison uses heterozygotes rather than nulls, the mechanism rests on expression changes in four regulators rather than a demonstrated activity, and the cell type is several stages earlier than the spermatid stage at which the perinuclear theca forms. The shrunken-tubule phenotype of the null is the part this review relies on.
human	ACTRT2	file:human/ACTRT2/ACTRT2-deep-research-affinage.md	LOW_QUALITY	review-only	MEDIUM	Affinage mechanistic annotation for ACTRT2 (human)	Machine-fetched precomputed research, gates_passed true with 6 citations, used as a lead rather than as evidence. Two concrete defects. One of its six citations, PMID:bio_10.1101_2025.03.27.645694, is a bioRxiv DOI in a PMID-shaped field rather than a PubMed identifier, and nothing in this review rests on it. More importantly it omits PMID:35793634, the calicin paper that is the actual source of mouse Actrt2's GO:0033011 IDA and of its only curated protein interaction - the paper that both of this gene's perinuclear-theca annotations are ultimately transferred from. That was found by querying the ortholog's own GOA record, not from the narrative. Its GO grounding is also engaged with above rather than imported.
human	ACTRT3	file:human/ACTRT3/ACTRT3-deep-research-affinage.md	LOW_QUALITY	review-only	MEDIUM	Affinage mechanistic annotation for ACTRT3 (human)	Machine-generated, gates_passed true, and its narrative is broadly right. Two defects were found. Its four citations include one bioRxiv DOI in a PMID-shaped field, and comparing that entry with PMID:41668650 shows the two are the same study - the same theca localisation, the same cap-phase acrosome defect, the same GM130 and TGN46 result and the same co-immunoprecipitation set - so the record presents one study as two dated findings. It also omits PMID:35793634 entirely, which is the reference behind the perinuclear-theca IDA on the mouse orthologue and hence behind two of this gene's GOA rows; that paper is titled for a different gene, which is presumably why a symbol-keyed retrieval missed it. Marked LOW_QUALITY on those two counts rather than on any incorrect assertion.
human	ADAMTSL3	file:human/ADAMTSL3/ADAMTSL3-deep-research-affinage.md	LOW_QUALITY	review-only	LOW	Affinage mechanistic annotation for ADAMTSL3 (human)	gates_passed: False. The tripped gate is a suspected symbol collision raised because the narrative opens on C. elegans; on inspection that is a false positive, since the narrative correctly identifies human ADAMTSL3/punctin-2 and is discussing the worm orthologue Ce-Punctin/madd-4. Every claim taken from the record was nonetheless re-verified against the cited PMIDs, and four defects were found. (1) A mis-joined citation: the record attributes a synaptic-organiser function for human ADAMTSL3 to PMID:14667842 plus PMID:24896188, but the first is a 2003 ECM cloning paper with no synaptic content and the second is about the worm protein - each constituent statement is defensible and the join is not. (2) A finding sourced to bioRxiv with an em dash in the PMID column; it has since appeared as PMID:42497245 but supports no GO term. (3) PMID:18474779 is over-read as showing an antiangiogenic role for ADAMTSL-3 when it shows only that the transcript is raised in glaucoma astrocytes. (4) It misses the two most informative papers for this gene, PMID:22242013 and PMID:36539599, so its statement that no mechanism has been characterised is a statement about its own corpus. Used here only for that corpus-level negative, and only after confirming it independently.
human	ADAMTSL3	PMID:32266537	LOW_QUALITY	review-only	LOW	Genome-wide CRISPR knockout screens identify ADAMTSL3 and PTEN genes as suppressors of HCC proliferation and metastasis, respectively.	The ADAMTSL3 result rests on sgRNAs appearing twice in one genome-wide screen in one cell line, with no mechanistic follow-up and no independent replication. Cited so the claim is on record and explicitly not annotated.
human	ADAMTSL5	PMID:23962539	LOW_QUALITY	GOA	LOW	Elastic fibres in health and disease.	Not miscited - the review is a legitimate source for elastic fibre composition, and TAS is the honest evidence code for it. But it is weak support for a gene-specific localisation: full text is unavailable, the abstract never names ADAMTSL5, and the same reference underpins 41 other elastic-fiber assignments. Flagged LOW_QUALITY on those grounds rather than MISCITED. Per campaign policy I did not REMOVE on an unverifiable full text; the row is MODIFIED to the specific term the gene's own IDA evidence supports.
human	ADAMTSL5	file:genes/human/ADAMTSL5/ADAMTSL5-deep-research-affinage.md	LOW_QUALITY	review-only	LOW	Affinage mechanistic annotation for ADAMTSL5 (human)	gates_passed is False. The tripped gate is specifically the self-evaluation pairwise tie, not a faithfulness failure (faith_pct is 100.0), and no citation is a bioRxiv PMID:bio_* identifier. Marked LOW_QUALITY per campaign policy for a failed gate. Every claim used from it was re-verified against the cited PMID directly and is quoted from the PMID rather than from the provider prose; its GO grounding was rejected outright.
human	ADCK2	file:human/ADCK2/ADCK2-deep-research-affinage.md	LOW_QUALITY	review-only	MEDIUM	Affinage mechanistic annotation for ADCK2 (human)	Machine-generated provider record, gates_passed True. Used only to widen the literature search: it surfaced the three cancer papers and the 2024 mouse study, all of which were then read and judged on their own. No provider sentence is quoted as evidence for any mechanistic claim in this review, per the campaign rule, and no annotation verdict rests on it. Marked LOW_QUALITY rather than MISCITED because its citations are sound and it is the interpretation layer that over-reaches.
human	ADCK5	PMID:32277958	LOW_QUALITY	review-only	MEDIUM	aarF domain containing kinase 5 gene promotes invasion and migration of lung cancer cells through ADCK5-SOX9-PTTG1 pathway.	"Not miscited and not disputed in the literature, but methodologically thin for the weight placed on it elsewhere: the abstract hedges every step (""might regulate"", ""might be required""), reports no in vitro kinase assay, and full text is unavailable. The affinage record restates it as an established fact that ADCK5 phosphorylates SOX9 at serine 181, which the abstract does not support. No GOA row depends on it, so nothing in the GO record needed changing on this account."
human	ADGRA1	file:human/ADGRA1/ADGRA1-deep-research-affinage.md	LOW_QUALITY	review-only	LOW	Affinage mechanistic annotation for ADGRA1 (human)	Provider record, gates_passed: True, no bioRxiv-DOI pseudo-PMIDs in its citation list, and it surfaced the two most load-bearing references here (PMID:28935861, PMID:41961591). Two defects mean nothing in this review rests on it. First, it lists PMID:40766348 (2025 bioRxiv) and PMID:41961591 (2026 Cell Reports) as two separate dated findings; PubMed records UpdateIn: 41961591 on the former, so they are one study double-counted. Second, its headline claims track the preprint abstract (PV and SST interneurons, learning and memory deficits) where the published abstract is narrowed to PV. It also never mentions the PDZ interactome, which is the best-evidenced molecular fact about this protein.
human	ADIRF	file:human/ADIRF/ADIRF-deep-research-affinage.md	LOW_QUALITY	review-only	LOW	Affinage mechanistic annotation for ADIRF (human)	Recorded so the provider's performance on this gene is measurable, and deliberately NOT cited as supporting_text for any annotation. Precision is fine: gates_passed is True, both citations (PMID:19444912, PMID:23467766) are real numeric PubMed ids rather than bioRxiv DOIs in a PMID-shaped field, both resolve to papers genuinely about this gene under its former names, and neither is retracted. Recall for annotation purposes is close to zero: it returned none of the four PMIDs GOA cites - including PMID:23239344, the reference behind three of the eleven rows and the only nuclear characterisation of the protein - and it missed PMID:31945134 (the 43-kb Muroid deletion and the arterial expression data), which is the single most consequential fact about this gene, and PMID:33737617 (serum at microgram-per-millilitre). Marked LOW_QUALITY for one substantive inaccuracy rather than for its citations: the narrative asserts that no binding partner has been characterised, while a curated IL18 interaction sits in the GO record it did not consult. Its empty molecular_activity, localization, partners and complexes fields are, by contrast, correct for this gene.
human	ADNP	PMID:41174994	LOW_QUALITY	review-only	LOW	ADNP Exhibits Methyltransferase Activity in Overexpression Systems and Modulates DNA and Histone Methylation.	Reports methyltransferase activity for ADNP, but explicitly in overexpression systems and on immunoprecipitated fractions rather than purified protein, so a co-purifying methyltransferase is not excluded. Recorded as a knowledge gap; no GO annotation is proposed from it.
human	ADPRH	file:human/ADPRH/ADPRH-deep-research-affinage.md	LOW_QUALITY	review-only	LOW	Affinage mechanistic annotation for ADPRH (human)	"The record's trust gate failed - the frontmatter reads gates_passed: False, with the explanation that Affinage's own head-to-head self-evaluation scored the record pairwise = tie rather than a win. Re-checking every claim against the cited PMIDs found two genuine defects, both name/paralog collisions - PMID:12464675 is about the LDL receptor adaptor LDLRAP1 rather than ADP-ribosylhydrolase 1, and the ""critical vicinal acidic amino acids"" mutagenesis attributed to ARH1 is ARH3's Asp-77/Asp-78 in PMID:16278211. One further citation, PMID:36945646, is a bioRxiv preprint. Recall was also poor - the record returned none of PMID:9037477, PMID:1375222, PMID:25416956, PMID:32296183 or PMID:19895577, which between them decide four rows of this review. Nothing mechanistic in this review rests on a provider sentence."
human	AEBP2	file:human/AEBP2/AEBP2-deep-research-affinage.md	LOW_QUALITY	review-only	MEDIUM	Affinage mechanistic annotation for AEBP2 (human)	gates_passed is True and faith_pct 100, and recall was unusually good on this gene: the record surfaced PMID:41168462, which is the reference that reframes the annotation set. Marked LOW_QUALITY for two specific defects rather than as a blanket judgement. First, two of its 24 citations are bioRxiv DOIs in a PMID-shaped field (PMID:bio_10.1101_2025.11.09.687442, PMID:bio_10.1101_2025.10.14.682307); both concern the isoform story and no claim in this review rests on either. Second, its GO grounding block lists GO:0042393 histone binding, which the structural papers it cites do not support (they show AEBP2 mimicking a histone tail, not binding one) and GO:0003677 DNA binding, which GOA carries for no member of this family. It is cited here only as the source of those declined proposals, never for a mechanistic claim; the record's own caveat that the grounding block is coarse is accurate. Its framings also needed re-deriving: describing the short isoform as promoting PRC2 activity conflates a DNA-binding result with an HMTase result whose baseline differs.
human	AFF1	file:human/AFF1/AFF1-deep-research-affinage.md	LOW_QUALITY	review-only	LOW	Affinage mechanistic annotation for AFF1 (human)	"Adjudicated and deliberately not used as evidence anywhere in this review; recorded here so the judgement lives in the repository. Its gates_passed: True and faith_pct: 100.0 concern PRECISION - the 23 citations are all well-formed numeric PMIDs with no preprint ids in PMID-shaped fields. Recall was measured, not estimated: of the 7 PMIDs that AFF1's GOA rows actually cite, affinage returned 0, including the 2026 paper behind 7 of the 20 rows (computed in RESULTS.md section G). Four substantive defects: two cited papers carry unflagged corrections (PMID:28955517 -> PMID:32257529; PMID:17135274 -> PMID:37777189); the claim that AFF1 recruits DOT1L is contradicted by PMID:20159561; a stated hypothesis in PMID:12629167 is reported as demonstrated causation; and a result PMID:20007461 attributes to ""the AF4 transcriptional regulatory complex"" is attributed to Af4 alone. LOW_QUALITY refers to this record as a source, not to the underlying papers."
human	AFF3	file:human/AFF3/AFF3-deep-research-affinage.md	LOW_QUALITY	review-only	LOW	Affinage mechanistic annotation for AFF3 (human)	Adjudicated and deliberately not quoted as evidence anywhere in this review; recorded here so the judgement lives in the repository. Its gates_passed True and faith_pct 100.0 concern PRECISION only - all 15 citations are well-formed numeric PMIDs with no preprint ids in PMID-shaped fields, and none of them is retracted or carries an expression of concern. They say nothing about recall, and recall was measured rather than estimated - the record omits PMID:22547686, the paper that isolated AFF3-containing SEC-L3 and that this review's sharpest finding turns on, and it omits both PMID:18616733 and PMID:20444755, the sole support for AFF3's only two experimental biological-process rows. So it returned the gene's notable literature and not the annotation-relevant literature, which is the same characterisation the ADIPOQ review reached. Its own GO grounding was also not imported - it offers GO:0140110 where GO:0003712 is the term AFF3's evidence actually supports.
human	AFF4	PMID:31466050	LOW_QUALITY	review-only	LOW	Genipin attenuates mitochondrial-dependent apoptosis, endoplasmic reticulum stress, and inflammation via the PI3K/AKT pathway in acute lung injury.	Not an AFF4 paper. It is the sole evidence, by IEP, behind rat Aff4's ER-stress annotation, which Ensembl Compara then projected onto human AFF4. A drug-intervention study in a rat lung-injury model; the projection test shows it produces exactly one annotation on one entity in the whole of GOA. Marked LOW_QUALITY as support for the propagated term, not as a judgement on the paper's own subject.
human	AGFG2	PMID:21284487	LOW_QUALITY	review-only	LOW	Organization patterns of the AGFG genes: an evolutionary study.	Cited by the affinage record as the source of a mammals-only claim. That claim is contradicted by PMID:23433073, which places the AGFG duplication among the subfamilies that duplicated at the base of vertebrates, and by a UniProt symbol census that finds agfg2 in 72 ray-finned fish (Actinopterygii), 23 sauropsids and 4 amphibians, with a non-zero agfg1 control in every clade. Aves is a subset of Sauropsida rather than a separate tally, and within it the asymmetry is striking: 1 avian agfg2 against 363 avian agfg1. A symbol census is a name-matching pipeline's output rather than an orthologue count, so it would not settle this alone; combined with the phylogenetic result it is enough. Consistently, the PANTHER node that reaches AGFG2 also reaches lamprey, hagfish and zebrafish. Marked LOW_QUALITY rather than MISCITED: the paper says what it is cited as saying, but its method cannot support the conclusion.
human	ASS1	PMID:22658674	LOW_QUALITY	GOA	LOW	Insights into RNA biology from an atlas of mammalian mRNA-binding proteins.	Single high-throughput mRNA-interactome-capture screen that recovered many metabolic enzymes, including ASS1, as putative RBPs. No orthogonal validation of an RNA-binding function for ASS1; basis for flagging the RNA binding annotation as over-annotated.
human	C5orf46	PMID:35504177	LOW_QUALITY	review-only	MEDIUM	Preliminary study on the role of the C5orf46 gene in renal cancer.	Cached full text read; retraction and correction checks clean. Marked LOW_QUALITY on methodological grounds rather than citation grounds - the identifier and title are correct and the paper is honestly presented, its own title beginning 'Preliminary study'. The in vitro part is siRNA knockdown in two lines with proliferation, migration and apoptosis read-outs, no rescue, no mechanism, and no molecular function assayed; the remainder is TCGA bioinformatics. Sufficient to record a cancer-cell-line dependency as a knowledge gap, not sufficient to support a GO process term, and no term is proposed from it. Its background sentence that the gene has 'antibacterial and anti-inflammatory effects via sequencing and microarray technologies' garbles the antibacterial finding, which came from purified protein assays, not sequencing; that sentence is not relied on.
human	C5orf46	file:human/C5orf46/C5orf46-deep-research-affinage.md	LOW_QUALITY	review-only	MEDIUM	Affinage mechanistic annotation for C5orf46 (human)	A machine-generated secondary source, assessed rather than trusted. Its value here was real: it surfaced all three of the papers that GOA does not cite, including the sole functional characterisation of the gene, so both proposed terms trace to a lead it provided. Marked LOW_QUALITY on two grounds, neither of which is a fabricated citation. First, the cytotoxicity finding is framed without the disconfirming result that follows it in the same paper, which turns general micromolar cytotoxicity into an apparent anti-tumour selectivity - exactly the kind of error a verbatim-quote gate cannot catch, because the sentence itself is true. Second, the narrative's shape invites a membrane-permeabilisation reading of the mechanism, which the source explicitly leaves open between envelope damage and an intracellular target; no molecular function is proposed anywhere in this review as a result. The record's own GO grounding offers no molecular activity and only GO:0005576, which agrees with the conclusion reached here independently. Nothing from it is used as evidence for any mechanistic claim - it is cited once, for a corpus-level negative that three independent sources corroborate.
human	CBLIF	PMID:32296183	LOW_QUALITY	GOA	LOW	A reference map of the human binary protein interactome.	PubMed-verified. HuRI high-throughput binary (Y2H) interactome; the CBLIF hits (FFAR2, SLC13A4, SLC22A23, SLC7A1, SLC7A14, TMEM237) are unvalidated screen interactions with no established biological role for a secreted Cbl-binding protein.
human	CH25H	PMID:32296183	LOW_QUALITY	GOA	LOW	A reference map of the human binary protein interactome.	"Source of the two bare ""protein binding"" IPI annotations (KRTAP12-4, OTX1) via the HuRI systematic Y2H interactome. These are high-throughput binary interactions with no established functional relevance to CH25H's cholesterol-hydroxylase function; flagged over-annotated rather than removed (experimental IPI)."
human	CRYAA	file:human/CRYAA/CRYAA-hypotheses/function-hypothesis-go-0042026/openscientist.md	LOW_QUALITY	review-only	HIGH	OpenScientist hypothesis report for CRYAA protein refolding (GO:0042026)	"Mechanistically sound and useful -- the holdase-not-foldase reasoning, the no-NBD architectural argument, and the identification of PMID:8093612 and PMID:1438232 as paralog-derived/mixed-oligomer evidence were all checked and hold up. However, the report's annotation-set enumeration is wrong in two ways that undercut its recommendations, so its verdict was not adopted. (1) It reports the GO:0042026 ISS (GO_REF:0000024) as positive supporting evidence; in CRYAA-goa.tsv that row is NOT|involved_in from bovine UniProtKB:P02470, i.e. it refutes rather than supports the hypothesis. This is the single most decisive datum for the seed hypothesis and the run missed it. (2) Its headline recommendation, ADD the ""missing"" GO:0051082 (unfolded protein binding), is a no-op -- GOA already carries three GO:0051082 annotations for P02489 (IBA GO_REF:0000033; IPI PMID:8943244 with UniProtKB:P07320; IMP PMID:18407550) -- and is also obsolete advice, since GO:0051082 is now a formally obsolete term whose GO obsoletion note directs replacement to GO:0044183 or GO:0140309 -- neither of which fits an in-situ holdase, so the run's ""add GO:0051082"" advice is doubly unusable. The run's recommendation against adding GO:0140662 (ATP-dependent protein folding chaperone) is correct and consistent with the review."
human	FANCD2	PMID:35384245	LOW_QUALITY	GOA	LOW	Physical and functional interactome atlas of human receptor tyrosine kinases.	PubMed-verified high-throughput RTK interactome atlas. The reported EGFR-FANCD2 interaction is proteome-scale with no established FANCD2 functional context; basis for removing the generic protein binding annotation.
human	FANCD2	PMID:35512704	LOW_QUALITY	GOA	LOW	Systematic discovery of mutation-directed neo-protein-protein interactions in cancer.	PubMed-verified systematic neo-PPI screen. Reported EGFR interaction lacks characterized FANCD2 functional relevance; basis for removing the generic protein binding annotation.
human	FANCG	PMID:32814053	LOW_QUALITY	GOA	LOW	Interactome Mapping Provides a Network of Neurodegenerative Disease Proteins and Uncovers Widespread Protein Aggregation in Affected Brains.	Aggregation-prone interactome screen; the many non-FA partners reported for FANCG are likely non-specific and are treated as over-annotation.
human	FANCL	PMID:25416956	LOW_QUALITY	GOA	LOW	A proteome-scale map of the human interactome network.	High-throughput yeast two-hybrid interactome (HuRI); source of numerous generic 'protein binding' (GO:0005515) annotations that are not linked to FANCL's characterized function.
human	FANCL	PMID:32296183	LOW_QUALITY	GOA	LOW	A reference map of the human binary protein interactome.	HuRI reference binary interactome (high-throughput Y2H); source of generic 'protein binding' annotations not informative for FANCL's molecular function.
human	FANCL	PMID:35512704	LOW_QUALITY	GOA	LOW	Systematic discovery of mutation-directed neo-protein-protein interactions in cancer.	Systematic neo-PPI screen (partner SMAD4); a generic 'protein binding' interaction not representing a constitutive functional interaction of wild-type FANCL.
human	FBXO47	PMID:34445249	LOW_QUALITY	GOA	LOW	The SCF Complex Is Essential to Maintain Genome and Chromosome Stability.	PubMed-verified (Int J Mol Sci 2021;22(16):8544, PMC8395177); abstract-only in cache (full_text_available: false). This is a general SCF-family review and does not establish FBXO47-specific function. It is the NAS source used by ComplexPortal for both FBXO47 SCF annotations, but it provides only family-level support, not direct evidence for FBXO47 acting as a canonical SCF substrate receptor.
human	FLG	PMID:21630459	LOW_QUALITY	GOA	LOW	Proteomic characterization of the human sperm nucleus.	Correctly cited - FLG does appear in this sperm nuclear proteome - but a shotgun catalogue of a tissue where FLG is not the relevant biology is weak support for nuclear localisation, and large abundant skin proteins are a standard contamination confound. The nucleus annotation is retained on the strength of PMID:9800950 and PMID:12230510 instead.
human	FLG	PMID:28344315	LOW_QUALITY	GOA	NONE	Proteomic characterization of human multiple myeloma bone marrow extracellular matrix.	A myeloma bone-marrow ECM proteome. FLG's appearance there is best explained by skin-derived sample contamination; it is an intracellular epidermal protein with no signal peptide and no reported expression in bone marrow. Not a credible basis for the extracellular matrix annotation.
human	GALK1	PMID:19946888	LOW_QUALITY	GOA	LOW	Defining the membrane proteome of NK cells.	"High-throughput NK-cell membrane proteome. The resulting ""membrane"" localization is a proteomic co-purification and is directly contradicted by the curated NOT|located_in membrane IDA (PMID:8908517)."
human	GCSH	PMID:16189514	LOW_QUALITY	GOA	LOW	Towards a proteome-scale map of the human protein-protein interaction network.	Large-scale yeast two-hybrid interactome (CCSB-HI1). Source of a bare protein binding IPI; the interactor is not a GCS/lipoylation partner and does not inform GCSH function.
human	GCSH	PMID:32296183	LOW_QUALITY	GOA	LOW	A reference map of the human binary protein interactome.	HuRI binary interactome map. Source of multiple bare protein binding IPIs (NMI, MAGEA6/11, MED11, MIS18A, RHBDD2); none are GCS or lipoylation-pathway partners, so they do not inform GCSH molecular function.
human	LRCH2	PMID:35351988	LOW_QUALITY	review-only	MEDIUM	Novel genes bearing mutations in rare cases of early-onset ataxia with cerebellar hypoplasia.	PubMed metadata and full cached article were checked. This is a single-family candidate-gene report supported by conservation and expression analyses, without segregation across multiple families or direct functional validation of p.Lys258Glu. It informs tissue and disease hypotheses, not normal molecular function or definitive gene-disease causality.
human	NDUFA11	PMID:32296183	LOW_QUALITY	GOA	LOW	A reference map of the human binary protein interactome.	"Genome-wide binary Y2H interactome (HuRI); source of the bare ""protein binding"" IPI. NDUFA11 is not discussed individually (one PPI among >50,000); the reported partner MEOX2 is not a plausible functional partner for a Complex I membrane subunit. Uninformative for molecular function."
human	NDUFA12	PMID:32296183	LOW_QUALITY	GOA	LOW	A reference map of the human binary protein interactome.	HuRI high-throughput binary (Y2H) interactome. Source of the three IntAct IPI 'protein binding' annotations (TMED8, MYO15B, SYT4). Full text available but the NDUFA12 interactions appear only in supplementary data, not the main text; these binary hits are not the physiologically relevant Complex I contacts, hence the uninformative MF is treated as over-annotation.
human	NDUFA13	PMID:17500595	LOW_QUALITY	GOA	LOW	Huntingtin interacting proteins are genetic modifiers of neurodegeneration.	Large-scale huntingtin-interactor screen; source of a bare HTT protein-binding IPI of uncertain physiological relevance to NDUFA13. Uninformative as a molecular function.
human	NDUFA13	PMID:31617661	LOW_QUALITY	GOA	LOW	Global Interactome Mapping of Mitochondrial Intermembrane Space Proteases Identifies a Novel Function for HTRA2.	High-throughput interactome map of IMS proteases; source of a bare HTRA2 protein-binding IPI. Consistent with the HtrA2 association but uninformative as a molecular function.
human	NDUFA13	PMID:32814053	LOW_QUALITY	GOA	LOW	Interactome Mapping Provides a Network of Neurodegenerative Disease Proteins and Uncovers Widespread Protein Aggregation in Affected Brains.	Large-scale interactome/aggregation map; source of a bare HTT protein-binding IPI of uncertain relevance to NDUFA13. Uninformative as a molecular function.
human	NDUFA13	PMID:40205054	LOW_QUALITY	GOA	LOW	Multimodal cell maps as a foundation for structural and functional genomics.	Multimodal cell-map / structural-genomics interactome; source of a bare HTRA2 protein-binding IPI. Uninformative as a molecular function.
human	PCCB	PMID:32296183	LOW_QUALITY	GOA	LOW	A reference map of the human binary protein interactome.	Large-scale yeast two-hybrid interactome; the PCCB-ACTN3 hit is not biologically corroborated for a mitochondrial matrix enzyme and is most likely a high-throughput artifact. Supports only a bare protein-binding IPI.
human	PMM2	PMID:25416956	LOW_QUALITY	GOA	LOW	A proteome-scale map of the human interactome network.	High-throughput binary interactome screen; supports only a generic, uninformative 'protein binding' annotation with no demonstrated functional relevance to PMM2.
human	PMM2	PMID:26871637	LOW_QUALITY	GOA	LOW	Widespread Expansion of Protein Interaction Capabilities by Alternative Splicing.	High-throughput interactome screen; supports only a generic 'protein binding' annotation, not a core function.
human	PMM2	PMID:32296183	LOW_QUALITY	GOA	LOW	A reference map of the human binary protein interactome.	HuRI reference binary interactome; generic 'protein binding' hits with no functional meaning for a cytosolic metabolic enzyme.
human	PNMT	PMID:32296183	LOW_QUALITY	GOA	LOW	A reference map of the human binary protein interactome.	PubMed-verified systematic interactome paper, but the PNMT binary interactions are high-throughput screen hits with no functional context; basis for a bare protein-binding annotation only.
human	QDPR	PMID:34800366	LOW_QUALITY	GOA	LOW	Quantitative high-confidence human mitochondrial proteome and its dynamics in cellular context.	High-throughput mitochondrial-proteome mapping in which QDPR is detected; weak, single-source evidence for organellar residence of an abundant cytosolic SDR enzyme lacking mitochondrial targeting features. Treated as over-annotation, not core localization.
human	RFT1	file:human/RFT1/RFT1-deep-research-falcon.md	LOW_QUALITY	review-only	MEDIUM	Deep research on RFT1 function (falcon)	Machine-generated. Useful on topology and general background, but it presents the flippase question as closed by the 2024 reconstitution and does not surface PMID:19494107, PMID:23720757 or PMID:42417535. Do not rely on it for the molecular function call.
human	RFT1	file:human/RFT1/RFT1-deep-research-cyberian.md	LOW_QUALITY	review-only	LOW	Cyberian deep research on RFT1 function	"Machine-generated. Explicitly frames the controversy as resolved in 2024 (""This controversy persisted for over two decades until 2024""), which the 2026 primary literature contradicts."
human	RPN1	PMID:22658674	LOW_QUALITY	GOA	LOW	Insights into RNA biology from an atlas of mammalian mRNA-binding proteins.	Correctly cited high-throughput RBP atlas, but the RNA-binding assignment is a screen-level call without a defined molecular function for RPN1; treated as an over-annotation.
human	SLC25A19	PMID:21630459	LOW_QUALITY	GOA	LOW	Proteomic characterization of the human sperm nucleus.	PubMed-verified. High-throughput sperm-nucleus proteome; source of the HDA nucleus annotation, which is not biologically informative for a mitochondrial carrier and is likely a contaminant.
human	SLC25A5	PMID:22658674	LOW_QUALITY	GOA	LOW	Insights into RNA biology from an atlas of mammalian mRNA-binding proteins.	"High-throughput mRNA-interactome capture; abundant mitochondrial membrane proteins are frequent nonspecific hits, so the ""RNA binding"" MF is not a credible molecular function for ANT2."
human	TCN1	PMID:32814053	LOW_QUALITY	GOA	LOW	Interactome Mapping Provides a Network of Neurodegenerative Disease Proteins and Uncovers Widespread Protein Aggregation in Affected Brains.	"Large-scale yeast two-hybrid interactome screen; the single TCN1-JPH3 interaction underlies only an uninformative ""protein binding"" IPI with no functional follow-up."
human	TRAF3	PMID:11279055	LOW_QUALITY	GOA	LOW	A diverse family of proteins containing tumor necrosis factor receptor-associated factor domains.	PubMed-verified and correctly cited, but the interaction it supports is non-selective: isolated TRAF domains of MUL/TRIM37 and USP7 bound all six TRAF proteins in vitro. Weak basis for the GO:0031625 and GO:0031996 IPI rows, which are consequently kept only as non-core. Abstract-only in cache.
rat	Arsb	PMID:15040	LOW_QUALITY	GOA	LOW	Enzymic changes in the cervix of the rat and hamster during the oestrous cycle and the effect of steroids.	PubMed-verified. Shows estrogen-induced upregulation of cervical arylsulphatase B activity in ovariectomised rats. Supports a tissue-specific hormonal regulation observation but not a core Arsb function.
worm	clk-1	PMID:11959146	LOW_QUALITY	GOA	LOW	CLK-1 protein has DNA binding activity specific to O(L) region of mitochondrial DNA.	Correctly cited but an isolated 2002 in-vitro study of mtDNA (O_L) binding, not widely replicated; basis for the debated transcription cis-regulatory region binding annotation. Treated as a possible moonlighting activity, non-core.
worm	dyf-11	GO_REF:0000117	LOW_QUALITY	GOA	LOW	Electronic Gene Ontology annotations created by ARBA machine learning models	"ARBA machine-learning annotations. The ""animal organ development"" and ""system development"" terms are over-general electronic inferences that are not informative for a nematode sensory-cilium protein; ""regulation of microtubule cytoskeleton organization"" over-generalizes the structural axoneme-assembly role."
worm	dyf-6	GO_REF:0000117	LOW_QUALITY	GOA	LOW	Electronic Gene Ontology annotations created by ARBA machine learning models	"ARBA machine-learning annotation to the over-general grouping term ""plasma membrane bounded cell projection"" (GO:0120025), whose informative descendants (cilium, dendrite) are already annotated. Uninformative for this protein."
yeast	GTT3	file:yeast/GTT3/GTT3-deep-research-falcon.md	LOW_QUALITY	review-only	HIGH	Falcon deep research report for GTT3 (YEL017W)	"Genuine Edison/falcon deep-research report (17 citations). Used for its well-supported ""no direct evidence"" statements about GTT3 and the paralog contrast. Note one factual error: it states GTT3 is ""285 amino acids"", whereas UniProt P39996 is 337 aa; that length claim was not propagated into this review."
yeast	MOH1	PMID:28173693	LOW_QUALITY	review-only	HIGH	Pro-Apoptotic Role of the Human YPEL5 Gene Identified by Functional Complementation of a Yeast moh1Δ Mutation.	"PubMed-verified; the only dedicated functional study of MOH1. Abstract-only in cache. It establishes a robust stress-sensitizing phenotype and cross-species complementation, but the ""pro-apoptotic/mitochondria-dependent apoptosis"" interpretation rests on a single heterologous-complementation viability study in the contested yeast programmed-cell-death paradigm; it does not establish a molecular activity."
yeast	NVJ3	PMID:41542480	LOW_QUALITY	review-only	MEDIUM	Nvj3 regulates Dga1-mediated triacylglycerol synthesis and lipid droplet formation at ER contact sites.	bioRxiv preprint (2026), NOT peer-reviewed; full text not cached. Metadata and abstract verified via PubMed (PMID:41542480). Used only to frame knowledge gaps around the DAG/Dga1 axis of lipid-droplet biogenesis; NOT used as the basis for any positive core-function claim. No verbatim full-text quote is available.
ARATH	DREB2A	PMID:18266923	MISCITED	GOA	LOW	Identification of a novel cis-regulatory element for UV-B-induced transcription in Arabidopsis.	Abstract concerns the ANAC13 UV-B cis-elements (MRE/UVBox) and does not mention DREB2A; it does not directly support a DREB2A UV-B function. The GO:0010224 IEP annotation citing it is weakly supported (expression-based).
DICDI	carA	PMID:37866633	MISCITED	GOA	LOW	The Legionella autoinducer LAI-1 is delivered by outer membrane vesicles to promote interbacterial and interkingdom signaling.	Full text does not mention cAR1; the GO:0140295 pathogen-derived receptor ligand activity annotation to cAR1 appears to be a curation/mapping error and is recommended for removal.
