# UniProt allergen registry (keyword KW-0020, reviewed); release 2026_02; query: keyword:KW-0020 AND reviewed:true
accession	entry_name	species_code	gene	organism	taxon_id	who_iuis_name	allergen_molecule	allergome_id
Q28133	ALL2_BOVIN	BOVIN		Bos taurus (Bovine)	9913	Bos d 2	Bos d 2	158
Q28050	S10A7_BOVIN	BOVIN	S100A7	Bos taurus (Bovine)	9913	Bos d 3	Bos d 3	162
P00711	LALBA_BOVIN	BOVIN	LALBA	Bos taurus (Bovine)	9913	Bos d 4	Bos d 4	163
P02754	LACB_BOVIN	BOVIN	LGB	Bos taurus (Bovine)	9913	Bos d 5	Bos d 5	164
P02769	ALBU_BOVIN	BOVIN	ALB	Bos taurus (Bovine)	9913	Bos d 6	Bos d 6	165
P02662	CASA1_BOVIN	BOVIN	CSN1S1	Bos taurus (Bovine)	9913	Bos d 8	Bos d 8	10197
C0ITL3	VA5_BRACH	BRACH		Brachyponera chinensis (Asian needle ant) (Pachycondyla chinensis)	2340912	Pac c 3	Pac c 3	11898
P69197	POLC1_BRACM	BRACM		Brassica campestris (Field mustard)	3711	Bra r 1	Bra r 1	10125
P69199	POLC2_BRACM	BRACM		Brassica campestris (Field mustard)	3711	Bra r 2	Bra r 2	172
P80207	ALL1_BRAJU	BRAJU		Brassica juncea (Indian mustard) (Sinapis juncea)	3707	Bra j 1-E	Bra j 1	168
P69196	POLC1_BRANA	BRANA		Brassica napus (Rape)	3708	Bra n 1	Bra n 1	710
P69198	POLC2_BRANA	BRANA		Brassica napus (Rape)	3708	Bra n 2	Bra n 2	170
P80208	2SS3_BRANA	BRANA		Brassica napus (Rape)	3708			169
P81729	CHAL_BRARR	BRARR		Brassica rapa subsp. rapa (Turnip)	51350	Bra r 2	Bra r 2	1264
C0HMD1	NSLTP_BROPA	BROPA		Broussonetia papyrifera (Paper mulberry) (Morus papyrifera)	172644	Bro p 3.0101	Bro p 3	
A0A976YI25	KARG_CALBE	CALBE		Callinectes bellicosus (Warrior swimming crab)	257890	Cal b 2.0101	Cal b 2	
V9LFM0	PRVA_CALMI	CALMI		Callorhinchus milii (Ghost shark)	7868			
E2ADC1	HYAL_CAMFO	CAMFO		Camponotus floridanus (Florida carpenter ant)	104421			
P43067	ADH1_CANAX	CANAX	ADH1	Candida albicans (Yeast)	5476	Cand a 1	Cand a 1	177
Q9URB4	ALF_CANAL	CANAL	FBA1	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561			5990
P14292	PMPA_CANBO	CANBO	PMPA	Candida boidinii (Yeast)	5477	Cand b 2	Cand b 2	178
P14293	PMPB_CANBO	CANBO	PMPB	Candida boidinii (Yeast)	5477	Cand b 2	Cand b 2	178
O18873	ALL1_CANLF	CANLF		Canis lupus familiaris (Dog) (Canis familiaris)	9615	Can f 1	Can f 1	174
O18874	ALL2_CANLF	CANLF		Canis lupus familiaris (Dog) (Canis familiaris)	9615	Can f 2	Can f 2	175
P49822	ALBU_CANLF	CANLF	ALB	Canis lupus familiaris (Dog) (Canis familiaris)	9615	Can f 3	Can f 3	176
H2B3G5	LI601_CANLF	CANLF		Canis lupus familiaris (Dog) (Canis familiaris)	9615	Can f 6.0101	Can f 6	9406
P86838	NLTP_CANSA	CANSA		Cannabis sativa (Hemp) (Marijuana)	3483	Can s 3	Can s 3	4008
Q93YI9	PROF_CAPAN	CAPAN		Capsicum annuum (Capsicum pepper)	4072	Cap a 2	Cap a 2	3177
P00784	PAPA1_CARPA	CARPA		Carica papaya (Papaya)	3649	Car p 1	Car p 1	709
P38949	MPAC1_CARBE	CARBE		Carpinus betulus (European hornbeam) (Carpinus caucasica)	12990	Car b 1	Car b 1	180
P38950	MPAC2_CARBE	CARBE		Carpinus betulus (European hornbeam) (Carpinus caucasica)	12990	Car b 1	Car b 1	180
B3STU4	VCL_CARIL	CARIL	pec2a1a	Carya illinoinensis (Pecan)	32201	Car i 2.0101	Car i 2	11949
B5KVH4	11S1_CARIL	CARIL		Carya illinoinensis (Pecan)	32201	Car i 4.0101	Car i 4	8299
Q39613	CYPH_CATRO	CATRO	PCKR1	Catharanthus roseus (Madagascar periwinkle) (Vinca rosea)	4058	Cat r 1	Cat r 1	2900
P83507	MUP_CAVPO	CAVPO		Cavia porcellus (Guinea pig)	10141	Cav p 1	Cav p 1	195
P83508	AVP2_CAVPO	CAVPO	Lcncavp2	Cavia porcellus (Guinea pig)	10141	Cav p 2.0101	Cav p 2	3183
F0UZ12	AVP3_CAVPO	CAVPO	Lcncavp3	Cavia porcellus (Guinea pig)	10141	Cav p 3.0101	Cav p 3	8178
Q96385	PLY1_CHAOB	CHAOB		Chamaecyparis obtusa (Hinoki false-cypress) (Retinospora obtusa)	13415	Cha o 1	Cha o 1	197
Q7M1E7	PGLR2_CHAOB	CHAOB		Chamaecyparis obtusa (Hinoki false-cypress) (Retinospora obtusa)	13415	Cha o 2	Cha o 2	198
C0HLA0	GH5FP_CHAOB	CHAOB		Chamaecyparis obtusa (Hinoki false-cypress) (Retinospora obtusa)	13415	Cha o 3	Cha o 3	11866
Q9N2R3	TPM_CHAFE	CHAFE		Charybdis feriata (Crucifix crab) (Cancer feriatus)	65693	Cha f 1.0101	Cha f 1	196
Q8LGR0	CHE1_CHEAL	CHEAL		Chenopodium album (Fat hen)	3559	Che a 1	Che a 1	199
Q84V37	PROF_CHEAL	CHEAL		Chenopodium album (Fat hen)	3559	Che a 2	Che a 2	1068
Q84V36	POLC3_CHEAL	CHEAL		Chenopodium album (Fat hen)	3559	Che a 3	Che a 3	1069
A2V735	TPM_CHIOP	CHIOP	TM1	Chionoecetes opilio (Atlantic snow crab) (Cancer opilio)	41210			3807
P86699	KARG_CHIOP	CHIOP		Chionoecetes opilio (Atlantic snow crab) (Cancer opilio)	41210	Chi o 3	Chi o 3	9057
P86700	ACT_CHIOP	CHIOP		Chionoecetes opilio (Atlantic snow crab) (Cancer opilio)	41210			
P86909	SCP_CHIOP	CHIOP		Chionoecetes opilio (Atlantic snow crab) (Cancer opilio)	41210			
P86910	TNNI_CHIOP	CHIOP		Chionoecetes opilio (Atlantic snow crab) (Cancer opilio)	41210			
P86911	AT2A_CHIOP	CHIOP		Chionoecetes opilio (Atlantic snow crab) (Cancer opilio)	41210			
O96764	TPM_CHIKI	CHIKI		Chironomus kiiensis (Midge)	84408	Chi k 10.0101	Chi k 10	200
P58762	JTX1A_CHIQU	CHIQU		Chiropsoides quadrigatus (Box jellyfish) (Chiropsalmus quadrigatus)	130731			
O76745	NP_CIMLE	CIMLE		Cimex lectularius (Bed bug) (Acanthia lectularia)	79782	Cim l NP	Cim l NP	2915
Q5XWE1	PROF_CITLA	CITLA		Citrullus lanatus (Watermelon) (Citrullus vulgaris)	3654	Citr l 2.0101	Citr l 2	11978
P17783	MDHM_CITLA	CITLA	MMDH	Citrullus lanatus (Watermelon) (Citrullus vulgaris)	3654	Citr l MDH	Citr l MDH	6159
P84160	NLTP_CITLI	CITLI		Citrus limon (Lemon) (Citrus medica var. limon)	2708	Cit l 3	Cit l 3	1642
P84159	GLP1_CITSI	CITSI		Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis)	2711	Cit s 1	Cit s 1	1640
P84177	PROF1_CITSI	CITSI		Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis)	2711	Cit s 2	Cit s 2	1173
P84161	NLTP_CITSI	CITSI		Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis)	2711	Cit s 3.0101	Cit s 3	1641
P40108	ALDH_CLAHE	CLAHE	CLAH10	Cladosporium herbarum (Davidiella tassiana)	29918	Cla h 10	Cla h 10	218
P50344	RLA1_CLAHE	CLAHE	CLAH12	Cladosporium herbarum (Davidiella tassiana)	29918	Cla h 12	Cla h 12	216
P40918	HSP70_CLAHE	CLAHE	HSP70	Cladosporium herbarum (Davidiella tassiana)	29918	Cla h 4	Cla h 4	765
P42039	RLA2_CLAHE	CLAHE	CLAH5	Cladosporium herbarum (Davidiella tassiana)	29918	Cla h 5	Cla h 5	219
P42040	ENO_CLAHE	CLAHE	ENO	Cladosporium herbarum (Davidiella tassiana)	29918	Cla h 6	Cla h 6	221
P42059	CLAH7_CLAHE	CLAHE	CLAH7	Cladosporium herbarum (Davidiella tassiana)	29918	Cla h 7	Cla h 7	220
P0C0Y5	NMTDH_CLAHE	CLAHE		Cladosporium herbarum (Davidiella tassiana)	29918	Cla h 8	Cla h 8	2485
B7ZK61	CH901_CLAHE	CLAHE		Cladosporium herbarum (Davidiella tassiana)	29918	Cla h 9.0101	Cla h 9	224
Q8NIN9	HYP1_CLAHE	CLAHE	HCh-1	Cladosporium herbarum (Davidiella tassiana)	29918	Cla h ?	Cla h ?	834
Q8NJ52	NTF2_CLAHE	CLAHE	NTF2	Cladosporium herbarum (Davidiella tassiana)	29918	Cla h ?	Cla h ?	993
A1KXP4	TCTP_CLAHE	CLAHE		Cladosporium herbarum (Davidiella tassiana)	29918	Cla h TCTP	Cla h TCTP	3815
B3V0K8	CL401_COCLU	COCLU		Cochliobolus lunatus (Filamentous fungus) (Curvularia lunata)	5503	Cur l 4.0101	Cur l 4	3901
Q9UW02	THIO_COPCM	COPCM		Coprinus comatus (Shaggy mane)	56187	Cop c 2	Cop c 2	226
Q9UW00	COPC5_COPCM	COPCM	cop c5	Coprinus comatus (Shaggy mane)	56187	Cop c 5	Cop c 5	229
O97192	TPM_CORAP	CORAP		Cornu aspersum (Brown garden snail) (Helix aspersa)	6535	Hel as 1	Hel as 1	3309
Q08407	MPAC1_CORAV	CORAV		Corylus avellana (European hazel) (Corylus maxima)	13451	Cor a 1	Cor a 1	232
Q9FSY7	BIP_CORAV	CORAV		Corylus avellana (European hazel) (Corylus maxima)	13451	Cor a 10.0101	Cor a 10	243
Q8S4P9	VCL_CORAV	CORAV		Corylus avellana (European hazel) (Corylus maxima)	13451	Cor a 11.0101	Cor a 11	3216
Q84T21	OLE12_CORAV	CORAV		Corylus avellana (European hazel) (Corylus maxima)	13451	Cor a 12	Cor a 12	2819
Q84T91	OLE13_CORAV	CORAV		Corylus avellana (European hazel) (Corylus maxima)	13451	Cor a 13	Cor a 13	5765
C0HM28	OLE15_CORAV	CORAV		Corylus avellana (European hazel) (Corylus maxima)	13451	Cor a 15	Cor a 15	
A4KA41	PROF5_CORAV	CORAV		Corylus avellana (European hazel) (Corylus maxima)	13451	Cor a 2	Cor a 2	244
A4KA40	PROF2_CORAV	CORAV		Corylus avellana (European hazel) (Corylus maxima)	13451	Cor a 2	Cor a 2	244
A4KA45	PROF4_CORAV	CORAV		Corylus avellana (European hazel) (Corylus maxima)	13451	Cor a 2	Cor a 2	244
A4KA44	PROF3_CORAV	CORAV		Corylus avellana (European hazel) (Corylus maxima)	13451	Cor a 2	Cor a 2	244
A4KA39	PROF1_CORAV	CORAV		Corylus avellana (European hazel) (Corylus maxima)	13451	Cor a 2	Cor a 2	244
A4KA43	PROF6_CORAV	CORAV		Corylus avellana (European hazel) (Corylus maxima)	13451	Cor a 2	Cor a 2	244
Q9ATH2	NLTP_CORAV	CORAV		Corylus avellana (European hazel) (Corylus maxima)	13451	Cor a 8.0101	Cor a 8	245
A0A7M4EAX1	PRVB_CROPO	CROPO	LOC109314825	Crocodylus porosus (Saltwater crocodile) (Estuarine crocodile)	8502	Cro p 1.0101	Cro p 1	
Q29W25	CROS1_CROSA	CROSA		Crocus sativus (Saffron)	82528	Cro s 1	Cro s 1	2921
Q5EF31	PROF_CROSA	CROSA		Crocus sativus (Saffron)	82528	Cro s 2	Cro s 2	1475
P18632	PLY1_CRYJA	CRYJA		Cryptomeria japonica (Japanese cedar) (Cupressus japonica)	3369	Cry j 1	Cry j 1	248
P43212	PGLR2_CRYJA	CRYJA		Cryptomeria japonica (Japanese cedar) (Cupressus japonica)	3369	Cry j 2	Cry j 2	249
Q8H996	CRJ31_CRYJA	CRYJA		Cryptomeria japonica (Japanese cedar) (Cupressus japonica)	3369	Cry j 3.1	Cry j 3	805
Q8H995	CRJ32_CRYJA	CRYJA		Cryptomeria japonica (Japanese cedar) (Cupressus japonica)	3369	Cry j 3.2	Cry j 3	805
Q8H994	CRJ33_CRYJA	CRYJA		Cryptomeria japonica (Japanese cedar) (Cupressus japonica)	3369	Cry j 3.3	Cry j 3	805
Q5DWG2	CRJ34_CRYJA	CRYJA		Cryptomeria japonica (Japanese cedar) (Cupressus japonica)	3369	Cry j 3.4	Cry j 3	805
Q5DWG1	CRJ35_CRYJA	CRYJA		Cryptomeria japonica (Japanese cedar) (Cupressus japonica)	3369	Cry j 3.5	Cry j 3	805
Q5DWG0	CRJ36_CRYJA	CRYJA		Cryptomeria japonica (Japanese cedar) (Cupressus japonica)	3369	Cry j 3.6	Cry j 3	805
Q4W6C7	CRJ37_CRYJA	CRYJA		Cryptomeria japonica (Japanese cedar) (Cupressus japonica)	3369	Cry j 3.7	Cry j 3	805
A4PBQ1	CRJ38_CRYJA	CRYJA		Cryptomeria japonica (Japanese cedar) (Cupressus japonica)	3369	Cry j 3.8	Cry j 3	
C0HLQ1	CMLN_CRYJA	CRYJA		Cryptomeria japonica (Japanese cedar) (Cupressus japonica)	3369	Cry j 7	Cry j 7	
Q5NTA4	CHI4_CRYJA	CRYJA		Cryptomeria japonica (Japanese cedar) (Cupressus japonica)	3369	Cry j Chitinase	Cry j Chitinase	2520
Q94424	CTF1_CTEFE	CTEFE		Ctenocephalides felis (Cat flea)	7515	Cte f 1	Cte f 1	252
Q39547	CUCM1_CUCME	CUCME		Cucumis melo (Muskmelon)	3656	Cuc m 1	Cuc m 1	255
Q5FX67	PROF_CUCME	CUCME		Cucumis melo (Muskmelon)	3656	Cuc m 2	Cuc m 2	3230
P83834	PR1_CUCME	CUCME		Cucumis melo (Muskmelon)	3656	Cuc m 3	Cuc m 3	1330
B0X6Z1	D7L2_CULQU	CULQU	D7L2	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)	7176	Cul q 2.01	Cul q 2	12178
A0A1S4K3K8	D7L1_CULQU	CULQU	D7L1	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)	7176	Cul q 3	Cul q 3	12179
B9URJ1	AG5L1_CULNU	CULNU		Culicoides nubeculosus (Biting midge)	144565			
Q9BMP6	RLA0_CULNU	CULNU		Culicoides nubeculosus (Biting midge)	144565	Cul n 1	Cul n 1	1352
A0A0S4JYH2	HYAL_CUPSA	CUPSA		Cupiennius salei (American wandering spider)	6928			
C0HKB1	PGLR_CUPSE	CUPSE		Cupressus sempervirens (Italian cypress)	13469	Cup s 2	Cup s 2	10177
C0HLQ2	CMLN1_CUPSE	CUPSE		Cupressus sempervirens (Italian cypress)	13469	Cup s 7	Cup s 7	
C0HLL6	CMLN_CUPSE	CUPSE		Cupressus sempervirens (Italian cypress)	13469	Cup s 7	Cup s 7	12206
O04701	MPAC1_CYNDA	CYNDA	CYND1	Cynodon dactylon (Bermuda grass) (Panicum dactylon)	28909	Cyn d 1	Cyn d 1	266
O04725	PROF_CYNDA	CYNDA	PRO1; PRO2	Cynodon dactylon (Bermuda grass) (Panicum dactylon)	28909	Cyn d 12	Cyn d 12	279
Q5QJ60	CYND4_CYNDA	CYNDA		Cynodon dactylon (Bermuda grass) (Panicum dactylon)	28909	Cyn d 4	Cyn d 4	819
P94092	POLC7_CYNDA	CYNDA		Cynodon dactylon (Bermuda grass) (Panicum dactylon)	28909	Cyn d 7	Cyn d 7	280
Q41183	MPAG2_DACGL	DACGL		Dactylis glomerata (Orchard grass) (Cock's-foot grass)	4509	Dac g 2	Dac g 2	283
P93124	MPAG3_DACGL	DACGL		Dactylis glomerata (Orchard grass) (Cock's-foot grass)	4509	Dac g 3	Dac g 3	284
P82946	MPAG4_DACGL	DACGL		Dactylis glomerata (Orchard grass) (Cock's-foot grass)	4509	Dac g 4	Dac g 4	285
O04298	DAU1_DAUCA	DAUCA		Daucus carota (Wild carrot)	4039	Dau c 1	Dau c 1	287
D9ZHN9	DC103_DAUCA	DAUCA		Daucus carota (Wild carrot)	4039	Dau c 1.0301	Dau c 1	287
Q8SAE6	PROF_DAUCA	DAUCA		Daucus carota (Wild carrot)	4039	Dau c 4	Dau c 4	3245
A0A161X1M2	DC104_DAUCS	DAUCS		Daucus carota subsp. sativus (Carrot)	79200	Dau c 1.0401	Dau c 1	
P16311	PEPT1_DERFA	DERFA	DERF1	Dermatophagoides farinae (American house dust mite)	6954	Der f 1	Der f 1	295
Q23939	TPM_DERFA	DERFA		Dermatophagoides farinae (American house dust mite)	6954	Der f 10	Der f 10	296
Q967Z0	MYSP_DERFA	DERFA		Dermatophagoides farinae (American house dust mite)	6954	Der f 11	Der f 11	297
P39673	MAG_DERFA	DERFA	MAG	Dermatophagoides farinae (American house dust mite)	6954	Der f 14	Der f 14	298
Q86R84	CHL18_DERFA	DERFA		Dermatophagoides farinae (American house dust mite)	6954	Der f 18.0101	Der f 18	301
Q00855	ALL2_DERFA	DERFA	DERF2	Dermatophagoides farinae (American house dust mite)	6954	Der f 2	Der f 2	1108
B2GM84	ALL21_DERFA	DERFA		Dermatophagoides farinae (American house dust mite)	6954	Der f 21.0101	Der f 21	11615
L7UZ85	ACTN_DERFA	DERFA		Dermatophagoides farinae (American house dust mite)	6954	Der f 24	Der f 24	11748
M9RZ95	QCR7_DERFA	DERFA		Dermatophagoides farinae (American house dust mite)	6954	Der f 24.0101	Der f 24	10861
P49275	DERF3_DERFA	DERFA	DERF3	Dermatophagoides farinae (American house dust mite)	6954	Der f 3	Der f 3	303
A0A1J1DL12	RIDA_DERFA	DERFA	MAG133	Dermatophagoides farinae (American house dust mite)	6954	Der f 34.0101	Der f 34	11968
P49276	DERF6_DERFA	DERFA	DERF6	Dermatophagoides farinae (American house dust mite)	6954	Der f 6	Der f 6	306
Q26456	ALL7_DERFA	DERFA	DERF7	Dermatophagoides farinae (American house dust mite)	6954	Der f 7	Der f 7	307
P39674	MAG29_DERFA	DERFA	MAG29	Dermatophagoides farinae (American house dust mite)	6954			764
P16312	PEPT1_DERMI	DERMI	DERM1	Dermatophagoides microceras (House dust mite)	6955	Der m 1	Der m 1	309
P08176	PEPT1_DERPT	DERPT	DERP1	Dermatophagoides pteronyssinus (European house dust mite)	6956	Der p 1	Der p 1	1232
O18416	TPM_DERPT	DERPT		Dermatophagoides pteronyssinus (European house dust mite)	6956	Der p 10	Der p 10	311
Q4JK71	CHL18_DERPT	DERPT		Dermatophagoides pteronyssinus (European house dust mite)	6956	Der p 18.0101	Der p 18	10802
P49278	ALL2_DERPT	DERPT	DERP2	Dermatophagoides pteronyssinus (European house dust mite)	6956	Der p 2	Der p 2	316
Q2L7C5	ALL21_DERPT	DERPT		Dermatophagoides pteronyssinus (European house dust mite)	6956	Der p 21.0101	Der p 21	2863
L7N6F8	DEP23_DERPT	DERPT		Dermatophagoides pteronyssinus (European house dust mite)	6956	Der p 23	Der p 23	5747
A0A0K2GUJ4	QCR7_DERPT	DERPT		Dermatophagoides pteronyssinus (European house dust mite)	6956	Der p 24.0101	Der p 24	11912
P39675	DERP3_DERPT	DERPT	DERP3	Dermatophagoides pteronyssinus (European house dust mite)	6956	Der p 3	Der p 3	317
P49274	AMY_DERPT	DERPT		Dermatophagoides pteronyssinus (European house dust mite)	6956	Der p 4.0101	Der p 4	318
P14004	ALL5_DERPT	DERPT	DERP5	Dermatophagoides pteronyssinus (European house dust mite)	6956	Der p 5	Der p 5	319
P49277	DERP6_DERPT	DERPT	DERP6	Dermatophagoides pteronyssinus (European house dust mite)	6956	Der p 6	Der p 6	320
P49273	ALL7_DERPT	DERPT	DERP7	Dermatophagoides pteronyssinus (European house dust mite)	6956	Der p 7	Der p 7	321
P46419	GSTM1_DERPT	DERPT		Dermatophagoides pteronyssinus (European house dust mite)	6956	Der p 8	Der p 8	322
P24476	RIP0_DIACA	DIACA		Dianthus caryophyllus (Carnation) (Clove pink)	3570	Dia c RIP	Dia c RIP	2796
Q24702	DVA1_DICVI	DICVI	DVA-1	Dictyocaulus viviparus (Bovine lungworm)	29172			
P0DSI2	PA1_DINQU	DINQU		Dinoponera quadriceps (South American ant)	609295			
P0DSI3	VA3_DINQU	DINQU		Dinoponera quadriceps (South American ant)	609295			
A7MAQ2	DIOA3_DIOJA	DIOJA	dioA3	Dioscorea japonica (Japanese yam)	4673			
Q75N34	DB3S_DIOPO	DIOPO	DB3S	Dioscorea polystachya (Chinese yam)	55575	Dio p TSP	Dio p TSP	4051
Q05108	VA5_DOLAR	DOLAR		Dolichovespula arenaria (Yellow hornet) (Aerial yellowjacket)	7442	Dol a 5	Dol a 5	327
P53357	PA12_DOLMA	DOLMA		Dolichovespula maculata (Bald-faced hornet) (Vespula maculata)	7441	Dol m 1	Dol m 1	1668
Q06478	PA11_DOLMA	DOLMA		Dolichovespula maculata (Bald-faced hornet) (Vespula maculata)	7441	Dol m 1	Dol m 1	1667
P49371	HYAL_DOLMA	DOLMA		Dolichovespula maculata (Bald-faced hornet) (Vespula maculata)	7441	Dol m 2	Dol m 2	3273
P10736	VA52_DOLMA	DOLMA		Dolichovespula maculata (Bald-faced hornet) (Vespula maculata)	7441	Dol m 5.01	Dol m 5	1656
P10737	VA53_DOLMA	DOLMA		Dolichovespula maculata (Bald-faced hornet) (Vespula maculata)	7441	Dol m 5.02	Dol m 5	1657
P83340	EPIP1_EPING	EPING		Epicoccum nigrum (Soil fungus) (Epicoccum purpurascens)	105696	Epi p 1	Epi p 1	3274
Q95182	ALL1_HORSE	HORSE		Equus caballus (Horse)	9796	Equ c 1	Equ c 1	3306
P81216	ALL21_HORSE	HORSE		Equus caballus (Horse)	9796	Equ c 2.0101	Equ c 2	332
P81217	ALL22_HORSE	HORSE		Equus caballus (Horse)	9796	Equ c 2.0102	Equ c 2	332
P35747	ALBU_HORSE	HORSE	ALB	Equus caballus (Horse)	9796	Equ c 3	Equ c 3	3302
P82615	LATH_HORSE	HORSE	LATH	Equus caballus (Horse)	9796	Equ c 4	Equ c 4	3303
A4URH3	TPM_ERISI	ERISI		Eriocheir sinensis (Chinese mitten crab)	95602	Eri s 1.0101	Eri s 1	3759
P25780	PEPT1_EURMA	EURMA	EURM1	Euroglyphus maynei (Mayne's house dust mite)	6958	Eur m 1	Eur m 1	1359
Q9TZZ2	ALL2_EURMA	EURMA	EURM2	Euroglyphus maynei (Mayne's house dust mite)	6958	Eur m 2	Eur m 2	340
O97370	EURM3_EURMA	EURMA	EURM3	Euroglyphus maynei (Mayne's house dust mite)	6958	Eur m 3	Eur m 3	3276
Q9XFM4	13S3_FAGES	FAGES	FAGAG1	Fagopyrum esculentum (Common buckwheat) (Polygonum fagopyrum)	3617	Fag e 1	Fag e 1	698
Q2PS07	2SS_FAGES	FAGES		Fagopyrum esculentum (Common buckwheat) (Polygonum fagopyrum)	3617	Fag e 2.0101	Fag e 2	1187
A9NJG2	13S_FAGTA	FAGTA		Fagopyrum tataricum (Tartarian buckwheat) (Polygonum tataricum)	62330	Fag t 1	Fag t 1	1534
E9NX73	2SS_FAGTA	FAGTA		Fagopyrum tataricum (Tartarian buckwheat) (Polygonum tataricum)	62330	Fag t 2.0101	Fag t 2	9488
P30438	FEL1A_FELCA	FELCA	CH1	Felis catus (Cat) (Felis silvestris catus)	9685	Fel d 1-A	Fel d 1	3278
P30440	FEL1B_FELCA	FELCA	CH2	Felis catus (Cat) (Felis silvestris catus)	9685	Fel d 1-B	Fel d 1	3278
P49064	ALBU_FELCA	FELCA	ALB	Felis catus (Cat) (Felis silvestris catus)	9685	Fel d 2	Fel d 2	3279
Q8WNR9	CYTA_FELCA	FELCA	CSTA	Felis catus (Cat) (Felis silvestris catus)	9685	Fel d 3	Fel d 3	3280
Q5VFH6	ALL4_FELCA	FELCA		Felis catus (Cat) (Felis silvestris catus)	9685	Fel d 4	Fel d 4	1326
C0HJB6	PR1_FOEVU	FOEVU		Foeniculum vulgare (Fennel) (Foeniculum officinale)	2849586	Foe v 1	Foe v 1	1375
B3EWP9	NLTP_FOEVU	FOEVU		Foeniculum vulgare (Fennel) (Foeniculum officinale)	2849586	Foe v 3	Foe v 3	10730
Q256S2	FRA1E_FRAAN	FRAAN	FRAA1E.1	Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)	3747	Fra a 1	Fra a 1	2124
D0E0C7	FRA13_FRAAN	FRAAN	FRAA3	Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)	3747	Fra a 1	Fra a 1	2124
A0A024B2V6	FRA18_FRAAN	FRAAN	Fra a 1.08	Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)	3747	Fra a 1	Fra a 1	
A0A024B3D0	FRA14_FRAAN	FRAAN	Fra a 1.04	Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)	3747	Fra a 1	Fra a 1	
D0E0C6	FRA12_FRAAN	FRAAN	FRAA2	Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)	3747	Fra a 1	Fra a 1	2124
A0A024B3G5	FRA16_FRAAN	FRAAN	Fra a 1.06	Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)	3747	Fra a 1	Fra a 1	
A0A024B404	FRA15_FRAAN	FRAAN	Fra a 1.05	Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)	3747	Fra a 1	Fra a 1	
A0A024B4E4	FRA17_FRAAN	FRAAN	Fra a 1.07	Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)	3747	Fra a 1	Fra a 1	
Q5ULZ4	FRA1A_FRAAN	FRAAN	FRAA1A.1	Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)	3747	Fra a 1	Fra a 1	11672
Q256S7	FRA1B_FRAAN	FRAAN	FRAA1B.1	Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)	3747	Fra a 1	Fra a 1	2124
Q256S4	FRA1C_FRAAN	FRAAN	FRAA1C	Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)	3747	Fra a 1	Fra a 1	2124
Q256S6	FRA1D_FRAAN	FRAAN	FRAA1D	Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)	3747	Fra a 1	Fra a 1	2124
P0C0Y3	PROF_FRAAN	FRAAN		Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)	3747	Fra a 4	Fra a 4	1172
Q8TFM9	RLA2_FUSCU	FUSCU		Fusarium culmorum	5516	Fus c 1	Fus c 1	3288
Q8TFM8	THIO_FUSCU	FUSCU		Fusarium culmorum	5516	Fus c 2	Fus c 2	3289
Q8J1X7	FUSC3_FUSCU	FUSCU		Fusarium culmorum	5516	Fus c 3	Fus c 3	1023
P81010	FUSS_FUSVN	FUSVN		Fusarium vanettenii (Neocosmospora pisi)	2747968	Fus s 1	Fus s 1	735
Q90YK7	PRVB2_GADCH	GADCH		Gadus chalcogrammus (Alaska pollock) (Theragra chalcogramma)	1042646	The c 1	The c 1	1084
Q90YK8	PRVB1_GADCH	GADCH		Gadus chalcogrammus (Alaska pollock) (Theragra chalcogramma)	1042646	The c 1	The c 1	1084
Q90YK9	PRVB2_GADMO	GADMO	pvalb2	Gadus morhua (Atlantic cod)	8049	Gad m 1.0201	Gad m 1	358
B3A0L6	ENOB_GADMO	GADMO	ENO3	Gadus morhua (Atlantic cod)	8049	Gad m 2.0101	Gad m 2	10132
P86980	ALDOA_GADMO	GADMO	ALDOA	Gadus morhua (Atlantic cod)	8049	Gad m 3.0101	Gad m 3	10149
P02622	PRVB_GADMC	GADMC		Gadus morhua subsp. callarias (Baltic cod) (Gadus callarias)	8053	Gad c 1.0101	Gad c 1	3290
