AC	Gene name	PTHR 	Family name	Notes	Action annotation reviewer	GO term added 	PAINT 	Pascale/Li/Marc comments	Lost in Panther 19
O75764	TCEA3	PTHR11477	transcription factor s-ii zinc finger domain-containing protein pthr11477	yeast RNA polymerase II complex recruiting activity. IMP	Already had a valid annotation		DONE		#N/A
Q6ZMY3	SPOCD1	PTHR11477	transcription factor s-ii zinc finger domain-containing protein pthr11477		Already had a valid annotation		DONE		#N/A
Q96MN5	TCEANC2	PTHR11477	transcription factor s-ii zinc finger domain-containing protein pthr11477	No data found	No data found		DONE		#N/A
P07602	PSAP	PTHR11480	saposin-related pthr11480						#N/A
Q6NUJ1	PSAPL1	PTHR11480	saposin-related pthr11480						#N/A
P07988	SFTPB	PTHR11480	saposin-related pthr11480						#N/A
P08582	MELTF	PTHR11485	transferrin pthr11485	human fly iron ion binding IDA	Only binding annotation				#N/A
P02787	TF	PTHR11485	transferrin pthr11485	human rat fly iron ion binding IDA	Only binding annotation				#N/A
P02788	LTF	PTHR11485	transferrin pthr11485	human fly iron ion binding IDA	Only binding annotation				#N/A
Q9Y5M8	SRPRB	PTHR11485	transferrin pthr11485		skip				#N/A
Q9NV23	OLAH	PTHR11487	thioesterase pthr11487						#N/A
P10747	CD28	PTHR11494	cytotoxic t-lymphocyte protein pthr11494						#N/A
P16410	CTLA4	PTHR11494	cytotoxic t-lymphocyte protein pthr11494						#N/A
P05814	CSN2	PTHR11500	beta casein pthr11500						#N/A
P62753	RPS6	PTHR11502	40s ribosomal protein s6 pthr11502						#N/A
P11279	LAMP1	PTHR11506	lysosome-associated membrane glycoprotein pthr11506						#N/A
Q9UJQ1	LAMP5	PTHR11506	lysosome-associated membrane glycoprotein pthr11506						#N/A
P34810	CD68	PTHR11506	lysosome-associated membrane glycoprotein pthr11506						#N/A
Q9UQV4	LAMP3	PTHR11506	lysosome-associated membrane glycoprotein pthr11506						#N/A
P13473	LAMP2	PTHR11506	lysosome-associated membrane glycoprotein pthr11506						#N/A
P01229	LHB	PTHR11515	glycoprotein hormone beta chain pthr11515	fish fly hormone activity IDA	Already had a valid annotation		DONE		#N/A
P01222	TSHB	PTHR11515	glycoprotein hormone beta chain pthr11515	no data found	Already had a valid annotation		DONE		#N/A
Q6NT52	CGB2	PTHR11515	glycoprotein hormone beta chain pthr11515	hormone activity IMP	Already had a valid annotation		DONE		#N/A
A6NKQ9	CGB1	PTHR11515	glycoprotein hormone beta chain pthr11515	hormone activity IMP	Already had a valid annotation		DONE		#N/A
Q86YW7	GPHB5	PTHR11515	glycoprotein hormone beta chain pthr11515	fly hormone activity IDA	Already had a valid annotation		DONE		#N/A
P0DN86	CGB3	PTHR11515	glycoprotein hormone beta chain pthr11515	fish fly hormone activity IDA	Already had a valid annotation		DONE		#N/A
P0DN87	CGB7	PTHR11515	glycoprotein hormone beta chain pthr11515	fish fly hormone activity IDA	Already had a valid annotation		DONE		#N/A
P08559	PDHA1	PTHR11516	pyruvate dehydrogenase e1 component, alpha subunit  bacterial and organellar pthr11516		IGNORE - Lost in Panther19		Will be done by Marc		PTHR11516
Q9UN42	ATP1B4	PTHR11523	sodium/potassium-dependent atpase beta subunit pthr11523						#N/A
Q96SM3	CPXM1	PTHR11532	protease m14 carboxypeptidase pthr11532	mouse NOT annotation	skip				#N/A
Q8N436	CPXM2	PTHR11532	protease m14 carboxypeptidase pthr11532		skip				#N/A
Q9UK17	KCND3	PTHR11537	voltage-gated potassium channel pthr11537	voltage-gated potassium channel activity IDA	Already had a valid annotation		DONE		#N/A
O43526	KCNQ2	PTHR11537	voltage-gated potassium channel pthr11537	voltage-gated potassium channel activity IDA	Already had a valid annotation		DONE		#N/A
Q6NT32	CES5A	PTHR11559	carboxylesterase pthr11559	fly carboxylesterase activity IDA	Already had a valid annotation		DONE		#N/A
Q6UWW8	CES3	PTHR11559	carboxylesterase pthr11559	fly carboxylesterase activity IDA	Already had a valid annotation		DONE		#N/A
Q5XG92	CES4A	PTHR11559	carboxylesterase pthr11559	fly carboxylesterase activity IDA	Already had a valid annotation		DONE		#N/A
Q12904	AIMP1	PTHR11586	trna-aminoacylation cofactor arc1 family member pthr11586						#N/A
P25786	PSMA1	PTHR11599	proteasome subunit alpha/beta pthr11599						#N/A
P25788	PSMA3	PTHR11599	proteasome subunit alpha/beta pthr11599						#N/A
P25789	PSMA4	PTHR11599	proteasome subunit alpha/beta pthr11599						#N/A
P49721	PSMB2	PTHR11599	proteasome subunit alpha/beta pthr11599						#N/A
P49720	PSMB3	PTHR11599	proteasome subunit alpha/beta pthr11599						#N/A
P28070	PSMB4	PTHR11599	proteasome subunit alpha/beta pthr11599						#N/A
P28066	PSMA5	PTHR11599	proteasome subunit alpha/beta pthr11599						#N/A
Q8TAA3	PSMA8	PTHR11599	proteasome subunit alpha/beta pthr11599						#N/A
O14818	PSMA7	PTHR11599	proteasome subunit alpha/beta pthr11599						#N/A
P60900	PSMA6	PTHR11599	proteasome subunit alpha/beta pthr11599						#N/A
P25787	PSMA2	PTHR11599	proteasome subunit alpha/beta pthr11599						#N/A
Q96I15	SCLY	PTHR11601	cysteine desulfurylase family member pthr11601						#N/A
P54315	PNLIPRP1	PTHR11610	lipase pthr11610	lipoprotein lipase activity	Already has an IBA				#N/A
Q17RR3	PNLIPRP3	PTHR11610	lipase pthr11610		Already has an IBA				#N/A
Q9H6Q4	CIAO3	PTHR11615	nitrate, formate, iron dehydrogenase pthr11615		No data found				#N/A
Q96N87	SLC6A18	PTHR11616	sodium/chloride dependent transporter pthr11616	human NOT annotation	skip				#N/A
Q9H1V8	SLC6A17	PTHR11616	sodium/chloride dependent transporter pthr11616		skip				#N/A
Q9GZN6	SLC6A16	PTHR11616	sodium/chloride dependent transporter pthr11616		skip				#N/A
P11177	PDHB	PTHR11624	dehydrogenase related pthr11624						#N/A
Q4G0Z9	MCMDC2	PTHR11630	dna replication licensing factor mcm family member pthr11630						#N/A
O75879	GATB	PTHR11659	glutamyl-trna gln  amidotransferase subunit b  mitochondrial and prokaryotic  pet112-related pthr11659						#N/A
Q9BYT1	SLC17A9	PTHR11662	solute carrier family 17 pthr11662						#N/A
Q9Y5K8	ATP6V1D	PTHR11671	v-type atp synthase subunit d pthr11671	yeast VMA8 proton-transporting ATPase activity, rotational mechanism IMP	Already had a valid annotation		DONE		#N/A
Q7Z4T8	GALNTL5	PTHR11675	n-acetylgalactosaminyltransferase pthr11675	NOT annotation	skip				#N/A
Q9H267	VPS33B	PTHR11679	vesicle protein sorting-associated pthr11679						#N/A
Q8WU76	SCFD2	PTHR11679	vesicle protein sorting-associated pthr11679						#N/A
Q96AX1	VPS33A	PTHR11679	vesicle protein sorting-associated pthr11679						#N/A
Q9NRW7	VPS45	PTHR11679	vesicle protein sorting-associated pthr11679						#N/A
P51674	GPM6A	PTHR11683	myelin proteolipid pthr11683		IGNORE - Lost in Panther19		Will be done by Marc		PTHR11683
P36268	GGT2P	PTHR11686	gamma glutamyl transpeptidase pthr11686	already has IBA glutathione hydrolase activity	Already has an IBA				#N/A
P51170	SCNN1G	PTHR11690	amiloride-sensitive sodium channel-related pthr11690	human ligand-gated sodium channel activity	Already had a valid annotation		Already had IBA	MAF: included in the "chromosomewalk" list.	#N/A
P51168	SCNN1B	PTHR11690	amiloride-sensitive sodium channel-related pthr11690	mouse ligand-gated sodium channel activity	Already had a valid annotation		Already had IBA	MAF: included in the "chromosomewalk" list.	#N/A
P37088	SCNN1A	PTHR11690	amiloride-sensitive sodium channel-related pthr11690	mouse ligand-gated sodium channel activity	Already had a valid annotation		Already had IBA	MAF: included in the "chromosomewalk" list.	#N/A
Q8WWV3	RTN4IP1	PTHR11695	alcohol dehydrogenase related pthr11695	yeast alcohol dehydrogenase [NAD(P)+] activity IDA	Already had a valid annotation		DONE		#N/A
Q8IZ83	ALDH16A1	PTHR11699	aldehyde dehydrogenase-related pthr11699	already has IBA aldehyde dehydrogenase (NAD+) activity	Already has an IBA				#N/A
P23434	GCSH	PTHR11715	glycine cleavage system h protein pthr11715						#N/A
P21695	GPD1	PTHR11728	glycerol-3-phosphate dehydrogenase pthr11728	mouse glycerol-3-phosphate dehydrogenase [NAD(P)+] activity IDA Rat  glycerol-3-phosphate dehydrogenase (quinone) activity IDA	Already had a valid annotation		Already had IBA		#N/A
Q9NPF4	OSGEP	PTHR11735	trna n6-adenosine threonylcarbamoyltransferase pthr11735						#N/A
Q9H4B0	OSGEPL1	PTHR11735	trna n6-adenosine threonylcarbamoyltransferase pthr11735						#N/A
A0A0J9YX57	MAGEB6B	PTHR11736	melanoma-associated antigen  mage antigen pthr11736	yeast SUMO transferase activity IDA	skip				#N/A
O15481	MAGEB4	PTHR11736	melanoma-associated antigen  mage antigen pthr11736	no data	skip				#N/A
O15480	MAGEB3	PTHR11736	melanoma-associated antigen  mage antigen pthr11736	yeast SUMO transferase activity IDA	skip				#N/A
Q96M61	MAGEB18	PTHR11736	melanoma-associated antigen  mage antigen pthr11736	yeast SUMO transferase activity IDA	skip				#N/A
Q9UNF1	MAGED2	PTHR11736	melanoma-associated antigen  mage antigen pthr11736	no data	skip				#N/A
Q96JG8	MAGED4	PTHR11736	melanoma-associated antigen  mage antigen pthr11736	no data	skip				#N/A
Q9HCI5	MAGEE1	PTHR11736	melanoma-associated antigen  mage antigen pthr11736	no data	skip				#N/A
Q9HAY2	MAGEF1	PTHR11736	melanoma-associated antigen  mage antigen pthr11736	no data	skip				#N/A
Q9Y5V3	MAGED1	PTHR11736	melanoma-associated antigen  mage antigen pthr11736	mouse transcription coactivator activity IDA	skip				#N/A
Q9UJ55	MAGEL2	PTHR11736	melanoma-associated antigen  mage antigen pthr11736	ubiquitin-protein transferase activity IDA	skip				#N/A
Q96MG7	NSMCE3	PTHR11736	melanoma-associated antigen  mage antigen pthr11736	yeast SUMO transferase activity IDA	skip				#N/A
Q96LZ2	MAGEB10	PTHR11736	melanoma-associated antigen  mage antigen pthr11736		skip				#N/A
A8MXT2	MAGEB17	PTHR11736	melanoma-associated antigen  mage antigen pthr11736		skip				#N/A
Q99608	NDN	PTHR11736	melanoma-associated antigen  mage antigen pthr11736		skip				#N/A
O15479	MAGEB2	PTHR11736	melanoma-associated antigen  mage antigen pthr11736	yeast SUMO transferase activity IDA	skip				#N/A
A2A368	MAGEB16	PTHR11736	melanoma-associated antigen  mage antigen pthr11736		skip				#N/A
Q8TD91	MAGEC3	PTHR11736	melanoma-associated antigen  mage antigen pthr11736		skip				#N/A
Q8TD90	MAGEE2	PTHR11736	melanoma-associated antigen  mage antigen pthr11736		skip				#N/A
A6NCF6	MAGEA13P	PTHR11736	melanoma-associated antigen  mage antigen pthr11736		skip				#N/A
O60732	MAGEC1	PTHR11736	melanoma-associated antigen  mage antigen pthr11736		skip				#N/A
Q9BZ81	MAGEB5	PTHR11736	melanoma-associated antigen  mage antigen pthr11736	yeast SUMO transferase activity IDA	skip				#N/A
Q8N7X4	MAGEB6	PTHR11736	melanoma-associated antigen  mage antigen pthr11736	yeast SUMO transferase activity IDA	skip				#N/A
Q9H213	MAGEH1	PTHR11736	melanoma-associated antigen  mage antigen pthr11736		skip				#N/A
P43366	MAGEB1	PTHR11736	melanoma-associated antigen  mage antigen pthr11736	yeast SUMO transferase activity IDA	skip				#N/A
Q9UBF1	MAGEC2	PTHR11736	melanoma-associated antigen  mage antigen pthr11736		skip				#N/A
Q12816	TRO	PTHR11736	melanoma-associated antigen  mage antigen pthr11736	no data	skip				#N/A
O76036	NCR1	PTHR11738	mhc class i nk cell receptor pthr11738	no data	Already had a valid annotation		DONE	MAF: Reviewed the family. Annotated the root with "GO:0004888 transmembrane signaling receptor activity", without seeing that this was proposed below, so we agree. Some nodes got more granular annotations. Also signalling for BPs...	#N/A
P04217	A1BG	PTHR11738	mhc class i nk cell receptor pthr11738	no data	Already had a valid annotation		DONE		#N/A
Q6GTX8	LAIR1	PTHR11738	mhc class i nk cell receptor pthr11738	no data	Already had a valid annotation		DONE		#N/A
Q9H7L2	KIR3DX1	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
Q14954	KIR2DS1	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
Q14953	KIR2DS5	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
Q14943	KIR3DS1	PTHR11738	mhc class i nk cell receptor pthr11738	no data	Already had a valid annotation		DONE		#N/A
A0A376A8Z9	KIR2DS5	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
A0A0G2JN68	KIR2DL5B	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
A0A0G2JMM0	LOC128966728	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
A0A0G2JLQ3	KIR2DS5	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
A0A0G2JLM5	A0A0G2JLM5	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
Q6UX27	VSTM1	PTHR11738	mhc class i nk cell receptor pthr11738	NO DATA	Already had a valid annotation		DONE		#N/A
A0A0G2JQ47	A0A0G2JQ47	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
Q6ISS4	LAIR2	PTHR11738	mhc class i nk cell receptor pthr11738	no data	Already had a valid annotation		DONE		#N/A
Q9HCN6	GP6	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
O75023	LILRB5	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
Q8NHK3	KIR2DL5B	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
O75022	LILRB3	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
A0A0G2JN01	KIR3DP1	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
A0A0G2JNF4	KIR2DP1	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
A0A0G2JNG1	A0A0G2JNG1	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
Q8N743	KIR3DL3	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
Q8N6C5	IGSF1	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
A0A0G2JPC4	KIR2DL5B	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
Q8N109	KIR2DL5A	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
Q99706	KIR2DL4	PTHR11738	mhc class i nk cell receptor pthr11738	MHC class Ib receptor activity IDA	Already had a valid annotation		DONE	maybe use "GO:0004888 transmembrane signaling receptor activity" for PAINT	#N/A
P43632	KIR2DS4	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
P43631	KIR2DS2	PTHR11738	mhc class i nk cell receptor pthr11738	no data	Already had a valid annotation		DONE		#N/A
P43630	KIR3DL2	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
P43629	KIR3DL1	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
P43628	KIR2DL3	PTHR11738	mhc class i nk cell receptor pthr11738	no data	Already had a valid annotation		DONE		#N/A
P43627	KIR2DL2	PTHR11738	mhc class i nk cell receptor pthr11738	MHC class Ib protein binding	Already had a valid annotation		DONE		#N/A
P43626	KIR2DL1	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
Q6PI73	LILRA6	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
B6A8C7	TARM1	PTHR11738	mhc class i nk cell receptor pthr11738	immunoglobulin receptor binding	Already had a valid annotation		DONE		#N/A
P24071	FCAR	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
Q14952	KIR2DS3	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
A0A5K1VDZ0	KIR2DL1	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
A0A191URJ7	KIR2DL1	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
A0A0G2JP03	A0A0G2JP03	PTHR11738	mhc class i nk cell receptor pthr11738		Already had a valid annotation		DONE		#N/A
P59780	AP3S2	PTHR11753	adaptor complexes small subunit family pthr11753						#N/A
P61966	AP1S1	PTHR11753	adaptor complexes small subunit family pthr11753						#N/A
P56377	AP1S2	PTHR11753	adaptor complexes small subunit family pthr11753						#N/A
Q9Y587	AP4S1	PTHR11753	adaptor complexes small subunit family pthr11753						#N/A
P53680	AP2S1	PTHR11753	adaptor complexes small subunit family pthr11753						#N/A
Q92572	AP3S1	PTHR11753	adaptor complexes small subunit family pthr11753						#N/A
Q96PC3	AP1S3	PTHR11753	adaptor complexes small subunit family pthr11753						#N/A
Q4J6C6	PREPL	PTHR11757	protease family s9a oligopeptidase pthr11757						#N/A
P48549	KCNJ3	PTHR11767	inward rectifier potassium channel pthr11767	inward rectifier potassium channel activity. IDA	Already had a valid annotation		Already had IBA	MAF: As these channels are formed by several subunits I've added 'contributes_to'	#N/A
P48544	KCNJ5	PTHR11767	inward rectifier potassium channel pthr11767	inward rectifier potassium channel activity. IDA	Already had a valid annotation		Already had IBA	MAF: As these channels are formed by several subunits I've added 'contributes_to'	#N/A
O43820	HYAL3	PTHR11769	hyaluronidase pthr11769						#N/A
Q12794	HYAL1	PTHR11769	hyaluronidase pthr11769						#N/A
P49821	NDUFV1	PTHR11780	nadh-ubiquinone oxidoreductase flavoprotein 1  ndufv1 pthr11780						#N/A
P24386	CHM	PTHR11787	rab gdp-dissociation inhibitor pthr11787	ZFIN (chm) and Yeast (MRS6) has Rab geranylgeranyltransferase activity IMP	Already had a valid annotation		No relevant data	MAF: Substrate-binding subunit, not catalytic, so I would not make the annotation to the activity.	#N/A
P26374	CHML	PTHR11787	rab gdp-dissociation inhibitor pthr11787	ZFIN (chm) and Yeast (MRS6) has Rab geranylgeranyltransferase activity IMP	Already had a valid annotation		No relevant data	MAF: Substrate-binding subunit, not catalytic, so I would not make the annotation to the activity.	#N/A
Q9Y4K1	CRYBG1	PTHR11818	beta/gamma crystallin pthr11818						#N/A
Q8N1P7	CRYBG2	PTHR11818	beta/gamma crystallin pthr11818						#N/A
Q9NY91	SLC5A4	PTHR11819	solute carrier family 5 pthr11819		IGNORE - Lost in Panther19		Will be done by Marc		PTHR11819
O00305	CACNB4	PTHR11824	voltage-dependent calcium channel beta subunit pthr11824	human voltage-gated calcium channel activity/ high voltage-gated calcium channel activity IDA	Already had a valid annotation		Already had IBA	mouse rat already have IBA annotation, but not huamn, don't know why	#N/A
Q08289	CACNB2	PTHR11824	voltage-dependent calcium channel beta subunit pthr11824	human voltage-gated calcium channel activity/ high voltage-gated calcium channel activity IDA	Already had a valid annotation		Already had IBA		#N/A
P61247	RPS3A	PTHR11830	40s ribosomal protein s3a pthr11830	human structural constituent of ribosome IDA	Already had a valid annotation		DONE		#N/A
O43837	IDH3B	PTHR11835	decarboxylating dehydrogenases-isocitrate, isopropylmalate, tartrate pthr11835	yeast (IDH1) has isocitrate dehydrogenase (NAD+) activity IDA	Already had a valid annotation		No relevant data	MAF: Not a catalytic subunit	#N/A
P51553	IDH3G	PTHR11835	decarboxylating dehydrogenases-isocitrate, isopropylmalate, tartrate pthr11835	yeast (IDH1) has isocitrate dehydrogenase (NAD+) activity IDA	Already had a valid annotation		No relevant data	MAF: Not a catalytic subunit	#N/A
Q13257	MAD2L1	PTHR11842	mitotic spindle assembly checkpoint protein mad2 pthr11842		Only binding annotation				#N/A
Q9UI95	MAD2L2	PTHR11842	mitotic spindle assembly checkpoint protein mad2 pthr11842		Only binding annotation				#N/A
P31930	UQCRC1	PTHR11851	metalloprotease pthr11851	yeast (MAS1) worm (mppb-1)  metalloendopeptidase activity. IDA	Already had a valid annotation		No relevant data	MAF: Substrate recognition and binding subunit of MPP	#N/A
Q10713	PMPCA	PTHR11851	metalloprotease pthr11851	rat PMPCA yeast (MAS1) worm (mppb-1)  metalloendopeptidase activity. IDA	Already had a valid annotation		No relevant data	MAF: Substrate recognition and binding subunit of MPP	#N/A
P22695	UQCRC2	PTHR11851	metalloprotease pthr11851	fly UQCR-C2 NOT peptidase activity IKR					#N/A
Q9Y2F5	ICE1	PTHR11852	platelet-activating factor acetylhydrolase pthr11852	human protein-macromolecule adaptor activity IDA	IGNORE - Lost in Panther19		Will be done by Marc		PTHR11852
P40967	PMEL	PTHR11861	melanocyte protein pmel 17-related pthr11861						#N/A
Q8N3G9	TMEM130	PTHR11861	melanocyte protein pmel 17-related pthr11861						#N/A
P21731	TBXA2R	PTHR11866	g-protein coupled receptor family 1 member pthr11866	mouse rat thromboxane receptor activity, ZFIN thromboxane A2 receptor activity IDA	Already had a valid annotation		DONE		#N/A
P12838	DEFA4	PTHR11876	alpha-defensin 1 pthr11876		Already had a valid annotation		Already had IBA	MAF: included in the "chromosomewalk" list.	#N/A
Q01524	DEFA6	PTHR11876	alpha-defensin 1 pthr11876		Already had a valid annotation		Already had IBA	MAF: included in the "chromosomewalk" list.	#N/A
Q01523	DEFA5	PTHR11876	alpha-defensin 1 pthr11876		Already had a valid annotation		Already had IBA	MAF: included in the "chromosomewalk" list.	#N/A
P59666	DEFA3	PTHR11876	alpha-defensin 1 pthr11876		Already had a valid annotation		Already had IBA	MAF: included in the "chromosomewalk" list.	#N/A
P59665	DEFA1	PTHR11876	alpha-defensin 1 pthr11876	human pore-forming activity IDA	Already had a valid annotation		Already had IBA	MAF: included in the "chromosomewalk" list.	#N/A
O96015	DNAL4	PTHR11886	dynein light chain pthr11886				Already had IBA	MAF: included in the "chromosomewalk" list.	#N/A
Q9NZN1	IL1RAPL1	PTHR11890	interleukin-1 receptor family member pthr11890		No data found				#N/A
Q6IA17	SIGIRR	PTHR11890	interleukin-1 receptor family member pthr11890		No data found				#N/A
Q9HB29	IL1RL2	PTHR11890	interleukin-1 receptor family member pthr11890		No data found				#N/A
Q9NP60	IL1RAPL2	PTHR11890	interleukin-1 receptor family member pthr11890		No data found				#N/A
Q9H0R6	QRSL1	PTHR11895	transamidase pthr11895	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity IDA	Already had a valid annotation		Already had IBA		#N/A
Q96CG8	CTHRC1	PTHR11903	prostaglandin g/h synthase pthr11903	has IBA  prostaglandin-endoperoxide synthase activity					#N/A
P21912	SDHB	PTHR11921	succinate dehydrogenase iron-sulfur protein pthr11921						#N/A
Q8N0Y7	PGAM4	PTHR11931	phosphoglycerate mutase pthr11931		Already had a valid annotation		Already had IBA		#N/A
P18669	PGAM1	PTHR11931	phosphoglycerate mutase pthr11931	human mouse rat have phosphoglycerate mutase activity IDA	Already had a valid annotation		Already had IBA		#N/A
P07738	BPGM	PTHR11931	phosphoglycerate mutase pthr11931	phosphoglycerate mutase activity IMP	Already had a valid annotation		Already had IBA		#N/A
P15259	PGAM2	PTHR11931	phosphoglycerate mutase pthr11931	phosphoglycerate mutase activity IMP/EXP	Already had a valid annotation		Already had IBA		#N/A
O75648	TRMU	PTHR11933	trna  5-methylaminomethyl-2-thiouridylate -methyltransferase pthr11933	yeast SLM3 has tRNA-5-taurinomethyluridine 2-sulfurtransferase IMP	Already had a valid annotation		DONE		#N/A
Q8N490	PNKD	PTHR11935	beta lactamase domain pthr11935	yesst GLO2/GLO4 have hydroxyacylglutathione hydrolase activity IDA	Already had a valid annotation		DONE		#N/A
Q9NZ32	ACTR10	PTHR11937	actin pthr11937		Already had a valid annotation		DONE		#N/A
P61163	ACTR1A	PTHR11937	actin pthr11937		Already had a valid annotation		DONE		#N/A
P68133	ACTA1	PTHR11937	actin pthr11937	yeast ACT1 has structural constituent of cytoskeleton IDA	Already had a valid annotation		DONE		#N/A
Q9Y615	ACTL7A	PTHR11937	actin pthr11937		Already had a valid annotation		DONE	MAF: Not  structural constituent of cytoskeleton	#N/A
Q9Y614	ACTL7B	PTHR11937	actin pthr11937		Already had a valid annotation		DONE	MAF: Not  structural constituent of cytoskeleton	#N/A
Q9H568	ACTL8	PTHR11937	actin pthr11937		Already had a valid annotation		DONE		#N/A
Q9H9F9	ACTR5	PTHR11937	actin pthr11937		Already had a valid annotation		DONE	MAF: Not  structural constituent of cytoskeleton	#N/A
Q9H981	ACTR8	PTHR11937	actin pthr11937		Already had a valid annotation		DONE		#N/A
P63267	ACTG2	PTHR11937	actin pthr11937		Already had a valid annotation		DONE		#N/A
Q9BYD9	ACTRT3	PTHR11937	actin pthr11937		Already had a valid annotation		DONE		#N/A
Q8TDY3	ACTRT2	PTHR11937	actin pthr11937		Already had a valid annotation		DONE		#N/A
Q5JWF8	ACTL10	PTHR11937	actin pthr11937		Already had a valid annotation		DONE		#N/A
P42025	ACTR1B	PTHR11937	actin pthr11937		Already had a valid annotation		DONE		#N/A
P62736	ACTA2	PTHR11937	actin pthr11937		Already had a valid annotation		DONE		#N/A
Q86YB7	ECHDC2	PTHR11941	enoyl-coa hydratase-related pthr11941		Already had a valid annotation		DONE		#N/A
Q9NTX5	ECHDC1	PTHR11941	enoyl-coa hydratase-related pthr11941	mouse has carboxy-lyase activity IDA	Already had a valid annotation		DONE		#N/A
Q96IR7	HPDL	PTHR11959	4-hydroxyphenylpyruvate dioxygenase pthr11959	4-hydroxymandelate synthase activity. IDA	Already had a valid annotation		DONE		#N/A
P02763	ORM1	PTHR11967	alpha-1-acid glycoprotein pthr11967	rat small molecule binding IDA	Only binding annotation				#N/A
P19652	ORM2	PTHR11967	alpha-1-acid glycoprotein pthr11967	rat small molecule binding IDA	Only binding annotation				#N/A
P04839	CYBB	PTHR11972	nadph oxidase pthr11972	superoxide-generating NAD(P)H oxidase activity IDA/IMP	in Swiss-Prot 300 protein list		Will be done by Marc		#N/A
Q13740	ALCAM	PTHR11973	cell surface glycoprotein muc18-related pthr11973		IGNORE - Lost in Panther19		Will be done by Marc		PTHR11973
P43121	MCAM	PTHR11973	cell surface glycoprotein muc18-related pthr11973	has IBA laminin receptor activity	IGNORE - Lost in Panther19		Will be done by Marc	has IBA	PTHR11973
P43304	GPD2	PTHR11985	glycerol-3-phosphate dehydrogenase pthr11985	glycerol-3-phosphate dehydrogenase (quinone) activity IDA	Already had a valid annotation		Already had IBA		#N/A
O75306	NDUFS2	PTHR11993	nadh-ubiquinone oxidoreductase 49 kda subunit pthr11993	human/mouse /rat have NADH dehydrogenase (ubiquinone) activity IMP	Already had a valid annotation		DONE		#N/A
P56747	CLDN6	PTHR12002	claudin pthr12002		Already had a valid annotation		DONE		#N/A
Q8N7P3	CLDN22	PTHR12002	claudin pthr12002		Already had a valid annotation		No relevant data	MAF: Not all are channels, has to be annotated node by node	#N/A
O75508	CLDN11	PTHR12002	claudin pthr12002		Already had a valid annotation		No relevant data	MAF: Not all are channels, has to be annotated node by node	#N/A
A6NM45	CLDN24	PTHR12002	claudin pthr12002		Already had a valid annotation		No relevant data	MAF: Not all are channels, has to be annotated node by node	#N/A
O00501	CLDN5	PTHR12002	claudin pthr12002		Already had a valid annotation		No relevant data	MAF: Not all are channels, has to be annotated node by node	#N/A
O15551	CLDN3	PTHR12002	claudin pthr12002		Already had a valid annotation		DONE		#N/A
P78369	CLDN10	PTHR12002	claudin pthr12002		Already had a valid annotation		DONE		#N/A
