level	id	name	n_annotations	n_genes	n_downgraded	downgrade_pct	n_accept	top_downgraded_terms	example_genes
graft_node	PTN000667065		3	1	2	67	0	GO:0014909 smooth muscle cell migration (1); GO:0048008 platelet-derived growth factor receptor signaling pathway (1)	K9IJK6
graft_node	PTN000764868		3	1	2	67	1	GO:0005829 cytosol (1); GO:0071978 bacterial-type flagellum-dependent swarming motility (1)	flgE
graft_node	PTN001684743		3	1	2	67	1	GO:0003677 DNA binding (1); GO:0005634 nucleus (1)	K9J287
graft_node	PTN002251374		3	1	2	67	0	GO:0016618 hydroxypyruvate reductase [NAD(P)H] activity (1); GO:0030267 glyoxylate reductase (NADPH) activity (1)	ptxD
graft_node	PTN002317630		3	1	2	67	0	GO:0005948 acetolactate synthase complex (1); GO:0009099 L-valine biosynthetic process (1)	gcl
graft_node	PTN002448156		3	1	2	67	1	GO:0004364 glutathione transferase activity (1); GO:0006749 glutathione metabolic process (1)	hmgC
graft_node	PTN002455951		3	1	2	67	0	GO:0006281 DNA repair (1); GO:0008967 phosphoglycolate phosphatase activity (1)	phnX
graft_node	PTN002459629		3	1	2	67	1	GO:0006281 DNA repair (1); GO:0008967 phosphoglycolate phosphatase activity (1)	mupP
graft_node	PTN004269898		3	1	2	67	0	GO:0004766 spermidine synthase activity (1); GO:0008295 spermidine biosynthetic process (1)	PMT2
subfamily	PTHR10996:SF283	GLYOXYLATE_HYDROXYPYRUVATE REDUCTASE B	3	1	2	67	0	GO:0016618 hydroxypyruvate reductase [NAD(P)H] activity (1); GO:0030267 glyoxylate reductase (NADPH) activity (1)	ptxD
subfamily	PTHR11371:SF28	DEOXYRIBONUCLEASE-1-LIKE 1	3	1	2	67	1	GO:0003677 DNA binding (1); GO:0005634 nucleus (1)	K9J287
subfamily	PTHR18968:SF14	GLYOXYLATE CARBOLIGASE	3	1	2	67	0	GO:0005948 acetolactate synthase complex (1); GO:0009099 L-valine biosynthetic process (1)	gcl
subfamily	PTHR24264:SF42	TISSUE-TYPE PLASMINOGEN ACTIVATOR	3	1	2	67	0	GO:0014909 smooth muscle cell migration (1); GO:0048008 platelet-derived growth factor receptor signaling pathway (1)	K9IJK6
subfamily	PTHR30435:SF1	FLAGELLAR HOOK PROTEIN FLGE	3	1	2	67	1	GO:0005829 cytosol (1); GO:0071978 bacterial-type flagellum-dependent swarming motility (1)	flgE
subfamily	PTHR30511:SF0	ALANINE RACEMASE, CATABOLIC-RELATED	3	2	2	67	1	GO:0005829 cytosol (1); GO:0030632 D-alanine biosynthetic process (1)	alr
subfamily	PTHR42673:SF21	GLUTATHIONE S-TRANSFERASE YFCF	3	1	2	67	1	GO:0004364 glutathione transferase activity (1); GO:0006749 glutathione metabolic process (1)	hmgC
subfamily	PTHR43434:SF19	PHOSPHONOACETALDEHYDE HYDROLASE	3	1	2	67	0	GO:0006281 DNA repair (1); GO:0008967 phosphoglycolate phosphatase activity (1)	phnX
subfamily	PTHR43434:SF23	PHOSPHOGLYCOLATE PHOSPHATASE	3	1	2	67	1	GO:0006281 DNA repair (1); GO:0008967 phosphoglycolate phosphatase activity (1)	mupP
family	PTHR10807	MYOTUBULARIN-RELATED	4	1	2	50	2	GO:0010507 negative regulation of autophagy (1); GO:0046856 phosphatidylinositol dephosphorylation (1)	A0A8B6GS20
family	PTHR18968	THIAMINE PYROPHOSPHATE ENZYMES	4	2	2	50	0	GO:0005948 acetolactate synthase complex (1); GO:0009099 L-valine biosynthetic process (1)	gcl
family	PTHR21262	GUANOSINE-3',5'-BIS DIPHOSPHATE 3'-PYROPHOSPHOHYDROLASE	4	1	2	50	2	GO:0005886 plasma membrane (1); GO:0008893 guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity (1)	relA
family	PTHR30244	TRANSAMINASE	4	2	2	50	1	GO:0000271 polysaccharide biosynthetic process (2)	eryCI, eryCIV
family	PTHR30371	SEC-INDEPENDENT PROTEIN TRANSLOCASE PROTEIN TATC	4	2	2	50	2	GO:0009977 proton motive force dependent protein transmembrane transporter activity (2)	tatC-I, tatC-II
family	PTHR31297	GLUCAN ENDO-1,6-BETA-GLUCOSIDASE B	4	1	2	50	2	GO:0008422 beta-glucosidase activity (1); GO:0009986 cell surface (1)	celC
family	PTHR43507	NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 4	4	1	2	50	1	GO:0003954 NADH dehydrogenase activity (1); GO:0048039 ubiquinone binding (1)	nuoM
family	PTHR47435	KELCH REPEAT PROTEIN (AFU_ORTHOLOGUE AFUA_5G12780)	4	1	2	50	2	GO:0005634 nucleus (1); GO:0030234 enzyme regulator activity (1)	TFP
graft_node	PTN000086907		4	1	2	50	2	GO:0010507 negative regulation of autophagy (1); GO:0046856 phosphatidylinositol dephosphorylation (1)	A0A8B6GS20
graft_node	PTN001262731		4	1	2	50	2	GO:0008422 beta-glucosidase activity (1); GO:0009986 cell surface (1)	celC
graft_node	PTN002325964		4	1	2	50	2	GO:0000271 polysaccharide biosynthetic process (1); GO:0019305 dTDP-rhamnose biosynthetic process (1)	eryBVII
graft_node	PTN002327464		4	1	2	50	2	GO:0005886 plasma membrane (1); GO:0008893 guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity (1)	relA
graft_node	PTN002411347		4	2	2	50	2	GO:0009977 proton motive force dependent protein transmembrane transporter activity (2)	tatC-I, tatC-II
graft_node	PTN002460631		4	1	2	50	1	GO:0003954 NADH dehydrogenase activity (1); GO:0048039 ubiquinone binding (1)	nuoM
graft_node	PTN008234626		4	1	2	50	2	GO:0005634 nucleus (1); GO:0030234 enzyme regulator activity (1)	TFP
subfamily	PTHR10807:SF73	LD06050P	4	1	2	50	2	GO:0010507 negative regulation of autophagy (1); GO:0046856 phosphatidylinositol dephosphorylation (1)	A0A8B6GS20
subfamily	PTHR21262:SF31	GTP PYROPHOSPHOKINASE	4	1	2	50	2	GO:0005886 plasma membrane (1); GO:0008893 guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity (1)	relA
subfamily	PTHR30371:SF0	SEC-INDEPENDENT PROTEIN TRANSLOCASE PROTEIN TATC, CHLOROPLASTIC-RELATED	4	2	2	50	2	GO:0009977 proton motive force dependent protein transmembrane transporter activity (2)	tatC-I, tatC-II
subfamily	PTHR31297:SF41	ENDOGLUCANASE, PUTATIVE (AFU_ORTHOLOGUE AFUA_5G01830)-RELATED	4	1	2	50	2	GO:0008422 beta-glucosidase activity (1); GO:0009986 cell surface (1)	celC
subfamily	PTHR43507:SF1	NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 4	4	1	2	50	1	GO:0003954 NADH dehydrogenase activity (1); GO:0048039 ubiquinone binding (1)	nuoM
subfamily	PTHR47435:SF7	EPITHIOSPECIFIER PROTEIN	4	1	2	50	2	GO:0005634 nucleus (1); GO:0030234 enzyme regulator activity (1)	TFP
family	PTHR16705	COMPLEXIN	5	1	2	40	3	GO:0016079 synaptic vesicle exocytosis (1); GO:0031201 SNARE complex (1)	cpx
graft_node	PTN002703616		5	1	2	40	3	GO:0016079 synaptic vesicle exocytosis (1); GO:0031201 SNARE complex (1)	cpx
subfamily	PTHR16705:SF4	COMPLEXIN	5	1	2	40	3	GO:0016079 synaptic vesicle exocytosis (1); GO:0031201 SNARE complex (1)	cpx
family	PTHR11879	ASPARTATE AMINOTRANSFERASE	6	2	2	33	4	GO:0042802 identical protein binding (2)	amaC, tyrB
subfamily	PTHR11879:SF37	AROMATIC-AMINO-ACID AMINOTRANSFERASE	6	2	2	33	4	GO:0042802 identical protein binding (2)	amaC, tyrB
family	PTHR11385	SERUM ALBUMIN-RELATED	8	1	2	25	2	GO:0036094 small molecule binding (2)	ALB
family	PTHR11715	GLYCINE CLEAVAGE SYSTEM H PROTEIN	8	3	2	25	2	GO:0005737 cytoplasm (2)	gcvH1, gcvH2
subfamily	PTHR11385:SF15	ALBUMIN	8	1	2	25	2	GO:0036094 small molecule binding (2)	ALB
subfamily	PTHR11715:SF3	GLYCINE CLEAVAGE SYSTEM H PROTEIN-RELATED	8	3	2	25	2	GO:0005737 cytoplasm (2)	gcvH1, gcvH2
family	PTHR10192	MOLYBDOPTERIN BIOSYNTHESIS PROTEIN	2	1	1	50	0	GO:0005737 cytoplasm (1)	moeA
family	PTHR10772	10 KDA HEAT SHOCK PROTEIN	2	1	1	50	1	GO:0046872 metal ion binding (1)	groES
family	PTHR10849	NADH DEHYDROGENASE UBIQUINONE IRON-SULFUR PROTEIN 8, MITOCHONDRIAL	2	1	1	50	0	GO:0003954 NADH dehydrogenase activity (1)	nuoI
family	PTHR10938	TRANSLATION INITIATION FACTOR IF-3	2	1	1	50	1	GO:0016020 membrane (1)	infC
family	PTHR11076	DNA REPAIR POLYMERASE UMUC / TRANSFERASE FAMILY MEMBER	2	1	1	50	1	GO:0005829 cytosol (1)	dinB
family	PTHR11271	GUANINE DEAMINASE	2	1	1	50	0	GO:0019239 deaminase activity (1)	hutF
family	PTHR11361	DNA MISMATCH REPAIR PROTEIN MUTS FAMILY MEMBER	2	1	1	50	1	GO:0003690 double-stranded DNA binding (1)	mutS
family	PTHR11432	NADH DEHYDROGENASE SUBUNIT 1	2	1	1	50	0	GO:0003954 NADH dehydrogenase activity (1)	nuoH
family	PTHR11530	D-AMINO ACID OXIDASE	2	1	1	50	1	GO:0005737 cytoplasm (1)	DDO
family	PTHR11766	TYROSYL-TRNA SYNTHETASE	2	1	1	50	0	GO:0043039 tRNA aminoacylation (1)	tyrS
family	PTHR21071	UDP-N-ACETYLENOLPYRUVOYLGLUCOSAMINE REDUCTASE	2	1	1	50	0	GO:0005829 cytosol (1)	murB
family	PTHR21621	RIBOSOMAL PROTEIN S6 MODIFICATION PROTEIN	2	1	1	50	0	GO:0016879 ligase activity, forming carbon-nitrogen bonds (1)	gshB
family	PTHR24221	ATP-BINDING CASSETTE SUB-FAMILY B	2	1	1	50	0	GO:0034040 ATPase-coupled lipid transmembrane transporter activity (1)	pvdE
family	PTHR30108	3-OCTAPRENYL-4-HYDROXYBENZOATE CARBOXY-LYASE-RELATED	2	1	1	50	0	GO:0005737 cytoplasm (1)	ubiD
family	PTHR30468	ALPHA-KETOGLUTARATE-DEPENDENT SULFONATE DIOXYGENASE	2	1	1	50	1	GO:0006790 sulfur compound metabolic process (1)	tauD
family	PTHR30504	GLUCANS BIOSYNTHESIS PROTEIN	2	1	1	50	1	GO:0051274 beta-glucan biosynthetic process (1)	opgG
family	PTHR31859	TETRATRICOPEPTIDE REPEAT PROTEIN 39 FAMILY MEMBER	2	1	1	50	1	GO:0032474 otolith morphogenesis (1)	A0A2K5UJ34
family	PTHR32552	FERRICHROME IRON RECEPTOR-RELATED	2	2	1	50	1	GO:0015344 siderophore uptake transmembrane transporter activity (1)	mluA
family	PTHR33164	TRANSCRIPTIONAL REGULATOR, MARR FAMILY	2	2	1	50	0	GO:0006950 response to stress (1)	nicR
family	PTHR39559	-	2	1	1	50	0	GO:0004721 phosphoprotein phosphatase activity (1)	aceK
family	PTHR42829	NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5	2	1	1	50	1	GO:0003954 NADH dehydrogenase activity (1)	nuoL
family	PTHR42938	FORMATE DEHYDROGENASE 1	2	1	1	50	1	GO:0005829 cytosol (1)	pdxB
family	PTHR43134	SIGNAL RECOGNITION PARTICLE RECEPTOR SUBUNIT ALPHA	2	1	1	50	1	GO:0006605 protein targeting (1)	ftsY
family	PTHR43235	GLUTAMINE AMIDOTRANSFERASE PB2B2.05-RELATED	2	1	1	50	0	GO:0006598 polyamine catabolic process (1)	PP_5298
family	PTHR43322	1-D-DEOXYXYLULOSE 5-PHOSPHATE SYNTHASE-RELATED	2	1	1	50	0	GO:0016744 transketolase or transaldolase activity (1)	dxs
family	PTHR43353	SUCCINATE-SEMIALDEHYDE DEHYDROGENASE, MITOCHONDRIAL	2	1	1	50	0	GO:0004777 succinate-semialdehyde dehydrogenase (NAD+) activity (1)	davD
family	PTHR43407	GLUTAMINE SYNTHETASE	2	1	1	50	0	GO:0016020 membrane (1)	glnA
family	PTHR43651	1,4-ALPHA-GLUCAN-BRANCHING ENZYME	2	1	1	50	0	GO:0005737 cytoplasm (1)	glgB
family	PTHR43853	3-KETOACYL-COA THIOLASE, PEROXISOMAL	2	1	1	50	1	GO:0006635 fatty acid beta-oxidation (1)	paaJ
family	PTHR46186	CYSTATIN	2	1	1	50	0	GO:0005737 cytoplasm (1)	cpi-2
family	PTHR47284	FATTY-ACID-BINDING PROTEIN 2	2	1	1	50	0	GO:0005504 fatty acid binding (1)	NCGR_LOCUS27674
family	PTHR48102	ATP-DEPENDENT CLP PROTEASE ATP-BINDING SUBUNIT CLPX-LIKE, MITOCHONDRIAL-RELATED	2	1	1	50	0	GO:0009376 HslUV protease complex (1)	clpX
graft_node	PTN000091339		2	1	1	50	0	GO:0003954 NADH dehydrogenase activity (1)	nuoI
graft_node	PTN000657720		2	1	1	50	0	GO:0034040 ATPase-coupled lipid transmembrane transporter activity (1)	pvdE
graft_node	PTN000898250		2	1	1	50	1	GO:0005737 cytoplasm (1)	DDO
graft_node	PTN000938594		2	1	1	50	0	GO:0006598 polyamine catabolic process (1)	PP_5298
graft_node	PTN001275231		2	1	1	50	1	GO:0032474 otolith morphogenesis (1)	A0A2K5UJ34
graft_node	PTN001291485		2	1	1	50	1	GO:0006635 fatty acid beta-oxidation (1)	paaJ
graft_node	PTN002229918		2	1	1	50	0	GO:0005737 cytoplasm (1)	moeA
graft_node	PTN002243569		2	1	1	50	1	GO:0046872 metal ion binding (1)	groES
graft_node	PTN002249955		2	1	1	50	1	GO:0016020 membrane (1)	infC
graft_node	PTN002253950		2	1	1	50	1	GO:0005829 cytosol (1)	dinB
graft_node	PTN002258935		2	1	1	50	0	GO:0009376 HslUV protease complex (1)	clpX
graft_node	PTN002260821		2	1	1	50	1	GO:0003690 double-stranded DNA binding (1)	mutS
graft_node	PTN002262020		2	1	1	50	0	GO:0003954 NADH dehydrogenase activity (1)	nuoH
graft_node	PTN002267032		2	1	1	50	1	GO:0003954 NADH dehydrogenase activity (1)	nuoG
graft_node	PTN002267550		2	1	1	50	1	GO:0009061 anaerobic respiration (1)	sdhA
graft_node	PTN002272564		2	1	1	50	0	GO:0043039 tRNA aminoacylation (1)	tyrS
graft_node	PTN002326094		2	1	1	50	0	GO:0005829 cytosol (1)	murB
graft_node	PTN002327387		2	1	1	50	0	GO:0005829 cytosol (1)	hisD
graft_node	PTN002330136		2	1	1	50	0	GO:0016879 ligase activity, forming carbon-nitrogen bonds (1)	gshB
graft_node	PTN002409573		2	1	1	50	0	GO:0005737 cytoplasm (1)	ubiD
graft_node	PTN002411909		2	1	1	50	1	GO:0006790 sulfur compound metabolic process (1)	tauD
graft_node	PTN002412129		2	1	1	50	1	GO:0051274 beta-glucan biosynthetic process (1)	opgG
graft_node	PTN002446796		2	1	1	50	0	GO:0004721 phosphoprotein phosphatase activity (1)	aceK
graft_node	PTN002448903		2	1	1	50	1	GO:0046951 ketone body biosynthetic process (1)	mvaB
graft_node	PTN002450313		2	1	1	50	1	GO:0003954 NADH dehydrogenase activity (1)	nuoL
graft_node	PTN002452155		2	1	1	50	1	GO:0005829 cytosol (1)	pdxB
graft_node	PTN002455079		2	1	1	50	1	GO:0006605 protein targeting (1)	ftsY
graft_node	PTN002457875		2	1	1	50	0	GO:0016744 transketolase or transaldolase activity (1)	dxs
graft_node	PTN002458567		2	1	1	50	0	GO:0004777 succinate-semialdehyde dehydrogenase (NAD+) activity (1)	davD
graft_node	PTN002459220		2	1	1	50	0	GO:0016020 membrane (1)	glnA
graft_node	PTN002459616		2	1	1	50	0	GO:0004713 protein tyrosine kinase activity (1)	PP_0094
graft_node	PTN002462020		2	1	1	50	0	GO:0019239 deaminase activity (1)	hutF
graft_node	PTN002462574		2	1	1	50	0	GO:0005737 cytoplasm (1)	glgB
graft_node	PTN002765778		2	1	1	50	1	GO:0009051 pentose-phosphate shunt, oxidative branch (1)	zwf
graft_node	PTN005170413		2	1	1	50	0	GO:0034605 cellular response to heat (1)	clpV
graft_node	PTN008193545		2	1	1	50	0	GO:0005737 cytoplasm (1)	cpi-2
graft_node	PTN008330292		2	1	1	50	1	GO:0016846 carbon-sulfur lyase activity (1)	metB
graft_node	PTN008586333		2	1	1	50	0	GO:0061799 cyclic pyranopterin monophosphate synthase activity (1)	PP_1969
graft_node	PTN008586334		2	1	1	50	0	GO:0061799 cyclic pyranopterin monophosphate synthase activity (1)	PP_2482
graft_node	PTN009208978		2	1	1	50	0	GO:0005504 fatty acid binding (1)	NCGR_LOCUS27674
subfamily	PTHR10192:SF5	GEPHYRIN	2	1	1	50	0	GO:0005737 cytoplasm (1)	moeA
subfamily	PTHR10772:SF58	CO-CHAPERONIN GROES	2	1	1	50	1	GO:0046872 metal ion binding (1)	groES
subfamily	PTHR10849:SF20	NADH DEHYDROGENASE [UBIQUINONE] IRON-SULFUR PROTEIN 8, MITOCHONDRIAL	2	1	1	50	0	GO:0003954 NADH dehydrogenase activity (1)	nuoI
subfamily	PTHR10938:SF0	TRANSLATION INITIATION FACTOR IF-3, MITOCHONDRIAL	2	1	1	50	1	GO:0016020 membrane (1)	infC
subfamily	PTHR11076:SF33	DNA POLYMERASE KAPPA	2	1	1	50	1	GO:0005829 cytosol (1)	dinB
subfamily	PTHR11271:SF48	AMIDOHYDROLASE-RELATED DOMAIN-CONTAINING PROTEIN	2	1	1	50	0	GO:0019239 deaminase activity (1)	hutF
subfamily	PTHR11361:SF34	DNA MISMATCH REPAIR PROTEIN MSH1, MITOCHONDRIAL	2	1	1	50	1	GO:0003690 double-stranded DNA binding (1)	mutS
subfamily	PTHR11432:SF3	NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 1	2	1	1	50	0	GO:0003954 NADH dehydrogenase activity (1)	nuoH
subfamily	PTHR11530:SF17	RE49860P	2	1	1	50	1	GO:0005737 cytoplasm (1)	DDO
subfamily	PTHR11638:SF184	ATPASE WITH CHAPERONE ACTIVITY	2	1	1	50	0	GO:0034605 cellular response to heat (1)	clpV
subfamily	PTHR11766:SF1	TYROSINE--TRNA LIGASE	2	1	1	50	0	GO:0043039 tRNA aminoacylation (1)	tyrS
subfamily	PTHR21071:SF4	UDP-N-ACETYLENOLPYRUVOYLGLUCOSAMINE REDUCTASE	2	1	1	50	0	GO:0005829 cytosol (1)	murB
subfamily	PTHR21621:SF4	GLUTATHIONE SYNTHETASE	2	1	1	50	0	GO:0016879 ligase activity, forming carbon-nitrogen bonds (1)	gshB
subfamily	PTHR24221:SF654	ATP-BINDING CASSETTE SUB-FAMILY B MEMBER 6	2	1	1	50	0	GO:0034040 ATPase-coupled lipid transmembrane transporter activity (1)	pvdE
subfamily	PTHR30108:SF17	FERULIC ACID DECARBOXYLASE 1	2	1	1	50	0	GO:0005737 cytoplasm (1)	ubiD
subfamily	PTHR30468:SF1	ALPHA-KETOGLUTARATE-DEPENDENT SULFONATE DIOXYGENASE	2	1	1	50	1	GO:0006790 sulfur compound metabolic process (1)	tauD
subfamily	PTHR30504:SF4	GLUCANS BIOSYNTHESIS PROTEIN G	2	1	1	50	1	GO:0051274 beta-glucan biosynthetic process (1)	opgG
subfamily	PTHR31859:SF1	TETRATRICOPEPTIDE REPEAT PROTEIN 39C	2	1	1	50	1	GO:0032474 otolith morphogenesis (1)	A0A2K5UJ34
subfamily	PTHR39559:SF1	ISOCITRATE DEHYDROGENASE KINASE_PHOSPHATASE	2	1	1	50	0	GO:0004721 phosphoprotein phosphatase activity (1)	aceK
subfamily	PTHR42829:SF2	NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5	2	1	1	50	1	GO:0003954 NADH dehydrogenase activity (1)	nuoL
subfamily	PTHR42938:SF9	FORMATE DEHYDROGENASE 1	2	1	1	50	1	GO:0005829 cytosol (1)	pdxB
subfamily	PTHR43105:SF10	NADH-QUINONE OXIDOREDUCTASE SUBUNIT G	2	1	1	50	1	GO:0003954 NADH dehydrogenase activity (1)	nuoG
subfamily	PTHR43134:SF1	SIGNAL RECOGNITION PARTICLE RECEPTOR SUBUNIT ALPHA	2	1	1	50	1	GO:0006605 protein targeting (1)	ftsY
subfamily	PTHR43235:SF1	GLUTAMINE AMIDOTRANSFERASE PB2B2.05-RELATED	2	1	1	50	0	GO:0006598 polyamine catabolic process (1)	PP_5298
subfamily	PTHR43322:SF5	1-DEOXY-D-XYLULOSE-5-PHOSPHATE SYNTHASE, CHLOROPLASTIC	2	1	1	50	0	GO:0016744 transketolase or transaldolase activity (1)	dxs
subfamily	PTHR43353:SF5	SUCCINATE-SEMIALDEHYDE DEHYDROGENASE, MITOCHONDRIAL	2	1	1	50	0	GO:0004777 succinate-semialdehyde dehydrogenase (NAD+) activity (1)	davD
subfamily	PTHR43407:SF2	GLUTAMINE SYNTHETASE	2	1	1	50	0	GO:0016020 membrane (1)	glnA
subfamily	PTHR43434:SF20	5'-NUCLEOTIDASE	2	1	1	50	0	GO:0004713 protein tyrosine kinase activity (1)	PP_0094
subfamily	PTHR43651:SF3	1,4-ALPHA-GLUCAN-BRANCHING ENZYME	2	1	1	50	0	GO:0005737 cytoplasm (1)	glgB
subfamily	PTHR43853:SF2	3-OXOADIPYL-COA_3-OXO-5,6-DEHYDROSUBERYL-COA THIOLASE	2	1	1	50	1	GO:0006635 fatty acid beta-oxidation (1)	paaJ
subfamily	PTHR46186:SF2	CYSTATIN	2	1	1	50	0	GO:0005737 cytoplasm (1)	cpi-2
subfamily	PTHR47284:SF3	FATTY-ACID-BINDING PROTEIN 2	2	1	1	50	0	GO:0005504 fatty acid binding (1)	NCGR_LOCUS27674
subfamily	PTHR48102:SF7	ATP-DEPENDENT CLP PROTEASE ATP-BINDING SUBUNIT CLPX-LIKE, MITOCHONDRIAL	2	1	1	50	0	GO:0009376 HslUV protease complex (1)	clpX
family	PTHR11550	CTP SYNTHASE	3	1	1	33	0	GO:0019856 pyrimidine nucleobase biosynthetic process (1)	pyrG
family	PTHR11638	ATP-DEPENDENT CLP PROTEASE	3	2	1	33	1	GO:0034605 cellular response to heat (1)	clpV
family	PTHR11712	POLYKETIDE SYNTHASE-RELATED	3	3	1	33	2	GO:0005829 cytosol (1)	fabB
family	PTHR22912	DISULFIDE OXIDOREDUCTASE	3	3	1	33	1	GO:0006103 2-oxoglutarate metabolic process (1)	lpdV
family	PTHR23417	3-DEOXY-D-MANNO-OCTULOSONIC-ACID TRANSFERASE/TRNA GUANINE-N 7 - -METHYLTRANSFERASE	3	1	1	33	1	GO:0043527 tRNA methyltransferase complex (1)	trmB
family	PTHR37534	TRANSCRIPTIONAL ACTIVATOR PROTEIN UGA3	3	1	1	33	2	GO:0045944 positive regulation of transcription by RNA polymerase II (1)	sfgA
family	PTHR38689	SUCCINATE DEHYDROGENASE HYDROPHOBIC MEMBRANE ANCHOR SUBUNIT	3	1	1	33	2	GO:0017004 cytochrome complex assembly (1)	sdhD
family	PTHR43797	HOMOCYSTEINE/CYSTEINE SYNTHASE	3	1	1	33	1	GO:0004124 cysteine synthase activity (1)	PP_2528
family	PTHR45833	METHIONINE SYNTHASE	3	1	1	33	1	GO:0050667 homocysteine metabolic process (1)	metH
graft_node	PTN000167579		3	1	1	33	0	GO:0019856 pyrimidine nucleobase biosynthetic process (1)	pyrG
graft_node	PTN000767067		3	1	1	33	1	GO:0000271 polysaccharide biosynthetic process (1)	eryCIV
graft_node	PTN000894573		3	1	1	33	2	GO:0008270 zinc ion binding (1)	hemBB
graft_node	PTN001725705		3	1	1	33	2	GO:0042802 identical protein binding (1)	amaC
graft_node	PTN002271035		3	1	1	33	0	GO:0005737 cytoplasm (1)	gcvH1
graft_node	PTN002271036		3	1	1	33	0	GO:0005737 cytoplasm (1)	gcvH2
graft_node	PTN002275473		3	1	1	33	2	GO:0042802 identical protein binding (1)	tyrB
graft_node	PTN002288087		3	1	1	33	2	GO:0045944 positive regulation of transcription by RNA polymerase II (1)	sfgA
graft_node	PTN002326308		3	1	1	33	1	GO:0050667 homocysteine metabolic process (1)	metH
graft_node	PTN002361431		3	1	1	33	1	GO:0043527 tRNA methyltransferase complex (1)	trmB
graft_node	PTN002446067		3	1	1	33	2	GO:0017004 cytochrome complex assembly (1)	sdhD
graft_node	PTN002887252		3	1	1	33	1	GO:0004124 cysteine synthase activity (1)	PP_2528
subfamily	PTHR11458:SF0	DELTA-AMINOLEVULINIC ACID DEHYDRATASE	3	1	1	33	2	GO:0008270 zinc ion binding (1)	hemBB
subfamily	PTHR11550:SF0	CTP SYNTHASE-RELATED	3	1	1	33	0	GO:0019856 pyrimidine nucleobase biosynthetic process (1)	pyrG
subfamily	PTHR23417:SF14	PENTACOTRIPEPTIDE-REPEAT REGION OF PRORP DOMAIN-CONTAINING PROTEIN	3	1	1	33	1	GO:0043527 tRNA methyltransferase complex (1)	trmB
subfamily	PTHR30244:SF9	PROTEIN RV3402C	3	1	1	33	1	GO:0000271 polysaccharide biosynthetic process (1)	eryCIV
subfamily	PTHR37534:SF41	SFGA	3	1	1	33	2	GO:0045944 positive regulation of transcription by RNA polymerase II (1)	sfgA
subfamily	PTHR38689:SF1	SUCCINATE DEHYDROGENASE HYDROPHOBIC MEMBRANE ANCHOR SUBUNIT	3	1	1	33	2	GO:0017004 cytochrome complex assembly (1)	sdhD
subfamily	PTHR43797:SF2	HOMOCYSTEINE_CYSTEINE SYNTHASE	3	1	1	33	1	GO:0004124 cysteine synthase activity (1)	PP_2528
subfamily	PTHR45833:SF1	METHIONINE SYNTHASE	3	1	1	33	1	GO:0050667 homocysteine metabolic process (1)	metH
family	PTHR43605	ACYL-COENZYME A SYNTHETASE	4	1	1	25	2	GO:0004321 fatty-acyl-CoA synthase activity (1)	PP_2213
graft_node	PTN000147397		4	1	1	25	1	GO:0036094 small molecule binding (1)	ALB
graft_node	PTN000644270		4	1	1	25	2	GO:0004321 fatty-acyl-CoA synthase activity (1)	PP_2213
graft_node	PTN002604567		4	1	1	25	1	GO:0036094 small molecule binding (1)	ALB
subfamily	PTHR11808:SF80	CYSTATHIONINE GAMMA-LYASE	4	2	1	25	3	GO:0016846 carbon-sulfur lyase activity (1)	metB
subfamily	PTHR43605:SF10	ACYL-COA SYNTHETASE MEDIUM CHAIN FAMILY MEMBER 3	4	1	1	25	2	GO:0004321 fatty-acyl-CoA synthase activity (1)	PP_2213
family	PTHR42738	HYDROXYMETHYLGLUTARYL-COA LYASE	5	2	1	20	1	GO:0046951 ketone body biosynthetic process (1)	mvaB
graft_node	PTN002242136		5	1	1	20	2	GO:0033554 cellular response to stress (1)	tsaA
graft_node	PTN002265199		5	1	1	20	1	GO:0005986 sucrose biosynthetic process (1)	fbp
subfamily	PTHR10681:SF128	THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MITOCHONDRIAL	5	1	1	20	2	GO:0033554 cellular response to stress (1)	tsaA
subfamily	PTHR11556:SF35	SEDOHEPTULOSE-1,7-BISPHOSPHATASE, CHLOROPLASTIC	5	1	1	20	1	GO:0005986 sucrose biosynthetic process (1)	fbp
subfamily	PTHR42738:SF7	HYDROXYMETHYLGLUTARYL-COA LYASE	5	2	1	20	1	GO:0046951 ketone body biosynthetic process (1)	mvaB
family	PTHR10910	EUKARYOTE SPECIFIC DSRNA BINDING PROTEIN	6	1	1	17	4	GO:0008251 tRNA-specific adenosine deaminase activity (1)	ADAR2
family	PTHR11458	DELTA-AMINOLEVULINIC ACID DEHYDRATASE	6	2	1	17	5	GO:0008270 zinc ion binding (1)	hemBB
family	PTHR23429	GLUCOSE-6-PHOSPHATE 1-DEHYDROGENASE G6PD	6	3	1	17	3	GO:0009051 pentose-phosphate shunt, oxidative branch (1)	zwf
