organism	gene	uniprot	length	n_pdb	methods	best_resolution_A	max_coverage_frac	exp_mf	exp_bp	exp_cc	exp_total	any_experimental
human	EIF4E2	O60573	245	7	X-ray	1.70	0.776	54	6	3	63	1
human	FBXW7	Q969H0	707	7	X-ray	2.50	0.629	75	23	15	113	1
human	FN3K	Q9H479	309	7	X-ray	1.67	1.000	3	3	1	7	1
human	GFER	P55789	205	7	X-ray	1.50	0.610	12	1	3	16	1
human	IFI16	Q16666	785	7	X-ray	1.70	0.257	9	18	11	38	1
human	IKZF1	Q13422	519	7	EM;X-ray	2.15	0.164	78	2	6	86	1
human	IL7R	P16871	459	7	X-ray	2.14	0.477	17	4	2	23	1
human	IRF4	Q15306	451	7	NMR;X-ray	1.71	0.266	13	6	3	22	1
human	KCTD16	Q68DU8	428	7	X-ray	2.23	0.376	1	0	0	1	1
human	P4HA2	O15460	535	7	X-ray	1.48	0.475	9	0	1	10	1
human	POLD2	P49005	469	7	EM;X-ray	3.00	1.000	22	3	6	31	1
human	SRP72	O76094	671	7	EM;X-ray	1.60	1.000	9	0	5	14	1
human	SRP9	P49458	86	7	EM;X-ray	2.04	1.000	11	0	0	11	1
human	STIP1	P31948	543	7	EM;NMR;X-ray	1.60	1.000	41	0	2	43	1
human	USP25	Q9UHP3	1055	7	NMR;X-ray	1.50	0.677	41	6	6	53	1
human	VPS4B	O75351	444	7	NMR;X-ray	2.50	1.000	30	21	9	60	1
mouse	Fbxo2	Q80UW2	297	7	X-ray	1.70	1.000	8	12	8	28	1
yeast	HSC82	P15108	705	7	EM	2.71	1.000	211	5	0	216	1
yeast	NAP1	P25293	417	7	EM;X-ray	2.88	1.000	99	11	5	115	1
yeast	SIR4	P11978	1358	7	X-ray	1.10	0.119	25	13	3	41	1
yeast	SNF5	P18480	905	7	EM;X-ray	2.64	1.000	19	12	8	39	1
yeast	SPT16	P32558	1035	7	EM;X-ray	1.73	1.000	118	9	3	130	1
yeast	SWI3	P32591	825	7	EM;X-ray	1.40	1.000	53	6	8	67	1
ARATH	CRY2	Q96524	612	6	EM;X-ray	2.50	1.000	33	36	12	81	1
BPT4	10	P10928	602	6	EM;X-ray	1.20	1.000	0	0	1	1	1
BPT4	18	P13332	659	6	EM;X-ray	1.80	1.000	0	0	1	1	1
BPT4	6	P19060	660	6	EM;X-ray	3.20	1.000	1	0	2	3	1
DROME	CRY	O77059	542	6	EM;X-ray	2.30	1.000	19	45	4	68	1
ECOLI	manX	P69797	323	6	NMR;X-ray	1.70	0.923	4	7	3	14	1
PSEAE	rpsD	O52759	206	6	EM	2.46	1.000	0	0	0	0	0
PSEAI	merA	P00392	561	6	NMR;X-ray	1.50	0.831	0	0	0	0	0
PSEPK	pcaY	Q88JK6	550	6	X-ray	1.56	1.000	0	0	0	0	0
SCHPO	cut7	P24339	1085	6	EM	4.50	0.398	10	7	7	24	1
human	ABI2	Q9NYB9	513	6	EM;NMR;X-ray	2.29	1.000	112	5	7	124	1
human	AGO1	Q9UL18	857	6	X-ray	1.75	1.000	60	9	8	77	1
human	AIMP1	Q12904	312	6	Other;X-ray	1.50	1.000	10	3	6	19	1
human	AIPL1	Q9NZN9	384	6	X-ray	1.55	0.417	7	1	2	10	1
human	APLP1	P51693	650	6	X-ray	2.11	0.331	11	2	2	15	1
human	ATG14	Q6ZNE5	492	6	EM;X-ray	1.40	1.000	41	15	15	71	1
human	ATP6V0B	Q99437	205	6	EM	3.00	1.000	22	0	1	23	1
human	ATP6V0C	P27449	155	6	EM	3.00	1.000	59	1	1	61	1
human	CDH23	Q9H251	3354	6	NMR;X-ray	1.86	0.100	3	8	0	11	1
human	CHMP3	Q9Y3E7	222	6	EM;X-ray	1.75	0.968	16	31	13	60	1
human	CHMP5	Q9NZZ3	219	6	NMR;X-ray	1.00	0.315	16	22	14	52	1
human	CRTAP	O75718	401	6	EM	3.17	1.000	3	2	3	8	1
human	FAS	P25445	335	6	NMR;X-ray	1.93	0.466	46	15	7	68	1
human	FBXL17	Q9UF56	701	6	EM;X-ray	3.10	0.559	10	8	5	23	1
human	FBXL5	Q9UKA1	691	6	EM;X-ray	1.60	0.712	17	9	5	31	1
human	FKBP8	Q14318	412	6	NMR;X-ray	1.05	0.704	60	5	5	70	1
human	HSPA2	P54652	639	6	X-ray	1.30	0.995	70	2	1	73	1
human	IL22	Q9GZX6	179	6	X-ray	1.90	0.844	6	0	0	6	1
human	LAMP1	P11279	417	6	EM;X-ray	2.37	1.000	9	7	24	40	1
human	MAN1B1	Q9UKM7	699	6	X-ray	1.41	0.755	6	7	6	19	1
human	MAP3K20	Q9NYL2	800	6	X-ray	1.87	0.381	33	30	3	66	1
human	MORC3	Q14149	939	6	X-ray	1.05	0.485	14	10	4	28	1
human	NDUFS2	O75306	463	6	EM	3.40	1.000	16	3	6	25	1
human	P3H1	Q32P28	736	6	EM	3.17	1.000	5	8	3	16	1
human	PDGFB	P01127	241	6	X-ray	2.20	0.685	24	87	4	115	1
human	PELO	Q9BRX2	385	6	EM;NMR;X-ray	2.60	1.000	34	6	2	42	1
human	PFDN1	O60925	122	6	EM	3.85	1.000	12	2	2	16	1
human	PFDN2	Q9UHV9	154	6	EM	3.85	1.000	46	3	10	59	1
human	PFDN4	Q9NQP4	134	6	EM	3.85	1.000	9	2	5	16	1
human	PFDN5	Q99471	154	6	EM	3.85	0.909	126	4	3	133	1
human	PFDN6	O15212	129	6	EM	3.85	1.000	13	3	3	19	1
human	PIK3R4	Q99570	1358	6	EM	2.73	1.000	13	8	3	24	1
human	PIWIL1	Q96J94	861	6	NMR;X-ray	2.10	0.156	7	1	0	8	1
human	PRG2	P13727	222	6	EM;X-ray	1.45	1.000	2	0	0	2	1
human	PUS3	Q9BZE2	481	6	EM	2.66	1.000	2	1	0	3	1
human	STAT1	P42224	750	6	NMR;X-ray	2.00	0.911	90	38	31	159	1
human	STAT3	P40763	770	6	NMR;X-ray	2.70	0.774	132	70	25	227	1
human	UBA7	P41226	1012	6	EM;NMR	3.20	1.000	9	5	1	15	1
human	UPF2	Q9HAU5	1272	6	X-ray	1.95	0.288	43	2	5	50	1
human	VBP1	P61758	197	6	EM	3.85	1.000	51	2	3	56	1
mouse	Camk2a	P11798	478	6	X-ray	1.28	0.659	23	15	6	44	1
mouse	Hsp90aa1	P07901	733	6	X-ray	1.33	0.293	19	4	9	32	1
yeast	POB3	Q04636	552	6	EM;X-ray	1.65	1.000	67	8	2	77	1
yeast	SHQ1	P40486	507	6	NMR;X-ray	1.50	0.720	1	4	3	8	1
ANOGA	D7r4	Q7PNF2	165	5	X-ray	2.00	0.873	0	0	1	1	1
ANOGA	SRPN2	Q7QIJ8	409	5	X-ray	1.75	0.949	6	7	2	15	1
ARATH	DRB1	O04492	419	5	NMR;X-ray	1.70	0.239	31	11	5	47	1
ARATH	FT	Q9SXZ2	175	5	X-ray	1.00	0.960	7	6	2	15	1
ARATH	JAZ1	Q9LMA8	253	5	EM;X-ray	1.95	1.000	3	6	1	10	1
ARATH	OST1	Q940H6	362	5	X-ray	2.30	1.000	55	29	4	88	1
BPT4	11	P10929	219	5	EM;X-ray	2.00	1.000	0	0	1	1	1
BPT4	27	P17172	391	5	EM;X-ray	2.80	1.000	3	0	2	5	1
BPT4	DAM	P04392	259	5	X-ray	2.29	1.000	1	1	0	2	1
BPT4	agt	P04519	400	5	X-ray	1.73	1.000	1	0	0	1	1
BPZF4	ACA2	H9C180	116	5	EM;X-ray	1.31	1.000	0	0	0	0	0
ECOLI	DnaJ	P08622	376	5	NMR;X-ray	3.25	0.285	20	11	5	36	1
ECOLI	SlyD	P0A9K9	196	5	EM;NMR;X-ray	2.00	1.000	23	5	2	30	1
METEA	mtdA	P55818	288	5	X-ray	1.08	1.000	0	0	0	0	0
ORYSJ	CPS4	Q0JF02	767	5	EM;X-ray	3.49	1.000	2	0	0	2	1
SCHPO	mei2	P08965	750	5	X-ray	1.89	0.229	14	7	13	34	1
SCHPO	poz1	O13852	249	5	X-ray	2.30	0.996	7	4	3	14	1
human	AHSA1	O95433	338	5	NMR;X-ray	1.50	0.911	23	3	1	27	1
human	AIFM2	Q9BRQ8	373	5	X-ray	1.79	1.000	18	15	9	42	1
human	AIP	O00170	330	5	EM;NMR;X-ray	1.90	1.000	20	2	3	25	1
human	AP3B1	O00203	1094	5	EM	3.60	0.619	11	2	0	13	1
human	ATF2	P15336	505	5	NMR;X-ray	1.95	0.121	108	17	12	137	1
human	ATP5IF1	Q9UII2	106	5	EM	2.53	0.764	32	9	3	44	1
human	ATP6V1C1	P21283	382	5	EM	3.10	1.000	1	0	0	1	1
human	BCCIP	Q9P287	314	5	EM;X-ray	2.20	0.809	20	6	5	31	1
human	BTN3A3	O00478	584	5	X-ray	1.60	0.440	2	1	1	4	1
human	CDK5RAP3	Q96JB5	506	5	EM	2.90	1.000	31	31	14	76	1
human	CRYAA	P02489	173	5	EM;NMR	3.70	1.000	142	6	10	158	1
human	DENR	O43583	198	5	X-ray	1.74	1.000	13	4	2	19	1
human	EIF3J	O75822	258	5	EM;NMR;X-ray	1.85	1.000	13	0	3	16	1
human	HSPA1B	P0DMV9	641	5	NMR;Other;X-ray	1.60	0.934	48	23	18	89	1
human	NDUFS1	P28331	727	5	EM	3.40	1.000	13	5	6	24	1
human	NDUFS4	O43181	175	5	EM	3.40	1.000	4	7	7	18	1
human	NDUFV1	P49821	464	5	EM	3.40	1.000	30	2	6	38	1
human	NTN1	O95631	604	5	EM;X-ray	3.07	0.712	9	0	2	11	1
human	PEX19	P40855	299	5	NMR;X-ray	2.05	0.465	111	13	6	130	1
human	RNF25	Q96BH1	459	5	NMR;X-ray	1.58	0.290	47	7	4	58	1
human	SDHB	P21912	280	5	EM	2.86	1.000	17	0	2	19	1
human	SGTA	O43765	313	5	NMR;X-ray	1.35	0.406	253	6	6	265	1
human	SH3GLB1	Q9Y371	365	5	EM	3.45	1.000	171	11	7	189	1
human	SYVN1	Q86TM6	617	5	EM;NMR	3.30	1.000	41	17	14	72	1
mouse	Grb2	Q60631	217	5	NMR		0.281	83	17	7	107	1
rat	Gamt	P10868	236	5	X-ray	2.00	0.996	4	3	0	7	1
yeast	SOD2	P00447	233	5	X-ray	1.60	0.923	2	1	2	5	1
188937	mcrA	Q8THH1	570	4	EM;X-ray	2.00	1.000	0	0	0	0	0
ARATH	CO	Q39057	373	4	X-ray	2.40	0.292	21	4	3	28	1
ARATH	DGAT1	Q9SLD2	520	4	EM	2.60	1.000	8	10	3	21	1
ARATH	HY5	O24646	168	4	X-ray	1.27	0.238	24	15	8	47	1
ARATH	NPR1	P93002	593	4	EM;X-ray	3.06	1.000	56	24	8	88	1
ARATH	P14713	P14713	1172	4	EM;X-ray	3.10	1.000	53	31	11	95	1
ARATH	P93002	P93002	593	4	EM;X-ray	3.06	1.000	56	24	8	88	1
ARATH	PAD4	Q9S745	541	4	EM;X-ray	2.29	1.000	6	32	6	44	1
ARATH	PHYA	P14712	1122	4	EM	3.00	1.000	32	11	8	51	1
ARATH	PHYB	P14713	1172	4	EM;X-ray	3.10	1.000	53	31	11	95	1
ARATH	PIN1	Q9C6B8	622	4	EM	3.10	1.000	12	15	12	39	1
ARATH	SOS1	Q9LKW9	1146	4	EM	2.80	1.000	3	10	2	15	1
ARATH	WUS	Q9SB92	292	4	X-ray	1.37	0.240	10	5	0	15	1
BACSU	aprE	P04189	381	4	X-ray	1.83	0.924	1	2	1	4	1
BACSU	spoIIE	P37475	827	4	X-ray	2.45	0.417	2	0	1	3	1
BACTH	Q8A5T1	Q8A5T1	290	4	X-ray	1.46	0.910	0	0	0	0	0
BACTN	BT_2157	Q8A5T1	290	4	X-ray	1.46	0.910	0	0	0	0	0
BPT4	12	P10930	527	4	EM;X-ray	1.50	1.000	0	0	1	1	1
BPT4	rI	P13304	97	4	X-ray	1.65	0.753	0	0	2	2	1
DANRE	pcif1	A0A0R4IKJ1	721	4	X-ray	1.80	0.688	2	1	0	3	1
ECOLI	ftsI	P0AD68	588	4	X-ray	1.52	0.918	22	2	1	25	1
ECOLI	mrdA	P0AD65	633	4	EM;X-ray	2.00	1.000	17	11	2	30	1
METAC	mcrA	Q8THH1	570	4	EM;X-ray	2.00	1.000	0	0	0	0	0
OCTBM	CRT1	A0A0L8FVQ9	399	4	EM	2.62	1.000	0	0	0	0	0
OCTBM	OCBIM_22006518mg	A0A0L8FVQ9	399	4	EM	2.62	1.000	0	0	0	0	0
PSEPK	miaE	Q88KV1	205	4	X-ray	1.70	1.000	1	0	0	1	1
PSEPK	pcaF	Q88N39	400	4	X-ray	1.37	1.000	0	0	0	0	0
human	ABRAXAS1	Q6UWZ7	409	4	X-ray	2.50	0.027	27	11	7	45	1
human	ABRAXAS2	Q15018	415	4	EM	3.02	1.000	21	7	19	47	1
human	AIRE	O43918	545	4	NMR		0.116	12	5	4	21	1
human	ATP13A1	Q9HD20	1204	4	EM	3.40	1.000	31	2	1	34	1
human	BECN2	A8MW95	431	4	X-ray	2.00	0.216	6	6	0	12	1
human	C1QBP	Q07021	282	4	X-ray	2.20	0.741	46	20	11	77	1
human	CCL11	P51671	97	4	NMR;X-ray	1.51	0.763	13	8	1	22	1
human	CHAMP1	Q96JM3	812	4	X-ray	1.60	0.034	9	4	6	19	1
human	CHCHD4	Q8N4Q1	142	4	EM;NMR;X-ray	2.30	1.000	10	5	7	22	1
human	CHMP4B	Q9H444	224	4	X-ray	1.70	0.464	54	34	26	114	1
human	CHMP4C	Q96CF2	233	4	X-ray	1.87	0.077	15	26	11	52	1
human	CREB1	P16220	327	4	EM;NMR;X-ray	2.30	0.180	42	12	5	59	1
human	DNAJB6	O75190	326	4	NMR		0.537	30	6	8	44	1
human	DTL	Q9NZJ0	730	4	EM;X-ray	3.05	0.627	13	12	10	35	1
human	EIF5A	P63241	154	4	EM;X-ray	2.50	1.000	22	6	17	45	1
human	FBXO22	Q8NEZ5	403	4	EM	3.20	1.000	6	0	4	10	1
human	GAS6	Q14393	678	4	X-ray	2.20	0.617	11	49	5	65	1
human	GET1	O00258	174	4	EM;X-ray	2.80	1.000	31	6	4	41	1
human	GET3	O43681	348	4	EM;X-ray	2.80	1.000	48	3	10	61	1
human	GET4	Q7L5D6	327	4	EM;X-ray	1.80	1.000	23	8	8	39	1
human	GLRX3	O76003	335	4	NMR;X-ray	1.55	0.373	129	4	1	134	1
human	IL15	P40933	162	4	X-ray	1.85	0.704	5	9	3	17	1
human	IL23R	Q5VWK5	629	4	EM;X-ray	2.80	0.525	7	11	4	22	1
human	ILF3	Q12906	894	4	NMR;X-ray	1.72	0.089	25	4	10	39	1
human	MAML1	Q92585	1016	4	X-ray	2.14	0.061	19	7	6	32	1
human	MCTS1	Q9ULC4	181	4	X-ray	1.70	1.000	9	6	4	19	1
human	NAA40	Q86UY6	237	4	X-ray	1.43	0.861	4	0	4	8	1
human	PEX14	O75381	377	4	NMR		0.172	39	13	13	65	1
human	PICK1	Q9NRD5	415	4	X-ray	1.12	0.253	347	2	5	354	1
human	PLD3	Q8IV08	490	4	EM;X-ray	1.51	1.000	6	1	7	14	1
human	PTGES3	Q15185	160	4	EM;X-ray	2.49	1.000	37	8	4	49	1
human	RIMBP2	O15034	1052	4	NMR		0.111	0	0	0	0	0
human	SAMD8	Q96LT4	415	4	EM	3.29	1.000	0	2	3	5	1
human	SDHA	P31040	664	4	EM;X-ray	1.44	1.000	21	3	4	28	1
human	SLC7A11	Q9UPY5	501	4	EM	3.40	1.000	18	20	6	44	1
human	SPARC	P09486	303	4	X-ray	2.00	0.772	7	4	11	22	1
human	STC2	O76061	302	4	EM	3.06	1.000	3	2	2	7	1
human	TRAPPC3	O43617	180	4	X-ray	1.55	1.000	28	0	1	29	1
human	UFD1	Q92890	307	4	NMR;X-ray	1.55	0.596	15	6	5	26	1
human	UQCRC1	P31930	480	4	EM	2.96	1.000	35	0	2	37	1
human	UQCRFS1	P47985	274	4	EM	2.96	1.000	5	2	2	9	1
human	WIPF1	O43516	503	4	NMR;X-ray	2.60	0.064	42	0	0	42	1
mouse	Ifi204	P0DOV2	619	4	X-ray	1.58	0.653	4	6	2	12	1
mouse	Sox2	P48432	319	4	X-ray	2.50	0.251	50	71	31	152	1
mouse	Tuba1a	P68369	451	4	EM;X-ray	2.48	1.000	12	48	11	71	1
rat	Echs1	P14604	290	4	X-ray	2.10	0.900	2	1	0	3	1
rat	Hspa8	P63018	646	4	NMR;X-ray	3.45	0.841	18	41	73	132	1
rat	St13	P50503	368	4	X-ray	1.10	0.465	13	2	3	18	1
worm	lgg-1	Q09490	123	4	X-ray	1.60	1.000	5	16	10	31	1
yeast	GCN5	Q03330	439	4	X-ray	1.87	0.572	105	6	8	119	1
yeast	KAR2	P16474	682	4	X-ray	1.80	0.563	21	9	2	32	1
yeast	SSA1	P10591	642	4	NMR;X-ray	2.00	0.269	195	14	4	213	1
9POAL	rbcL	P0C512	477	3	X-ray	1.35	1.000	0	0	0	0	0
ACET2	P10477	P10477	814	3	X-ray	1.80	0.413	3	3	0	6	1
ACET2	P10478	P10478	837	3	X-ray	1.40	0.415	2	0	0	2	1
ACET2	celA	A3DC29	477	3	X-ray	0.94	0.761	0	0	0	0	0
ARATH	ABI1	P49597	434	3	X-ray	1.88	0.733	93	10	1	104	1
ARATH	ARF5	P93024	902	3	X-ray	2.15	0.432	24	9	0	33	1
ARATH	BZR1	Q8S307	336	3	X-ray	1.90	0.250	36	6	2	44	1
ARATH	CHL1	Q05085	590	3	X-ray	3.25	1.000	3	6	1	10	1
ARATH	COI1	O04197	592	3	X-ray	2.80	1.000	0	17	1	18	1
ARATH	CRY1	Q43125	681	3	X-ray	1.39	0.747	22	60	5	87	1
ARATH	DCL1	Q9SP32	1909	3	EM;NMR	4.60	1.000	13	10	3	26	1
ARATH	SEP3	O22456	251	3	X-ray	2.10	0.414	36	7	1	44	1
BPT4	25	P09425	132	3	EM;X-ray	2.47	1.000	0	0	1	1	1
BPT4	53	P16011	196	3	EM	3.80	1.000	0	0	1	1	1
BPT4	7	P19061	1032	3	EM	3.80	1.000	0	0	1	1	1
BPT4	dda	P32270	439	3	X-ray	3.30	1.000	4	0	0	4	1
BPT4	t	P06808	218	3	X-ray	1.65	0.752	0	0	0	0	0
DANRE	hs6st3b	A0MGZ7	419	3	X-ray	1.95	0.766	4	0	0	4	1
DANRE	tdp2	Q5XJA0	369	3	X-ray	1.62	0.696	2	10	0	12	1
DANRE	urad	A1L259	174	3	X-ray	1.80	1.000	1	0	0	1	1
ECOLI	HdeA	P0AES9	110	3	NMR;X-ray	2.00	0.809	6	2	1	9	1
ECOLX	mcr2	A0A1C3NEV1	538	3	X-ray	1.12	0.602	0	0	0	0	0
METEA	mxaF	P16027	626	3	X-ray	1.20	0.957	0	0	0	0	0
METEA	mxaI	P14775	96	3	X-ray	1.20	0.771	0	0	0	0	0
MOOTH	acsD	Q07341	323	3	X-ray	2.38	1.000	3	1	0	4	1
PENCH	aatA	P15802	357	3	X-ray	1.64	1.000	1	2	1	4	1
PSEPK	hmgA	Q88E47	433	3	X-ray	1.70	1.000	4	3	1	8	1
PSEPK	murU	Q88QT2	223	3	X-ray	1.70	1.000	5	2	0	7	1
PSEPK	nicC	Q88FY2	382	3	X-ray	1.51	1.000	2	1	0	3	1
PSEPK	nicX	Q88FY1	350	3	X-ray	2.00	1.000	1	1	0	2	1
human	AATF	Q9NY61	560	3	EM;X-ray	1.74	1.000	21	1	8	30	1
human	ABCE1	P61221	599	3	EM	3.00	1.000	14	5	5	24	1
human	AHR	P35869	848	3	EM;X-ray	2.76	0.515	33	17	16	66	1
human	API5	Q9BZZ5	524	3	X-ray	2.50	1.000	4	1	2	7	1
human	ARL8A	Q96BM9	186	3	X-ray	1.70	0.973	16	0	3	19	1
human	ARL8B	Q9NVJ2	186	3	X-ray	1.65	0.909	19	20	17	56	1
human	BCAP31	P51572	246	3	X-ray	2.10	0.268	24	6	9	39	1
human	BICC1	Q9H694	974	3	X-ray	1.75	0.086	0	1	0	1	1
human	CACNB2	Q08289	660	3	EM	3.30	0.939	10	5	2	17	1
human	CACYBP	Q9HB71	228	3	NMR;X-ray	1.20	0.500	29	0	3	32	1
human	CALCA	P01258	141	3	EM;NMR	2.70	0.227	9	9	1	19	1
human	CHMP1A	Q9HD42	196	3	NMR;X-ray	1.91	0.087	45	22	15	82	1
human	CYB5R4	Q7L1T6	521	3	X-ray	1.25	0.687	4	2	2	8	1
human	CYC1	P08574	325	3	EM	3.40	0.742	6	0	2	8	1
human	EIF2D	P41214	584	3	EM;X-ray	1.40	1.000	1	3	2	6	1
human	ERLEC1	Q96DZ1	483	3	EM	3.30	1.000	7	1	2	10	1
human	ERP29	P30040	261	3	X-ray	2.10	0.874	16	4	2	22	1
human	FBXO5	Q9UKT4	447	3	EM;NMR	2.90	1.000	21	18	4	43	1
human	GATA3	P23771	443	3	X-ray	1.60	0.251	38	41	7	86	1
human	GIGYF2	Q6Y7W6	1299	3	X-ray	1.23	0.055	24	8	8	40	1
human	GPR101	Q96P66	508	3	EM	2.89	1.000	19	0	1	20	1
human	GRPEL1	Q9HAV7	217	3	EM	2.96	0.733	9	0	2	11	1
human	GTPBP6	O43824	516	3	EM	2.60	1.000	1	1	0	2	1
human	HADHB	P55084	474	3	EM;X-ray	3.60	1.000	9	1	6	16	1
human	HYPK	Q9NX55	121	3	EM;X-ray	3.15	1.000	14	2	6	22	1
human	IBA57	Q5T440	356	3	X-ray	1.55	0.916	4	0	2	6	1
human	IL21	Q9HBE4	162	3	NMR;X-ray	2.80	0.821	2	10	1	13	1
human	IL36RN	Q9UBH0	155	3	X-ray	1.55	0.923	17	4	0	21	1
human	NAA25	Q14CX7	972	3	EM	3.14	1.000	2	0	3	5	1
human	PDCD5	O14737	125	3	NMR		0.888	11	7	4	22	1
human	PEX13	Q92968	403	3	X-ray	1.80	0.246	8	4	9	21	1
human	PPP3CB	P16298	524	3	X-ray	2.23	1.000	19	11	5	35	1
human	RFXANK	O14593	260	3	X-ray	1.57	0.658	15	2	3	20	1
human	SLC14A1	Q13336	389	3	EM;X-ray	2.40	1.000	5	1	4	10	1
human	SPG11	Q96JI7	2443	3	EM	3.26	1.000	26	8	9	43	1
human	TRAPPC4	Q9Y296	219	3	NMR;X-ray	2.40	1.000	2	2	2	6	1
human	UBAP1	Q9NZ09	502	3	NMR;X-ray	1.65	0.227	2	1	6	9	1
human	UPF3B	Q9BZI7	483	3	X-ray	1.95	0.253	35	3	7	45	1
human	USP21	Q9UK80	565	3	X-ray	2.59	0.655	15	1	4	20	1
human	VPS4A	Q9UN37	437	3	NMR		0.192	47	28	22	97	1
mouse	Gapdh	P16858	333	3	X-ray	2.00	1.000	10	6	16	32	1
rat	Cyb5r3	P20070	301	3	X-ray	1.80	0.890	12	0	4	16	1
rat	Pfkfb4	P25114	469	3	X-ray	2.00	1.000	2	0	1	3	1
worm	lgg-2	Q23536	130	3	X-ray	1.80	0.923	3	5	2	10	1
worm	osm-3	P46873	699	3	X-ray	1.90	0.516	2	18	9	29	1
yeast	CAF1	P39008	433	3	X-ray	2.30	0.665	36	6	3	45	1
yeast	DOT1	Q04089	582	3	EM;X-ray	2.20	0.730	8	17	1	26	1
yeast	LSM1	P47017	172	3	X-ray	2.30	0.849	49	3	8	60	1
yeast	PAP2	P53632	584	3	NMR;X-ray	2.40	0.550	36	40	7	83	1
yeast	PDI1	P17967	522	3	EM;X-ray	2.40	1.000	12	7	2	21	1
yeast	SQT1	P35184	431	3	X-ray	1.60	1.000	17	2	1	20	1
yeast	TOR1	P35169	2470	3	NMR		0.013	23	18	11	52	1
yeast	YDJ1	P25491	409	3	NMR;X-ray	2.07	0.606	24	10	4	38	1
ACET2	P71143	P71143	631	2	X-ray	1.80	0.276	0	0	0	0	0
ACET2	Q70DK5	Q70DK5	842	2	X-ray	1.95	0.875	1	1	1	3	1
ARATH	AUX1	Q96247	485	2	EM	3.40	1.000	3	8	4	15	1
ARATH	CERK1	A8R7E6	617	2	X-ray	1.65	0.334	21	16	3	40	1
ARATH	CTR1	Q05609	821	2	X-ray	2.50	0.343	1	8	1	10	1
ARATH	ETR1	P49333	738	2	X-ray	1.90	0.248	18	19	3	40	1
ARATH	FLS2	Q9FL28	1173	2	X-ray	3.06	0.662	36	6	9	51	1
ARATH	ICS1	Q9S7H8	569	2	X-ray	1.80	0.921	3	13	1	17	1
ARATH	LFY	Q00958	420	2	X-ray	2.10	0.462	11	4	0	15	1
ARATH	MPK6	Q39026	395	2	X-ray	2.75	0.929	44	29	5	78	1
ARATH	SCR	Q9M384	653	2	X-ray	2.00	0.582	18	9	2	29	1
ARATH	SHR	Q9SZF7	531	2	X-ray	2.00	0.891	15	6	10	31	1
BACSU	amyE	P00691	659	2	X-ray	2.21	0.645	0	0	0	0	0
BACSU	divIVA	P71021	164	2	X-ray	1.40	0.348	5	0	0	5	1
BACSU	sigK	P12254	294	2	EM	3.50	0.398	1	0	0	1	1
BACSU	spo0J	P26497	282	2	NMR;X-ray	1.81	0.702	0	2	1	3	1
BACSU	spoIIAA	P10727	117	2	NMR		0.991	0	0	0	0	0
BOVIN	CRYAA	P02470	173	2	X-ray	1.15	0.607	2	1	1	4	1
BPT4	19	P13333	163	2	EM	3.40	1.000	0	0	1	1	1
BPT4	20	P13334	524	2	EM	3.63	1.000	0	0	2	2	1
BPT4	soc	P03715	80	2	EM	3.30	1.000	0	0	1	1	1
BPT4	uvsW	P0DXF1	502	2	X-ray	2.00	1.000	2	0	0	2	1
DANRE	glceb	F1QR43	586	2	X-ray	1.90	0.998	2	0	0	2	1
DANRE	gnptab	Q5RGJ8	1219	2	X-ray	2.30	0.231	2	13	0	15	1
DANRE	uox	Q6DG85	298	2	X-ray	2.80	1.000	4	3	0	7	1
ECOLI	CnoX	P77395	284	2	EM;X-ray	1.80	1.000	5	3	3	11	1
ECOLI	CpxP	P0AE85	166	2	X-ray	1.45	0.783	4	2	1	7	1
ECOLI	HdeB	P0AET2	108	2	NMR;X-ray	1.50	0.731	1	2	1	4	1
ECOLI	Skp	P0AEU7	161	2	X-ray	2.30	0.882	15	12	3	30	1
ECOLI	manY	P69801	266	2	EM	2.28	1.000	1	7	2	10	1
ECOLI	manZ	P69805	283	2	EM	2.28	1.000	1	7	3	11	1
ECOLI	sucA	P0AFG3	933	2	EM;X-ray	2.60	1.000	0	0	0	12	1
ECOLI	yciO	P0AFR4	206	2	X-ray	1.40	1.000	1	0	2	3	1
MAIZE	ABP1	P13689	201	2	X-ray	1.90	0.811	2	0	1	3	1
METEA	lanM	C5B164	133	2	NMR;X-ray	1.01	0.835	0	0	0	0	0
METEA	mdh	Q84FY8	320	2	X-ray	1.53	1.000	0	0	0	0	0
METEA	xoxF1	C5B120	601	2	X-ray	2.80	1.000	0	0	0	0	0
PICST	XYL1	P31867	318	2	X-ray	1.95	1.000	0	0	0	0	0
PSEPK	hglS	Q88CC1	464	2	X-ray	1.14	1.000	0	0	0	0	0
PSEPK	mcpS	Q88E10	639	2	X-ray	1.80	0.372	0	0	0	0	0
PSEPK	pedH	Q88JH0	595	2	X-ray	1.65	1.000	0	0	0	0	0
PSEPU	Q88CC1	Q88CC1	464	2	X-ray	1.14	1.000	0	0	0	0	0
RAMVA	RvY_13070	A0A1D1VU85	194	2	X-ray	2.10	1.000	4	0	0	4	1
RAMVA	SAHS1	J7MFT5	169	2	X-ray	1.45	0.811	0	0	0	0	0
SCHPO	atg2	O94649	1646	2	X-ray	2.70	0.134	1	3	3	7	1
SCHPO	cdc12	Q10059	1841	2	EM	3.56	0.277	6	9	14	29	1
SCHPO	spt16	O94267	1019	2	X-ray	1.84	0.434	12	3	3	18	1
SCHPO	swi6	P40381	328	2	NMR;X-ray	1.90	0.268	33	22	44	99	1
