scope	accession	gene	organism	caution_pmid	n_pos	positive_mf_terms
net_new	O75154	RAB11FIP3	Homo sapiens (Human)	16148947	4	GO:0005515 protein binding(IPI); GO:0030674 protein-macromolecule ad(IDA); GO:0031267 small GTPase binding(IPI); GO:0031267 small GTPase binding(IPI)
net_new	O75154	RAB11FIP3	Homo sapiens (Human)	17030804	4	GO:0031267 small GTPase binding(IPI); GO:0031267 small GTPase binding(IPI); GO:0031267 small GTPase binding(IPI); GO:0042803 protein homodimerization(IDA)
net_new	O75310	UGT2B11	Homo sapiens (Human)	8333863	1	GO:0015020 glucuronosyltransferase (IDA)
net_new	O75310	UGT2B11	Homo sapiens (Human)	9169006	1	GO:0015020 glucuronosyltransferase (IDA)
net_new	O75452	RDH16	Homo sapiens (Human)	12534290	2	GO:0004745 all-trans-retinol dehydr(IDA); GO:0047023 androsterone dehydrogena(EXP)
net_new	O75462	CRLF1	Homo sapiens (Human)	10966616	7	GO:0005125 cytokine activity(IDA); GO:0005127 ciliary neurotrophic fac(IDA); GO:0005125 cytokine activity(IDA); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	O75462	CRLF1	Homo sapiens (Human)	11294841	1	GO:0005125 cytokine activity(IDA)
net_new	O75462	CRLF1	Homo sapiens (Human)	26858303	2	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	O75462	CRLF1	Homo sapiens (Human)	36930708	2	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	O75570	MTRF1	Homo sapiens (Human)	36302763	1	GO:0016149 translation release fact(IDA)
net_new	O75570	MTRF1	Homo sapiens (Human)	36596788	1	GO:0016149 translation release fact(IDA)
net_new	O75570	MTRF1	Homo sapiens (Human)	37141370	1	GO:0016149 translation release fact(IDA)
net_new	O75601	CASP13	Bos taurus (Bovine)	9624166	1	GO:0004197 cysteine-type endopeptid(TAS)
net_new	O75828	CBR3	Homo sapiens (Human)	15537833	1	GO:0008753 NADPH dehydrogenase (qui(EXP)
net_new	O75828	CBR3	Homo sapiens (Human)	18493841	3	GO:0004090 carbonyl reductase (NADP(IDA); GO:0008753 NADPH dehydrogenase (qui(EXP); GO:0070402 NADPH binding(IDA)
net_new	O75828	CBR3	Homo sapiens (Human)	19841672	1	GO:0008753 NADPH dehydrogenase (qui(IDA)
net_new	O76064	RNF8	Homo sapiens (Human)	22980979	4	GO:0008270 zinc ion binding(IDA); GO:0042802 identical protein bindin(IPI); GO:0042803 protein homodimerization(IDA); GO:0061630 ubiquitin protein ligase(IDA)
net_new	O88576	Slc6a18	Mus musculus (Mouse)	26240152	2	GO:0015175 neutral L-amino acid tra(IMP); GO:0140931 neutral L-amino acid:sod(IDA)
net_new	O93526	?	Gallus gallus (Chicken)	9792440	1	GO:0004126 cytidine deaminase activ(IDA)
net_new	O94868	FCHSD2	Homo sapiens (Human)	29887380	4	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005547 phosphatidylinositol-3,4(IDA); GO:0043325 phosphatidylinositol-3,4(IDA)
net_new	O94925	GLS	Homo sapiens (Human)	11015561	1	GO:0004359 glutaminase activity(NAS)
net_new	O94956	SLCO2B1	Homo sapiens (Human)	11159893	1	GO:0022857 transmembrane transporte(IDA)
net_new	O94956	SLCO2B1	Homo sapiens (Human)	11932330	1	GO:0022857 transmembrane transporte(IDA)
net_new	O94956	SLCO2B1	Homo sapiens (Human)	12724351	2	GO:0022857 transmembrane transporte(IDA); GO:0022857 transmembrane transporte(IDA)
net_new	O94956	SLCO2B1	Homo sapiens (Human)	14610227	1	GO:0022857 transmembrane transporte(IDA)
net_new	O94956	SLCO2B1	Homo sapiens (Human)	22201122	1	GO:0022857 transmembrane transporte(IDA)
net_new	O94956	SLCO2B1	Homo sapiens (Human)	29871943	1	GO:0022857 transmembrane transporte(IMP)
net_new	O95153	TSPOAP1	Homo sapiens (Human)	9915832	1	GO:0030156 benzodiazepine receptor (IPI)
net_new	O95163	ELP1	Homo sapiens (Human)	11714725	2	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	O95202	LETM1	Homo sapiens (Human)	19797662	1	GO:0015369 calcium:proton antiporte(IDA)
net_new	O95202	LETM1	Homo sapiens (Human)	36321428	2	GO:0005515 protein binding(IPI); GO:0015386 potassium:proton antipor(EXP)
net_new	O95619	YEATS4	Homo sapiens (Human)	30071723	2	GO:0140044 histone H3K18ac reader a(IDA); GO:0140119 histone H3K27ac reader a(IDA)
net_new	O95684	CEP43	Homo sapiens (Human)	28428259	2	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	O95684	CEP43	Homo sapiens (Human)	28659385	1	GO:0005515 protein binding(IPI)
net_new	O96028	NSD2	Homo sapiens (Human)	19808676	1	GO:0140954 histone H3K36 dimethyltr(EXP)
net_new	O96028	NSD2	Homo sapiens (Human)	22099308	1	GO:0140954 histone H3K36 dimethyltr(EXP)
net_new	O97764	CRYZ	Bos taurus (Bovine)	9154917	2	GO:0003960 quinone reductase (NADPH(IDA); GO:0050661 NADP binding(IDA)
net_new	P00157	MT-CYB	Bos taurus (Bovine)	15312779	2	GO:0020037 heme binding(IDA); GO:0048039 ubiquinone binding(IDA)
net_new	P01024	C3	Homo sapiens (Human)	11387479	1	GO:0005515 protein binding(IPI)
net_new	P01024	C3	Homo sapiens (Human)	21527715	2	GO:0005515 protein binding(IPI); GO:0048018 receptor ligand activity(IDA)
net_new	P04036	dapB	Escherichia coli (strain K12	20503968	1	GO:0008839 4-hydroxy-tetrahydrodipi(IDA)
net_new	P04201	MAS1	Homo sapiens (Human)	3419518	2	GO:0004930 G protein-coupled recept(TAS); GO:0004945 angiotensin type II rece(TAS)
net_new	P05791	ilvD	Escherichia coli (strain K12	7771772	1	GO:0004160 dihydroxy-acid dehydrata(EXP)
net_new	P05791	ilvD	Escherichia coli (strain K12	8325851	3	GO:0004160 dihydroxy-acid dehydrata(IDA); GO:0051536 iron-sulfur cluster bind(IDA); GO:0051539 4 iron, 4 sulfur cluster(IDA)
net_new	P07221	CASQ1	Oryctolagus cuniculus (Rabbi	22170046	1	GO:0005509 calcium ion binding(IDA)
net_new	P07693	?	Enterobacteria phage T3 (Bac	33567250	1	GO:0047625 S-adenosyl-L-methionine (EXP)
net_new	P07982	egl2	Trichoderma reesei (Filament	3384334	1	GO:0008810 cellulase activity(EXP)
net_new	P08761	MsrA	Drosophila melanogaster (Fru	30529269	2	GO:0008113 peptide-methionine (S)-S(IDA); GO:0033744 L-methionine (S)-S-oxide(EXP)
net_new	P08861	CELA3B	Homo sapiens (Human)	2737288	1	GO:0004252 serine-type endopeptidas(NAS)
net_new	P09217	Prkcz	Rattus norvegicus (Rat)	8378304	1	GO:0106310 protein serine kinase ac(EXP)
net_new	P09833	modC	Escherichia coli (strain K12	7665460	1	GO:0015098 molybdate ion transmembr(EXP)
net_new	P09919	CSF3	Homo sapiens (Human)	2420009	1	GO:0005130 granulocyte colony-stimu(TAS)
net_new	P0A6L2	dapA	Escherichia coli (strain K12	8993314	1	GO:0008840 4-hydroxy-tetrahydrodipi(IDA)
net_new	P0A6M4	dtd	Escherichia coli (strain K12	24302572	1	GO:0051500 D-tyrosyl-tRNA(Tyr) deac(EXP)
net_new	P0A6N4	efp	Escherichia coli (strain K12	18201202	1	GO:0043022 ribosome binding(IDA)
net_new	P0A812	ruvB	Escherichia coli (strain K12	1617728	1	GO:0009378 four-way junction helica(IDA)
net_new	P0A812	ruvB	Escherichia coli (strain K12	8433990	2	GO:0003678 DNA helicase activity(IDA); GO:0016887 ATP hydrolysis activity(EXP)
net_new	P0A8R0	rraA	Escherichia coli (strain K12	13678585	3	GO:0005515 protein binding(IPI); GO:0008428 ribonuclease inhibitor a(IDA); GO:0019899 enzyme binding(IPI)
net_new	P0A8V0	rbn	Escherichia coli (strain K12	12029081	1	GO:0042803 protein homodimerization(IPI)
net_new	P0A9B6	epd	Escherichia coli (strain K12	7751290	2	GO:0048001 erythrose-4-phosphate de(IDA); GO:0051287 NAD binding(IDA)
net_new	P0A9B6	epd	Escherichia coli (strain K12	9182530	1	GO:0004365 glyceraldehyde-3-phospha(IDA)
net_new	P0A9P6	deaD	Escherichia coli (strain K12	15196029	1	GO:0003724 RNA helicase activity(IDA)
net_new	P0A9P6	deaD	Escherichia coli (strain K12	17259309	1	GO:0003724 RNA helicase activity(IDA)
net_new	P0A9P6	deaD	Escherichia coli (strain K12	8552679	1	GO:0003724 RNA helicase activity(IDA)
net_new	P0AAJ8	hybA	Escherichia coli (strain K12	8021226	1	GO:0051536 iron-sulfur cluster bind(RCA)
net_new	P0AAT4	ybdG	Escherichia coli (strain K12	20616037	2	GO:0008381 mechanosensitive monoato(IMP); GO:0042802 identical protein bindin(IPI)
net_new	P0ABC3	hflC	Escherichia coli (strain K12	2973057	1	GO:0005515 protein binding(IDA)
net_new	P0ABG4	ftsW	Escherichia coli (strain K12	21386816	1	GO:0015648 lipid-linked peptidoglyc(IDA)
net_new	P0AEH1	rseP	Escherichia coli (strain K12	11689431	1	GO:0004222 metalloendopeptidase act(IDA)
net_new	P0AF01	modB	Escherichia coli (strain K12	7665460	1	GO:0015098 molybdate ion transmembr(EXP)
net_new	P0AFX7	rseA	Escherichia coli (strain K12	19706448	1	GO:0005515 protein binding(IPI)
net_new	P0AFX7	rseA	Escherichia coli (strain K12	9159522	1	GO:0016989 sigma factor antagonist (IMP)
net_new	P0C0J0	speB	Streptococcus pyogenes	22645124	1	GO:0004197 cysteine-type endopeptid(IDA)
net_new	P0CB42	Alkbh1	Mus musculus (Mouse)	27027282	1	GO:0035516 broad specificity oxidat(IDA)
net_new	P0DI86	?	Bothrops alternatus (Urutu) 	15142548	2	GO:0001716 L-amino-acid oxidase act(EXP); GO:0106329 L-phenylalaine oxidase a(EXP)
net_new	P0DI88	?	Bothrops jararaca (Jararaca)	18346051	2	GO:0001716 L-amino-acid oxidase act(EXP); GO:0106329 L-phenylalaine oxidase a(EXP)
net_new	P0DI89	?	Bothrops leucurus (Whitetail	21539897	2	GO:0001716 L-amino-acid oxidase act(EXP); GO:0106329 L-phenylalaine oxidase a(EXP)
net_new	P0DJJ6	?	Bothrops leucurus (Whitetail	21130897	2	GO:0008237 metallopeptidase activit(IDA); GO:0046872 metal ion binding(IDA)
net_new	P0DOY1	Dnmt3c	Mus musculus (Mouse)	27856912	2	GO:0003886 DNA (cytosine-5-)-methyl(IMP); GO:0051718 DNA (cytosine-5-)-methyl(IDA)
net_new	P0DPI0	botA	Clostridium botulinum	16545378	1	GO:0005515 protein binding(IPI)
net_new	P0DQH9	?	Cerastes cerastes (Horned de	30647580	2	GO:0001716 L-amino-acid oxidase act(EXP); GO:0106329 L-phenylalaine oxidase a(EXP)
net_new	P0DSE1	TRA	Homo sapiens (Human)	27036003	1	GO:0042605 peptide antigen binding(IDA)
net_new	P0DSE1	TRA	Homo sapiens (Human)	29997621	1	GO:0042605 peptide antigen binding(IDA)
net_new	P0DSE2	TRB	Homo sapiens (Human)	27036003	1	GO:0042605 peptide antigen binding(IDA)
net_new	P0DSE2	TRB	Homo sapiens (Human)	29997621	1	GO:0042605 peptide antigen binding(IDA)
net_new	P0DSN5	?	Hemiscorpius lepturus (Scorp	27940138	1	GO:0004623 A2-type glycerophospholi(EXP)
net_new	P0DTU3	TRA	Homo sapiens (Human)	31959982	1	GO:0038023 signaling receptor activ(IDA)
net_new	P0DTU4	TRB	Homo sapiens (Human)	31959982	1	GO:0038023 signaling receptor activ(IDA)
net_new	P10074	ZBTB48	Homo sapiens (Human)	28082411	1	GO:0003691 double-stranded telomeri(IDA)
net_new	P10074	ZBTB48	Homo sapiens (Human)	28500257	1	GO:0000976 transcription cis-regula(IDA)
net_new	P10383	otu	Drosophila melanogaster (Fru	28484036	2	GO:0008236 serine-type peptidase ac(IDA); GO:0101005 deubiquitinase activity(IDA)
net_new	P11021	HSPA5	Homo sapiens (Human)	25601083	1	GO:0005515 protein binding(IPI)
net_new	P11055	MYH3	Homo sapiens (Human)	16642020	4	GO:0000146 microfilament motor acti(IMP); GO:0005516 calmodulin binding(NAS); GO:0016887 ATP hydrolysis activity(IMP); GO:0051015 actin filament binding(IMP)
net_new	P11598	Pdia3	Rattus norvegicus (Rat)	1330685	1	GO:0008233 peptidase activity(IDA)
net_new	P11914	MAS2	Saccharomyces cerevisiae (st	9299349	1	GO:0005515 protein binding(IPI)
net_new	P12530	ALOX15	Oryctolagus cuniculus (Rabbi	9600854	1	GO:0004052 arachidonate 12(S)-lipox(IDA)
net_new	P13382	POL1	Saccharomyces cerevisiae (st	22119860	1	GO:0034061 DNA polymerase activity(EXP)
net_new	P14375	zraR	Escherichia coli (strain K12	11243806	1	GO:0003677 DNA binding(IDA)
net_new	P14625	HSP90B1	Homo sapiens (Human)	18264092	1	GO:0005515 protein binding(IPI)
net_new	P14904	APE1	Saccharomyces cerevisiae (st	5147	1	GO:0004177 aminopeptidase activity(EXP)
net_new	P15700	URA6	Saccharomyces cerevisiae (st	1333436	3	GO:0004017 AMP kinase activity(IDA); GO:0004017 AMP kinase activity(IGI); GO:0033862 UMP kinase activity(EXP)
net_new	P16045	Lgals1	Mus musculus (Mouse)	3020551	1	GO:0005534 galactose binding(NAS)
net_new	P16142	mdh	Methanothermus fervidus (str	10850983	2	GO:0030060 L-malate dehydrogenase ((EXP); GO:0046554 L-malate dehydrogenase ((EXP)
net_new	P16658	SEN2	Saccharomyces cerevisiae (st	9200603	2	GO:0000213 tRNA-intron lyase activi(IDA); GO:0005515 protein binding(IPI)
net_new	P17109	menD	Escherichia coli (strain K12	17760421	4	GO:0000287 magnesium ion binding(IDA); GO:0030976 thiamine pyrophosphate b(IDA); GO:0042803 protein homodimerization(IDA); GO:0070204 2-succinyl-5-enolpyruvyl(IDA)
net_new	P17981	Art2a	Mus musculus (Mouse)	9300695	1	GO:0106274 NAD+-protein-arginine AD(IDA)
net_new	P18115	thra-b	Xenopus laevis (African claw	2402492	2	GO:0004879 nuclear receptor activit(TAS); GO:0070324 thyroid hormone binding(IDA)
net_new	P18238	AAC3	Saccharomyces cerevisiae (st	20152151	1	GO:0042802 identical protein bindin(IPI)
net_new	P18894	Dao	Mus musculus (Mouse)	33484270	2	GO:0003884 D-amino-acid oxidase act(EXP); GO:0043799 glycine oxidase activity(EXP)
net_new	P18946	MT-CYB	Gallus gallus (Chicken)	22690928	1	GO:0020037 heme binding(IDA)
net_new	P19211	ANB1	Saccharomyces cerevisiae (st	19424157	1	GO:0003746 translation elongation f(ISA)
net_new	P19634	SLC9A1	Homo sapiens (Human)	11696366	1	GO:0005515 protein binding(IPI)
net_new	P19634	SLC9A1	Homo sapiens (Human)	12809501	1	GO:0005515 protein binding(IPI)
net_new	P19634	SLC9A1	Homo sapiens (Human)	30287853	3	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	P19955	YMR31	Saccharomyces cerevisiae (st	25165143	4	GO:0004591 oxoglutarate dehydrogena(IDA); GO:0004591 oxoglutarate dehydrogena(IMP); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	P19955	YMR31	Saccharomyces cerevisiae (st	2693936	1	GO:0003735 structural constituent o(IDA)
net_new	P20965	pabpc1-a	Xenopus laevis (African claw	12489691	2	GO:0005515 protein binding(IPI); GO:0008143 poly(A) binding(IDA)
net_new	P20965	pabpc1-a	Xenopus laevis (African claw	1280105	1	GO:0008143 poly(A) binding(IDA)
net_new	P21108	PRPS1L1	Homo sapiens (Human)	2168892	1	GO:0004749 ribose phosphate diphosp(NAS)
net_new	P21574	ybx2-a	Xenopus laevis (African claw	2247479	1	GO:0043565 sequence-specific DNA bi(IDA)
net_new	P21605	OPG065	Vaccinia virus (strain Weste	34192517	2	GO:0003723 RNA binding(IDA); GO:0003725 double-stranded RNA bind(IDA)
net_new	P21980	TGM2	Homo sapiens (Human)	23941696	2	GO:0003810 protein-glutamine gamma-(IDA); GO:0005509 calcium ion binding(IDA)
net_new	P22189	cta3	Schizosaccharomyces pombe (s	11932440	2	GO:0008556 P-type potassium transme(IDA); GO:0008900 P-type potassium:proton (IDA)
net_new	P22849	cbbL1	Allochromatium vinosum (stra	3579306	1	GO:0016984 ribulose-bisphosphate ca(EXP)
net_new	P22859	cbbL2	Allochromatium vinosum (stra	2211708	1	GO:0016984 ribulose-bisphosphate ca(EXP)
net_new	P23070	ret	Escherichia coli	2466573	1	GO:0034061 DNA polymerase activity(EXP)
net_new	P23301	HYP2	Saccharomyces cerevisiae (st	19424157	2	GO:0003746 translation elongation f(IDA); GO:0003746 translation elongation f(IMP)
net_new	P23874	hipA	Escherichia coli (strain K12	19150849	3	GO:0000287 magnesium ion binding(IDA); GO:0005524 ATP binding(IDA); GO:0043565 sequence-specific DNA bi(EXP)
net_new	P23874	hipA	Escherichia coli (strain K12	19622872	1	GO:0005515 protein binding(IPI)
net_new	P24350	acj6	Drosophila melanogaster (Fru	1673230	2	GO:0003714 transcription corepresso(IGI); GO:0003714 transcription corepresso(IPI)
net_new	P25359	RRP43	Saccharomyces cerevisiae (st	17173052	1	GO:0005515 protein binding(IPI)
net_new	P25805	FP1	Plasmodium falciparum (isola	12471262	1	GO:0004197 cysteine-type endopeptid(IDA)
net_new	P26431	Slc9a1	Rattus norvegicus (Rat)	18321853	2	GO:0005515 protein binding(IPI); GO:0015385 sodium:proton antiporter(IDA)
net_new	P27101	tcbF	Pseudomonas sp. (strain P51)	2013566	1	GO:0018506 maleylacetate reductase (NAS)
net_new	P27144	AK4	Homo sapiens (Human)	19130895	1	GO:0005515 protein binding(IPI)
net_new	P27144	AK4	Homo sapiens (Human)	19766732	6	GO:0004017 AMP kinase activity(IDA); GO:0036430 CMP kinase activity(EXP); GO:0036431 dCMP kinase activity(EXP); GO:0046899 nucleoside triphosphate (IDA); GO:0047506 dAMP kinase activity(EXP); GO:0050145 nucleoside monophosphate(EXP)
net_new	P27144	AK4	Homo sapiens (Human)	23416111	1	GO:0004550 nucleoside diphosphate k(IDA)
net_new	P27467	Wnt3a	Mus musculus (Mouse)	26902720	4	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	P27707	DCK	Homo sapiens (Human)	20637175	1	GO:0004137 deoxycytidine kinase act(IDA)
net_new	P28370	SMARCA1	Homo sapiens (Human)	15640247	5	GO:0140658 ATP-dependent chromatin (IDA); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0016887 ATP hydrolysis activity(EXP); GO:0140658 ATP-dependent chromatin (IDA)
net_new	P28570	Slc6a8	Rattus norvegicus (Rat)	1633856	1	GO:0015220 choline transmembrane tr(IDA)
net_new	P29117	Ppif	Rattus norvegicus (Rat)	9820802	1	GO:0005515 protein binding(IPI)
net_new	P29465	CHS3	Saccharomyces cerevisiae (st	28346351	1	GO:0005515 protein binding(IPI)
net_new	P29844	Hsc70-3	Drosophila melanogaster (Fru	25395623	2	GO:0005515 protein binding(IPI); GO:0016887 ATP hydrolysis activity(IDA)
net_new	P29844	Hsc70-3	Drosophila melanogaster (Fru	29089387	1	GO:0005515 protein binding(IPI)
net_new	P30098	TACR3	Cavia porcellus (Guinea pig)	1315051	1	GO:0004888 transmembrane signaling (TAS)
net_new	P30414	NKTR	Homo sapiens (Human)	8421688	1	GO:0016018 cyclosporin A binding(TAS)
net_new	P30731	Gpr83	Mus musculus (Mouse)	27117253	3	GO:0004930 G protein-coupled recept(IDA); GO:0005515 protein binding(IPI); GO:0008188 neuropeptide receptor ac(IDA)
net_new	P31380	FUN30	Saccharomyces cerevisiae (st	19956593	1	GO:0140658 ATP-dependent chromatin (IMP)
net_new	P31380	FUN30	Saccharomyces cerevisiae (st	20075079	5	GO:0003677 DNA binding(IDA); GO:0003682 chromatin binding(IDA); GO:0016887 ATP hydrolysis activity(EXP); GO:0042802 identical protein bindin(IPI); GO:0140658 ATP-dependent chromatin (IDA)
net_new	P31512	FMO4	Homo sapiens (Human)	1417778	1	GO:0004499 N,N-dimethylaniline mono(NAS)
net_new	P31572	caiB	Escherichia coli (strain K12	8188598	1	GO:0008735 L-carnitine CoA-transfer(EXP)
net_new	P31660	prpC	Escherichia coli (strain K12	12473114	1	GO:0050440 2-methylcitrate synthase(EXP)
net_new	P32265	nfxB	Pseudomonas aeruginosa (stra	23924707	1	GO:0000976 transcription cis-regula(IDA)
net_new	P32695	dusA	Escherichia coli (strain K12	11983710	1	GO:0017150 tRNA dihydrouridine synt(IMP)
net_new	P32754	HPD	Homo sapiens (Human)	41317403	1	GO:0001734 mRNA m(6)A methyltransfe(IDA)
net_new	P32874	HFA1	Saccharomyces cerevisiae (st	14761959	1	GO:0003989 acetyl-CoA carboxylase a(IGI)
net_new	P33309	DOM34	Saccharomyces cerevisiae (st	17889667	1	GO:0004521 RNA endonuclease activit(IDA)
net_new	P33418	LOS1	Saccharomyces cerevisiae (st	9774653	1	GO:0031267 small GTPase binding(IDA)
net_new	P33751	PAD1	Saccharomyces cerevisiae (st	11693915	1	GO:0016831 carboxy-lyase activity(IMP)
net_new	P35412	Gpr12	Mus musculus (Mouse)	12574419	1	GO:0031210 phosphatidylcholine bind(IDA)
net_new	P36014	GPX1	Saccharomyces cerevisiae (st	10480913	1	GO:0004602 glutathione peroxidase a(IMP)
net_new	P36014	GPX1	Saccharomyces cerevisiae (st	11445588	2	GO:0047066 phospholipid-hydroperoxi(IDA); GO:0047066 phospholipid-hydroperoxi(IMP)
net_new	P36014	GPX1	Saccharomyces cerevisiae (st	20572871	2	GO:0004602 glutathione peroxidase a(EXP); GO:0140824 thioredoxin-dependent pe(EXP)
net_new	P36217	xyn2	Trichoderma reesei (strain A	1369024	1	GO:0031176 endo-1,4-beta-xylanase a(EXP)
net_new	P36218	xyn1	Trichoderma reesei (strain A	1369024	1	GO:0031176 endo-1,4-beta-xylanase a(EXP)
net_new	P36639	NUDT1	Homo sapiens (Human)	24695224	2	GO:0035539 8-oxo-7,8-dihydrodeoxygu(EXP); GO:0106378 2-hydroxy-dATP hydrolase(EXP)
net_new	P36639	NUDT1	Homo sapiens (Human)	24695225	2	GO:0035539 8-oxo-7,8-dihydrodeoxygu(EXP); GO:0106378 2-hydroxy-dATP hydrolase(EXP)
net_new	P37025	thpR	Escherichia coli (strain K12	8940112	1	GO:0008664 RNA 2',3'-cyclic 3'-phos(IDA)
net_new	P37329	modA	Escherichia coli (strain K12	28150901	1	GO:1901359 tungstate binding(IDA)
net_new	P37329	modA	Escherichia coli (strain K12	8576221	3	GO:0015412 ABC-type molybdate trans(IC); GO:0030151 molybdenum ion binding(IDA); GO:1901359 tungstate binding(IDA)
net_new	P37339	lhgD	Escherichia coli (strain K12	18390652	1	GO:0050660 flavin adenine dinucleot(IDA)
net_new	P37339	lhgD	Escherichia coli (strain K12	30498244	2	GO:0047545 (S)-2-hydroxyglutarate d(IDA); GO:0140696 (S)-2-hydroxyglutarate d(EXP)
net_new	P37674	yiaM	Escherichia coli (strain K12	16385129	1	GO:0015144 carbohydrate transmembra(IDA)
net_new	P37675	yiaN	Escherichia coli (strain K12	16385129	1	GO:0015144 carbohydrate transmembra(IDA)
net_new	P37676	yiaO	Escherichia coli (strain K12	16385129	1	GO:0030246 carbohydrate binding(IDA)
net_new	P37690	envC	Escherichia coli (strain K12	15165230	1	GO:0016787 hydrolase activity(IDA)
net_new	P37769	kduD	Escherichia coli (strain K12	24509771	3	GO:0016616 oxidoreductase activity,(IDA); GO:0033764 steroid dehydrogenase ac(IDA); GO:0102635 11-deoxycorticosterone r(EXP)
net_new	P38013	AHP1	Saccharomyces cerevisiae (st	9888818	1	GO:0140824 thioredoxin-dependent pe(EXP)
net_new	P38071	ETR1	Saccharomyces cerevisiae (st	11509667	1	GO:0141148 enoyl-[acyl-carrier-prot(IDA)
net_new	P38143	GPX2	Saccharomyces cerevisiae (st	10480913	1	GO:0004602 glutathione peroxidase a(IMP)
net_new	P38143	GPX2	Saccharomyces cerevisiae (st	11445588	3	GO:0004602 glutathione peroxidase a(IDA); GO:0047066 phospholipid-hydroperoxi(IDA); GO:0047066 phospholipid-hydroperoxi(IMP)
net_new	P38143	GPX2	Saccharomyces cerevisiae (st	16251189	1	GO:0140824 thioredoxin-dependent pe(EXP)
net_new	P38506	ygdG	Escherichia coli (strain K12	17567612	1	GO:0005515 protein binding(IPI)
net_new	P38792	RRP4	Saccharomyces cerevisiae (st	17173052	1	GO:0005515 protein binding(IPI)
net_new	P38797	PTC7	Saccharomyces cerevisiae (st	23940037	2	GO:0004721 phosphoprotein phosphata(IDA); GO:0004722 protein serine/threonine(IDA)
net_new	P38797	PTC7	Saccharomyces cerevisiae (st	28076776	1	GO:0004722 protein serine/threonine(IMP)
net_new	P38838	WSS1	Saccharomyces cerevisiae (st	24998930	2	GO:0004222 metalloendopeptidase act(IDA); GO:0004222 metalloendopeptidase act(IMP)
net_new	P38874	IKI1	Saccharomyces cerevisiae (st	11689709	5	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	P38891	BAT1	Saccharomyces cerevisiae (st	8798704	1	GO:0004084 branched-chain-amino-aci(IDA)
net_new	P39006	PSD1	Saccharomyces cerevisiae (st	34818062	1	GO:0004609 phosphatidylserine decar(IMP)
net_new	P39286	rsgA	Escherichia coli (strain K12	12220175	2	GO:0003924 GTPase activity(IDA); GO:0019003 GDP binding(IDA)
net_new	P39286	rsgA	Escherichia coli (strain K12	14973029	1	GO:0005515 protein binding(IPI)
net_new	P39838	rcsD	Escherichia coli (strain K12	11309126	1	GO:0009927 histidine phosphotransfe(IDA)
net_new	P39985	POL5	Saccharomyces cerevisiae (st	12093911	2	GO:0000182 rDNA binding(IDA); GO:0034061 DNA polymerase activity(EXP)
net_new	P39986	SPF1	Saccharomyces cerevisiae (st	12058017	2	GO:0016887 ATP hydrolysis activity(IDA); GO:0016887 ATP hydrolysis activity(IMP)
net_new	P39986	SPF1	Saccharomyces cerevisiae (st	22745129	1	GO:0016887 ATP hydrolysis activity(IDA)
net_new	P39986	SPF1	Saccharomyces cerevisiae (st	24392018	1	GO:0016887 ATP hydrolysis activity(IDA)
net_new	P39986	SPF1	Saccharomyces cerevisiae (st	32973005	1	GO:0140567 membrane protein disloca(IDA)
net_new	P40492	FYV10	Saccharomyces cerevisiae (st	22044534	2	GO:0061630 ubiquitin protein ligase(IMP); GO:0005515 protein binding(IPI)
net_new	P40526	DFG10	Saccharomyces cerevisiae (st	20637498	1	GO:0003865 3-oxo-5-alpha-steroid 4-(ISS)
net_new	P40526	DFG10	Saccharomyces cerevisiae (st	38821050	1	GO:0160198 polyprenal reductase act(IDA)
net_new	P40556	YIA6	Saccharomyces cerevisiae (st	16291748	3	GO:0051724 NAD transmembrane transp(IDA); GO:0051724 NAD transmembrane transp(IMP); GO:0051724 NAD transmembrane transp(IGI)
net_new	P40581	HYR1	Saccharomyces cerevisiae (st	10480913	1	GO:0004602 glutathione peroxidase a(IMP)
net_new	P40581	HYR1	Saccharomyces cerevisiae (st	11445588	2	GO:0047066 phospholipid-hydroperoxi(IDA); GO:0047066 phospholipid-hydroperoxi(IMP)
net_new	P40581	HYR1	Saccharomyces cerevisiae (st	12437921	1	GO:0140824 thioredoxin-dependent pe(EXP)
net_new	P40939	HADHA	Homo sapiens (Human)	1550553	3	GO:0004300 enoyl-CoA hydratase acti(EXP); GO:0016509 long-chain (3S)-3-hydrox(EXP); GO:0018812 3-hydroxyacyl-CoA dehydr(EXP)
