organism	gene	interpro_ids	go_term_id	go_term_label	action	is_suspect	proposed_replacement_terms	reason
ARATH	CER1	IPR006694	GO:0005506	iron ion binding	ACCEPT	no		This annotation correctly captures CER1's iron ion binding through its conserved histidine-rich motifs that coordinate the di-iron active site. This is a core molecular function essential for catalytic activity.
ARATH	CER1	IPR006694	GO:0008610	lipid biosynthetic process	MARK_AS_OVER_ANNOTATED	yes		Redundant generic parent of the specific and correctly supported biological process terms (wax/alkane biosynthetic process).
ARATH	CER1	IPR006694	GO:0016491	oxidoreductase activity	MARK_AS_OVER_ANNOTATED	yes		Redundant generic parent of the specific and correct molecular function GO:0071771. The decarbonylation reaction is redox-coupled (NADPH/O2-dependent), but the specific term better captures the actual catalysis.
ARATH	CERK1	IPR000719,IPR001245,IPR008271	GO:0004672	protein kinase activity	MARK_AS_OVER_ANNOTATED	yes		The annotation is biochemically correct but is subsumed by the more specific and experimentally supported protein serine/threonine kinase activity (GO:0004674). It is retained as a non-misleading parent term.
ARATH	CERK1	IPR000719,IPR017441	GO:0005524	ATP binding	ACCEPT	no		Consistent with the conserved kinase ATP-binding motif and experimentally demonstrated kinase/autophosphorylation activity requiring ATP.
ARATH	CERK1	IPR044812	GO:0019199	transmembrane receptor protein kinase activity	ACCEPT	no		Supported by domain architecture and the experimental demonstration that ligand-induced receptor dimerization activates kinase signaling (duplicate IDA/IMP annotations below).
ARATH	CHL1	IPR018456	GO:0006857	oligopeptide transport	REMOVE	yes		Family-level (InterPro) over-annotation. CHL1/NRT1.1 recognizes specifically nitrate and chlorate but NOT the di-peptide Ala-Ala (UniProt FUNCTION), so peptide transport is not a function of this protein. The PTR family name reflects ancestry, not CHL1 substrate specificity.
ARATH	CHL1	IPR000109,IPR018456	GO:0022857	transmembrane transporter activity	MODIFY	yes	GO:0015112 nitrate transmembrane transporter activity	Too general. The specific, experimentally established molecular function is nitrate transmembrane transporter activity (GO:0015112), already annotated (IMP). Replace the generic parent with the specific child.
ARATH	CHL1	IPR000109	GO:0055085	transmembrane transport	MODIFY	yes	GO:0015706 nitrate transmembrane transport	Too general. The specific, experimentally established process is nitrate transmembrane transport (GO:0015706), already annotated (IMP). Replace the generic parent with the specific child.
ARATH	CIPK24	IPR000719,IPR008271	GO:0004672	protein kinase activity	ACCEPT	no		CIPK24 is a genuine active kinase with an N-terminal SNF1-like catalytic domain; autophosphorylation demonstrates protein kinase activity. This is a core molecular function.
ARATH	CIPK24	IPR000719,IPR017441	GO:0005524	ATP binding	ACCEPT	no		ATP binding is integral to the core kinase activity; supported by the conserved ATP-binding lysine and by abolition of activity in the K40N mutant.
ARATH	CIPK24	IPR004041,IPR018451	GO:0007165	signal transduction	MARK_AS_OVER_ANNOTATED	yes		The specific role is calcium-mediated CBL-CIPK signaling driving ion homeostasis; the bare 'signal transduction' term adds little. More specific salt-stress and ion-transport regulation terms capture the function.
ARATH	CLV1	IPR000719,IPR001245,IPR008271	GO:0004672	protein kinase activity	MODIFY	yes	GO:0004674 protein serine/threonine kinase activity	Replace the generic kinase term with the more informative Ser/Thr protein kinase term already supported by direct assays and EC mapping.
ARATH	CLV1	IPR000719	GO:0005524	ATP binding	KEEP_AS_NON_CORE	yes		Keep as a mechanistic cofactor-binding annotation for the kinase domain, but the core function is Ser/Thr receptor kinase signaling.
ARATH	CLV3	IPR044962	GO:0033612	receptor serine/threonine kinase binding	ACCEPT	no		The mature CLV3 (MCLV3/CLV3p) peptide is the ligand for the LRR receptor serine/threonine kinases CLV1/BAM1/BAM2; receptor kinase binding is the core molecular function and is experimentally supported.
ARATH	CO	IPR000315	GO:0008270	zinc ion binding	KEEP_AS_NON_CORE	yes		Zinc ion binding is a conserved structural feature of the BBX domains and supports protein folding/interaction capacity, but it is not the main biological function of CO.
ARATH	CO	IPR045281	GO:0009909	regulation of flower development	MODIFY	yes	GO:0048578 positive regulation of long-day photoperiodism, flowering	Replace with positive regulation of long-day photoperiodism, flowering using Arabidopsis experimental evidence rather than a broad domain-only flower-development mapping.
ARATH	CRY1	IPR014134	GO:0009882	blue light photoreceptor activity	ACCEPT	no		This captures the core CRY1 role as a blue/UV-A photoreceptor that mediates blue-light signaling and photomorphogenesis.
ARATH	CRY1	IPR014134	GO:0009785	blue light signaling pathway	ACCEPT	no		This captures the core CRY1 role as a blue/UV-A photoreceptor that mediates blue-light signaling and photomorphogenesis.
ARATH	CRY2	IPR014134	GO:0009882	blue light photoreceptor activity	ACCEPT	no		CRY2 is a plant cryptochrome whose FAD-dependent blue-light photoactivation drives dimerization, photobody formation, and downstream signaling.
ARATH	CRY2	IPR014134	GO:0009785	blue light signaling pathway	ACCEPT	no		CRY2 photoactivation, homodimerization, photobody formation, and interaction with signaling partners such as BIC1, SPA1, and CIBs are central to blue-light signaling.
ARATH	DCL1	IPR006935	GO:0003677	DNA binding	REMOVE	yes		DCL1 is a pri-/pre-miRNA-processing RNase III enzyme whose accessible evidence supports RNA substrate recognition, not DNA binding.
ARATH	DCL1	IPR003100,IPR011907	GO:0003723	RNA binding	MODIFY	yes	GO:0004525 ribonuclease III activity; GO:0003725 double-stranded RNA binding	RNA binding is true but less specific than DCL1 ribonuclease III activity and double-stranded RNA binding in pri-/pre-miRNA processing.
ARATH	DCL1	IPR000999,IPR011907,IPR036389	GO:0004525	ribonuclease III activity	ACCEPT	no		RNase III activity is the core catalytic molecular function by which DCL1 cleaves pri-/pre-miRNA hairpins.
ARATH	DCL1	IPR006935	GO:0005524	ATP binding	KEEP_AS_NON_CORE	yes		ATP binding is plausible from domain architecture, but the curated core function is RNase III-mediated miRNA precursor cleavage.
ARATH	DCL1	IPR011907	GO:0006364	rRNA processing	REMOVE	yes		DCL1 literature and UniProt function support miRNA/siRNA precursor processing, not a primary rRNA-processing role.
ARATH	DCL1	IPR000999,IPR036389	GO:0006396	RNA processing	MODIFY	yes	GO:0004525 ribonuclease III activity; GO:0031053 primary miRNA processing	Use DCL1-specific ribonuclease III activity and primary miRNA processing rather than broad RNA processing or generic hydrolase activity.
ARATH	DCL1	IPR006935	GO:0016787	hydrolase activity	MODIFY	yes	GO:0004525 ribonuclease III activity; GO:0031053 primary miRNA processing	Use DCL1-specific ribonuclease III activity and primary miRNA processing rather than broad RNA processing or generic hydrolase activity.
ARATH	DCL1	IPR005034	GO:0016891	RNA endonuclease activity producing 5'-phosphomonoesters, hydrolytic mechanism	MODIFY	yes	GO:0004525 ribonuclease III activity; GO:0031053 primary miRNA processing	Use DCL1-specific ribonuclease III activity and primary miRNA processing rather than broad RNA processing or generic hydrolase activity.
ARATH	DRB1	IPR044450,IPR044451	GO:0003725	double-stranded RNA binding	ACCEPT	no		Double-stranded RNA binding is the core molecular function of DRB1/HYL1.
ARATH	DREB2A	IPR016177	GO:0003677	DNA binding	KEEP_AS_NON_CORE	yes		Correct but general; subsumed by the specific sequence-specific DNA-binding transcription factor activity and DRE/CRT cis-regulatory region binding annotations.
ARATH	DREB2A	IPR001471,IPR036955	GO:0003700	DNA-binding transcription factor activity	ACCEPT	no		DREB2A is an experimentally validated DNA-binding transcription factor; this electronic annotation is corroborated by IDA (PMID:9707537) and ISS annotations to the same term.
ARATH	DREB2A	IPR001471,IPR036955	GO:0006355	regulation of DNA-templated transcription	KEEP_AS_NON_CORE	yes		General process term subsumed by the more specific positive regulation of DNA-templated transcription annotation supported by IDA.
ARATH	EDS1	IPR002921	GO:0006629	lipid metabolic process	REMOVE	yes		EDS1 is an immune signaling pseudoenzyme/scaffold; no direct lipid metabolic process or lipid substrate is established.
ARATH	EDS1	IPR044214	GO:0006952	defense response	MARK_AS_OVER_ANNOTATED	yes		The broad defense response term blurs the specific EDS1 immune signaling role captured by more precise experimental annotations.
ARATH	EFR	IPR000719,IPR017441	GO:0005524	ATP binding	ACCEPT	no		ATP binding is required for the kinase activity; consistent with the protein kinase ATP-binding site annotated in UniProt.
ARATH	EIN2	IPR001046	GO:0046873	metal ion transmembrane transporter activity	REMOVE	yes		The NRAMP-like N-terminal domain is insufficient to infer metal transporter activity for EIN2; UniProt also notes that EIN2 is probably not involved in iron uptake.
ARATH	EIN2	IPR017187	GO:0009873	ethylene-activated signaling pathway	ACCEPT	no		Although electronically inferred, the annotation matches the core, experimentally established function of EIN2.
ARATH	EIN2	IPR001046	GO:0030001	metal ion transport	REMOVE	yes		No EIN2-specific transport activity is demonstrated, and family-level transfer from canonical NRAMP transporters is misleading.
ARATH	EIN2	IPR001046	GO:0016020	membrane	MODIFY	yes	GO:0005789 endoplasmic reticulum membrane	The generic membrane term should be replaced by the specific, supported ER membrane location.
ARATH	ELF4	IPR040462	GO:0042753	positive regulation of circadian rhythm	ACCEPT	no		This is a core function of ELF4. Multiple experimental studies confirm ELF4 promotes circadian rhythm maintenance [PMID:12214234, PMID:20357892].
ARATH	ETR1	IPR003661,IPR036097	GO:0000155	phosphorelay sensor kinase activity	ACCEPT	no		ETR1 functions as a histidine kinase with autophosphorylation activity that is inhibited by ethylene binding. This phosphorelay activity is essential for its role as negative regulator of ethylene signaling.
ARATH	ETR1	IPR014525	GO:0004672	protein kinase activity	MARK_AS_OVER_ANNOTATED	yes		GO:0004672 (protein kinase activity) is a direct parent of GO:0004673 (protein histidine kinase activity) in the GO hierarchy, and GO:0004673 is already annotated three times (IEA, IMP, TAS). Retaining the generic parent over-annotates the gene; a MODIFY to GO:0004673 would merely duplicate the existing specific annotation.
ARATH	ETR1	IPR003661,IPR036097	GO:0007165	signal transduction	MARK_AS_OVER_ANNOTATED	yes		The specific child term GO:0009873 (ethylene-activated signaling pathway) is already captured as a separate accepted annotation. Retaining the generic parent GO:0007165 (signal transduction) over-annotates the gene without adding specificity; a MODIFY to GO:0009873 would merely duplicate the existing annotation.
ARATH	ETR1	IPR014525	GO:0009723	response to ethylene	ACCEPT	no		ETR1 is fundamentally involved in ethylene response as the receptor that detects and responds to ethylene. This is a core biological process for ETR1.
ARATH	ETR1	IPR004358	GO:0016772	transferase activity, transferring phosphorus-containing groups	MARK_AS_OVER_ANNOTATED	yes		GO:0016772 is a direct ancestor of GO:0004673 (protein histidine kinase activity) in the GO hierarchy (GO:0016772 > GO:0016301 kinase activity > ... > GO:0004673), which is already captured. For consistency with the over-annotation call on its parent GO:0016740 (transferase activity), this uninformative intermediate term is also marked as over-annotated.
ARATH	ETR1	IPR014525	GO:0038199	ethylene receptor activity	ACCEPT	no		ETR1 is definitively an ethylene receptor. This is its primary function and already confirmed by IBA evidence. Additional evidence codes support this core function.
ARATH	FAD2	IPR005804	GO:0006629	lipid metabolic process	ACCEPT	no		Correct but general. FAD2 functions in glycerolipid/fatty acid metabolism; the specific unsaturated fatty acid biosynthetic role is captured below.
ARATH	FAD2	IPR012171	GO:0016491	oxidoreductase activity	ACCEPT	no		Correct but general. The informative molecular function is the omega-6 (Delta-12) fatty acid desaturase activity captured by more specific terms below.
ARATH	FAD2	IPR021863	GO:0016717	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water	ACCEPT	no		Correct enzyme-class molecular function for a membrane fatty acid desaturase, which uses O2 and an electron donor (cytochrome b5) to introduce a double bond. Consistent with the specific desaturase annotations.
ARATH	FAE1	IPR012392,IPR013601	GO:0016020	membrane	ACCEPT	no		Correct but general. FAE1 is an integral membrane protein of the ER (UniProt annotates transmembrane helices); the ER annotation is the informative localization.
ARATH	FAE1	IPR016039	GO:0016746	acyltransferase activity	ACCEPT	no		Correct but general. As a 3-ketoacyl-CoA synthase (condensing enzyme), FAE1 is an acyltransferase, but fatty acid elongase activity (GO:0009922) is the informative molecular function.
ARATH	FAE1	IPR012392,IPR013601	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	ACCEPT	no		Correct but general; this is the acyltransferase parent matching the KCS condensation chemistry. The specific fatty acid elongase activity annotation is retained as the core function.
ARATH	FER	IPR000719,IPR001245,IPR008271	GO:0004672	protein kinase activity	ACCEPT	no		Correct molecular function, also supported experimentally (IDA, PMID:17673660). The more precise core MF is the receptor serine/threonine kinase activity, but the general protein kinase activity term is accurate.
ARATH	FER	IPR045272	GO:0004714	transmembrane receptor protein tyrosine kinase activity	MODIFY	yes	GO:0004675 transmembrane receptor protein serine/threonine kinase activity	This IEA derives from InterPro IPR045272 (ANXUR1/2-like) mapped through a generic Tyr/Ser-Thr catalytic-domain signature (Pfam PK_Tyr_Ser-Thr). UniProt and Rhea assign FER only Ser/Thr activity (EC 2.7.11.1), and plant CrRLK1Ls are Ser/Thr (RD) kinases. The correct receptor molecular function is transmembrane receptor protein serine/threonine kinase activity (GO:0004675), which also captures the single-pass transmembrane receptor architecture.
ARATH	FER	IPR000719,IPR017441	GO:0005524	ATP binding	KEEP_AS_NON_CORE	yes		Correct cofactor-binding function supporting the kinase activity; FER has a defined ATP-binding site (residues 542-550 and Lys-565). Standard supporting MF for an active kinase rather than a core distinguishing function.
ARATH	FLC	IPR033896	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	ACCEPT	no		FLC binds to specific regulatory regions (CArG boxes) in RNA polymerase II-transcribed gene promoters. Confirmed by ChIP assays showing direct binding to FT and SOC1 promoters.
ARATH	FLC	IPR002487	GO:0003700	DNA-binding transcription factor activity	ACCEPT	no		FLC is a classic DNA-binding transcription factor with a MADS-box domain. Functions as a transcriptional repressor by binding specific DNA sequences and modulating transcription of target genes.
ARATH	FLC	IPR002487	GO:0006355	regulation of DNA-templated transcription	ACCEPT	no		FLC regulates DNA-templated transcription by acting as a transcriptional repressor of key floral integrator genes. Functions through chromatin-based mechanisms and direct DNA binding.
ARATH	FLC	IPR033896	GO:0045944	positive regulation of transcription by RNA polymerase II	MODIFY	yes	GO:0000122 negative regulation of transcription by RNA polymerase II	This annotation is incorrect. FLC functions primarily as a transcriptional repressor, not an activator. It negatively regulates transcription of floral integrator genes.
ARATH	FLC	IPR002100,IPR036879	GO:0046983	protein dimerization activity	ACCEPT	no		FLC forms homo- and heterodimeric complexes with other MADS-box proteins (FLM, MAF2, MAF3) through its MADS-box domain. These interactions are essential for functional transcriptional repression.
ARATH	FLS2	IPR000719,IPR008271	GO:0004672	protein kinase activity	MODIFY	yes	GO:0004675 transmembrane receptor protein serine/threonine kinase activity	A more specific experimentally and domain-supported term exists for this protein.
ARATH	FLS2	IPR000719	GO:0005524	ATP binding	KEEP_AS_NON_CORE	yes		The annotation is compatible with the kinase domain but is less informative than the receptor protein serine/threonine kinase activity.
ARATH	GI	IPR026211	GO:2000028	regulation of photoperiodism, flowering	KEEP_AS_NON_CORE	yes		Keep as a correct electronic family-level annotation, but prioritize the experimentally supported GO:0048578 term as core.
ARATH	GID1A	IPR002168,IPR013094	GO:0016787	hydrolase activity	REMOVE	yes		GID1 was explicitly described as similar to the hormone-sensitive lipase family but WITHOUT hydrolase activity. The protein binds GA as a receptor in a pocket on the hydrolase fold rather than catalyzing hydrolysis. The nominal UniProt EC=3.-.-.- and InterPro fold mapping produce a spurious catalytic MF annotation that does not reflect the true (receptor) function.
ARATH	GIP1	IPR022214	GO:0000931	gamma-tubulin ring complex	ACCEPT	no		Retained as supported or plausible for this gene and evidence context.
ARATH	GIP1	IPR022214	GO:0033566	gamma-tubulin complex localization	ACCEPT	no		Captures GIP1's central, experimentally supported role in recruiting/anchoring gamma-tubulin complexes to MT nucleation sites.
ARATH	GL2	IPR017970	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	ACCEPT	no		The term captures the core transcription-factor role more specifically than generic DNA binding.
ARATH	GL2	IPR001356	GO:0003677	DNA binding	MODIFY	yes	GO:0000976 transcription cis-regulatory region binding	Use transcription cis-regulatory region binding to capture promoter/regulatory DNA binding by the transcription factor.
ARATH	GL2	IPR002913	GO:0008289	lipid binding	MARK_AS_OVER_ANNOTATED	yes		Without direct GL2 ligand evidence, lipid binding is an over-projected domain annotation relative to the supported transcription-factor role.
ARATH	GL2	IPR017970	GO:0006355	regulation of DNA-templated transcription	MODIFY	yes	GO:0006357 regulation of transcription by RNA polymerase II	Regulation of transcription by RNA polymerase II is the better process context for a plant nuclear transcription factor.
ARATH	GL3	IPR011598,IPR036638	GO:0046983	protein dimerization activity	ACCEPT	no		Dimerization is a conserved and functionally relevant property of bHLH transcription factors.
ARATH	HEN1	IPR046357	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	REMOVE	yes		The PPIase-like/FKBP-like domain is present, but no evidence supports HEN1 peptidyl-prolyl isomerase catalytic activity; the supported biochemical function is small-RNA methyltransferase activity.
ARATH	HEN1	IPR026610	GO:0008171	O-methyltransferase activity	MODIFY	yes	GO:0090486 small RNA 2'-O-ribose methyltransferase activity	Use the small-RNA terminal 2-prime-O-methyltransferase term to capture HEN1 substrate and reaction specificity.
ARATH	HEN1	IPR026610	GO:0008173	RNA methyltransferase activity	MODIFY	yes	GO:0090486 small RNA 2'-O-ribose methyltransferase activity	Use the small-RNA terminal 2-prime-O-methyltransferase term to capture HEN1 substrate and reaction specificity.
ARATH	HKT1	IPR003445	GO:0006812	monoatomic cation transport	MODIFY	yes	GO:0006814 sodium ion transport	Correct in essence (HKT1 transports a monovalent cation) but too general. The physiologically relevant species transported in planta is Na+, so a sodium ion transport term is more informative.
ARATH	HKT1	IPR003445	GO:0008324	monoatomic cation transmembrane transporter activity	MODIFY	yes	GO:0015081 sodium ion transmembrane transporter activity	Correct but too general. The experimentally demonstrated and core molecular function is sodium ion transmembrane transporter activity; replace the generic parent with the specific Na+ term.
ARATH	HKT1	IPR004773	GO:0015079	potassium ion transmembrane transporter activity	MARK_AS_OVER_ANNOTATED	yes		This K+-specific molecular-function term is inherited from the HKT/Trk/Ktr family signature and the wheat ortholog's high-affinity K+ behavior, but AtHKT1;1 is Na+-selective and does NOT transport K+ in planta (it lacks the conserved Gly-68 of K+-permeable HKTs; only a <2-fold K+ effect in heterologous systems). The potassium transport function is therefore an over-annotation. The correct Na+ molecular function is captured separately by the ACCEPTed GO:0015081 (sodium ion transmembrane transporter activity, IDA), so this K+ term is flagged as over-annotated rather than re-pointed at the Na+ term — consistent with the three parallel K+ biological-process annotations in this file, which are likewise marked as over-annotated.
ARATH	HKT1	IPR003445	GO:0055085	transmembrane transport	MODIFY	yes	GO:0035725 sodium ion transmembrane transport	Correct but far too general to be informative; replace with the specific sodium ion transmembrane transport process.
ARATH	HKT1	IPR004773	GO:0071805	potassium ion transmembrane transport	MARK_AS_OVER_ANNOTATED	yes		Family/name-derived electronic inference. AtHKT1;1 does not transport K+ in planta; any K+ effect is indirect via Na+ homeostasis. Direct K+ transmembrane transport is an over-annotation. The biologically relevant process is sodium ion transmembrane transport (already annotated via GO:0035725).
ARATH	HY5	IPR044280	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	ACCEPT	no		This annotation accurately represents HY5s primary molecular function. HY5 is a well-characterized transcription factor that binds to G-box and other cis-regulatory elements and regulates transcription by RNA polymerase II. This is supported by extensive ChIP-seq and biochemical studies demonstrating direct DNA binding and transcriptional activation.
ARATH	HY5	IPR004827,IPR046347	GO:0003700	DNA-binding transcription factor activity	ACCEPT	no		This annotation correctly represents HY5s primary molecular function as a DNA-binding transcription factor. While the more specific GO:0000981 term provides additional precision about RNA polymerase II specificity, this general term is still accurate and appropriate. Multiple evidence types for this core function are acceptable.
ARATH	HY5	IPR004827,IPR046347	GO:0006355	regulation of DNA-templated transcription	ACCEPT	no		This annotation correctly describes HY5s role in regulating transcription. While general, it accurately captures the biological process in which HY5 participates. This term is appropriately broad and complements the more specific molecular function annotations.
ARATH	HY5	IPR044280	GO:0045944	positive regulation of transcription by RNA polymerase II	ACCEPT	no		This annotation correctly captures HY5s biological function. HY5 primarily acts as a transcriptional activator, promoting the expression of target genes involved in photomorphogenesis, light responses, and chloroplast development. This is a well-established function supported by extensive experimental evidence.
ARATH	LFY	IPR002910,IPR035209	GO:0003677	DNA binding	MODIFY	yes	GO:0000976 transcription cis-regulatory region binding	InterPro domain evidence and experimental literature support a more informative term than generic DNA binding. LFY should be represented as binding transcriptional cis-regulatory DNA, with separate annotations capturing sequence-specific DNA binding and transcription factor activity.
ARATH	LFY	IPR002910	GO:0006355	regulation of DNA-templated transcription	MODIFY	yes	GO:0045944 positive regulation of transcription by RNA polymerase II	LFY is best captured as a positive transcriptional regulator of RNA-polymerase-II target genes, rather than the nonspecific parent process.
ARATH	LHY	IPR006447	GO:0003677	DNA binding	KEEP_AS_NON_CORE	yes		LHY is a genuine MYB DNA-binding protein, so the term is correct, but it is a generic parent superseded by GO:0003700 (DNA-binding transcription factor activity, IDA) and GO:0000976 (cis-regulatory region binding, IDA). Retain as supporting, non-core.
ARATH	MPK6	IPR000719,IPR008271	GO:0004672	protein kinase activity	ACCEPT	no		Accurate parent-level molecular function annotation. MPK6 is a bona fide protein kinase (EC 2.7.11.24); the kinase domain spans residues 63-348. More specific MF terms are also present.
ARATH	MPK6	IPR000719,IPR003527,IPR017441	GO:0005524	ATP binding	ACCEPT	no		Well-supported by sequence and structure; MPK6 binds ATP at the canonical kinase pocket and the K92 invariant lysine is essential for catalysis (K92M abolishes activity).
ARATH	MUTE	IPR044283	GO:0003700	DNA-binding transcription factor activity	ACCEPT	no		Consistent with experimental and ISS evidence that MUTE is a functional bHLH transcription factor; this is a core molecular function.
ARATH	MUTE	IPR044283	GO:0010052	guard cell differentiation	ACCEPT	no		Core biological process; strongly supported by loss- and gain-of-function data even though the GOA evidence here is electronic.
ARATH	MUTE	IPR011598,IPR036638	GO:0046983	protein dimerization activity	MODIFY	yes	GO:0046982 protein heterodimerization activity	Experimental evidence (Y2H and BiFC in epidermal nuclei) shows MUTE associates with the broadly expressed bHLH-LZ proteins ICE1/SCRM and SCRM2, indicating heterodimerization activity rather than generic dimerization. This is a core molecular function.
ARATH	MYC2	IPR045084	GO:0003700	DNA-binding transcription factor activity	ACCEPT	no		DNA-binding transcription factor activity is a direct molecular function of MYC2 and is central to its transcription factor role.
ARATH	MYC2	IPR011598,IPR036638	GO:0046983	protein dimerization activity	KEEP_AS_NON_CORE	yes		Oligomerization may influence DNA binding and transcriptional regulation but is secondary to MYC2's transcription factor role.
ARATH	MYC2	IPR045084	GO:0006355	regulation of DNA-templated transcription	ACCEPT	no		Transcriptional regulation is a core biological role of MYC2 as a bHLH transcription factor.
ARATH	NCED3	IPR004294	GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	KEEP_AS_NON_CORE	yes		Correct dioxygenase classification from InterPro IPR004294, but subsumed by the more specific MF term GO:0045549, which represents the core molecular function.
ARATH	NEK3	IPR000719,IPR008271	GO:0004672	protein kinase activity	MODIFY	yes	GO:0004674 protein serine/threonine kinase activity	The more specific term GO:0004674 (protein serine/threonine kinase activity) is already annotated and better represents the function. NEK kinases are Ser/Thr-specific kinases, so the general protein kinase activity term should be replaced with the specific one.
ARATH	NEK3	IPR000719,IPR017441	GO:0005524	ATP binding	ACCEPT	no		ATP binding is a fundamental requirement for kinase activity. The domain architecture clearly supports this annotation, with conserved ATP-binding motifs identified by PROSITE and InterPro.
ARATH	NPR1	IPR044292	GO:0009862	systemic acquired resistance, salicylic acid mediated signaling pathway	ACCEPT	no		This represents NPR1s primary and best-characterized function. NPR1 was originally identified as the key regulator of SAR and SA signaling. This annotation captures its core biological role [PMID:9019406, PMID:17172357, PMID:32788727]
ARATH	NPR1	IPR044292	GO:2000022	regulation of jasmonic acid mediated signaling pathway	ACCEPT	no		JA regulation is a well-established function of NPR1, representing the negative regulatory aspect of SA-JA crosstalk. This is experimentally supported [PMID:12615947, PMID:26269953]
ARATH	NPR1	IPR044292	GO:2000031	regulation of salicylic acid mediated signaling pathway	ACCEPT	no		This is a core NPR1 function - NPR1 is the key positive regulator of SA signaling pathway. This annotation accurately captures NPR1s primary role [PMID:9019406, PMID:12615947, PMID:32788727]
ARATH	OST1	IPR000719,IPR017441	GO:0005524	ATP binding	ACCEPT	no		Standard, well-supported molecular function for an ATP-dependent kinase; ATP-binding residues are defined structurally and by mutagenesis.
ARATH	P14713	IPR003661	GO:0000155	phosphorelay sensor kinase activity	KEEP_AS_NON_CORE	yes		Domain present but regulatory activity primarily through PIF interactions, not kinase activity.
ARATH	P14713	IPR001294,IPR012129,IPR013515,IPR013654,IPR013767	GO:0006355	regulation of DNA-templated transcription	KEEP_AS_NON_CORE	yes		Generic term. More specific negative regulation term exists.
ARATH	P14713	IPR003661	GO:0007165	signal transduction	KEEP_AS_NON_CORE	yes		More specific terms describe PHYB's role in red/far-red light signaling.
ARATH	P14713	IPR001294,IPR013515	GO:0009584	detection of visible light	ACCEPT	no		Parent term. PHYB detects visible light (red/far-red region).
ARATH	P14713	IPR012129	GO:0017006	protein-tetrapyrrole linkage	ACCEPT	no		Parent term of phytochromobilin linkage. Chromophore is a tetrapyrrole.
ARATH	P14713	IPR012129	GO:0042803	protein homodimerization activity	ACCEPT	no		Core function. PHYB functions as a homodimer, confirmed by crystal structure.
ARATH	P93002	IPR044292	GO:0009862	systemic acquired resistance, salicylic acid mediated signaling pathway	ACCEPT	no		Computational annotation consistent with experimental evidence
ARATH	P93002	IPR044292	GO:2000022	regulation of jasmonic acid mediated signaling pathway	ACCEPT	no		Computational annotation consistent with experimental evidence
ARATH	P93002	IPR044292	GO:2000031	regulation of salicylic acid mediated signaling pathway	ACCEPT	no		Computational annotation consistent with experimental evidence
ARATH	PAD4	IPR002921	GO:0006629	lipid metabolic process	REMOVE	yes		PAD4 is an EDS1-family immune signaling protein; no direct lipid metabolic process or lipid substrate is established.
ARATH	PAL1	IPR008948	GO:0003824	catalytic activity	MODIFY	yes	GO:0045548 phenylalanine ammonia-lyase activity	GO:0003824 is uninformative for an enzyme whose exact reaction is experimentally established (L-phenylalanine = (E)-cinnamate + NH4+). Replace with the specific catalytic term GO:0045548.
ARATH	PAL1	IPR005922	GO:0006559	L-phenylalanine catabolic process	ACCEPT	no		PAL1 consumes L-phenylalanine, deaminating it to trans-cinnamate; this is the committed entry reaction. L-phenylalanine catabolic process is an accurate biological-process annotation for the enzyme's direct reaction.
ARATH	PAL1	IPR005922,IPR022313	GO:0016841	ammonia-lyase activity	MODIFY	yes	GO:0045548 phenylalanine ammonia-lyase activity	GO:0016841 is a more general parent of the known activity; replace with the specific GO:0045548 phenylalanine ammonia-lyase activity.
ARATH	PHYA	IPR003661	GO:0000155	phosphorelay sensor kinase activity	MODIFY	yes	GO:0004672 protein kinase activity	The domain-derived phosphorelay term is too specific and mechanistically misleading for plant PHYA.
ARATH	PHYA	IPR012129	GO:0009881	photoreceptor activity	MODIFY	yes	GO:0031516 far-red light photoreceptor activity	Replace the broad photoreceptor term with the more specific far-red light photoreceptor activity.
ARATH	PHYA	IPR012129	GO:0042803	protein homodimerization activity	KEEP_AS_NON_CORE	yes		Retain as an accurate non-core molecular property.
ARATH	PHYA	IPR001294,IPR012129,IPR013515,IPR013654,IPR013767	GO:0006355	regulation of DNA-templated transcription	ACCEPT	no		Retain as a core biological output of PHYA phototransduction, with the caveat that the molecular function is photoreceptor/kinase activity rather than direct DNA binding.
ARATH	PHYA	IPR003661	GO:0007165	signal transduction	MODIFY	yes	GO:0010018 far-red light signaling pathway; GO:0009585 red, far-red light phototransduction	Use PHYA-specific light signaling process terms.
ARATH	PHYA	IPR001294,IPR013515	GO:0009584	detection of visible light	ACCEPT	no		Visible-light detection is inherent to PHYA photoreceptor activity.
ARATH	PHYA	IPR012129	GO:0009585	red, far-red light phototransduction	ACCEPT	no		Red/far-red phototransduction is a core PHYA process.
ARATH	PHYA	IPR012129	GO:0017006	protein-tetrapyrrole linkage	KEEP_AS_NON_CORE	yes		Retain as a non-core property required for photoreceptor function.
